SK디스커버리(006120),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,4750,5360,4671,4942,236240,93883.0,9341552.0
1999-01-05,5015,5556,4916,5409,398950,102757.0,9341552.0
1999-01-06,5801,6220,5457,6221,480860,118171.0,9341552.0
1999-01-07,7129,7129,7129,7130,34850,135453.0,9341552.0
1999-01-08,8188,8188,8188,8188,37950,155537.0,9341552.0
1999-01-11,9294,9392,8753,9392,2146710,178424.0,9341552.0
1999-01-12,9589,10794,8975,10794,1871310,205047.0,9341552.0
1999-01-13,10769,12245,10081,10081,1334760,191502.0,9341552.0
1999-01-14,9343,10769,8950,10425,1373010,198041.0,9341552.0
1999-01-15,10917,10966,9687,9688,1023000,184029.0,9341552.0
1999-01-18,10031,10278,9540,9688,955170,184029.0,9341552.0
1999-01-19,9540,10006,8850,8852,588870,168148.0,9341552.0
1999-01-20,8850,9564,8408,8802,940130,167214.0,9341552.0
1999-01-21,8950,9098,8139,8557,528780,162543.0,9341552.0
1999-01-22,8556,8999,8064,8065,771040,153201.0,9341552.0
1999-01-25,8064,8359,7720,7917,552610,150399.0,9341552.0
1999-01-26,8163,9048,8114,8213,1145530,156004.0,9341552.0
1999-01-27,8359,8531,7819,8311,507380,157872.0,9341552.0
1999-01-28,8458,9097,8114,8901,1192880,169082.0,9341552.0
1999-01-29,8901,9146,8655,8704,579060,165345.0,9341552.0
1999-02-01,8703,9047,8605,8852,607840,168148.0,9341552.0
1999-02-02,8950,9785,8900,9392,1480800,178424.0,9341552.0
1999-02-03,9515,9540,8654,8655,508900,164411.0,9341552.0
1999-02-04,8457,8703,7867,8286,517340,157405.0,9341552.0
1999-02-05,8285,8507,8064,8114,439240,154136.0,9341552.0
1999-02-08,8310,8384,7573,7573,433860,143860.0,9341552.0
1999-02-09,7377,7524,6639,6885,428830,130782.0,9341552.0
1999-02-10,6933,7622,6786,7573,598730,143860.0,9341552.0
1999-02-11,7597,7966,7473,7868,420800,149465.0,9341552.0
