아모레퍼시픽그룹(002790),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,1276,1323,1276,1310,17010,165766.0,8500800.0
1999-01-05,1323,1377,1290,1303,37340,164916.0,8500800.0
1999-01-06,1343,1444,1323,1434,93410,181492.0,8500800.0
1999-01-07,1478,1545,1377,1451,183130,183617.0,8500800.0
1999-01-08,1478,1498,1397,1451,111850,183617.0,8500800.0
1999-01-11,1478,1511,1236,1512,126370,191268.0,8500800.0
1999-01-12,1518,1518,1384,1418,92940,179367.0,8500800.0
1999-01-13,1410,1431,1357,1424,52360,180217.0,8500800.0
1999-01-14,1370,1417,1310,1310,29910,165766.0,8500800.0
1999-01-15,1276,1357,1276,1317,61810,166616.0,8500800.0
1999-01-18,1316,1377,1316,1357,72780,171716.0,8500800.0
1999-01-19,1343,1343,1330,1330,22610,168316.0,8500800.0
1999-01-20,1330,1397,1316,1330,29980,168316.0,8500800.0
1999-01-21,1330,1330,1209,1236,18890,156415.0,8500800.0
1999-01-22,1209,1229,1142,1156,59050,146214.0,8500800.0
1999-01-25,1175,1175,1095,1129,50790,142813.0,8500800.0
1999-01-26,1142,1209,1142,1176,55700,148764.0,8500800.0
1999-01-27,1202,1212,1172,1183,35990,149614.0,8500800.0
1999-01-28,1189,1209,1175,1176,51340,148764.0,8500800.0
1999-01-29,1209,1229,1192,1196,37990,151314.0,8500800.0
1999-02-01,1222,1226,1202,1209,12910,153014.0,8500800.0
1999-02-02,1243,1243,1195,1209,24300,153014.0,8500800.0
1999-02-03,1182,1209,1175,1179,20390,149189.0,8500800.0
1999-02-04,1142,1162,1142,1142,13830,144514.0,8500800.0
1999-02-05,1155,1189,1142,1169,12820,147914.0,8500800.0
1999-02-08,1155,1162,1108,1156,9480,146214.0,8500800.0
1999-02-09,1128,1128,1028,1109,26030,140263.0,8500800.0
1999-02-10,1068,1128,1048,1129,14910,142813.0,8500800.0
1999-02-11,1162,1162,1108,1109,8370,140263.0,8500800.0
1999-02-12,1142,1162,1122,1149,7920,145364.0,8500800.0
1999-02-18,1169,1169,1108,1115,9520,141113.0,8500800.0
1999-02-19,1108,1128,1014,1109,17520,140263.0,8500800.0
1999-02-22,1068,1075,1034,1072,3110,135588.0,8500800.0
1999-02-23,1075,1108,1048,1105,13780,139838.0,8500800.0
1999-02-24,1054,1135,1054,1119,11570,141538.0,8500800.0
1999-02-25,1118,1132,1088,1125,16140,142388.0,8500800.0
1999-02-26,1108,1135,1075,1135,32960,143664.0,8500800.0
1999-03-02,1135,1175,1112,1142,36790,144514.0,8500800.0
1999-03-03,1142,1169,1135,1162,25870,147064.0,8500800.0
1999-03-04,1162,1162,1142,1142,16850,144514.0,8500800.0
1999-03-05,1135,1175,1135,1176,17620,148764.0,8500800.0
1999-03-08,1182,1202,1182,1203,18180,152164.0,8500800.0
1999-03-09,1216,1219,1169,1183,29580,149614.0,8500800.0
1999-03-10,1189,1209,1169,1189,12940,150464.0,8500800.0
1999-03-11,1169,1222,1169,1189,29340,150464.0,8500800.0
1999-03-12,1229,1229,1202,1216,13130,153864.0,8500800.0
1999-03-15,1229,1283,1202,1209,5060,153014.0,8500800.0
1999-03-16,1195,1229,1195,1223,16340,154715.0,8500800.0
1999-03-17,1256,1276,1222,1246,18350,157690.0,8500800.0
1999-03-18,1229,1273,1216,1223,51710,154715.0,8500800.0
1999-03-19,1222,1283,1209,1277,17050,161515.0,8500800.0
1999-03-22,1279,1310,1239,1246,13220,157690.0,8500800.0
1999-03-23,1246,1266,1239,1250,20790,158115.0,8500800.0
1999-03-24,1243,1263,1216,1263,13680,159815.0,8500800.0
1999-03-25,1209,1263,1209,1236,15760,156415.0,8500800.0
1999-03-26,1236,1276,1236,1240,12890,156840.0,8500800.0
1999-03-29,1229,1256,1229,1256,28130,158965.0,8500800.0
1999-03-30,1269,1343,1256,1303,56310,164916.0,8500800.0
1999-03-31,1303,1377,1290,1377,60910,174266.0,8500800.0
1999-04-01,1377,1431,1337,1431,37430,181067.0,8500800.0
1999-04-02,1478,1478,1410,1478,57080,187018.0,8500800.0
1999-04-06,1451,1525,1451,1478,74850,187018.0,8500800.0
1999-04-07,1478,1525,1464,1518,32270,192118.0,8500800.0
1999-04-08,1498,1518,1478,1498,53120,189568.0,8500800.0
1999-04-09,1498,1538,1444,1518,187790,192118.0,8500800.0
1999-04-12,1518,1518,1431,1445,18930,182767.0,8500800.0
1999-04-13,1421,1478,1410,1445,73760,182767.0,8500800.0
1999-04-14,1444,1471,1404,1418,37990,179367.0,8500800.0
1999-04-15,1444,1505,1444,1505,47110,190418.0,8500800.0
1999-04-16,1505,1505,1464,1478,38120,187018.0,8500800.0
1999-04-19,1478,1652,1478,1579,49840,199769.0,8500800.0
1999-04-20,1578,1646,1531,1579,95690,199769.0,8500800.0
1999-04-21,1599,1666,1558,1559,50580,197219.0,8500800.0
1999-04-22,1558,1585,1491,1492,56760,188718.0,8500800.0
1999-04-23,1639,1639,1515,1613,87060,204019.0,8500800.0
1999-04-26,1659,1854,1652,1854,131080,234622.0,8500800.0
1999-04-27,1941,1982,1888,1922,99600,243123.0,8500800.0
1999-04-28,1921,1941,1827,1922,134360,243123.0,8500800.0
1999-04-29,2150,2150,1891,1891,126500,239298.0,8500800.0
1999-04-30,1817,1888,1746,1780,140380,225271.0,8500800.0
1999-05-03,1854,1908,1820,1908,76920,241423.0,8500800.0
1999-05-04,1921,1995,1881,1881,90480,238022.0,8500800.0
1999-05-06,1881,2015,1864,1955,70030,247373.0,8500800.0
1999-05-07,1921,1961,1901,1948,116820,246523.0,8500800.0
1999-05-10,1894,1982,1888,1982,91850,250774.0,8500800.0
1999-05-11,1955,2015,1914,1915,111580,242273.0,8500800.0
1999-05-12,1914,1914,1827,1854,40360,234622.0,8500800.0
1999-05-13,1753,1874,1753,1801,66840,227821.0,8500800.0
1999-05-14,1800,1814,1679,1700,37790,215070.0,8500800.0
1999-05-17,1652,1662,1521,1532,71280,193818.0,8500800.0
1999-05-18,1531,1625,1531,1626,23540,205719.0,8500800.0
1999-05-19,1578,1622,1578,1613,66400,204019.0,8500800.0
1999-05-20,1632,1632,1511,1518,24440,192118.0,8500800.0
1999-05-21,1518,1562,1491,1492,20110,188718.0,8500800.0
1999-05-24,1464,1552,1464,1532,23280,193818.0,8500800.0
1999-05-25,1578,1676,1511,1676,17390,212095.0,8500800.0
1999-05-26,1666,1726,1578,1700,26050,215070.0,8500800.0
1999-05-27,1693,1720,1646,1646,33890,208270.0,8500800.0
1999-05-28,1646,1679,1619,1680,15980,212520.0,8500800.0
1999-05-31,1652,1706,1646,1700,23340,215070.0,8500800.0
1999-06-01,1679,1693,1632,1680,13440,212520.0,8500800.0
1999-06-02,1760,1770,1699,1713,55810,216770.0,8500800.0
1999-06-03,1746,1770,1666,1700,51380,215070.0,8500800.0
1999-06-04,1699,1726,1659,1680,55420,212520.0,8500800.0
1999-06-07,1699,1780,1693,1713,155050,216770.0,8500800.0
1999-06-08,1780,1857,1753,1780,148120,225271.0,8500800.0
1999-06-09,1793,1827,1699,1700,54910,215070.0,8500800.0
1999-06-10,1686,1881,1632,1881,80580,238022.0,8500800.0
1999-06-11,1854,1982,1800,1888,109650,238872.0,8500800.0
1999-06-14,1955,1955,1861,1868,60440,236322.0,8500800.0
1999-06-15,1847,1847,1693,1828,43960,231222.0,8500800.0
1999-06-16,1800,1820,1753,1780,28820,225271.0,8500800.0
1999-06-17,1783,1884,1783,1811,80370,229097.0,8500800.0
1999-06-18,1824,1867,1793,1801,26000,227821.0,8500800.0
1999-06-21,1814,1867,1800,1848,43290,233772.0,8500800.0
1999-06-22,1847,2049,1834,1982,148800,250774.0,8500800.0
1999-06-23,2049,2062,1935,2049,87390,259274.0,8500800.0
1999-06-24,2035,2062,1934,1935,58740,244823.0,8500800.0
1999-06-25,1935,1982,1901,1915,21070,242273.0,8500800.0
1999-06-28,1968,1982,1928,1982,30280,250774.0,8500800.0
1999-06-29,1908,2035,1908,1932,32340,244398.0,8500800.0
1999-06-30,2049,2049,1867,1881,60320,238022.0,8500800.0
1999-07-01,1914,1982,1894,1915,55880,242273.0,8500800.0
1999-07-02,2035,2035,1955,1982,102720,250774.0,8500800.0
1999-07-05,2049,2082,1988,2029,75190,256724.0,8500800.0
1999-07-06,2015,2062,1982,2022,35240,255874.0,8500800.0
1999-07-07,2015,2116,1968,2096,68120,265225.0,8500800.0
1999-07-08,2096,2136,2042,2043,53640,258424.0,8500800.0
1999-07-09,2150,2227,2069,2116,137360,267775.0,8500800.0
1999-07-12,2150,2150,2062,2137,68790,270325.0,8500800.0
1999-07-13,2082,2244,2015,2244,66090,283927.0,8500800.0
1999-07-14,2062,2176,2062,2076,26230,262675.0,8500800.0
1999-07-15,1982,2116,1914,2016,57910,255024.0,8500800.0
1999-07-16,2022,2109,2022,2049,33700,259274.0,8500800.0
1999-07-19,2082,2082,1988,2049,39460,259274.0,8500800.0
1999-07-20,1988,2015,1928,1982,55540,250774.0,8500800.0
1999-07-21,1914,1955,1780,1814,57830,229522.0,8500800.0
1999-07-22,1820,1847,1679,1767,100400,223571.0,8500800.0
1999-07-23,1767,1767,1585,1586,103060,200619.0,8500800.0
1999-07-26,1592,1666,1498,1545,114310,195518.0,8500800.0
1999-07-27,1548,1632,1511,1613,250950,204019.0,8500800.0
1999-07-28,1632,1696,1619,1653,125770,209120.0,8500800.0
1999-07-29,1693,1693,1659,1686,52350,213370.0,8500800.0
1999-07-30,1686,1696,1558,1680,66060,212520.0,8500800.0
1999-08-02,1625,1679,1578,1646,65580,208270.0,8500800.0
1999-08-03,1612,1642,1595,1613,94450,204019.0,8500800.0
1999-08-04,1713,1746,1625,1626,45670,205719.0,8500800.0
1999-08-05,1676,1699,1652,1693,136830,214220.0,8500800.0
1999-08-06,1693,1726,1639,1639,31310,207420.0,8500800.0
1999-08-09,1639,1740,1625,1700,101050,215070.0,8500800.0
1999-08-10,1713,1713,1646,1653,35720,209120.0,8500800.0
1999-08-11,1652,1679,1612,1616,55100,204444.0,8500800.0
1999-08-12,1612,1625,1565,1586,46860,200619.0,8500800.0
1999-08-13,1612,1646,1548,1572,28860,198919.0,8500800.0
1999-08-16,1434,1545,1434,1512,40240,191268.0,8500800.0
1999-08-17,1511,1612,1511,1572,43770,198919.0,8500800.0
1999-08-18,1545,1565,1458,1552,77820,196368.0,8500800.0
1999-08-19,1518,1599,1518,1555,16950,196794.0,8500800.0
1999-08-20,1558,1612,1558,1579,21980,199769.0,8500800.0
1999-08-23,1632,1699,1632,1680,146700,212520.0,8500800.0
1999-08-24,1740,1814,1659,1780,136720,225271.0,8500800.0
1999-08-25,1780,1867,1760,1767,116310,223571.0,8500800.0
1999-08-26,1800,1961,1746,1821,146740,230372.0,8500800.0
1999-08-27,1834,1914,1827,1868,127910,236322.0,8500800.0
1999-08-30,1881,1955,1874,1942,149530,245673.0,8500800.0
1999-08-31,1948,1998,1914,1975,90950,249924.0,8500800.0
1999-09-01,1948,1988,1894,1922,94620,243123.0,8500800.0
1999-09-02,1753,1941,1753,1915,69060,242273.0,8500800.0
1999-09-03,1820,1901,1820,1881,77570,238022.0,8500800.0
1999-09-06,1881,1901,1827,1878,47620,237597.0,8500800.0
1999-09-07,1881,1888,1820,1854,67450,234622.0,8500800.0
1999-09-08,1945,1945,1827,1828,134900,231222.0,8500800.0
1999-09-09,1847,1874,1827,1875,62560,237172.0,8500800.0
1999-09-10,1881,1935,1840,1915,97870,242273.0,8500800.0
1999-09-13,1948,1965,1914,1928,84020,243973.0,8500800.0
1999-09-14,1914,1928,1847,1888,62310,238872.0,8500800.0
1999-09-15,1881,1914,1837,1888,29570,238872.0,8500800.0
1999-09-16,1847,1975,1847,1891,95840,239298.0,8500800.0
1999-09-17,1847,1911,1777,1821,34110,230372.0,8500800.0
1999-09-20,1820,1861,1773,1814,32200,229522.0,8500800.0
1999-09-21,1847,1861,1780,1841,58970,232922.0,8500800.0
1999-09-22,1820,1840,1783,1814,49230,229522.0,8500800.0
1999-09-27,1814,1817,1777,1777,21120,224846.0,8500800.0
1999-09-28,1773,1827,1773,1814,53650,229522.0,8500800.0
1999-09-29,1800,1807,1713,1780,12500,225271.0,8500800.0
1999-09-30,1733,1780,1673,1673,32240,211670.0,8500800.0
1999-10-01,1666,1669,1585,1626,60340,205719.0,8500800.0
1999-10-04,1659,1659,1525,1525,33980,192968.0,8500800.0
