STX(011810),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,50863,58195,47142,52871,474060,25891.0,11876639.0
1999-01-05,53324,58528,48534,58542,575280,28623.0,11876639.0
1999-01-06,60587,60587,57121,60199,472160,29395.0,11876639.0
1999-01-07,59822,68881,57962,65696,1418320,32126.0,11876639.0
1999-01-08,62862,65258,60467,62206,480180,30404.0,11876639.0
1999-01-11,64002,67869,63066,65609,444240,32067.0,11876639.0
1999-01-12,69996,69996,63066,65609,548180,32067.0,11876639.0
1999-01-13,69193,75455,65461,75467,1097400,36877.0,11876639.0
1999-01-14,75399,75399,64066,64213,980620,31354.0,11876639.0
1999-01-15,64183,70299,63916,68052,685740,33255.0,11876639.0
1999-01-18,76915,78119,73316,77998,1485760,38124.0,11876639.0
1999-01-19,77262,82455,67802,74333,1135780,36343.0,11876639.0
1999-01-20,74075,79680,70488,73286,920760,35867.0,11876639.0
1999-01-21,72882,72882,65294,65696,723160,32126.0,11876639.0
1999-01-22,62985,65514,59520,63253,691240,30939.0,11876639.0
1999-01-25,63164,65304,57036,62642,450640,30642.0,11876639.0
1999-01-26,62915,66514,60920,61857,753540,30285.0,11876639.0
1999-01-27,61849,63843,58250,59589,354680,29157.0,11876639.0
1999-01-28,61914,63118,60710,60723,498300,29692.0,11876639.0
1999-01-29,58716,62315,58315,60723,502420,29692.0,11876639.0
1999-02-01,63421,63688,61159,63166,583160,30879.0,11876639.0
1999-02-02,62862,63665,60467,62206,373400,30404.0,11876639.0
1999-02-03,61163,61163,58233,58367,359360,28563.0,11876639.0
1999-02-04,59872,60675,57076,58280,316840,28504.0,11876639.0
1999-02-05,60510,60510,56911,57059,222000,27910.0,11876639.0
1999-02-08,61076,61076,58012,58280,230300,28504.0,11876639.0
1999-02-09,53497,56963,49619,50166,231700,24585.0,11876639.0
1999-02-10,46008,53073,46008,51213,197260,25060.0,11876639.0
1999-02-11,52207,56474,52207,54616,170680,26722.0,11876639.0
1999-02-12,54353,57016,54353,56361,139740,27554.0,11876639.0
1999-02-18,55602,56271,48538,51213,146480,25060.0,11876639.0
1999-02-19,50191,56585,49656,55663,444880,27198.0,11876639.0
1999-02-22,55743,56010,52142,53482,191680,26129.0,11876639.0
1999-02-23,49683,55410,48747,49817,158520,24347.0,11876639.0
1999-02-24,48978,53100,48978,49381,157500,24110.0,11876639.0
1999-02-25,48960,50832,46418,47636,200260,23278.0,11876639.0
1999-02-26,46391,49990,46391,49992,169200,24466.0,11876639.0
1999-03-02,50770,51974,48374,48509,246460,23753.0,11876639.0
1999-03-03,51234,51757,48170,49643,185820,24228.0,11876639.0
1999-03-04,48844,50170,48577,49381,132540,24110.0,11876639.0
1999-03-05,49240,49374,48572,49119,187460,23991.0,11876639.0
1999-03-08,50887,54352,50084,54354,416040,26604.0,11876639.0
1999-03-09,52672,53608,50143,51213,348740,25060.0,11876639.0
1999-03-10,50148,52678,49881,50951,139120,24941.0,11876639.0
1999-03-11,52394,58121,50922,56797,634700,27791.0,11876639.0
1999-03-12,65079,65213,63206,65347,565380,31948.0,11876639.0
1999-03-15,72590,72590,60467,62206,1551800,30404.0,11876639.0
1999-03-16,59705,60775,57176,60374,533680,29513.0,11876639.0
1999-03-17,60655,62261,56121,56535,527220,27673.0,11876639.0
1999-03-18,50858,56450,50858,53133,376100,26010.0,11876639.0
1999-03-19,55051,57847,55051,57059,341500,27910.0,11876639.0
1999-03-22,52173,56695,52173,54180,234040,26485.0,11876639.0
1999-03-23,51939,56207,51939,54616,225500,26722.0,11876639.0
1999-03-24,54829,57893,54829,54965,238080,26841.0,11876639.0
1999-03-25,52608,56997,52608,54616,244580,26722.0,11876639.0
1999-03-26,52980,55509,52980,53918,136260,26366.0,11876639.0
1999-03-29,52945,54685,51607,53482,196140,26129.0,11876639.0
1999-03-30,53074,55336,53074,53743,121580,26307.0,11876639.0
1999-03-31,52975,54834,52975,54180,186140,26485.0,11876639.0
1999-04-01,53882,54685,52945,53482,260860,26129.0,11876639.0
1999-04-02,53352,53352,51881,52696,345120,25772.0,11876639.0
1999-04-06,51905,56172,49510,54180,382680,26485.0,11876639.0
1999-04-07,57016,58219,55824,56361,565860,27554.0,11876639.0
1999-04-08,54725,56999,54336,55139,201820,26960.0,11876639.0
1999-04-09,55207,56946,54539,56012,397180,27376.0,11876639.0
1999-04-12,63039,63039,55975,57059,370740,27910.0,11876639.0
1999-04-13,55117,64577,55117,60723,1029920,29692.0,11876639.0
1999-04-14,62966,62966,58162,59502,394080,29098.0,11876639.0
1999-04-15,59308,60500,55709,57582,446940,28148.0,11876639.0
1999-04-16,55811,58341,53550,54354,412140,26604.0,11876639.0
1999-04-19,53282,56480,53282,54354,354060,26604.0,11876639.0
1999-04-20,55639,61633,55639,59240,647260,28979.0,11876639.0
1999-04-21,58463,59254,55266,55401,510500,27079.0,11876639.0
1999-04-22,55168,57965,54633,55837,200040,27316.0,11876639.0
1999-04-23,55667,57393,54998,55401,303840,27079.0,11876639.0
1999-04-26,55271,57131,53666,54616,374220,26722.0,11876639.0
1999-04-27,54457,55649,53253,55663,609380,27198.0,11876639.0
1999-04-28,55786,62850,55652,60723,935500,29692.0,11876639.0
1999-04-29,60802,64535,58528,58542,960380,28623.0,11876639.0
1999-04-30,60577,61379,58315,60723,518140,29692.0,11876639.0
1999-05-03,61079,69883,61079,69884,1373580,34145.0,11876639.0
1999-05-04,75180,75447,67982,69186,1749500,33848.0,11876639.0
1999-05-06,70130,79468,69072,79481,1554900,38896.0,11876639.0
1999-05-07,80381,91446,79179,83058,2405780,40618.0,11876639.0
1999-05-10,83011,92872,81540,87682,1476300,42875.0,11876639.0
1999-05-11,87191,91994,80126,82534,824060,40381.0,11876639.0
1999-05-12,79194,82526,72797,77736,830060,38005.0,11876639.0
1999-05-13,77870,88535,75463,84803,1521920,41449.0,11876639.0
1999-05-14,89097,97220,88562,97366,1589840,47625.0,11876639.0
1999-05-17,104289,106149,94561,97104,3954680,47507.0,11876639.0
1999-05-18,95015,111806,95015,111674,2750300,54633.0,11876639.0
1999-05-19,116157,123611,111354,116560,4145840,57008.0,11876639.0
1999-05-20,111835,116503,104369,109319,2108380,53445.0,11876639.0
1999-05-21,111904,125498,110178,125634,2861360,61402.0,11876639.0
1999-05-24,122754,129819,121149,124761,2115020,61046.0,11876639.0
1999-05-25,128098,134494,119562,124500,1831600,60927.0,11876639.0
1999-05-26,128180,128448,119121,126855,1640440,61996.0,11876639.0
1999-05-27,127785,135919,124319,126593,1788040,61877.0,11876639.0
1999-05-28,123611,129472,116157,116560,1355100,57008.0,11876639.0
