화승엔터프라이즈(241590),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-10-04,6749,8000,6075,7475,4562896,402596.0,26929479.0
2016-10-05,7400,7750,7225,7550,1095269,406635.0,26929479.0
2016-10-06,7550,7975,7024,7650,866798,412021.0,26929479.0
2016-10-07,7550,7750,7250,7250,335463,390477.0,26929479.0
2016-10-10,7200,8100,7150,7250,597020,390477.0,26929479.0
2016-10-11,7275,7700,7200,7500,252425,403942.0,26929479.0
2016-10-12,7375,7700,7324,7650,156469,412021.0,26929479.0
2016-10-13,7650,7650,7400,7575,95647,407982.0,26929479.0
2016-10-14,7500,7800,7474,7750,96745,417407.0,26929479.0
2016-10-17,7700,7800,7250,7275,174759,391824.0,26929479.0
2016-10-18,7274,7450,6900,7350,167770,395863.0,26929479.0
2016-10-19,7300,7400,7075,7250,51375,390477.0,26929479.0
2016-10-20,7250,7900,7200,7350,513018,395863.0,26929479.0
2016-10-21,7375,7700,7375,7700,166240,414714.0,26929479.0
2016-10-24,7650,7800,7600,7775,124228,418753.0,26929479.0
2016-10-25,7800,7800,7450,7550,65990,406635.0,26929479.0
2016-10-26,7625,7825,7525,7675,160565,413368.0,26929479.0
2016-10-27,7650,7900,7450,7750,130313,417407.0,26929479.0
2016-10-28,7625,7875,7525,7700,80731,414714.0,26929479.0
2016-10-31,7600,7725,7425,7500,41387,403942.0,26929479.0
2016-11-01,7575,7725,7375,7725,71745,416060.0,26929479.0
2016-11-02,7700,7825,7500,7575,94654,407982.0,26929479.0
2016-11-03,7475,7625,7275,7525,117287,405289.0,26929479.0
2016-11-04,7574,7574,7350,7350,33919,395863.0,26929479.0
2016-11-07,7400,7500,7325,7325,26951,394517.0,26929479.0
2016-11-08,7350,7500,7224,7450,67874,401249.0,26929479.0
2016-11-09,7475,7475,6900,7400,86837,398556.0,26929479.0
2016-11-10,7300,7375,6725,6800,335735,366241.0,26929479.0
2016-11-11,6900,6900,6525,6525,138693,351430.0,26929479.0
2016-11-14,6574,6850,6525,6750,191212,363548.0,26929479.0
2016-11-15,6900,7274,6750,7150,208458,385092.0,26929479.0
2016-11-16,7250,7575,7200,7375,168700,397210.0,26929479.0
2016-11-17,7325,7500,7300,7400,259759,398556.0,26929479.0
2016-11-18,7400,7450,7150,7250,83476,390477.0,26929479.0
2016-11-21,7250,7450,7174,7350,44476,395863.0,26929479.0
2016-11-22,7325,7500,7075,7225,101980,389131.0,26929479.0
2016-11-23,7175,7225,7100,7125,50960,383745.0,26929479.0
2016-11-24,7125,7300,7049,7125,25979,383745.0,26929479.0
2016-11-25,7225,7225,7050,7200,50493,387784.0,26929479.0
2016-11-28,7175,7524,7175,7450,48891,401249.0,26929479.0
2016-11-29,7449,7449,7200,7325,108863,394517.0,26929479.0
2016-11-30,7400,7500,7225,7500,33104,403942.0,26929479.0
2016-12-01,7524,7550,7124,7450,42275,401249.0,26929479.0
2016-12-02,7500,7500,7225,7225,18462,389131.0,26929479.0
2016-12-05,7250,7450,7125,7350,23254,395863.0,26929479.0
2016-12-06,7250,7475,7225,7275,9739,391824.0,26929479.0
2016-12-07,7225,7450,7150,7350,25903,395863.0,26929479.0
2016-12-08,7325,7525,7275,7425,28562,399903.0,26929479.0
2016-12-09,7550,8300,7475,7625,308935,410675.0,26929479.0
2016-12-12,7750,7825,7550,7725,67934,416060.0,26929479.0
2016-12-13,7600,7750,7400,7700,784072,414714.0,26929479.0
2016-12-14,7700,7700,7474,7550,121055,406635.0,26929479.0
2016-12-15,7525,7550,7300,7350,170375,395863.0,26929479.0
2016-12-16,7349,7425,7250,7375,49424,397210.0,26929479.0
2016-12-19,7350,7425,7125,7400,85676,398556.0,26929479.0
2016-12-20,7274,7450,7274,7350,48812,395863.0,26929479.0
2016-12-21,7300,7449,7249,7425,45359,399903.0,26929479.0
2016-12-22,7425,7475,7300,7475,31469,402596.0,26929479.0
2016-12-23,7450,7550,7375,7450,50380,401249.0,26929479.0
2016-12-26,7400,7600,7325,7600,46965,409328.0,26929479.0
2016-12-27,7475,7600,7449,7525,35033,405289.0,26929479.0
2016-12-28,7425,7650,7425,7575,56148,407982.0,26929479.0
2016-12-29,7575,7700,7500,7650,39250,412021.0,26929479.0
2017-01-02,7650,7650,7450,7600,25404,409328.0,26929479.0
2017-01-03,7524,7775,7524,7650,43492,412021.0,26929479.0
2017-01-04,7624,7724,7524,7650,57658,412021.0,26929479.0
2017-01-05,7575,7600,7500,7500,47137,403942.0,26929479.0
2017-01-06,7500,7500,7275,7300,47616,393170.0,26929479.0
2017-01-09,7250,7325,7225,7275,36763,391824.0,26929479.0
2017-01-10,7250,7325,7050,7175,62814,386438.0,26929479.0
2017-01-11,7100,7150,6950,7000,102601,377013.0,26929479.0
2017-01-12,6950,7075,6650,6850,132494,368934.0,26929479.0
2017-01-13,6850,7100,6750,6900,100755,371627.0,26929479.0
2017-01-16,6900,7025,6800,6825,36335,367587.0,26929479.0
2017-01-17,6850,7250,6825,7100,115530,382399.0,26929479.0
2017-01-18,7100,7475,7100,7375,301597,397210.0,26929479.0
2017-01-19,7350,7400,7224,7250,68995,390477.0,26929479.0
2017-01-20,7250,7474,7174,7350,116220,395863.0,26929479.0
2017-01-23,7300,7474,7150,7350,72250,395863.0,26929479.0
2017-01-24,7350,7475,7175,7200,64767,387784.0,26929479.0
2017-01-25,7200,7450,7200,7375,62906,397210.0,26929479.0
2017-01-26,7500,7550,7225,7500,100999,403942.0,26929479.0
2017-01-31,7500,7500,7000,7300,283083,393170.0,26929479.0
2017-02-01,7300,7725,7250,7700,341255,414714.0,26929479.0
2017-02-02,7700,7725,7500,7575,159040,407982.0,26929479.0
2017-02-03,7500,7825,7400,7800,219105,420100.0,26929479.0
2017-02-06,7675,8275,7550,8100,382847,436258.0,26929479.0
2017-02-07,8000,8049,7625,7825,162538,421446.0,26929479.0
2017-02-08,7825,8100,7700,7975,276434,429525.0,26929479.0
2017-02-09,7875,8075,7750,8025,138570,432218.0,26929479.0
2017-02-10,8025,8425,7925,8250,323225,444336.0,26929479.0
2017-02-13,8250,8350,7950,8275,102379,445683.0,26929479.0
2017-02-14,8250,8550,8125,8225,140999,442990.0,26929479.0
2017-02-15,8225,8400,7925,8000,122128,430872.0,26929479.0
2017-02-16,8025,8050,7725,7800,122464,420100.0,26929479.0
2017-02-17,7800,8175,7775,8050,73326,433565.0,26929479.0
2017-02-20,8200,8250,7875,8075,81575,434911.0,26929479.0
2017-02-21,8000,8375,8000,8225,93785,442990.0,26929479.0
2017-02-22,8325,8600,8250,8425,113196,453762.0,26929479.0
2017-02-23,8525,8575,8350,8425,93464,453762.0,26929479.0
2017-02-24,8400,8549,7950,7950,90031,428179.0,26929479.0
2017-02-27,7950,8225,7750,8100,47449,436258.0,26929479.0
2017-02-28,8400,8450,8100,8300,226373,447029.0,26929479.0
2017-03-02,8475,8475,8174,8300,51921,447029.0,26929479.0
2017-03-03,8275,8325,7950,8125,80605,437604.0,26929479.0
2017-03-06,8125,8400,7900,8275,79542,445683.0,26929479.0
2017-03-07,8250,8500,8049,8450,78136,455108.0,26929479.0
2017-03-08,8425,8425,8200,8400,44353,452415.0,26929479.0
2017-03-09,8700,9100,8525,8625,210146,464534.0,26929479.0
