삼성카드(029780),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-06-27,62200,63200,58300,61200,6559871,6759429.0,110448180.0
2007-06-28,60500,60800,57700,58000,1761128,6405994.0,110448180.0
2007-06-29,58000,59800,56600,56800,1161880,6338275.0,111589351.0
2007-07-02,56500,57500,56200,57000,605419,6360593.0,111589351.0
2007-07-03,57600,59800,57000,59700,1067955,6661884.0,111589351.0
2007-07-04,60400,60500,59300,59500,606237,6639566.0,111589351.0
2007-07-05,58700,59200,58200,58800,570849,6645062.0,113011256.0
2007-07-06,59000,59300,57700,57700,508565,6520749.0,113011256.0
2007-07-09,57500,58400,57500,58000,451870,6554653.0,113011256.0
2007-07-10,58300,59000,58000,58100,529867,6565954.0,113011256.0
2007-07-11,58100,58800,58000,58800,391310,6645062.0,113011256.0
2007-07-12,58800,62000,58500,62000,1260237,7006698.0,113011256.0
2007-07-13,63000,65500,61300,65000,2134277,7345732.0,113011256.0
2007-07-16,65400,68100,64000,66400,1212094,7503947.0,113011256.0
2007-07-18,66400,68100,65600,66900,1038298,7560453.0,113011256.0
2007-07-19,66900,68000,66200,68000,523756,7684765.0,113011256.0
2007-07-20,68200,68400,66700,67900,484453,7737419.0,113953148.0
2007-07-23,67800,67900,66200,67700,378322,7714628.0,113953148.0
2007-07-24,67300,67600,66000,66200,402467,7543698.0,113953148.0
2007-07-25,65200,66200,64100,64700,590451,7372769.0,113953148.0
2007-07-26,65000,65900,62800,63600,489630,7264055.0,114214694.0
2007-07-27,61500,62500,60100,61700,504882,7047047.0,114214694.0
2007-07-30,60800,62100,60300,61700,318672,7047047.0,114214694.0
2007-07-31,62200,66900,62000,66900,589377,7640963.0,114214694.0
2007-08-01,65600,66000,62600,63100,359886,7206947.0,114214694.0
2007-08-02,64200,64500,60500,62300,409772,7219454.0,115882093.0
2007-08-03,63500,63600,61400,61800,330542,7161513.0,115882093.0
2007-08-06,60300,62800,60300,61700,263706,7149925.0,115882093.0
2007-08-07,62500,62700,61100,61400,238743,7115161.0,115882093.0
2007-08-08,61800,62900,61300,62800,433847,7277395.0,115882093.0
2007-08-09,63600,63600,61500,61900,239450,7173102.0,115882093.0
2007-08-10,60600,61000,59100,59700,295459,6918161.0,115882093.0
2007-08-13,59800,59900,57800,58600,290282,6790691.0,115882093.0
2007-08-14,58600,59500,57500,58400,198740,6767514.0,115882093.0
2007-08-16,55900,55900,53000,54200,636446,6280809.0,115882093.0
2007-08-17,54500,55000,52000,52000,419749,6038541.0,116125796.0
2007-08-20,53500,55600,53300,55000,222529,6386919.0,116125796.0
2007-08-21,55300,55400,53800,53900,196233,6259180.0,116125796.0
2007-08-22,54300,55100,53900,55100,215969,6398531.0,116125796.0
2007-08-23,56300,57400,55900,57200,222411,6642396.0,116125796.0
2007-08-24,56900,57200,55800,57200,99427,6642396.0,116125796.0
2007-08-27,58200,58500,55400,56000,189409,6503045.0,116125796.0
2007-08-28,55400,56300,54800,55600,150396,6456594.0,116125796.0
2007-08-29,53400,55200,53200,55000,377098,6386919.0,116125796.0
2007-08-30,55500,57500,55500,57300,346507,6657502.0,116186773.0
2007-08-31,56800,57800,56700,57600,206368,6692358.0,116186773.0
2007-09-03,57800,58500,57500,58500,148795,6796926.0,116186773.0
2007-09-04,58300,59200,57200,57200,104149,6645883.0,116186773.0
2007-09-05,57800,57900,57100,57400,162479,6669121.0,116186773.0
2007-09-06,56900,57200,56000,56400,149504,6552934.0,116186773.0
2007-09-07,56700,56900,55700,56000,157393,6506459.0,116186773.0
2007-09-10,54800,55100,54000,54500,183951,6332179.0,116186773.0
2007-09-11,54700,54900,53100,53800,243300,6250848.0,116186773.0
2007-09-12,54100,54400,53600,53700,105313,6239230.0,116186773.0
2007-09-13,53300,54300,53100,54300,179978,6312082.0,116244607.0
2007-09-14,54700,54700,53300,53300,258121,6195838.0,116244607.0
2007-09-17,53600,55200,53500,55200,205565,6416702.0,116244607.0
2007-09-18,55400,56100,54500,55500,172476,6451576.0,116244607.0
2007-09-19,56600,57600,56200,57000,384351,6625943.0,116244607.0
2007-09-20,56000,56400,54200,54400,357752,6323707.0,116244607.0
2007-09-21,54500,56200,54200,56200,219063,6532947.0,116244607.0
2007-09-27,56800,57000,55600,56700,254613,6591069.0,116244607.0
2007-09-28,57100,57200,55900,56500,145710,6567820.0,116244607.0
2007-10-01,56800,56800,55100,55500,224051,6451576.0,116244607.0
2007-10-02,56400,57900,56100,57200,542217,6650918.0,116274798.0
2007-10-04,57000,58700,56800,58700,562953,6825331.0,116274798.0
2007-10-05,58700,60600,58700,60600,604122,7046253.0,116274798.0
2007-10-08,61100,61300,59900,60400,531584,7022998.0,116274798.0
2007-10-09,60500,60500,59400,60000,271325,6976488.0,116274798.0
2007-10-10,60700,61000,60200,60800,300761,7069508.0,116274798.0
2007-10-11,60800,62200,60100,61500,492726,7153721.0,116320659.0
2007-10-12,61000,61300,59700,60100,556076,6990872.0,116320659.0
2007-10-15,61200,64700,61000,64000,1058335,7444522.0,116320659.0
2007-10-16,63500,64600,61000,61000,583676,7095560.0,116320659.0
2007-10-17,61700,62500,60100,61800,519807,7188617.0,116320659.0
2007-10-18,61900,65200,61900,64900,794433,7549211.0,116320659.0
2007-10-19,65800,66200,63400,63600,841072,7397994.0,116320659.0
2007-10-22,59100,62400,59000,62000,392732,7211881.0,116320659.0
2007-10-23,63000,64400,62300,63200,352945,7351466.0,116320659.0
2007-10-24,63700,63800,60600,60600,397837,7049032.0,116320659.0
2007-10-25,61900,62000,58800,60600,369152,7105277.0,117248798.0
2007-10-26,60800,62300,59300,61000,349374,7152177.0,117248798.0
2007-10-29,62000,65000,61300,64500,782485,7562547.0,117248798.0
2007-10-30,64800,64900,62500,63600,463194,7457024.0,117248798.0
2007-10-31,63500,64400,61800,62100,465377,7281150.0,117248798.0
2007-11-01,61900,62100,59100,59100,752732,6929404.0,117248798.0
2007-11-02,57700,58600,57000,57700,450280,6765256.0,117248798.0
2007-11-05,57800,60100,57400,59700,299756,6999753.0,117248798.0
2007-11-06,59700,61200,59600,61000,306581,7152177.0,117248798.0
2007-11-07,61400,61900,58900,59700,314222,6999753.0,117248798.0
2007-11-08,59000,59100,57500,57500,236682,6759256.0,117552270.0
2007-11-09,57500,58100,54600,56100,505775,6594682.0,117552270.0
2007-11-12,55200,55600,53900,54500,228427,6406599.0,117552270.0
2007-11-13,54800,55900,54300,55900,135130,6571172.0,117552270.0
2007-11-14,57200,57200,54800,55000,181993,6465375.0,117552270.0
2007-11-15,54600,55700,54500,55700,155699,6547661.0,117552270.0
2007-11-16,55500,55700,54600,55300,107090,6500641.0,117552270.0
2007-11-19,55100,56000,54800,54800,114382,6441864.0,117552270.0
2007-11-20,54300,55800,54000,55000,554283,6465375.0,117552270.0
2007-11-21,54800,55300,52800,53000,359830,6230270.0,117552270.0
2007-11-22,52100,52700,50700,51700,269001,6082726.0,117654269.0
2007-11-23,51200,52200,50500,50500,306371,5941541.0,117654269.0
2007-11-26,51000,54000,50000,54000,395285,6353331.0,117654269.0
2007-11-27,52200,53200,49950,52900,364849,6223911.0,117654269.0
