핸즈코퍼레이션(143210),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-12-02,10695,10695,8962,9012,3296161,196986.0,21646800.0
2016-12-05,9061,9427,8962,9170,725433,200449.0,21646800.0
2016-12-06,9170,9309,9051,9061,364534,198068.0,21646800.0
2016-12-07,9091,9309,8110,8180,930801,178803.0,21646800.0
2016-12-08,8259,8467,7813,8180,483530,178803.0,21646800.0
2016-12-09,8090,8467,8061,8388,363140,183348.0,21646800.0
2016-12-12,8397,8853,8397,8715,257848,190492.0,21646800.0
2016-12-13,8744,9091,8586,9012,240538,196986.0,21646800.0
2016-12-14,9101,9804,9041,9487,612167,207376.0,21646800.0
2016-12-15,9457,9873,9219,9685,302328,211706.0,21646800.0
2016-12-16,9804,9833,9497,9507,237399,207809.0,21646800.0
2016-12-19,9576,9596,9299,9448,180514,206510.0,21646800.0
2016-12-20,9378,9447,9170,9210,166133,201315.0,21646800.0
2016-12-21,9318,9318,9061,9061,106487,198068.0,21646800.0
2016-12-22,9150,9160,8903,8972,85413,196120.0,21646800.0
2016-12-23,8942,9259,8942,9101,57186,198934.0,21646800.0
2016-12-26,9180,9190,8962,8972,54565,196120.0,21646800.0
2016-12-27,9061,9289,9021,9210,103817,201315.0,21646800.0
2016-12-28,9150,9490,9070,9350,106898,202398.0,21646800.0
2016-12-29,9350,9390,9100,9260,78790,200449.0,21646800.0
2017-01-02,9270,9400,9150,9240,46361,200016.0,21646800.0
2017-01-03,9180,9400,9100,9310,164727,201532.0,21646800.0
2017-01-04,9320,10350,9320,10150,1166728,219715.0,21646800.0
2017-01-05,10300,10500,10050,10400,344903,225127.0,21646800.0
2017-01-06,10400,10550,9960,10100,266537,218633.0,21646800.0
2017-01-09,10000,10950,9960,10500,383725,227291.0,21646800.0
2017-01-10,10600,10800,10200,10250,228016,221880.0,21646800.0
2017-01-11,10250,10400,10000,10300,120100,222962.0,21646800.0
2017-01-12,10600,11550,10400,11000,646593,238115.0,21646800.0
2017-01-13,10950,11200,10750,10900,164478,235950.0,21646800.0
2017-01-16,11050,11150,10400,10550,145864,228374.0,21646800.0
2017-01-17,10550,10800,10450,10450,95233,226209.0,21646800.0
2017-01-18,10450,11250,10400,11250,350125,243526.0,21646800.0
2017-01-19,11300,11500,11050,11300,168497,244609.0,21646800.0
2017-01-20,11200,11450,11000,11250,184296,243526.0,21646800.0
2017-01-23,11150,11350,10850,10850,178833,234868.0,21646800.0
2017-01-24,10850,11250,10550,10900,141221,235950.0,21646800.0
2017-01-25,11100,11200,10750,11000,83563,238115.0,21646800.0
2017-01-26,11200,11650,11000,11100,253390,240279.0,21646800.0
2017-01-31,11050,11400,10750,11000,124066,238115.0,21646800.0
2017-02-01,10950,11000,10500,10550,160916,228374.0,21646800.0
2017-02-02,10650,10700,10050,10200,114321,220797.0,21646800.0
2017-02-03,10100,10550,10100,10250,60156,221880.0,21646800.0
2017-02-06,10150,10350,9950,10150,63252,219715.0,21646800.0
2017-02-07,10150,10500,10100,10300,53869,222962.0,21646800.0
2017-02-08,10400,10400,10000,10200,45927,220797.0,21646800.0
2017-02-09,10250,10250,10050,10200,31557,220797.0,21646800.0
2017-02-10,10300,10300,10000,10150,44563,219715.0,21646800.0
2017-02-13,10250,10300,10100,10300,37191,222962.0,21646800.0
2017-02-14,10500,11000,10150,10700,270020,231621.0,21646800.0
2017-02-15,10600,10700,10250,10300,112326,222962.0,21646800.0
2017-02-16,10300,10300,9940,10000,148143,216468.0,21646800.0
2017-02-17,10000,10150,9990,10050,61025,217550.0,21646800.0
2017-02-20,10050,10250,10050,10100,26272,218633.0,21646800.0
2017-02-21,10100,10250,9970,10050,103356,217550.0,21646800.0
2017-02-22,10150,10150,9760,9770,104923,211489.0,21646800.0
2017-02-23,9710,9850,9530,9600,86488,207809.0,21646800.0
2017-02-24,9580,9850,9430,9590,104106,207593.0,21646800.0
2017-02-27,9550,9620,9400,9500,52398,205645.0,21646800.0
2017-02-28,9450,9850,9430,9620,73233,208242.0,21646800.0
2017-03-02,9730,9730,9500,9510,43227,205861.0,21646800.0
2017-03-03,9510,9680,9460,9530,39759,206294.0,21646800.0
2017-03-06,9450,9640,9400,9570,36711,207160.0,21646800.0
2017-03-07,9600,9600,9390,9460,39582,204779.0,21646800.0
2017-03-08,9450,9570,9410,9430,30762,204129.0,21646800.0
2017-03-09,9340,9430,9250,9330,48495,201965.0,21646800.0
2017-03-10,9250,9600,9190,9480,58009,205212.0,21646800.0
2017-03-13,9650,9730,9490,9630,59413,208459.0,21646800.0
2017-03-14,9600,10300,9510,10050,239462,217550.0,21646800.0
2017-03-15,10250,10250,9800,9900,73040,214303.0,21646800.0
2017-03-16,10000,10150,9800,10000,87443,216468.0,21646800.0
2017-03-17,10150,10200,9980,10050,63582,217550.0,21646800.0
2017-03-20,10050,10050,9900,9960,44262,215602.0,21646800.0
2017-03-21,9950,10100,9900,10000,57417,216468.0,21646800.0
2017-03-22,9970,9990,9650,9750,65400,211056.0,21646800.0
2017-03-23,9930,9950,9760,9760,14076,211273.0,21646800.0
2017-03-24,9930,9930,9610,9810,28394,212355.0,21646800.0
2017-03-27,9690,9860,9420,9450,55290,204562.0,21646800.0
2017-03-28,9470,9760,9450,9500,19249,205645.0,21646800.0
2017-03-29,9600,9600,9450,9500,42603,205645.0,21646800.0
2017-03-30,9660,9660,9360,9400,53267,203480.0,21646800.0
2017-03-31,9390,9630,9300,9590,51713,207593.0,21646800.0
2017-04-03,9600,9600,9460,9550,9127,206727.0,21646800.0
2017-04-04,9550,9550,9380,9410,46798,203696.0,21646800.0
2017-04-05,9320,9500,9230,9300,63807,201315.0,21646800.0
2017-04-06,9200,9300,9080,9170,94262,198501.0,21646800.0
2017-04-07,9180,9180,9040,9100,47523,196986.0,21646800.0
2017-04-10,9140,9140,8900,9040,47910,195687.0,21646800.0
2017-04-11,8980,9080,8870,8910,40711,192873.0,21646800.0
2017-04-12,8900,8970,8680,8770,65070,189842.0,21646800.0
2017-04-13,8800,8950,8770,8950,29809,193739.0,21646800.0
2017-04-14,9000,9050,8860,9010,36752,195038.0,21646800.0
2017-04-17,9080,9270,8980,9200,35565,199151.0,21646800.0
2017-04-18,9150,9220,9010,9100,41284,196986.0,21646800.0
2017-04-19,9090,9180,8980,9020,34116,195254.0,21646800.0
2017-04-20,9060,9270,9000,9260,25129,200449.0,21646800.0
2017-04-21,9350,9350,9110,9140,52988,197852.0,21646800.0
2017-04-24,9140,9140,8970,9060,38566,196120.0,21646800.0
2017-04-25,8940,9070,8910,9060,57553,196120.0,21646800.0
2017-04-26,9000,9180,8990,9060,54394,198081.0,21863268.0
2017-04-27,9100,9100,8980,9010,33961,196988.0,21863268.0
2017-04-28,9090,9090,8970,9000,35364,196769.0,21863268.0
2017-05-02,9000,9040,8880,9040,25888,197644.0,21863268.0
2017-05-04,9000,9170,9000,9070,37639,198300.0,21863268.0
2017-05-08,9140,9140,8950,8990,42543,196551.0,21863268.0
2017-05-10,8980,9040,8920,8990,29713,196551.0,21863268.0
2017-05-11,8980,9250,8980,9160,66634,200268.0,21863268.0
2017-05-12,9150,9210,9000,9030,54920,197425.0,21863268.0
2017-05-15,8970,9020,8840,8910,74986,194802.0,21863268.0
2017-05-16,8950,9000,8770,8820,57775,192834.0,21863268.0
2017-05-17,8800,9200,8800,8950,44837,195676.0,21863268.0
2017-05-18,8930,9150,8850,9150,45140,200049.0,21863268.0
2017-05-19,9150,9150,9040,9140,21889,199830.0,21863268.0
2017-05-22,9090,9150,9090,9140,27171,199830.0,21863268.0
2017-05-23,9080,9150,9010,9120,28722,199393.0,21863268.0
2017-05-24,9120,9170,9040,9120,40948,199393.0,21863268.0
2017-05-25,9100,9180,9070,9130,27993,199612.0,21863268.0
2017-05-26,9140,9170,9080,9090,35269,198737.0,21863268.0
2017-05-29,9090,9140,9030,9060,24840,198081.0,21863268.0
2017-05-30,9080,9080,8980,9060,43849,198081.0,21863268.0
2017-05-31,9020,9100,9000,9050,34744,197863.0,21863268.0
2017-06-01,9050,9190,9010,9180,33399,200705.0,21863268.0
2017-06-02,9200,10100,9200,9680,398827,211636.0,21863268.0
2017-06-05,9690,9880,9650,9700,140844,212074.0,21863268.0
2017-06-07,9780,9780,9450,9560,98302,209013.0,21863268.0
2017-06-08,9600,9600,9460,9500,43003,207701.0,21863268.0
2017-06-09,9550,9550,9330,9350,64777,204422.0,21863268.0
2017-06-12,9350,9590,9310,9340,30624,204203.0,21863268.0
2017-06-13,9350,9490,9320,9360,24691,204640.0,21863268.0
2017-06-14,9460,9460,9340,9420,37230,205952.0,21863268.0
2017-06-15,9460,9460,9330,9430,29065,206171.0,21863268.0
2017-06-16,9450,9490,9260,9330,56223,203984.0,21863268.0
2017-06-19,9290,9390,9200,9330,31848,203984.0,21863268.0
2017-06-20,9410,9410,9100,9210,55171,201361.0,21863268.0
2017-06-21,9300,9300,9090,9200,25515,201142.0,21863268.0
2017-06-22,9270,9270,9000,9150,37294,200049.0,21863268.0
2017-06-23,9190,9200,9080,9150,25721,200049.0,21863268.0
2017-06-26,9200,9290,9100,9150,43856,200049.0,21863268.0
2017-06-27,9230,9230,9060,9070,39946,198300.0,21863268.0
2017-06-28,9110,9140,9020,9120,25157,199393.0,21863268.0
2017-06-29,9140,9190,9050,9190,16880,200923.0,21863268.0
2017-06-30,9140,9210,9100,9200,31999,201142.0,21863268.0
2017-07-03,9290,9360,9160,9180,49536,200705.0,21863268.0
2017-07-04,9230,9250,9050,9060,37155,198081.0,21863268.0
2017-07-05,9060,9130,9010,9060,42665,198081.0,21863268.0
2017-07-06,9120,9120,8940,8960,80412,195895.0,21863268.0
2017-07-07,8960,9000,8910,8940,33100,195458.0,21863268.0
2017-07-10,9000,9000,8830,8910,24397,194802.0,21863268.0
2017-07-11,9000,9000,8860,8920,20140,195020.0,21863268.0
2017-07-12,8880,9060,8880,8980,27340,196332.0,21863268.0
2017-07-13,9000,9120,8920,9070,40125,198300.0,21863268.0
2017-07-14,9140,9140,8950,9040,22615,197644.0,21863268.0
2017-07-17,9090,9090,8960,9000,28131,196769.0,21863268.0
2017-07-18,9070,9080,8860,9030,53646,197425.0,21863268.0
2017-07-19,9050,9050,8900,9020,17746,197207.0,21863268.0
2017-07-20,9010,9030,8920,9020,12864,197207.0,21863268.0
2017-07-21,9040,9070,8940,9000,19993,196769.0,21863268.0
2017-07-24,9100,9100,8870,8900,31471,194583.0,21863268.0
2017-07-25,8980,8980,8840,8870,45407,193927.0,21863268.0
2017-07-26,8840,8920,8650,8760,96967,191522.0,21863268.0
2017-07-27,8860,8860,8670,8690,29720,189992.0,21863268.0
2017-07-28,8780,8780,8540,8580,44230,187587.0,21863268.0
2017-07-31,8670,8670,8330,8510,41842,186056.0,21863268.0
2017-08-01,8630,8630,8410,8600,19447,188024.0,21863268.0
2017-08-02,8650,8650,8470,8540,16998,186712.0,21863268.0
2017-08-03,8620,8620,8370,8500,23227,185838.0,21863268.0
2017-08-04,8580,8580,8350,8490,29956,185619.0,21863268.0
2017-08-07,8540,8540,8410,8450,9967,184745.0,21863268.0
2017-08-08,8490,8490,8350,8440,17356,184526.0,21863268.0
2017-08-09,8490,8490,8330,8330,16493,182121.0,21863268.0
2017-08-10,8330,8330,8080,8330,42652,182121.0,21863268.0
2017-08-11,8330,8330,8060,8200,23106,179279.0,21863268.0
2017-08-14,8250,8350,8010,8070,39097,176437.0,21863268.0
2017-08-16,8120,8200,8000,8180,21869,178842.0,21863268.0
2017-08-17,8180,8290,8010,8290,10942,181246.0,21863268.0
