테이팩스(055490),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-10-31,26600,33550,24300,27000,6886323,127377.0,4717650.0
2017-11-01,28500,30500,27150,27900,1617389,131622.0,4717650.0
2017-11-02,27900,28450,25350,25400,702491,119828.0,4717650.0
2017-11-03,25050,25100,23000,24050,673430,113459.0,4717650.0
2017-11-06,25350,25350,23000,23600,377441,111337.0,4717650.0
2017-11-07,23450,27450,23150,25550,918621,120536.0,4717650.0
2017-11-08,26550,33050,26450,29200,4459239,137755.0,4717650.0
2017-11-09,28600,28650,26850,27300,766090,128792.0,4717650.0
2017-11-10,27150,27800,26850,27500,387913,129735.0,4717650.0
2017-11-13,27350,27650,25600,26050,356453,122895.0,4717650.0
2017-11-14,26900,27500,26400,26600,294734,125489.0,4717650.0
2017-11-15,26700,26700,24850,25150,309288,118649.0,4717650.0
2017-11-16,25100,27200,24600,26500,365808,125018.0,4717650.0
2017-11-17,26750,27700,26100,27100,287968,127848.0,4717650.0
2017-11-20,26750,27550,26350,27450,166467,129499.0,4717650.0
2017-11-21,27450,29300,27000,29200,410081,137755.0,4717650.0
2017-11-22,29550,32200,28700,31950,722825,150729.0,4717650.0
2017-11-23,33400,40300,32850,37250,2684695,175732.0,4717650.0
2017-11-24,38500,39200,35100,35300,785172,166533.0,4717650.0
2017-11-27,34750,36950,33750,34150,351375,161108.0,4717650.0
2017-11-28,33800,37300,33050,36150,453963,170543.0,4717650.0
2017-11-29,35300,38600,34950,35050,378414,165354.0,4717650.0
2017-11-30,34700,35750,32900,32950,263680,155447.0,4717650.0
2017-12-01,32950,34900,32050,33950,190178,160164.0,4717650.0
2017-12-04,33650,34800,32550,32600,101895,153795.0,4717650.0
2017-12-05,32200,32850,31150,31500,111522,148606.0,4717650.0
2017-12-06,31350,33500,31100,31600,123395,149078.0,4717650.0
2017-12-07,31700,34000,31150,32950,159129,155447.0,4717650.0
2017-12-08,33950,35300,33300,33750,157201,159221.0,4717650.0
2017-12-11,33300,34550,32750,34550,73689,162995.0,4717650.0
2017-12-12,34550,34900,33750,33850,52847,159692.0,4717650.0
2017-12-13,33750,34450,33300,34050,75409,160636.0,4717650.0
2017-12-14,34050,34050,32400,32900,86197,155211.0,4717650.0
2017-12-15,32300,32700,30250,30800,119263,145304.0,4717650.0
2017-12-18,31100,31450,30500,30850,48375,145540.0,4717650.0
2017-12-19,30600,30850,28800,29300,100050,138227.0,4717650.0
2017-12-20,29300,31650,28900,29950,55019,141294.0,4717650.0
2017-12-21,29800,31050,29800,30100,34458,142001.0,4717650.0
2017-12-22,30150,31400,30100,31400,28533,148134.0,4717650.0
2017-12-26,31000,31100,29500,29500,59038,139171.0,4717650.0
2017-12-27,30050,31500,29000,31150,33876,146955.0,4717650.0
2017-12-28,31500,32000,30300,32000,44726,150965.0,4717650.0
2018-01-02,32000,32500,31000,31250,39072,147427.0,4717650.0
2018-01-03,31450,32400,30450,32300,55636,152380.0,4717650.0
2018-01-04,32500,33000,32000,32000,34449,150965.0,4717650.0
2018-01-05,32500,33050,31500,33050,57480,155918.0,4717650.0
2018-01-08,33250,33450,32000,32600,35235,153795.0,4717650.0
2018-01-09,32350,33800,32350,32700,51997,154267.0,4717650.0
2018-01-10,32500,33800,31350,31950,42018,150729.0,4717650.0
2018-01-11,31950,32000,30900,31600,27307,149078.0,4717650.0
2018-01-12,31750,31900,29800,30600,55846,144360.0,4717650.0
2018-01-15,31000,31200,29750,29850,40391,140822.0,4717650.0
2018-01-16,30400,30700,29500,30450,35644,143652.0,4717650.0
2018-01-17,30200,30900,29850,30700,28582,144832.0,4717650.0
2018-01-18,31000,31600,30400,30700,41862,144832.0,4717650.0
2018-01-19,30750,31100,30000,30600,25756,144360.0,4717650.0
2018-01-22,30600,30600,29100,29600,48439,139642.0,4717650.0
2018-01-23,30150,30300,28050,29000,108754,136812.0,4717650.0
2018-01-24,29250,29250,27700,28200,104899,133038.0,4717650.0
2018-01-25,28350,28950,27850,28400,86043,133981.0,4717650.0
2018-01-26,28750,28850,28250,28450,45520,134217.0,4717650.0
2018-01-29,28500,29700,28500,29150,74143,137519.0,4717650.0
2018-01-30,29400,29500,27900,28250,92609,133274.0,4717650.0
2018-01-31,28050,28250,27350,27950,38256,131858.0,4717650.0
2018-02-01,28150,28250,27300,27350,67116,129028.0,4717650.0
2018-02-02,27350,27650,27000,27300,29766,128792.0,4717650.0
2018-02-05,26750,27050,25950,26000,44949,122659.0,4717650.0
2018-02-06,24600,25700,23750,25400,88542,119828.0,4717650.0
2018-02-07,25650,26100,24800,25000,47073,117941.0,4717650.0
2018-02-08,24700,25600,24700,25200,53155,118885.0,4717650.0
2018-02-09,24500,25350,24300,25000,32348,117941.0,4717650.0
2018-02-12,25950,27750,25300,26250,84628,123838.0,4717650.0
2018-02-13,26000,26350,25000,25050,43330,118177.0,4717650.0
2018-02-14,24950,25750,24800,25700,32763,121244.0,4717650.0
2018-02-19,25750,26100,25500,26000,20248,122659.0,4717650.0
2018-02-20,26050,26050,25400,25600,23449,120772.0,4717650.0
2018-02-21,25700,26000,25350,26000,28894,122659.0,4717650.0
