CJ(001040),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,17579,17621,16698,17620,128410,465787.0,11090172.0
1999-01-05,18208,18418,17705,17872,152080,472441.0,11090172.0
1999-01-06,17494,17998,17201,17704,133120,468005.0,11090172.0
1999-01-07,17705,18439,17160,17872,180270,472441.0,11090172.0
1999-01-08,18040,18251,17789,17872,115560,472441.0,11090172.0
1999-01-11,17872,17872,17494,17746,96560,485711.0,11482532.0
1999-01-12,17830,18669,17662,17830,190010,488008.0,11482532.0
1999-01-13,17661,17872,17410,17494,76300,478822.0,11482532.0
1999-01-14,16781,17200,16026,16277,92700,445522.0,11482532.0
1999-01-15,16488,17201,16488,16991,76510,465043.0,11482532.0
1999-01-18,17327,17411,16992,16991,87120,465043.0,11482532.0
1999-01-19,16781,16992,16362,16740,56370,458153.0,11482532.0
1999-01-20,16698,16907,16571,16613,85800,454708.0,11482532.0
1999-01-21,16571,16697,15900,15921,69760,435762.0,11482532.0
1999-01-22,15942,15942,15229,15229,56570,416816.0,11482532.0
1999-01-25,15019,15229,14265,14852,77180,406482.0,11482532.0
1999-01-26,15524,15524,12629,12628,77040,345624.0,11482532.0
1999-01-27,14516,14516,14516,14516,34460,397296.0,11482532.0
1999-01-28,15103,15941,15019,15522,133860,424854.0,11482532.0
1999-01-29,15313,15523,14894,15270,155890,610111.0,16761288.0
1999-02-01,14852,15481,14852,15145,93680,605082.0,16761288.0
1999-02-02,15103,15103,14683,14725,82490,588321.0,16761288.0
1999-02-03,14726,14726,14181,14180,91920,566532.0,16761288.0
1999-02-04,14222,15691,14222,14684,159200,586645.0,16761288.0
1999-02-05,14599,15061,14599,14893,129270,595026.0,16761288.0
1999-02-08,14894,15481,14726,15040,102180,600892.0,16761288.0
1999-02-09,14894,15019,14474,14474,89300,578264.0,16761288.0
1999-02-10,14473,14473,13970,14138,78280,564855.0,16761288.0
1999-02-11,14433,14496,14139,14264,48110,569884.0,16761288.0
1999-02-12,14391,14999,14265,14684,115460,586645.0,16761288.0
1999-02-18,14684,14895,14181,14180,49070,566532.0,16761288.0
1999-02-19,13425,13929,13425,13509,100610,539713.0,16761288.0
1999-02-22,13844,13844,13089,13802,36760,551446.0,16761288.0
1999-02-23,13425,13971,13425,13593,52070,543066.0,16761288.0
1999-02-24,13845,13971,13489,13845,43320,553123.0,16761288.0
1999-02-25,13425,13888,13425,13425,75200,536361.0,16761288.0
1999-02-26,13802,13949,13508,13802,38640,551446.0,16761288.0
1999-03-02,14221,15103,13970,14474,103590,578264.0,16761288.0
1999-03-03,15019,15019,14474,14852,101530,593350.0,16761288.0
1999-03-04,14852,15313,14432,15145,86130,605082.0,16761288.0
1999-03-05,15104,15565,14894,15565,105990,621844.0,16761288.0
1999-03-08,15984,16571,15941,16361,171150,653690.0,16761288.0
1999-03-09,16531,16531,15942,16320,68990,652014.0,16761288.0
1999-03-10,16319,16991,15941,16781,165390,670452.0,16761288.0
1999-03-11,16403,17158,16403,16781,128420,670452.0,16761288.0
1999-03-12,16948,18459,16864,18081,245680,722412.0,16761288.0
1999-03-15,18880,19299,18251,19047,260070,760962.0,16761288.0
1999-03-16,19130,19172,18500,19005,131400,759286.0,16761288.0
1999-03-17,19005,19299,18460,18879,69200,754258.0,16761288.0
1999-03-18,18501,19131,18460,18795,140620,750906.0,16761288.0
1999-03-19,18628,19215,18501,18963,128570,757610.0,16761288.0
1999-03-22,19110,19718,18417,19299,133240,771019.0,16761288.0
1999-03-23,19298,20347,18879,20305,161990,811246.0,16761288.0
1999-03-24,20137,20725,19887,20012,101000,799513.0,16761288.0
1999-03-25,19759,20515,19759,20137,93650,804542.0,16761288.0
1999-03-26,20137,20556,19717,19717,38410,787781.0,16761288.0
1999-03-29,19717,19717,18500,19717,69020,787781.0,16761288.0
1999-03-30,19927,20472,19717,19717,53710,787781.0,16761288.0
1999-03-31,19739,19927,19341,19340,58310,772695.0,16761288.0
1999-04-01,19341,20137,18963,20012,76260,799513.0,16761288.0
1999-04-02,20347,20515,20179,20389,56760,814599.0,16761288.0
1999-04-06,20137,21732,20137,20851,150620,833036.0,16761288.0
1999-04-07,20934,21606,20893,21312,162870,889444.0,17508743.0
1999-04-08,21607,22655,21523,21816,237070,910455.0,17508743.0
1999-04-09,21815,21857,21395,21773,64690,908704.0,17508743.0
1999-04-12,21437,21857,19864,21773,124160,908704.0,17508743.0
1999-04-13,20179,21690,20179,21605,88900,901700.0,17508743.0
1999-04-14,21396,21523,21103,21270,88500,887693.0,17508743.0
1999-04-15,21270,22151,21270,21941,123250,915707.0,17508743.0
1999-04-16,21942,22655,21816,22319,195370,931465.0,17508743.0
1999-04-19,22654,25633,22444,25172,309550,1050525.0,17508743.0
1999-04-20,25172,25172,23493,24752,75380,1033016.0,17508743.0
1999-04-21,25172,25172,23493,24332,74760,1015507.0,17508743.0
1999-04-22,24333,25297,23913,24752,175860,1033016.0,17508743.0
1999-04-23,25172,25592,24752,24752,96490,1033016.0,17508743.0
1999-04-26,25172,25592,24333,25591,121960,1068033.0,17508743.0
1999-04-27,25800,29409,25800,29367,226450,1225612.0,17508743.0
1999-04-28,29786,30625,28948,28947,239470,1208103.0,17508743.0
1999-04-29,28528,28905,26053,26220,115500,1094296.0,17508743.0
1999-04-30,26431,28025,26221,26430,419560,1103051.0,17508743.0
1999-05-03,26640,28528,26430,28528,199830,1190595.0,17508743.0
1999-05-04,29325,29325,27689,28947,71670,1208103.0,17508743.0
1999-05-06,29367,33269,28529,32304,163940,1348173.0,17508743.0
1999-05-07,32305,32723,31465,32304,160600,1348173.0,17508743.0
1999-05-10,32304,32304,30835,31590,79990,1318408.0,17508743.0
1999-05-11,31464,31464,29451,29451,83310,1229114.0,17508743.0
1999-05-12,29451,29577,27395,28108,83280,1173086.0,17508743.0
1999-05-13,28108,28108,24962,25172,226980,1050525.0,17508743.0
1999-05-14,25592,26137,24752,25172,222440,1050525.0,17508743.0
1999-05-17,25592,25592,24122,24332,78630,1015507.0,17508743.0
1999-05-18,23703,24710,23493,24332,65840,1015507.0,17508743.0
1999-05-19,24963,26221,23914,25214,142110,1052275.0,17508743.0
1999-05-20,25592,25592,24290,24584,65140,1026012.0,17508743.0
1999-05-21,24584,25381,24165,25172,59940,1050525.0,17508743.0
1999-05-24,24963,24963,23914,24543,82880,1024261.0,17508743.0
1999-05-25,23913,25297,23913,25130,44560,1048774.0,17508743.0
1999-05-26,25340,26934,25173,26514,150396,1106553.0,17508743.0
1999-05-27,27228,28570,26556,27270,226040,1138068.0,17508743.0
1999-05-28,27689,27689,26220,27059,75890,1129314.0,17508743.0
1999-05-31,27479,27479,26892,26891,71760,1122310.0,17508743.0
1999-06-01,27061,28319,26850,28318,137260,1181840.0,17508743.0
1999-06-02,28528,29032,28319,28611,119380,1194096.0,17508743.0
1999-06-03,29367,29367,27270,28486,73510,1188844.0,17508743.0
1999-06-04,28151,28781,27899,28738,76570,1199349.0,17508743.0
1999-06-07,29366,31255,29366,31087,177465,1297398.0,17508743.0
1999-06-08,31422,32220,29786,30583,92040,1276387.0,17508743.0
1999-06-09,29786,30625,28528,28947,66490,1208103.0,17508743.0
1999-06-10,27898,30206,27898,29367,106350,1225612.0,17508743.0
1999-06-11,29786,30625,28528,29199,68830,1218609.0,17508743.0
1999-06-14,29198,29577,27982,28276,34150,1180089.0,17508743.0
1999-06-15,27899,28277,27522,28150,93190,1174837.0,17508743.0
1999-06-16,28109,28906,28109,28402,29100,1185342.0,17508743.0
1999-06-17,28569,30416,28569,29367,112480,1225612.0,17508743.0
1999-06-18,30206,30206,28948,29367,59220,1225612.0,17508743.0
1999-06-21,30206,30206,29367,29829,72971,1244872.0,17508743.0
1999-06-22,29997,29997,29242,29493,58160,1230865.0,17508743.0
1999-06-23,29872,31340,29367,31045,162437,1295647.0,17508743.0
1999-06-24,31255,31885,29829,29997,68010,1251875.0,17508743.0
1999-06-25,29995,30918,29409,30835,114360,1286893.0,17508743.0
1999-06-28,30583,33940,30583,33142,223271,1383191.0,17508743.0
1999-06-29,33479,33773,31885,33269,62930,1388443.0,17508743.0
1999-06-30,33562,38220,33521,38219,365394,1595046.0,17508743.0
1999-07-01,43840,43840,43840,43840,56810,1829664.0,17508743.0
1999-07-02,45729,48665,41533,44680,589090,1864681.0,17508743.0
1999-07-05,40317,41869,38177,38597,246870,1610804.0,17508743.0
1999-07-06,32933,39437,32933,38387,163940,1602050.0,17508743.0
1999-07-07,39017,40234,38388,39855,165910,1663331.0,17508743.0
1999-07-08,39897,45729,39017,41953,355020,1750874.0,17508743.0
1999-07-09,48246,48246,46149,48246,267845,2013505.0,17508743.0
1999-07-12,50344,50763,41114,41533,139000,1733366.0,17508743.0
1999-07-13,41575,44050,39016,39058,129160,1630064.0,17508743.0
1999-07-14,39477,40484,36498,36918,136690,1540769.0,17508743.0
1999-07-15,37758,38597,37338,38177,116150,1593296.0,17508743.0
1999-07-16,38178,41954,38178,41743,121210,1742120.0,17508743.0
1999-07-19,43840,43840,39855,41113,66480,1715857.0,17508743.0
1999-07-20,40904,41115,39436,39436,61110,1645822.0,17508743.0
1999-07-21,38177,38806,37883,38513,103720,1607303.0,17508743.0
1999-07-22,38220,38514,36709,37800,85682,1577538.0,17508743.0
1999-07-23,37758,37800,34065,34401,56390,1435717.0,17508743.0
1999-07-26,34443,35534,33814,34150,77130,1425212.0,17508743.0
