현대중공업지주(267250),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-05-10,411500,452500,367000,390000,756348,4695764.0,12040421.0
2017-05-11,382500,395000,378000,387500,239477,4665663.0,12040421.0
2017-05-12,389500,395500,373000,379500,141833,4569340.0,12040421.0
2017-05-15,377500,378500,360500,360500,159155,4340572.0,12040421.0
2017-05-16,360500,362500,329000,347500,339657,4184046.0,12040421.0
2017-05-17,349000,364500,348000,351500,154380,4232208.0,12040421.0
2017-05-18,346000,358000,344000,350000,125683,4214147.0,12040421.0
2017-05-19,352500,374000,351500,364500,156722,4388733.0,12040421.0
2017-05-22,364500,383000,364500,374500,110111,4509138.0,12040421.0
2017-05-23,375500,398000,375500,397000,156818,4780047.0,12040421.0
2017-05-24,405000,417500,396500,415000,203838,4996775.0,12040421.0
2017-05-25,421500,423000,407500,416000,119043,5008815.0,12040421.0
2017-05-26,420000,434500,412000,432000,139977,5201462.0,12040421.0
2017-05-29,436000,442000,416000,420000,93206,5056977.0,12040421.0
2017-05-30,424000,424000,401500,404000,113967,4864330.0,12040421.0
2017-05-31,400500,418500,398500,408000,98697,4912492.0,12040421.0
2017-06-01,404000,418000,394500,413500,85698,4978714.0,12040421.0
2017-06-02,417000,417500,410000,412000,52411,4960653.0,12040421.0
2017-06-05,408000,408500,397500,397500,92105,4786067.0,12040421.0
2017-06-07,393500,403500,393500,401000,49310,4828209.0,12040421.0
2017-06-08,398500,420000,393000,420000,93344,5056977.0,12040421.0
2017-06-09,419500,429500,413000,420000,95372,5056977.0,12040421.0
2017-06-12,418000,426500,408500,412000,48519,4960653.0,12040421.0
2017-06-13,400000,413500,388000,390500,169733,4701784.0,12040421.0
2017-06-14,394000,426500,393500,423500,209336,5099118.0,12040421.0
2017-06-15,423500,423500,413000,420500,55646,5062997.0,12040421.0
2017-06-16,418000,422500,401000,405000,76537,4876371.0,12040421.0
2017-06-19,406000,410000,399000,401000,43177,4828209.0,12040421.0
2017-06-20,398000,400000,390000,394000,59037,4743926.0,12040421.0
2017-06-21,392000,393000,389000,391000,52507,4707805.0,12040421.0
2017-06-22,373000,373500,368500,370500,1359752,4460976.0,12040421.0
2017-06-23,373000,385000,370500,375500,195209,4521178.0,12040421.0
2017-06-26,376000,383500,374000,382000,74771,4599441.0,12040421.0
2017-06-27,386500,387000,379500,383000,77312,4611481.0,12040421.0
2017-06-28,380000,383000,375500,381000,53669,4587400.0,12040421.0
2017-06-29,379000,384000,379000,380500,49753,4581380.0,12040421.0
2017-06-30,377500,394500,377500,386500,80888,4653623.0,12040421.0
2017-07-03,390000,401500,387500,398000,121095,4792088.0,12040421.0
2017-07-04,401000,407500,394000,400000,98576,4816168.0,12040421.0
2017-07-05,400500,403500,391500,400000,83053,4816168.0,12040421.0
2017-07-06,399500,407500,395500,403000,90389,4852290.0,12040421.0
2017-07-07,403500,415500,403000,414000,217344,4984734.0,12040421.0
2017-07-10,410000,415000,404500,407500,60182,4906472.0,12040421.0
2017-07-11,406000,406000,394000,396500,90630,4774027.0,12040421.0
2017-07-12,394000,397000,385000,388000,83297,4671683.0,12040421.0
2017-07-13,388500,397000,388500,393000,55015,4731885.0,12040421.0
2017-07-14,390000,399500,386000,399000,69914,4804128.0,12040421.0
2017-07-17,401000,407000,400000,403000,86256,4852290.0,12040421.0
2017-07-18,400500,402500,398000,399500,37778,4810148.0,12040421.0
2017-07-19,399500,403000,397500,402000,42657,4840249.0,12040421.0
2017-07-20,401500,416000,401000,413000,130006,4972694.0,12040421.0
2017-07-21,411000,423000,409500,421000,102181,5069017.0,12040421.0
2017-07-24,420000,420000,410500,411000,50263,4948613.0,12040421.0
2017-07-25,413000,420000,412000,412000,74225,4960653.0,12040421.0
2017-07-26,413500,427500,413500,425500,138352,5123199.0,12040421.0
2017-07-27,426500,434000,423000,428500,120955,5159320.0,12040421.0
2017-07-28,429000,430000,420500,426500,100106,5135240.0,12040421.0
2017-07-31,426500,444000,424500,440500,141689,5303805.0,12040421.0
2017-08-01,440500,465500,426500,463500,301709,5580735.0,12040421.0
2017-08-02,460000,485000,460000,479000,202143,5767362.0,12040421.0
2017-08-03,485000,488000,460500,474000,162288,5707160.0,12040421.0
2017-08-04,471500,489000,466500,486000,91247,5851645.0,12040421.0
2017-08-07,486500,486500,457500,460500,146894,5544614.0,12040421.0
2017-08-08,460500,475000,459500,472000,159001,5683079.0,12040421.0
2017-08-09,464000,482000,464000,475000,303156,5719200.0,12040421.0
2017-08-10,473000,483000,449500,476000,120863,5731240.0,12040421.0
2017-08-11,465000,483000,464000,477500,176629,5749301.0,12040421.0
2017-08-14,476000,481500,473000,480000,83880,7817576.0,16286617.0
2017-08-16,480000,480000,455000,464500,171448,7565134.0,16286617.0
2017-08-17,457000,467000,445500,450000,144556,7328978.0,16286617.0
2017-08-18,443500,443500,426500,439000,160543,7149825.0,16286617.0
2017-08-21,444000,452000,443000,449500,89812,7320834.0,16286617.0
2017-08-22,450000,452000,445500,450500,55365,7337121.0,16286617.0
2017-08-23,451500,454500,433500,436000,56836,7100965.0,16286617.0
2017-08-24,439500,446000,432500,434000,102525,7068392.0,16286617.0
2017-08-25,434500,446500,432000,441500,54916,7190541.0,16286617.0
2017-08-28,441500,443000,437000,439500,47311,7157968.0,16286617.0
2017-08-29,438500,445000,428500,442500,61056,7206828.0,16286617.0
2017-08-30,440000,441000,435000,441000,61158,7182398.0,16286617.0
2017-08-31,440000,449500,439500,443000,111619,7214971.0,16286617.0
2017-09-01,445500,447500,433500,440500,52345,7174255.0,16286617.0
2017-09-04,429500,439500,427500,435000,57094,7084678.0,16286617.0
2017-09-05,440000,441500,416500,429000,111626,6986959.0,16286617.0
2017-09-06,428500,436000,409000,412500,95379,6718230.0,16286617.0
2017-09-07,411000,424000,404500,413500,72697,6734516.0,16286617.0
2017-09-08,409000,413500,398000,404500,102921,6587937.0,16286617.0
2017-09-11,404500,409500,402000,407500,46586,6636796.0,16286617.0
2017-09-12,410000,425000,408000,425000,66607,6921812.0,16286617.0
2017-09-13,424500,430000,420000,427000,53467,6954385.0,16286617.0
2017-09-14,426500,439500,424000,435000,94556,7084678.0,16286617.0
