LG상사(001120),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,4300,4713,4300,4553,641870,126106.0,29327089.0
1999-01-05,4607,4755,4427,4521,609970,125227.0,29327089.0
1999-01-06,4660,4924,4448,4733,1078560,131092.0,29327089.0
1999-01-07,5443,5443,5443,5443,808380,150741.0,29327089.0
1999-01-08,5443,5666,5115,5612,2818520,155434.0,29327089.0
1999-01-11,5772,5962,5592,5676,1520210,157193.0,29327089.0
1999-01-12,5676,5719,5242,5400,795330,149568.0,29327089.0
1999-01-13,5295,5719,5200,5348,1088660,148102.0,29327089.0
1999-01-14,5200,5242,4744,4839,790730,134025.0,29327089.0
1999-01-15,4977,5210,4946,5136,797660,142236.0,29327089.0
1999-01-18,5242,5401,5089,5093,530550,141063.0,29327089.0
1999-01-19,5104,5189,4956,4998,367470,138424.0,29327089.0
1999-01-20,5083,5083,4670,4754,285970,131679.0,29327089.0
1999-01-21,4713,4713,4130,4304,533830,119215.0,29327089.0
1999-01-22,4130,4289,4024,4183,469540,115842.0,29327089.0
1999-01-25,4130,4183,3918,3918,350950,108510.0,29327089.0
1999-01-26,3929,4130,3707,3706,360200,102645.0,29327089.0
1999-01-27,3601,3971,3601,3865,398190,107044.0,29327089.0
1999-01-28,3971,4120,3812,4024,474010,111443.0,29327089.0
1999-01-29,3918,4289,3834,4236,577740,117308.0,29327089.0
1999-02-01,4236,4448,4109,4246,356570,117602.0,29327089.0
1999-02-02,4151,4321,4024,4087,440990,113203.0,29327089.0
1999-02-03,4183,4215,3918,3918,247860,108510.0,29327089.0
1999-02-04,3918,4024,3759,3812,271670,105578.0,29327089.0
1999-02-05,3812,3865,3738,3812,281840,105578.0,29327089.0
1999-02-08,3982,3982,3791,3791,207440,104991.0,29327089.0
1999-02-09,3728,3728,3505,3547,177680,98246.0,29327089.0
1999-02-10,3558,3696,3389,3653,237170,101178.0,29327089.0
1999-02-11,3707,3744,3495,3611,201380,100005.0,29327089.0
1999-02-12,3707,3913,3632,3913,291060,108364.0,29327089.0
1999-02-18,4077,4225,3982,3981,343110,110270.0,29327089.0
1999-02-19,3812,3908,3654,3907,231870,108217.0,29327089.0
1999-02-22,3505,4003,3505,3738,197030,103525.0,29327089.0
1999-02-23,3738,3834,3622,3669,165600,101618.0,29327089.0
1999-02-24,3606,3770,3516,3515,165160,97366.0,29327089.0
1999-02-25,3442,3548,3415,3494,163810,96779.0,29327089.0
1999-02-26,3548,3707,3548,3664,218730,101472.0,29327089.0
1999-03-02,3759,3940,3707,3817,312760,105724.0,29327089.0
1999-03-03,3860,4067,3707,4024,584670,111443.0,29327089.0
1999-03-04,4024,4035,3897,3939,361990,109097.0,29327089.0
1999-03-05,3940,4019,3865,3971,304610,109977.0,29327089.0
1999-03-08,4024,4342,3992,4331,813050,119948.0,29327089.0
1999-03-09,4289,4331,4093,4130,644520,114376.0,29327089.0
1999-03-10,4236,4236,4030,4056,439230,112323.0,29327089.0
1999-03-11,4077,4236,4077,4193,570820,116135.0,29327089.0
1999-03-12,4331,4395,4247,4267,644360,118188.0,29327089.0
1999-03-15,4395,4480,4236,4236,591660,117308.0,29327089.0
1999-03-16,4342,4871,4289,4458,1729540,123467.0,29327089.0
1999-03-17,4564,4617,4395,4458,1345020,123467.0,29327089.0
1999-03-18,4374,4511,4204,4341,434670,120241.0,29327089.0
1999-03-19,4310,4538,4236,4384,579270,121414.0,29327089.0
1999-03-22,4554,4660,4448,4500,912250,124640.0,29327089.0
1999-03-23,4448,4591,4395,4500,445320,124640.0,29327089.0
1999-03-24,4501,4586,4405,4500,715410,124640.0,29327089.0
1999-03-25,4501,4607,4453,4479,669130,124054.0,29327089.0
1999-03-26,4490,4596,4374,4469,694450,123760.0,29327089.0
1999-03-29,4469,4469,4342,4341,648950,120241.0,29327089.0
1999-03-30,4448,4506,4416,4479,403240,124054.0,29327089.0
1999-03-31,4480,4734,4448,4712,1329070,130506.0,29327089.0
1999-04-01,4861,5083,4755,5083,2195660,140770.0,29327089.0
1999-04-02,5083,5221,4946,5083,1629560,140770.0,29327089.0
1999-04-06,5295,5846,5242,5845,2680700,161886.0,29327089.0
1999-04-07,6036,6142,5697,5697,2808990,157780.0,29327089.0
1999-04-08,5687,6036,5507,6036,1822090,167164.0,29327089.0
1999-04-09,6089,6831,6047,6756,4070670,187107.0,29327089.0
1999-04-12,7360,7360,6989,7201,2560790,199424.0,29327089.0
1999-04-13,7095,7307,6831,7243,1918210,200597.0,29327089.0
1999-04-14,7402,7816,7307,7571,2058600,209689.0,29327089.0
1999-04-15,7466,7816,7307,7730,1893890,214088.0,29327089.0
1999-04-16,7731,7784,7318,7614,1560610,210862.0,29327089.0
1999-04-19,7921,7943,7466,7730,1643690,214088.0,29327089.0
1999-04-20,7519,7720,7413,7540,871790,208809.0,29327089.0
1999-04-21,7519,7731,7307,7328,1752010,202943.0,29327089.0
1999-04-22,7445,7604,6937,7497,990630,207636.0,29327089.0
1999-04-23,7572,7720,7328,7582,1197960,209982.0,29327089.0
1999-04-26,7286,7943,7286,7942,1805580,219953.0,29327089.0
1999-04-27,8154,9129,8154,9128,3795360,252800.0,29327089.0
1999-04-28,9277,9955,8684,9319,3850740,258078.0,29327089.0
1999-04-29,9002,9309,8472,9043,1516610,250453.0,29327089.0
1999-04-30,9002,9266,8578,9022,1413330,249867.0,29327089.0
1999-05-03,8790,9192,8589,9022,992230,249867.0,29327089.0
1999-05-04,8694,9023,8694,9001,826900,249280.0,29327089.0
1999-05-06,9213,9510,9055,9329,1642770,258372.0,29327089.0
1999-05-07,9521,9912,9425,9637,1955020,266877.0,29327089.0
1999-05-10,9637,9849,9319,9848,1095040,272742.0,29327089.0
1999-05-11,9849,10008,9637,9637,1384140,266877.0,29327089.0
1999-05-12,9531,9690,9023,9615,1327330,266290.0,29327089.0
1999-05-13,9637,9690,9012,9520,1104140,263651.0,29327089.0
1999-05-14,9277,9425,9055,9425,1184350,261011.0,29327089.0
1999-05-17,9213,9425,9108,9107,1301670,252213.0,29327089.0
1999-05-18,9213,9415,8260,8366,1638380,231684.0,29327089.0
1999-05-19,8472,8525,7953,8154,1039390,225819.0,29327089.0
1999-05-20,7943,8048,7095,7095,802800,196491.0,29327089.0
1999-05-21,7095,7312,6638,6878,582950,176549.0,29327089.0
1999-05-24,6741,6878,6513,6512,309890,167164.0,29327089.0
1999-05-25,6307,6970,6307,6741,540430,173030.0,29327089.0
1999-05-26,6855,7747,6753,7746,868810,198838.0,29327089.0
1999-05-27,8112,8684,7975,7975,3044030,204703.0,29327089.0
1999-05-28,8307,8318,7552,7769,1002990,199424.0,29327089.0
1999-05-31,7655,7941,7564,7563,624320,194145.0,29327089.0
1999-06-01,7312,7712,7312,7426,418590,190626.0,29327089.0
1999-06-02,7484,7884,7450,7815,672350,200597.0,29327089.0
1999-06-03,7998,8489,7655,8112,1108970,208222.0,29327089.0
1999-06-04,8169,8444,7941,8112,849760,208222.0,29327089.0
1999-06-07,8341,8798,8169,8626,1858370,221420.0,29327089.0
1999-06-08,8912,9918,8798,9917,3320700,254559.0,29327089.0
1999-06-09,10055,10489,9803,9940,3896460,255146.0,29327089.0
1999-06-10,9940,10283,9403,10180,1947260,261304.0,29327089.0
1999-06-11,11654,11654,11654,11654,1311940,299136.0,29327089.0
1999-06-14,13254,13254,12111,12625,6332380,324064.0,29327089.0
1999-06-15,11883,12340,11094,11654,2884550,299136.0,29327089.0
1999-06-16,11997,12454,11540,12282,2569570,315266.0,29327089.0
1999-06-17,12797,13082,11426,11425,2758350,293271.0,29327089.0
1999-06-18,11883,12797,11540,12339,3979490,316733.0,29327089.0
1999-06-21,12911,13197,12397,13139,3549990,337262.0,29327089.0
1999-06-22,13140,13311,12625,12911,2147970,331396.0,29327089.0
1999-06-23,12911,13140,12340,12739,2062720,326997.0,29327089.0
1999-06-24,12568,14054,12454,13596,5658300,348992.0,29327089.0
1999-06-25,13825,14225,13311,13425,2986440,344593.0,29327089.0
1999-06-28,13597,13882,13140,13368,2306670,343127.0,29327089.0
1999-06-29,13368,14168,13082,13139,2252740,337262.0,29327089.0
1999-06-30,13254,13597,11940,12396,1968540,318199.0,29327089.0
1999-07-01,12454,13025,11997,12568,1408010,322598.0,29327089.0
1999-07-02,12568,13254,12226,13196,2056590,338728.0,29327089.0
1999-07-05,14282,15139,14054,14853,3689860,381252.0,29327089.0
1999-07-06,14853,15425,14339,14853,2327900,381252.0,29327089.0
1999-07-07,15539,17081,15139,17081,5048460,438440.0,29327089.0
1999-07-08,17253,19309,16967,17995,3586710,461902.0,29327089.0
1999-07-09,17996,18852,17310,18166,2003080,466301.0,29327089.0
1999-07-12,19309,19309,15996,17481,2584080,448704.0,29327089.0
1999-07-13,17481,18053,16225,16795,1767660,431108.0,29327089.0
1999-07-14,16796,17081,15082,15253,1544910,391517.0,29327089.0
1999-07-15,14796,15710,14625,15310,1640980,392983.0,29327089.0
1999-07-16,15425,16453,15425,16281,1946900,417911.0,29327089.0
1999-07-19,16110,16967,15882,16567,2880400,725000.0,50000000.0
1999-07-20,16567,16796,15825,15881,1665670,695000.0,50000000.0
1999-07-21,15710,15710,14168,14853,1776470,650000.0,50000000.0
1999-07-22,14625,15082,13825,14967,2069670,655000.0,50000000.0
1999-07-23,14968,14968,12740,13596,1984050,595000.0,50000000.0
1999-07-26,11883,13140,11597,11768,1991710,515000.0,50000000.0
1999-07-27,11997,13482,11997,13482,2540930,590000.0,50000000.0
1999-07-28,13939,14454,13482,13482,3621040,590000.0,50000000.0
1999-07-29,13711,14282,13482,14053,1962470,615000.0,50000000.0
1999-07-30,14396,14568,13482,13539,3568050,592500.0,50000000.0
1999-08-02,13768,14739,13654,13710,2443310,600000.0,50000000.0
1999-08-03,13939,14282,13482,13825,1716880,605000.0,50000000.0
1999-08-04,13939,14225,13711,13825,1574320,605000.0,50000000.0
1999-08-05,13539,13711,12397,12454,1288580,545000.0,50000000.0
1999-08-06,12797,13082,11997,12682,1339300,555000.0,50000000.0
1999-08-09,12568,12911,12111,12396,911610,542500.0,50000000.0
