SK텔레콤(017670),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,61808,63814,60714,63722,245210,4494332.0,6429660.0
1999-01-05,63267,63723,60167,61352,94800,4327161.0,6429660.0
1999-01-06,61991,61991,59438,60349,84100,4256435.0,6429660.0
1999-01-07,61079,61535,58800,60440,277700,4262865.0,6429660.0
1999-01-08,60714,60714,58982,59073,124800,4166420.0,6429660.0
1999-01-11,59256,59712,58253,59073,64300,4166420.0,6429660.0
1999-01-12,59256,59256,57341,58344,74400,4114982.0,6429660.0
1999-01-13,58253,58344,56521,58344,43640,4116420.0,6431906.0
1999-01-14,58071,58071,55609,56065,66300,3955622.0,6431906.0
1999-01-15,53877,56521,53877,56065,62370,3955622.0,6431906.0
1999-01-18,56703,56703,55153,55426,77400,3910599.0,6431906.0
1999-01-19,55427,56430,54515,55426,89100,3910599.0,6431906.0
1999-01-20,56339,58800,55609,58253,214700,4109988.0,6431906.0
1999-01-21,58253,59256,57068,57159,212100,4034940.0,6435311.0
1999-01-22,59073,59073,53786,53786,106000,3796833.0,6435311.0
1999-01-25,53786,53786,50595,53147,164900,3751786.0,6435311.0
1999-01-26,53695,55062,53330,53330,111200,3764657.0,6435311.0
1999-01-27,55609,57433,54242,56065,103470,3957716.0,6435311.0
1999-01-28,55974,56521,54242,55609,83300,3926880.0,6437509.0
1999-01-29,55609,56521,54698,56520,50200,3991256.0,6437509.0
1999-02-01,56521,57341,55700,57159,20800,4036318.0,6437509.0
1999-02-02,56521,57068,54880,54880,52500,3875380.0,6437509.0
1999-02-03,54515,55883,53330,55609,60300,3926880.0,6437509.0
1999-02-04,55609,55609,53786,55609,46300,3926880.0,6437509.0
1999-02-05,55700,55700,53968,54697,46200,3862505.0,6437509.0
1999-02-08,53968,55518,53057,54697,29000,3862505.0,6437509.0
1999-02-09,54424,54424,51507,52418,117900,3701568.0,6437509.0
1999-02-10,52874,56794,50595,56794,109700,4010568.0,6437509.0
1999-02-11,54060,55609,52874,52874,91200,3736985.0,6443077.0
1999-02-12,54698,55518,53877,55153,808360,3898062.0,6443077.0
1999-02-18,55153,55153,51780,52874,111100,3736985.0,6443077.0
1999-02-19,52874,52874,51051,52783,75600,3730542.0,6443077.0
1999-02-22,52692,53421,51963,52600,43500,3718924.0,6445275.0
1999-02-23,52874,54242,52419,53147,56000,3757595.0,6445275.0
1999-02-24,54242,55153,53786,54697,160200,3867165.0,6445275.0
1999-02-25,54698,56430,54242,56065,115700,3964520.0,6446374.0
1999-02-26,56886,58253,56521,56612,113100,4003198.0,6446374.0
1999-03-02,58253,58527,55792,58161,76100,4112787.0,6446374.0
1999-03-03,57341,58709,56521,58253,63200,4119233.0,6446374.0
1999-03-04,57888,61991,56521,59711,1051600,4222375.0,6446374.0
1999-03-05,59256,61808,59073,61443,200200,4344856.0,6446374.0
1999-03-08,61535,63814,61535,62993,169900,4454444.0,6446374.0
1999-03-09,63449,65546,62811,65181,447500,4609157.0,6446374.0
