유유제약(000220),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,1792,1825,1776,1824,57300,8820.0,787478.0
1999-01-05,1825,1955,1825,1873,117400,9056.0,787478.0
1999-01-06,1898,1988,1898,1955,124250,9450.0,787478.0
1999-01-07,1988,2069,1971,1971,109800,9528.0,787478.0
1999-01-08,2004,2037,1923,1995,98850,9647.0,787478.0
1999-01-11,2037,2224,2037,2199,226850,10631.0,787478.0
1999-01-12,2232,2232,2037,2093,166450,10119.0,787478.0
1999-01-13,2053,2200,2037,2118,139800,10237.0,787478.0
1999-01-14,2069,2069,1874,1873,112400,9056.0,787478.0
1999-01-15,1955,2037,1906,1987,91050,9607.0,787478.0
1999-01-18,2053,2151,2037,2150,190850,10395.0,787478.0
1999-01-19,2151,2151,2037,2052,78550,9922.0,787478.0
1999-01-20,2053,2200,1971,2061,148600,9962.0,787478.0
1999-01-21,1988,2118,1760,1873,95900,9056.0,787478.0
1999-01-22,1874,1874,1760,1857,33850,8977.0,787478.0
1999-01-25,1792,1874,1760,1759,28000,8505.0,787478.0
1999-01-26,1971,1971,1760,1759,49100,8505.0,787478.0
1999-01-27,1751,1792,1711,1792,39300,8662.0,787478.0
1999-01-28,1792,2061,1792,2061,318200,9962.0,787478.0
1999-01-29,2053,2102,1874,1971,458600,9528.0,787478.0
1999-02-01,1996,2028,1939,1987,89400,9607.0,787478.0
1999-02-02,1939,2037,1923,1955,78350,9450.0,787478.0
1999-02-03,1955,1988,1874,1930,51600,9332.0,787478.0
1999-02-04,1955,1955,1874,1938,35200,9371.0,787478.0
1999-02-05,2037,2037,1890,1938,33150,9371.0,787478.0
1999-02-08,1955,1971,1874,1873,48950,9056.0,787478.0
1999-02-09,1800,1874,1678,1718,55350,8308.0,787478.0
1999-02-10,1637,1808,1637,1743,77200,8426.0,787478.0
1999-02-11,1760,1817,1760,1767,35250,8544.0,787478.0
1999-02-12,1727,1817,1727,1800,32850,8702.0,787478.0
1999-02-18,1825,1825,1760,1759,25050,8505.0,787478.0
1999-02-19,1711,1751,1678,1727,48700,8347.0,787478.0
1999-02-22,1711,1776,1711,1751,20000,8465.0,787478.0
1999-02-23,1727,1776,1727,1735,37200,8387.0,787478.0
1999-02-24,1654,1735,1654,1735,31850,8387.0,787478.0
1999-02-25,1711,1727,1694,1702,34800,8229.0,787478.0
1999-02-26,1727,1800,1727,1784,32450,8623.0,787478.0
1999-03-02,1727,1825,1727,1792,35200,8662.0,787478.0
1999-03-03,1817,1825,1743,1792,30900,8662.0,787478.0
1999-03-04,1760,1841,1760,1767,22800,8544.0,787478.0
1999-03-05,1768,1849,1768,1832,40650,8859.0,787478.0
1999-03-08,1808,1890,1808,1889,26850,9135.0,787478.0
1999-03-09,1939,1939,1857,1857,29050,8977.0,787478.0
1999-03-10,1800,1857,1800,1816,45050,8780.0,787478.0
1999-03-11,1906,1906,1841,1873,37000,9056.0,787478.0
1999-03-12,1906,1955,1874,1889,58000,9135.0,787478.0
1999-03-15,1955,1988,1898,1930,64650,9332.0,787478.0
1999-03-16,1923,1939,1923,1922,17600,9292.0,787478.0
1999-03-17,1955,1971,1923,1938,43250,9371.0,787478.0
1999-03-18,1939,1939,1874,1922,32100,9292.0,787478.0
1999-03-19,1923,1923,1890,1898,22350,9174.0,787478.0
1999-03-22,1898,1955,1882,1922,32850,9292.0,787478.0
1999-03-23,1906,1947,1882,1889,23550,9135.0,787478.0
1999-03-24,1890,1947,1890,1922,38900,9292.0,787478.0
1999-03-25,1931,1939,1890,1906,27250,9213.0,787478.0
1999-03-26,1939,1939,1743,1922,30700,9292.0,787478.0
1999-03-29,1939,1939,1874,1873,6600,9056.0,787478.0
1999-03-30,1866,1923,1866,1889,5250,9135.0,787478.0
1999-03-31,1874,1923,1874,1873,16500,9056.0,787478.0
1999-04-01,1890,1939,1890,1906,24050,9213.0,787478.0
1999-04-02,1906,1906,1841,1857,24750,8977.0,787478.0
1999-04-06,1857,1890,1857,1873,12200,9056.0,787478.0
1999-04-07,1874,2020,1825,1930,70400,9332.0,787478.0
1999-04-08,1955,1955,1849,1906,11600,9213.0,787478.0
1999-04-09,1939,1955,1866,1873,37800,9056.0,787478.0
1999-04-12,1841,1914,1841,1898,45050,9174.0,787478.0
1999-04-13,1906,1906,1874,1873,21650,9056.0,787478.0
1999-04-14,1890,1923,1874,1898,30450,9174.0,787478.0
1999-04-15,1923,1971,1882,1938,76050,9371.0,787478.0
1999-04-16,1923,1939,1906,1922,46150,9292.0,787478.0
1999-04-19,1906,1939,1890,1922,50150,9292.0,787478.0
1999-04-20,1939,2037,1890,1955,103000,9450.0,787478.0
1999-04-21,1955,2069,1955,1955,81450,9450.0,787478.0
1999-04-22,1955,1988,1906,1938,47700,9371.0,787478.0
1999-04-23,1906,2020,1906,1955,24550,9450.0,787478.0
1999-04-26,1971,2004,1923,1971,51950,9528.0,787478.0
1999-04-27,2061,2061,1939,1963,48250,9489.0,787478.0
1999-04-28,1955,2085,1939,2020,135150,9765.0,787478.0
1999-04-29,2069,2151,2020,2020,101950,9765.0,787478.0
1999-04-30,2118,2118,2004,2004,60650,9686.0,787478.0
1999-05-03,2037,2134,2020,2085,72650,10080.0,787478.0
1999-05-04,2216,2265,2118,2166,213550,10473.0,787478.0
1999-05-06,2248,2265,2200,2248,115250,10867.0,787478.0
1999-05-07,2314,2354,2265,2297,209950,11103.0,787478.0
1999-05-10,2314,2639,2273,2639,248150,12757.0,787478.0
1999-05-11,2623,2770,2558,2574,211800,12442.0,787478.0
1999-05-12,2460,2639,2419,2443,159000,11812.0,787478.0
1999-05-13,2436,2509,2314,2313,61750,11182.0,787478.0
1999-05-14,2314,2362,2118,2134,75800,10316.0,787478.0
1999-05-17,2061,2232,2061,2069,58800,10001.0,787478.0
1999-05-18,2020,2118,1988,2036,40450,9843.0,787478.0
1999-05-19,2045,2183,2045,2150,30750,10395.0,787478.0
1999-05-20,2167,2167,2004,2052,49000,9922.0,787478.0
1999-05-21,2004,2134,2004,2093,15700,10119.0,787478.0
1999-05-24,2118,2167,2094,2093,23800,10119.0,787478.0
1999-05-25,2118,2322,2085,2321,93550,11222.0,787478.0
1999-05-26,2354,2387,2200,2297,120000,11103.0,787478.0
1999-05-27,2330,2411,2281,2280,63000,11025.0,787478.0
1999-05-28,2395,2411,2297,2297,54050,11103.0,787478.0
1999-05-31,2248,2395,2248,2354,31750,11379.0,787478.0
1999-06-01,2346,2346,2281,2346,31450,11340.0,787478.0
1999-06-02,2354,2379,2281,2280,25350,11025.0,787478.0
1999-06-03,2281,2297,2159,2232,41750,10788.0,787478.0
1999-06-04,2297,2297,2167,2191,11950,10592.0,787478.0
1999-06-07,2167,2232,2167,2199,36300,10631.0,787478.0
1999-06-08,2248,2248,2175,2232,61650,10788.0,787478.0
1999-06-09,2232,2265,2118,2199,42250,10631.0,787478.0
1999-06-10,2134,2240,2134,2150,24400,10395.0,787478.0
1999-06-11,2151,2191,2118,2118,48700,10237.0,787478.0
1999-06-14,2118,2175,2085,2134,42800,10316.0,787478.0
1999-06-15,2053,2151,1971,2069,21350,10001.0,787478.0
1999-06-16,2004,2134,2004,2020,15500,9765.0,787478.0
1999-06-17,2037,2094,2020,2061,18700,9962.0,787478.0
1999-06-18,2037,2085,2020,2020,11550,9765.0,787478.0
1999-06-21,2004,2053,1939,1987,21050,9607.0,787478.0
1999-06-22,1988,2020,1955,1971,31650,9528.0,787478.0
1999-06-23,2004,2102,1988,2004,31200,9686.0,787478.0
1999-06-24,2069,2069,2020,2036,27950,9843.0,787478.0
1999-06-25,2061,2061,1988,1995,25500,9647.0,787478.0
1999-06-28,1971,2004,1971,1979,14800,9568.0,787478.0
1999-06-29,1996,2004,1955,1979,15500,9568.0,787478.0
1999-06-30,1988,2077,1955,1971,32350,9528.0,787478.0
1999-07-01,1988,2085,1988,2036,40900,9843.0,787478.0
1999-07-02,2102,2330,2053,2199,73950,10631.0,787478.0
1999-07-05,2281,2330,2151,2215,48650,10710.0,787478.0
1999-07-06,2216,2216,2118,2150,39850,10395.0,787478.0
