강남제비스코(000860),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,4384,4519,4354,4399,100300,28574.0,975216.0
1999-01-05,4219,4654,4219,4654,188550,30232.0,975216.0
1999-01-06,4729,5338,4729,5224,492550,33938.0,975216.0
1999-01-07,5270,5555,5180,5285,276700,34328.0,975216.0
1999-01-08,4805,5330,4805,5330,124950,34620.0,975216.0
1999-01-11,5420,5630,5270,5540,131850,35985.0,975216.0
1999-01-12,5255,5570,5210,5405,129750,35108.0,975216.0
1999-01-13,5480,5856,5405,5555,170850,36083.0,975216.0
1999-01-14,5495,5495,5075,5119,94800,33255.0,975216.0
1999-01-15,5135,5285,4880,5224,64250,33938.0,975216.0
1999-01-18,5555,5555,5255,5450,95450,35400.0,975216.0
1999-01-19,5600,5600,5255,5254,60000,34133.0,975216.0
1999-01-20,5030,5240,5030,5224,51000,33938.0,975216.0
1999-01-21,5030,5075,4820,4894,31900,31792.0,975216.0
1999-01-22,4850,4880,4579,4804,68050,31207.0,975216.0
1999-01-25,4925,4925,4594,4594,21250,29842.0,975216.0
1999-01-26,4579,4760,4354,4504,18800,29256.0,975216.0
1999-01-27,4369,4504,4279,4459,45800,28964.0,975216.0
1999-01-28,4504,4654,4504,4654,21500,30232.0,975216.0
1999-01-29,4654,4654,4504,4654,24150,30232.0,975216.0
1999-02-01,4880,5030,4654,4654,56950,30232.0,975216.0
1999-02-02,4955,5030,4654,4744,61900,30817.0,975216.0
1999-02-03,4745,4790,4504,4579,18550,29744.0,975216.0
1999-02-04,4504,4519,4294,4504,18200,29256.0,975216.0
1999-02-05,4504,4504,4354,4354,19000,28281.0,975216.0
1999-02-08,4234,4452,4234,4384,29400,28476.0,975216.0
1999-02-09,4354,4354,4129,4158,19100,27013.0,975216.0
1999-02-10,4159,4294,3994,4294,21050,27891.0,975216.0
1999-02-11,4204,4249,4129,4249,15850,27599.0,975216.0
1999-02-12,4129,4324,4129,4264,19400,27696.0,975216.0
1999-02-18,4354,4354,4264,4279,10450,27794.0,975216.0
1999-02-19,4204,4204,4084,4203,25700,27306.0,975216.0
1999-02-22,4129,4129,3949,3948,14450,25648.0,975216.0
1999-02-23,3949,3949,3829,3903,9200,25356.0,975216.0
1999-02-24,3904,3979,3829,3963,17900,25746.0,975216.0
1999-02-25,3904,3949,3829,3948,21350,25648.0,975216.0
1999-02-26,3904,4054,3904,4023,4050,26136.0,975216.0
1999-03-02,4024,4294,4024,4203,18450,27306.0,975216.0
1999-03-03,4129,4204,4069,4203,4600,27306.0,975216.0
1999-03-04,4024,4204,4024,4053,5650,26331.0,975216.0
1999-03-05,4084,4174,4069,4128,5600,26818.0,975216.0
1999-03-08,4136,4279,4136,4279,12250,27794.0,975216.0
1999-03-09,4309,4519,4204,4249,16350,27599.0,975216.0
1999-03-10,4219,4279,4129,4279,2750,27794.0,975216.0
1999-03-11,4204,4279,4174,4279,23950,27794.0,975216.0
1999-03-12,4279,4414,4279,4414,39750,28671.0,975216.0
1999-03-15,4339,4489,4279,4369,45400,28379.0,975216.0
1999-03-16,4399,4504,4399,4429,25750,28769.0,975216.0
1999-03-17,4444,4444,4354,4376,20050,28428.0,975216.0
1999-03-18,4354,4654,4279,4654,50100,30232.0,975216.0
1999-03-19,4654,4654,4504,4594,42200,29842.0,975216.0
1999-03-22,4594,4790,4549,4789,31750,31109.0,975216.0
1999-03-23,4775,4805,4609,4624,42400,30037.0,975216.0
1999-03-24,4579,4684,4564,4639,23300,30134.0,975216.0
1999-03-25,4639,4654,4594,4654,20250,30232.0,975216.0
1999-03-26,4519,4805,4519,4804,36650,31207.0,975216.0
1999-03-29,4805,4805,4564,4654,50600,30232.0,975216.0
1999-03-30,4654,4797,4654,4782,42950,31061.0,975216.0
1999-03-31,4782,4880,4654,4804,42100,31207.0,975216.0
1999-04-01,4880,5000,4729,4954,52600,32182.0,975216.0
1999-04-02,4955,5180,4955,5029,34450,32670.0,975216.0
1999-04-06,5105,5255,5105,5194,35900,33742.0,975216.0
1999-04-07,5255,5480,5105,5345,89200,34718.0,975216.0
1999-04-08,5315,5345,5165,5345,20750,34718.0,975216.0
1999-04-09,5540,5540,5135,5254,27100,34133.0,975216.0
1999-04-12,5180,5225,5045,5104,36550,33157.0,975216.0
1999-04-13,5030,5030,4925,5029,47700,32670.0,975216.0
1999-04-14,5030,5180,5030,5104,79800,33157.0,975216.0
1999-04-15,5105,5270,5105,5254,50000,34133.0,975216.0
1999-04-16,5262,5262,5030,5029,52600,32670.0,975216.0
1999-04-19,5030,5255,4977,5254,58850,34133.0,975216.0
1999-04-20,5255,5255,5105,5104,47050,33157.0,975216.0
1999-04-21,5105,5180,5030,5029,56600,32670.0,975216.0
1999-04-22,5105,5180,4775,4804,152350,31207.0,975216.0
1999-04-23,5255,5525,5060,5525,206350,35888.0,975216.0
1999-04-26,5705,5780,5510,5630,218500,36571.0,975216.0
1999-04-27,5780,5780,5330,5705,84400,37058.0,975216.0
1999-04-28,5630,6021,5428,5975,115550,38814.0,975216.0
1999-04-29,5976,6216,5705,5810,80800,37741.0,975216.0
1999-04-30,5856,5991,5600,5735,88350,37253.0,975216.0
1999-05-03,5856,6306,5811,6305,140300,40959.0,975216.0
1999-05-04,6456,6756,6396,6591,146700,42812.0,975216.0
