동원수산(030720),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,5781,6433,5781,5836,22160,12720.0,2000000.0
1999-01-05,5928,6194,5653,5964,26360,13000.0,2000000.0
1999-01-06,6332,6561,6102,6515,86600,14200.0,2000000.0
1999-01-07,6873,6974,6423,6560,58410,14300.0,2000000.0
1999-01-08,6148,6552,6148,6377,41430,13900.0,2000000.0
1999-01-11,6423,7332,6423,7065,128870,15400.0,2000000.0
1999-01-12,7249,8057,6928,7845,143510,17100.0,2000000.0
1999-01-13,9020,9020,9020,9020,49160,19660.0,2000000.0
1999-01-14,10369,10369,10369,10369,103290,22600.0,2000000.0
1999-01-15,10828,11011,9360,10277,546590,22400.0,2000000.0
1999-01-18,10553,11562,10369,10552,288780,23000.0,2000000.0
1999-01-19,10598,10736,8993,8992,111960,19600.0,2000000.0
1999-01-20,8809,9635,8075,8442,87760,18400.0,2000000.0
1999-01-21,8304,8626,7625,7625,65610,16620.0,2000000.0
1999-01-22,7809,8213,7524,7570,92790,16500.0,2000000.0
1999-01-25,7570,7892,7258,7350,54560,16020.0,2000000.0
1999-01-26,7616,7983,6607,6973,46890,15200.0,2000000.0
1999-01-27,6625,7341,6625,7340,57960,16000.0,2000000.0
1999-01-28,7800,7892,7194,7616,82090,16600.0,2000000.0
1999-01-29,7708,7708,7157,7524,40460,16400.0,2000000.0
1999-02-01,7616,8653,7616,8653,64910,18860.0,2000000.0
1999-02-02,9910,9910,9222,9910,303320,21600.0,2000000.0
1999-02-03,9773,10920,9360,9680,347360,21100.0,2000000.0
1999-02-04,9268,9773,8350,8543,94940,18620.0,2000000.0
1999-02-05,8717,9543,8543,8992,161770,19600.0,2000000.0
1999-02-08,9084,9084,8442,8717,67440,19000.0,2000000.0
1999-02-09,7800,8213,7708,7799,60150,17000.0,2000000.0
1999-02-10,7176,8075,7176,7707,54660,16800.0,2000000.0
1999-02-11,7708,8075,7616,7717,43240,16820.0,2000000.0
1999-02-12,7901,8075,7892,7974,47050,17380.0,2000000.0
1999-02-18,8259,8259,7524,7616,25890,16600.0,2000000.0
1999-02-19,7524,7524,6928,7258,36040,15820.0,2000000.0
1999-02-22,6882,8249,6882,7616,102280,16600.0,2000000.0
1999-02-23,7974,7974,7341,7350,33300,16020.0,2000000.0
1999-02-24,7433,7433,6882,6882,30620,15000.0,2000000.0
1999-02-25,7011,7011,6533,6625,35610,14440.0,2000000.0
1999-02-26,6433,7249,6433,6973,26040,15200.0,2000000.0
1999-03-02,7066,7479,7066,7249,31200,15800.0,2000000.0
1999-03-03,7066,7341,6790,6882,29090,15000.0,2000000.0
1999-03-04,6974,7203,6882,7074,27310,15420.0,2000000.0
1999-03-05,7066,7249,7066,7184,34040,15660.0,2000000.0
1999-03-08,7341,7524,7295,7524,47030,16400.0,2000000.0
1999-03-09,7524,7662,7387,7524,43020,16400.0,2000000.0
1999-03-10,7341,7387,7167,7249,18920,15800.0,2000000.0
1999-03-11,7524,7800,6974,7616,50710,16600.0,2000000.0
1999-03-12,7781,8525,7781,8084,95270,17620.0,2000000.0
1999-03-15,8268,8717,8259,8258,93560,18000.0,2000000.0
1999-03-16,8433,8433,8029,8120,52530,17700.0,2000000.0
