SK(034730),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-11-11,32250,36550,31550,35650,7755136,1782500.0,50000000.0
2009-11-12,36000,38000,35700,37050,2210381,1852500.0,50000000.0
2009-11-13,37600,38300,35750,35750,1189162,1787500.0,50000000.0
2009-11-16,35750,38150,35750,37900,978617,1895000.0,50000000.0
2009-11-17,38400,38800,37200,38400,745654,1920000.0,50000000.0
2009-11-18,38500,38700,37800,38100,463238,1905000.0,50000000.0
2009-11-19,38400,40150,38250,39850,995245,1992500.0,50000000.0
2009-11-20,39850,42500,39350,41000,1043494,2050000.0,50000000.0
2009-11-23,41050,42150,40350,41650,469349,2082500.0,50000000.0
2009-11-24,42200,42300,41150,41500,444040,2075000.0,50000000.0
2009-11-25,41450,45650,41450,45000,939520,2250000.0,50000000.0
2009-11-26,45500,47850,45200,47600,1079445,2380000.0,50000000.0
2009-11-27,47050,51100,45600,47200,1927043,2360000.0,50000000.0
2009-11-30,49000,50500,47400,47800,1008738,2390000.0,50000000.0
2009-12-01,48050,48650,44100,44300,1399505,2215000.0,50000000.0
2009-12-02,45100,46200,44000,45050,694884,2252500.0,50000000.0
2009-12-03,45450,47800,45100,47650,674154,2382500.0,50000000.0
2009-12-04,47800,48700,47350,47600,425687,2380000.0,50000000.0
2009-12-07,47550,47850,45200,46050,883973,2302500.0,50000000.0
2009-12-08,45600,45950,44650,44950,427591,2247500.0,50000000.0
2009-12-09,44950,45900,44950,45350,315544,2267500.0,50000000.0
2009-12-10,45350,46600,44400,46300,447482,2315000.0,50000000.0
2009-12-11,47000,47650,46250,46700,604893,2335000.0,50000000.0
2009-12-14,47400,49450,47250,49100,766945,2455000.0,50000000.0
2009-12-15,49700,49700,48700,48700,440119,2435000.0,50000000.0
2009-12-16,49300,51100,49100,49700,696679,2485000.0,50000000.0
2009-12-17,50000,50000,48450,49400,390053,2470000.0,50000000.0
2009-12-18,48650,49350,48400,48600,251586,2430000.0,50000000.0
2009-12-21,48300,49600,48100,48550,281217,2427500.0,50000000.0
2009-12-22,48900,49150,48200,48900,214354,2445000.0,50000000.0
2009-12-23,48500,48900,46700,47100,556547,2355000.0,50000000.0
2009-12-24,47000,47100,45700,46400,442213,2320000.0,50000000.0
2009-12-28,45400,46350,44850,44850,554457,2242500.0,50000000.0
2009-12-29,44700,45900,42550,43200,523312,2160000.0,50000000.0
2009-12-30,43500,44800,41900,44800,381188,2240000.0,50000000.0
2010-01-04,45300,47600,44700,47250,417372,2362500.0,50000000.0
2010-01-05,48000,49800,47350,49050,814860,2452500.0,50000000.0
2010-01-06,49250,51300,48600,50000,716281,2500000.0,50000000.0
2010-01-07,50000,52500,49700,52100,718497,2605000.0,50000000.0
2010-01-08,52400,58500,51000,55000,1100618,2750000.0,50000000.0
2010-01-11,55000,55500,53300,55000,928868,2750000.0,50000000.0
2010-01-12,54400,57500,53400,55900,884380,2795000.0,50000000.0
2010-01-13,56000,58000,55600,56000,348502,2800000.0,50000000.0
2010-01-14,56000,57000,54400,55600,404416,2780000.0,50000000.0
2010-01-15,55900,59800,55300,59500,734059,2975000.0,50000000.0
2010-01-18,59300,60600,58600,60100,408102,3005000.0,50000000.0
2010-01-19,60500,60600,58200,58500,393920,2925000.0,50000000.0
2010-01-20,59200,59900,58000,58400,325732,2920000.0,50000000.0
2010-01-21,57500,60000,57100,58900,280620,2945000.0,50000000.0
2010-01-22,58000,59000,56800,57700,315639,2885000.0,50000000.0
2010-01-25,56200,58300,56200,57700,328443,2885000.0,50000000.0
2010-01-26,58200,59700,56600,57100,311281,2855000.0,50000000.0
2010-01-27,56800,57400,54800,55100,420236,2755000.0,50000000.0
2010-01-28,55700,57200,53900,56000,415602,2800000.0,50000000.0
2010-01-29,55100,55600,50000,52400,410446,2620000.0,50000000.0
2010-02-01,52400,53900,51600,52700,240542,2635000.0,50000000.0
2010-02-02,53800,56200,53400,54800,294094,2740000.0,50000000.0
2010-02-03,55100,56200,54500,55000,188231,2750000.0,50000000.0
2010-02-04,55000,55000,53000,54600,240119,2730000.0,50000000.0
2010-02-05,52000,52900,50300,50900,387178,2545000.0,50000000.0
2010-02-08,51000,52200,50100,50300,177176,2515000.0,50000000.0
2010-02-09,50100,51800,49600,51500,197496,2575000.0,50000000.0
2010-02-10,52200,52800,50100,50100,277276,2505000.0,50000000.0
2010-02-11,50300,51200,50100,51100,186334,2555000.0,50000000.0
2010-02-12,51700,53000,51100,52800,177556,2640000.0,50000000.0
2010-02-16,53000,54000,52500,53300,185444,2665000.0,50000000.0
2010-02-17,53800,55600,53800,55200,392687,2760000.0,50000000.0
2010-02-18,55400,55700,54400,54900,162563,2745000.0,50000000.0
2010-02-19,54500,57300,54400,55800,416815,2790000.0,50000000.0
2010-02-22,56900,58400,56500,57900,433497,2895000.0,50000000.0
2010-02-23,57700,58400,56800,57600,181948,2880000.0,50000000.0
2010-02-24,56700,57600,56200,57400,104661,2870000.0,50000000.0
2010-02-25,57600,58300,55500,56200,182670,2810000.0,50000000.0
2010-02-26,56300,58500,55600,58500,188740,2925000.0,50000000.0
2010-03-02,59200,60000,58500,58900,399102,2945000.0,50000000.0
2010-03-03,59100,60000,58300,59000,201513,2950000.0,50000000.0
2010-03-04,59500,59900,58300,59900,206723,2995000.0,50000000.0
2010-03-05,60000,63100,60000,63100,635642,3155000.0,50000000.0
2010-03-08,64300,64300,62300,62600,333335,3130000.0,50000000.0
2010-03-09,62600,65500,62000,64000,389582,3200000.0,50000000.0
2010-03-10,63800,65100,63400,64100,210760,3205000.0,50000000.0
2010-03-11,64100,65600,63200,63400,321467,3170000.0,50000000.0
2010-03-12,63700,64000,62100,63300,204162,3165000.0,50000000.0
