티비에이치글로벌(084870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-12-19,11371,11572,9665,10100,1016056,172140.0,11400000.0
2005-12-20,9766,10936,9766,10133,258283,172710.0,11400000.0
2005-12-21,10368,10535,10033,10100,143660,172140.0,11400000.0
2005-12-22,10401,11003,10234,10802,241959,184110.0,11400000.0
2005-12-23,10702,10802,10067,10300,116186,175560.0,11400000.0
2005-12-26,10468,10468,10000,10033,56796,171000.0,11400000.0
2005-12-27,9832,10167,9832,10033,77439,171000.0,11400000.0
2005-12-28,10033,10368,10033,10100,57740,172140.0,11400000.0
2005-12-29,10067,10133,9966,10133,49680,172710.0,11400000.0
2006-01-02,10334,10334,9966,10166,37817,173280.0,11400000.0
2006-01-03,10167,10301,10033,10300,35390,175560.0,11400000.0
2006-01-04,10301,11839,10301,11839,220900,201780.0,11400000.0
2006-01-05,12040,12575,11204,12240,143160,208620.0,11400000.0
2006-01-06,12240,14046,12040,14046,108052,239400.0,11400000.0
2006-01-09,16053,16153,15083,16153,280809,275310.0,11400000.0
2006-01-10,17324,18561,16622,17056,690023,290700.0,11400000.0
2006-01-11,17725,17725,14548,15317,260176,261060.0,11400000.0
2006-01-12,15250,15250,14247,14380,134100,245100.0,11400000.0
2006-01-13,14080,15585,13712,14581,159512,248520.0,11400000.0
2006-01-16,14247,14983,13879,14012,75307,238830.0,11400000.0
2006-01-17,13645,13979,12174,12273,162724,209190.0,11400000.0
2006-01-18,12374,14113,12073,13711,247354,233700.0,11400000.0
2006-01-19,12040,13010,11705,12374,1274196,210900.0,11400000.0
2006-01-20,12040,12240,11638,11872,540752,202350.0,11400000.0
2006-01-23,11371,12174,10133,10936,283891,186390.0,11400000.0
2006-01-24,10903,11638,10836,11303,220579,192660.0,11400000.0
2006-01-25,11304,12006,11271,11772,279261,200640.0,11400000.0
2006-01-26,11638,11939,10903,11839,294030,201780.0,11400000.0
2006-01-27,12174,13244,11873,12206,595540,208050.0,11400000.0
2006-01-31,12541,12675,12207,12407,243415,211470.0,11400000.0
2006-02-01,12408,12441,11505,11705,296099,199500.0,11400000.0
2006-02-02,12040,12508,11873,12307,458963,209760.0,11400000.0
2006-02-03,12073,12408,11505,12073,359305,205770.0,11400000.0
2006-02-06,11839,12541,11806,12507,391956,213180.0,11400000.0
2006-02-07,12642,12675,12240,12441,228605,212040.0,11400000.0
2006-02-08,12307,13076,12307,12675,311590,216030.0,11400000.0
2006-02-09,12809,12842,12374,12441,173300,212040.0,11400000.0
2006-02-10,12408,12842,12307,12675,148436,216030.0,11400000.0
2006-02-13,12742,13110,12541,13109,248846,223440.0,11400000.0
2006-02-14,13076,13277,12809,12808,232226,218310.0,11400000.0
2006-02-15,12976,12976,12174,12340,217858,210330.0,11400000.0
2006-02-16,12341,12441,12040,12240,120085,208620.0,11400000.0
2006-02-17,12274,12441,11906,12173,132555,207480.0,11400000.0
2006-02-20,12040,12374,12040,12307,85940,209760.0,11400000.0
2006-02-21,12307,12374,11906,12039,105169,205200.0,11400000.0
2006-02-22,12006,12107,11806,11839,60094,201780.0,11400000.0
2006-02-23,11873,12073,11806,12006,82763,204630.0,11400000.0
2006-02-24,12006,12475,11806,12441,105400,212040.0,11400000.0
2006-02-27,12642,12642,12307,12307,45220,209760.0,11400000.0
2006-02-28,12174,12207,11939,12206,107921,208050.0,11400000.0
2006-03-02,12341,12709,12240,12574,116700,214320.0,11400000.0
2006-03-03,12508,12508,11973,12307,90067,209760.0,11400000.0
2006-03-06,12207,12374,12006,12307,62600,209760.0,11400000.0
2006-03-07,12307,12307,12006,12006,49570,204630.0,11400000.0
2006-03-08,11839,12140,11839,12106,39030,206340.0,11400000.0
2006-03-09,12240,12274,11939,12073,57580,205770.0,11400000.0
2006-03-10,12040,12174,11973,12073,31834,205770.0,11400000.0
2006-03-13,12107,12575,12107,12240,74588,208620.0,11400000.0
2006-03-14,12174,12307,12174,12307,38439,209760.0,11400000.0
2006-03-15,12441,12441,12174,12173,34821,207480.0,11400000.0
2006-03-16,12040,12174,11103,12006,186595,204630.0,11400000.0
2006-03-17,11906,11906,11404,11504,50305,196080.0,11400000.0
2006-03-20,11438,11672,11371,11370,41792,193800.0,11400000.0
2006-03-21,11304,11605,11237,11538,53562,196650.0,11400000.0
2006-03-22,11337,11538,11103,11237,41700,191520.0,11400000.0
