제일약품(271980),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-07-17,47165,53382,42949,47022,863566,691196.0,10504493.0
2017-07-18,47165,51310,46093,48738,458120,716406.0,10504493.0
2017-07-19,48594,49309,46593,47165,178872,693297.0,10504493.0
2017-07-20,46879,47451,43735,45593,171148,670187.0,10504493.0
2017-07-21,44950,46236,44306,46236,78547,679641.0,10504493.0
2017-07-24,46307,48880,45807,48880,91714,718507.0,10504493.0
2017-07-25,49094,50452,48737,50453,87104,741617.0,10504493.0
2017-07-26,50452,51167,49523,50953,59200,748970.0,10504493.0
2017-07-27,50952,51453,50238,50881,65773,747920.0,10504493.0
2017-07-28,50952,51310,48165,51096,70385,751071.0,10504493.0
2017-07-31,50809,51310,50023,51310,46095,754223.0,10504493.0
2017-08-01,51238,51453,50309,51453,38393,756323.0,10504493.0
2017-08-02,51453,51524,50452,51382,64667,755273.0,10504493.0
2017-08-03,51310,51453,50095,51024,48457,750021.0,10504493.0
2017-08-04,50738,51024,49880,50596,43454,743718.0,10504493.0
2017-08-07,50023,50452,49666,50238,32131,738466.0,10504493.0
2017-08-08,49809,50881,49809,50381,39879,740567.0,10504493.0
2017-08-09,50524,50524,49880,50381,19647,740567.0,10504493.0
2017-08-10,50238,50667,49809,50524,30414,742668.0,10504493.0
2017-08-11,50166,50381,49523,50167,28647,737415.0,10504493.0
2017-08-14,49737,50309,49523,49667,12160,730062.0,10504493.0
2017-08-16,49809,49809,43234,44307,114439,651279.0,10504493.0
2017-08-17,43735,43735,40590,42377,257724,622916.0,10504493.0
2017-08-18,41305,42091,35552,36303,570627,533628.0,10504493.0
2017-08-21,35945,37017,33265,33480,466169,492135.0,10504493.0
2017-08-22,34302,36303,34159,34910,384665,513144.0,10504493.0
2017-08-23,34730,35159,33766,34910,148517,513144.0,10504493.0
2017-08-24,35195,35802,35088,35374,110189,519972.0,10504493.0
2017-08-25,35374,35802,34980,35374,61768,519972.0,10504493.0
2017-08-28,35159,35945,35088,35696,53786,524699.0,10504493.0
2017-08-29,35659,36017,35338,35803,46219,526275.0,10504493.0
2017-08-30,35802,36088,35624,35731,36430,525225.0,10504493.0
2017-08-31,35731,35802,35195,35481,37864,521548.0,10504493.0
2017-09-01,35695,35695,35338,35338,24098,519447.0,10504493.0
2017-09-04,34159,35624,34123,35588,42155,523124.0,10504493.0
2017-09-05,35481,36017,35123,36017,35307,529426.0,10504493.0
2017-09-06,35945,36017,35588,35731,29683,525225.0,10504493.0
2017-09-07,35731,36017,35516,35874,36044,527326.0,10504493.0
2017-09-08,35874,36088,35481,35874,26170,527326.0,10504493.0
2017-09-11,35945,39518,35659,39519,165501,580898.0,10504493.0
2017-09-12,40019,40876,39661,40019,126924,588252.0,10504493.0
2017-09-13,40519,40590,39661,40019,59707,588252.0,10504493.0
2017-09-14,39876,42663,39876,42520,102742,625017.0,10504493.0
2017-09-15,42162,44163,42162,44092,111527,648127.0,10504493.0
2017-09-18,44092,44163,43163,44021,60652,647077.0,10504493.0
2017-09-19,44092,44163,43377,44021,36339,647077.0,10504493.0
2017-09-20,44235,45736,43449,43664,62183,641825.0,10504493.0
2017-09-21,43234,43949,38089,38375,151371,564091.0,10504493.0
2017-09-22,38303,39161,35302,36517,108841,536780.0,10504493.0
2017-09-25,35516,36803,34659,36660,75829,538880.0,10504493.0
2017-09-26,36660,38089,36445,37375,35224,549385.0,10504493.0
2017-09-27,37374,40090,36803,38375,77960,564091.0,10504493.0
2017-09-28,38518,39518,37660,38590,27745,567243.0,10504493.0
2017-09-29,38232,39161,38089,38590,21993,567243.0,10504493.0
2017-10-10,38232,38875,36946,37232,27099,547284.0,10504493.0
2017-10-11,36946,37660,36445,37375,32950,549385.0,10504493.0
2017-10-12,37732,39304,37089,38590,52722,567243.0,10504493.0
2017-10-13,38303,38875,37374,37875,29855,556738.0,10504493.0
2017-10-16,38375,39590,38303,39090,56126,574596.0,10504493.0
2017-10-17,39590,48594,39447,44736,543548,657581.0,10504493.0
2017-10-18,44807,46808,42091,42377,271336,622916.0,10504493.0
2017-10-19,43091,43163,40447,40877,84663,600857.0,10504493.0
2017-10-20,40805,41591,39876,41020,46843,602958.0,10504493.0
2017-10-23,40805,43091,40805,42592,61334,626068.0,10504493.0
2017-10-24,43234,43306,42234,42306,30673,621866.0,10504493.0
2017-10-25,43592,46093,43091,45379,212488,667035.0,10504493.0
2017-10-26,45879,46593,44664,45522,79928,669136.0,10504493.0
2017-10-27,45593,46093,45235,45879,75720,674388.0,10504493.0
