DB손해보험(005830),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,1469,1609,1450,1543,806000,99000.0,6000000.0
1999-01-05,1591,1628,1544,1613,1349300,103500.0,6000000.0
1999-01-06,1637,1825,1619,1824,2772900,117000.0,6000000.0
1999-01-07,1825,2096,1768,2058,4372100,132000.0,6000000.0
1999-01-08,2012,2133,1955,2020,1916100,129600.0,6000000.0
1999-01-11,2058,2255,1965,2189,1925100,140400.0,6000000.0
1999-01-12,2227,2264,2143,2226,1793700,142800.0,6000000.0
1999-01-13,2227,2246,2105,2151,1463800,138000.0,6000000.0
1999-01-14,1918,2058,1881,1880,818900,120600.0,6000000.0
1999-01-15,1899,2105,1890,2011,1009900,129000.0,6000000.0
1999-01-18,2152,2311,2058,2236,1523600,143400.0,6000000.0
1999-01-19,2236,2236,2105,2133,708300,136800.0,6000000.0
1999-01-20,2105,2180,2058,2067,782700,132600.0,6000000.0
1999-01-21,1923,2021,1871,1983,544200,127200.0,6000000.0
1999-01-22,1946,2002,1871,1899,507300,121800.0,6000000.0
1999-01-25,1904,1909,1778,1777,306500,114000.0,6000000.0
1999-01-26,1829,1899,1731,1730,535300,111000.0,6000000.0
1999-01-27,1684,1796,1553,1749,1059500,112200.0,6000000.0
1999-01-28,1759,1853,1740,1805,623400,115800.0,6000000.0
1999-01-29,1778,1918,1768,1824,341900,117000.0,6000000.0
1999-02-01,1694,1899,1694,1833,349900,117600.0,6000000.0
1999-02-02,1834,1834,1740,1777,303100,114000.0,6000000.0
1999-02-03,1731,1815,1703,1730,405100,111000.0,6000000.0
1999-02-04,1731,1778,1665,1684,604800,108000.0,6000000.0
1999-02-05,1722,1871,1684,1730,1124500,111000.0,6000000.0
1999-02-08,1778,1806,1703,1702,324500,109200.0,6000000.0
1999-02-09,1684,1684,1572,1599,325100,102600.0,6000000.0
1999-02-10,1525,1637,1525,1609,192700,103200.0,6000000.0
1999-02-11,1628,1647,1609,1623,186900,104100.0,6000000.0
1999-02-12,1623,1815,1623,1759,434400,112800.0,6000000.0
1999-02-18,1806,1806,1712,1730,246900,111000.0,6000000.0
1999-02-19,1684,1703,1619,1665,252800,106800.0,6000000.0
1999-02-22,1591,1637,1544,1590,346400,102000.0,6000000.0
1999-02-23,1591,1600,1525,1562,441000,100200.0,6000000.0
1999-02-24,1544,1591,1544,1562,151500,100200.0,6000000.0
1999-02-25,1525,1581,1525,1562,98700,100200.0,6000000.0
1999-02-26,1572,1637,1572,1637,140100,105000.0,6000000.0
1999-03-02,1637,1731,1637,1702,263700,109200.0,6000000.0
1999-03-03,1722,1722,1651,1702,244800,109200.0,6000000.0
1999-03-04,1647,1778,1647,1749,390800,112200.0,6000000.0
1999-03-05,1778,1871,1768,1838,906100,117900.0,6000000.0
1999-03-08,1918,2058,1871,2058,1047200,132000.0,6000000.0
1999-03-09,2086,2086,1965,2002,865400,128400.0,6000000.0
1999-03-10,1974,2040,1946,2011,337400,129000.0,6000000.0
1999-03-11,2058,2096,2021,2095,780700,134400.0,6000000.0
1999-03-12,2115,2208,2077,2180,1430800,139800.0,6000000.0
1999-03-15,2119,2367,2119,2273,1487100,145800.0,6000000.0
1999-03-16,2274,2433,2208,2399,1535800,153900.0,6000000.0
1999-03-17,2428,2433,2255,2320,1252200,148800.0,6000000.0
1999-03-18,2292,2320,2217,2292,749800,147000.0,6000000.0
1999-03-19,2246,2339,2246,2273,444500,145800.0,6000000.0
1999-03-22,2250,2367,2250,2339,763800,150000.0,6000000.0
1999-03-23,2386,2386,2264,2311,571900,148200.0,6000000.0
1999-03-24,2339,2461,2339,2413,1141500,154800.0,6000000.0
1999-03-25,2339,2479,2339,2385,448400,153000.0,6000000.0
1999-03-26,2386,2423,2348,2395,484600,153600.0,6000000.0
1999-03-29,2433,2433,2367,2395,453900,153600.0,6000000.0
1999-03-30,2386,2423,2358,2357,428400,151200.0,6000000.0
1999-03-31,2372,2386,2292,2329,647800,149400.0,6000000.0
1999-04-01,2311,2405,2264,2367,414600,151800.0,6000000.0
1999-04-02,2405,2414,2302,2367,669500,151800.0,6000000.0
1999-04-06,2405,2704,2348,2601,1140100,166800.0,6000000.0
1999-04-07,2620,2900,2582,2806,1290400,180000.0,6000000.0
1999-04-08,2807,2947,2807,2835,1025700,181800.0,6000000.0
1999-04-09,2835,2938,2760,2872,653800,184200.0,6000000.0
1999-04-12,2826,2947,2798,2886,762200,185100.0,6000000.0
1999-04-13,2886,3097,2826,3031,1067100,194400.0,6000000.0
1999-04-14,3022,3069,2929,3031,951400,194400.0,6000000.0
1999-04-15,2975,3312,2975,3312,1225500,212400.0,6000000.0
1999-04-16,3237,3350,3162,3284,1553300,210600.0,6000000.0
1999-04-19,3312,3415,3237,3415,469700,219000.0,6000000.0
1999-04-20,3293,3504,3289,3461,873200,222000.0,6000000.0
1999-04-21,3368,3555,3368,3555,713600,228000.0,6000000.0
1999-04-22,3630,3630,3443,3461,607600,222000.0,6000000.0
1999-04-23,3462,3555,3368,3368,1435200,216000.0,6000000.0
1999-04-26,3462,3874,3279,3873,951900,248400.0,6000000.0
1999-04-27,3967,3967,3607,3733,578400,239400.0,6000000.0
1999-04-28,3640,3724,3565,3611,446800,231600.0,6000000.0
1999-04-29,3555,3602,3312,3368,677600,216000.0,6000000.0
1999-04-30,3415,3705,3322,3471,696800,222600.0,6000000.0
1999-05-03,3649,3649,3415,3461,823800,222000.0,6000000.0
1999-05-04,3509,3537,3340,3443,912600,220800.0,6000000.0
1999-05-06,3509,3948,3509,3882,1450000,249000.0,6000000.0
1999-05-07,3930,4341,3752,4116,1702800,264000.0,6000000.0
1999-05-10,4178,4734,4164,4575,1727800,293400.0,6000000.0
1999-05-11,4575,4725,4388,4388,1692900,281400.0,6000000.0
1999-05-12,4491,4725,4210,4725,1799000,303000.0,6000000.0
1999-05-13,5430,5430,5010,5010,4346800,300600.0,6000000.0
1999-05-14,5180,5240,4410,4800,1299100,288000.0,6000000.0
1999-05-17,4690,4690,4080,4150,1604400,249000.0,6000000.0
1999-05-18,4200,4240,3900,4200,1077500,252000.0,6000000.0
1999-05-19,4400,4420,4250,4250,705100,255000.0,6000000.0
1999-05-20,4200,4250,3810,3900,413000,234000.0,6000000.0
1999-05-21,3900,4000,3850,3850,338100,231000.0,6000000.0
1999-05-24,3880,3900,3650,3650,365300,219000.0,6000000.0
1999-05-25,3510,4170,3510,4100,790800,246000.0,6000000.0
1999-05-26,4350,4500,4120,4350,756800,261000.0,6000000.0
1999-05-27,4500,4500,4200,4200,744800,252000.0,6000000.0
1999-05-28,4350,4350,4100,4200,524000,252000.0,6000000.0
1999-05-31,4100,4290,4100,4130,445500,247800.0,6000000.0
1999-06-01,4110,4180,4010,4065,353700,243900.0,6000000.0
1999-06-02,4070,4250,4070,4180,499500,250800.0,6000000.0
1999-06-03,4180,4270,4000,4080,276500,244800.0,6000000.0
1999-06-04,4120,4200,4080,4200,547900,252000.0,6000000.0
1999-06-07,4350,4610,4180,4610,1337900,276600.0,6000000.0
1999-06-08,4610,4650,4350,4440,841400,266400.0,6000000.0
1999-06-09,4390,4390,4120,4120,397600,247200.0,6000000.0
1999-06-10,4150,4270,4100,4100,674600,246000.0,6000000.0
1999-06-11,4150,4330,4150,4330,1057800,259800.0,6000000.0
1999-06-14,4440,4480,4210,4340,553600,260400.0,6000000.0
1999-06-15,4350,4350,4100,4200,620100,252000.0,6000000.0
1999-06-16,4300,4300,4140,4160,370100,249600.0,6000000.0
1999-06-17,4160,4220,4100,4170,406400,250200.0,6000000.0
1999-06-18,4130,4200,4010,4100,381700,246000.0,6000000.0
1999-06-21,4100,4150,3965,4000,433900,240000.0,6000000.0
1999-06-22,3960,4100,3900,4035,565300,242100.0,6000000.0
1999-06-23,3920,4350,3920,4150,368000,249000.0,6000000.0
1999-06-24,4210,4280,4170,4210,405400,252600.0,6000000.0
1999-06-25,4250,4700,4220,4590,1370200,275400.0,6000000.0
1999-06-28,4790,4870,4650,4660,1702500,279600.0,6000000.0
1999-06-29,4700,4760,4450,4760,573800,285600.0,6000000.0
1999-06-30,4770,5060,4550,5000,1198100,300000.0,6000000.0
1999-07-01,4740,5750,4740,5750,2617400,345000.0,6000000.0
1999-07-02,6050,6610,6050,6610,2193700,396600.0,6000000.0
1999-07-05,7200,7290,6550,6600,2512100,467280.0,7080000.0
1999-07-06,6600,6800,6300,6590,1392400,466572.0,7080000.0
1999-07-07,6700,7500,6650,7000,1689100,495600.0,7080000.0
1999-07-08,7150,7400,6720,7100,1174000,502680.0,7080000.0
1999-07-09,7230,7230,6800,6900,659300,488520.0,7080000.0
1999-07-12,6900,7000,5900,6000,1499900,424800.0,7080000.0
1999-07-13,5800,6020,5610,5800,1228700,410640.0,7080000.0
1999-07-14,5900,6320,5750,5750,1676300,407100.0,7080000.0
1999-07-15,5750,5750,5750,5750,0,407100.0,7080000.0
1999-07-16,5750,5750,5750,5750,0,,
1999-07-19,5750,5750,5750,5750,0,,
1999-07-20,6600,6610,6200,6610,947550,467988.0,70800000.0
1999-07-21,7480,7480,6300,6700,3891030,474360.0,70800000.0
1999-07-22,6700,6700,5700,6260,1732840,443208.0,70800000.0
1999-07-23,5910,6050,5330,5400,1015310,382320.0,70800000.0
1999-07-26,4600,5350,4600,4720,732460,334176.0,70800000.0
1999-07-27,4720,5420,4500,5420,2112770,383736.0,70800000.0
1999-07-28,5500,5700,5150,5500,1894860,389400.0,70800000.0
1999-07-29,5500,5650,5190,5390,1669220,381612.0,70800000.0
1999-07-30,5600,5600,5030,5160,1055690,365328.0,70800000.0
1999-08-02,4830,5000,4600,4800,1689580,339840.0,70800000.0
1999-08-03,5010,5520,4900,5520,2377780,390816.0,70800000.0
1999-08-04,6080,6200,5520,5610,3434980,397188.0,70800000.0
1999-08-05,5500,5510,5010,5150,572020,364620.0,70800000.0
1999-08-06,5240,5450,5010,5350,865490,378780.0,70800000.0
1999-08-09,5260,5700,5250,5400,907260,382320.0,70800000.0
1999-08-10,5450,5600,5100,5300,952170,375240.0,70800000.0
1999-08-11,5200,5590,5100,5250,1093360,371700.0,70800000.0
1999-08-12,5100,5800,5000,5510,1652530,390108.0,70800000.0
