삼성전기(009150),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,25731,26499,24377,25821,1147650,1375487.0,48093955.0
1999-01-05,25822,26093,24287,25280,1284400,1346631.0,48093955.0
1999-01-06,26183,26183,24919,25460,951140,1356250.0,48093955.0
1999-01-07,26183,28440,25461,27988,2663340,1490913.0,48093955.0
1999-01-08,27537,28305,26725,27085,931770,1442819.0,48093955.0
1999-01-11,27086,27537,26634,27221,870190,1450033.0,48093955.0
1999-01-12,27086,27537,25731,26273,566630,1399534.0,48093955.0
1999-01-13,25551,25912,25280,25550,396470,1361059.0,48093955.0
1999-01-14,24738,25190,24287,24738,633000,1317774.0,48093955.0
1999-01-15,24738,25551,24558,25099,502560,1337012.0,48093955.0
1999-01-18,25190,26815,24558,25731,758880,1370678.0,48093955.0
1999-01-19,25280,26544,24829,26273,835290,1399534.0,48093955.0
1999-01-20,25822,26544,25551,26182,834160,1394725.0,48093955.0
1999-01-21,26183,26183,24513,25099,423410,1337012.0,48093955.0
1999-01-22,25009,25009,23926,23925,398730,1274490.0,48093955.0
1999-01-25,23926,24558,23023,23022,392290,1226396.0,48093955.0
1999-01-26,23655,24287,22571,22571,627330,1202349.0,48093955.0
1999-01-27,22571,24197,22210,23654,675400,1260062.0,48093955.0
1999-01-28,23926,24558,23474,24106,597440,1284109.0,48093955.0
1999-01-29,23926,24197,23474,24106,302440,1284109.0,48093955.0
1999-02-01,24467,24558,23655,24196,234740,1288918.0,48093955.0
1999-02-02,24197,24648,23926,23970,1076030,1276895.0,48093955.0
1999-02-03,23565,23655,22933,23203,420880,1236015.0,48093955.0
1999-02-04,23681,23872,22344,23203,379510,1168683.0,48093955.0
1999-02-05,23299,23681,22726,23298,265500,1173493.0,48093955.0
1999-02-08,23108,24063,22917,23585,200940,1187921.0,48093955.0
1999-02-09,22726,23203,21771,21866,227420,1101352.0,48093955.0
1999-02-10,21580,22344,20721,22153,403070,1115780.0,48093955.0
1999-02-11,22010,22726,21867,22248,192060,1120589.0,48093955.0
1999-02-12,22631,23394,22344,23203,287300,1168683.0,48093955.0
1999-02-18,23394,23490,22440,22869,195400,1151850.0,48093955.0
1999-02-19,21962,22821,21007,22725,291990,1144636.0,48093955.0
1999-02-22,21580,22344,21485,21771,200880,1096542.0,48093955.0
1999-02-23,21962,22249,21007,21198,157890,1067686.0,48093955.0
1999-02-24,21007,21676,21007,21675,336380,1091733.0,48093955.0
1999-02-25,21676,22344,21198,21675,275520,1091733.0,48093955.0
1999-02-26,21962,22344,21771,22248,351740,1120589.0,48093955.0
1999-03-02,22344,23012,22344,22439,321540,1130208.0,48093955.0
1999-03-03,22726,22917,21962,22439,204970,1130208.0,48093955.0
1999-03-04,22153,22344,21676,21675,141240,1091733.0,48093955.0
1999-03-05,21771,22487,21676,21866,369840,1101352.0,48093955.0
1999-03-08,22726,24827,22726,24540,723780,1236015.0,48093955.0
1999-03-09,24636,25209,23920,24540,589180,1236015.0,48093955.0
1999-03-10,24731,25018,24349,24731,473490,1245633.0,48093955.0
1999-03-11,25209,25877,24731,25590,650390,1288918.0,48093955.0
1999-03-12,25973,26164,25209,25781,451220,1298537.0,48093955.0
1999-03-15,25973,26211,25113,25781,349550,1298537.0,48093955.0
1999-03-16,25973,27118,25877,26927,812940,1356250.0,48093955.0
1999-03-17,27405,27500,26355,26640,472340,1341821.0,48093955.0
1999-03-18,26450,27882,26450,26640,707800,1341821.0,48093955.0
1999-03-19,26641,28169,26641,27930,964770,1406748.0,48093955.0
1999-03-22,27978,29315,27214,28121,803080,1416367.0,48093955.0
1999-03-23,27930,28407,27309,27691,394290,1394725.0,48093955.0
1999-03-24,27691,27691,26545,26831,485460,1351440.0,48093955.0
1999-03-25,26355,27214,25877,26211,519040,1320179.0,48093955.0
1999-03-26,26307,26736,25782,26259,300630,1322584.0,48093955.0
1999-03-29,25782,26545,25591,26259,218060,1322584.0,48093955.0
1999-03-30,26736,27214,26593,26831,514000,1351440.0,48093955.0
1999-03-31,26832,27023,26355,26831,325440,1351440.0,48093955.0
1999-04-01,26641,27787,26545,27691,472750,1394725.0,48093955.0
1999-04-02,27978,28026,27309,27691,472840,1394725.0,48093955.0
1999-04-06,27691,28121,27405,27691,775310,1394725.0,48093955.0
1999-04-07,27691,28742,27691,27691,936190,1394725.0,48093955.0
1999-04-08,27691,28551,27691,28264,679990,1423581.0,48093955.0
1999-04-09,28551,28885,27739,27977,529750,1409153.0,48093955.0
1999-04-12,27978,27978,27214,27404,584090,1687387.0,58793955.0
1999-04-13,27405,27787,27023,27309,458140,1681507.0,58793955.0
1999-04-14,27500,27500,27023,27213,363340,1675628.0,58793955.0
1999-04-15,27023,28503,27023,28168,994550,1734422.0,58793955.0
1999-04-16,28073,31129,27882,28646,2291490,1763819.0,58793955.0
1999-04-19,30556,30556,29171,29792,1713590,1834371.0,58793955.0
1999-04-20,29792,29792,28503,28646,869030,1763819.0,58793955.0
1999-04-21,27787,28264,27023,27118,1354150,1669748.0,58793955.0
1999-04-22,27405,27882,26927,27691,772420,1705025.0,58793955.0
1999-04-23,28026,28073,27309,27595,477980,1699145.0,58793955.0
1999-04-26,27309,27596,26832,27500,690690,1693266.0,58793955.0
1999-04-27,27739,28073,27023,27213,1015310,1675628.0,58793955.0
1999-04-28,27214,28503,26927,27213,928740,1675628.0,58793955.0
1999-04-29,27309,27882,26450,26450,496990,1628593.0,58793955.0
1999-04-30,26736,27023,26259,26736,569490,1646231.0,58793955.0
1999-05-03,26927,27023,26259,26354,508390,1622713.0,58793955.0
1999-05-04,26450,27500,26450,27213,520890,1675628.0,58793955.0
1999-05-06,27214,29171,26927,28359,2004070,1746180.0,58793955.0
1999-05-07,28646,29315,27787,28359,1323110,1746180.0,58793955.0
1999-05-10,28360,29792,28360,29314,1231820,1804974.0,58793955.0
1999-05-11,29315,29410,27691,27691,644420,1705025.0,58793955.0
1999-05-12,28360,28360,27023,27500,522530,1693266.0,58793955.0
1999-05-13,27214,27500,26355,26450,611940,1628593.0,58793955.0
1999-05-14,27200,27300,25200,26000,352520,1528643.0,58793955.0
1999-05-17,26000,26450,25300,25300,349460,1487487.0,58793955.0
1999-05-18,25500,26000,24800,25200,413110,1481608.0,58793955.0
1999-05-19,25700,25700,24700,24850,350720,1461030.0,58793955.0
1999-05-20,25500,26400,24600,24800,560820,1458090.0,58793955.0
1999-05-21,25000,25200,24300,24700,206050,1452211.0,58793955.0
1999-05-24,25000,25000,24100,24100,147760,1416934.0,58793955.0
1999-05-25,23800,25300,23700,24500,372650,1440452.0,58793955.0
1999-05-26,24600,25200,24200,25100,227490,1475728.0,58793955.0
1999-05-27,25400,25800,25100,25200,457800,1481608.0,58793955.0
1999-05-28,25000,25200,24400,25100,300660,1475728.0,58793955.0
1999-05-31,25000,25800,24700,25100,248310,1475728.0,58793955.0
1999-06-01,25100,26800,24800,26800,533650,1575678.0,58793955.0
1999-06-02,26800,28150,26600,28150,853650,1655050.0,58793955.0
1999-06-03,28000,28150,26500,28000,691730,1646231.0,58793955.0
1999-06-04,27800,28500,27500,27500,845510,1616834.0,58793955.0
1999-06-07,28300,29600,28100,29050,1432430,1707964.0,58793955.0
1999-06-08,29000,29500,28100,28500,788730,1675628.0,58793955.0
1999-06-09,28000,28000,26500,26500,386170,1558040.0,58793955.0
