동양고속(084670),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-07-25,9307,9772,7910,7910,47463,17284.0,1016727.0
2005-07-26,6769,7608,6723,7399,179840,16166.0,1016727.0
2005-07-27,7398,7840,7048,7049,83175,15403.0,1016727.0
2005-07-28,7165,7212,6792,6957,72040,15200.0,1016727.0
2005-07-29,6955,7212,6885,6979,56541,15251.0,1016727.0
2005-08-01,6816,6956,6747,6771,28456,14793.0,1016727.0
2005-08-02,6723,6885,6560,6607,17176,14438.0,1016727.0
2005-08-03,6537,6607,6467,6469,34539,14133.0,1016727.0
2005-08-04,6305,6560,6048,6259,31844,13675.0,1016727.0
2005-08-05,6118,6630,6048,6236,20321,13624.0,1016727.0
2005-08-08,6094,6257,5955,6259,13061,13675.0,1016727.0
2005-08-09,6072,6234,6049,6049,4998,13217.0,1016727.0
2005-08-10,6072,6398,6072,6096,8272,13319.0,1016727.0
2005-08-11,6142,6234,6048,6142,4341,13421.0,1016727.0
2005-08-12,6164,6211,6072,6142,10860,13421.0,1016727.0
2005-08-16,6164,6164,6049,6096,4230,13319.0,1016727.0
2005-08-17,6049,6049,5817,6004,10610,13116.0,1016727.0
2005-08-18,5862,6001,5699,5909,16322,12912.0,1016727.0
2005-08-19,5816,5839,5629,5678,7917,12404.0,1016727.0
2005-08-22,5677,5677,5444,5537,25001,12099.0,1016727.0
2005-08-23,5489,5629,5443,5467,9972,11947.0,1016727.0
2005-08-24,5443,5443,5350,5421,5821,11845.0,1016727.0
2005-08-25,5327,5676,5327,5375,6469,11743.0,1016727.0
2005-08-26,5467,5770,5444,5514,20077,12048.0,1016727.0
2005-08-29,5467,5629,5235,5537,9160,12099.0,1016727.0
2005-08-30,5443,5559,5373,5444,4500,11896.0,1016727.0
2005-08-31,5257,5467,5257,5351,11660,11692.0,1016727.0
2005-09-01,5304,5677,5304,5584,11191,12201.0,1016727.0
2005-09-02,5676,6421,5676,6422,36528,14031.0,1016727.0
2005-09-05,6980,7374,6793,7376,98242,16115.0,1016727.0
2005-09-06,7676,8305,7072,7399,121669,16166.0,1016727.0
2005-09-07,7560,7584,7165,7399,30237,16166.0,1016727.0
2005-09-08,7352,7352,6561,6747,40762,14743.0,1016727.0
2005-09-09,6699,7141,6583,6887,25880,15048.0,1016727.0
2005-09-12,6840,6980,6631,6795,16020,14844.0,1016727.0
2005-09-13,6747,6863,6467,6469,21773,14133.0,1016727.0
2005-09-14,6421,6747,6421,6725,9975,14692.0,1016727.0
2005-09-15,6770,6840,6351,6469,8360,14133.0,1016727.0
2005-09-16,6421,6561,6305,6469,9342,14133.0,1016727.0
