NICE(034310),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2004-02-04,2895,3323,2720,3324,516214,83080.0,6700000.0
2004-02-05,3605,3819,3390,3820,1279025,95475.0,6700000.0
2004-02-06,4074,4382,3886,4383,848526,109545.0,6700000.0
2004-02-09,4771,5039,3726,4209,1798784,105190.0,6700000.0
2004-02-10,4221,4315,3645,3887,748739,97150.0,6700000.0
2004-02-11,3806,3980,3685,3940,621447,98490.0,6700000.0
2004-02-12,3967,4141,3846,3860,508918,96480.0,6700000.0
2004-02-13,3779,3846,3752,3780,145180,94470.0,6700000.0
2004-02-16,3766,3779,3511,3525,196584,88105.0,6700000.0
2004-02-17,3431,3699,3431,3579,183364,89445.0,6700000.0
2004-02-18,3632,3766,3578,3605,140387,90115.0,6700000.0
2004-02-19,3565,3699,3565,3592,101500,89780.0,6700000.0
2004-02-20,3605,3725,3511,3579,127299,89445.0,6700000.0
2004-02-23,3632,3752,3605,3753,109216,93800.0,6700000.0
2004-02-24,3752,3846,3618,3619,80270,90450.0,6700000.0
2004-02-25,3578,3672,3578,3579,70781,89445.0,6700000.0
2004-02-26,3551,3672,3551,3619,51690,90450.0,6700000.0
2004-02-27,3605,3739,3578,3699,46647,92460.0,6700000.0
2004-03-02,3725,3792,3645,3672,65789,91790.0,6700000.0
2004-03-03,3712,3725,3645,3686,41520,92125.0,6700000.0
2004-03-04,3699,3766,3672,3739,69911,93465.0,6700000.0
2004-03-05,3752,3967,3739,3914,130773,97820.0,6700000.0
2004-03-08,3873,4007,3846,3847,241249,96145.0,6700000.0
2004-03-09,3913,4047,3900,3981,142284,99495.0,6700000.0
2004-03-10,3913,3967,3846,3887,55660,97150.0,6700000.0
2004-03-11,3806,3860,3766,3820,35084,95475.0,6700000.0
2004-03-12,3819,3953,3350,3726,103480,93130.0,6700000.0
2004-03-15,3725,3806,3699,3699,39830,92460.0,6700000.0
2004-03-16,3618,3658,3565,3592,41980,89780.0,6700000.0
2004-03-17,3591,3672,3591,3632,59926,90785.0,6700000.0
2004-03-18,3632,3685,3591,3592,29599,89780.0,6700000.0
2004-03-19,3605,3618,3484,3512,42471,87770.0,6700000.0
2004-03-22,3498,3498,3364,3391,37660,84755.0,6700000.0
2004-03-23,3337,3404,3310,3364,26360,84085.0,6700000.0
2004-03-24,3323,3350,3162,3217,61251,80400.0,6700000.0
2004-03-25,3176,3243,2961,3029,56280,75710.0,6700000.0
2004-03-26,3082,3283,3042,3123,43820,78055.0,6700000.0
2004-03-29,3095,3229,3095,3163,26820,79060.0,6700000.0
2004-03-30,3162,3216,3149,3150,25457,78725.0,6700000.0
2004-03-31,3149,3256,3136,3176,18650,79395.0,6700000.0
2004-04-01,3149,3162,3069,3123,27720,78055.0,6700000.0
2004-04-02,3122,3297,3082,3190,32623,79730.0,6700000.0
2004-04-06,3203,3203,3109,3123,59313,78055.0,6700000.0
2004-04-07,3095,3149,3082,3083,30120,77050.0,6700000.0
2004-04-08,3082,3082,3002,3042,44820,76045.0,6700000.0
2004-04-09,3055,3082,3028,3042,12670,76045.0,6700000.0
2004-04-12,3082,3189,2935,3069,86730,76715.0,6700000.0
2004-04-13,3082,3216,3055,3083,28030,77050.0,6700000.0
2004-04-14,3042,3136,3042,3096,16011,77385.0,6700000.0
2004-04-16,3042,3109,3015,3042,17280,76045.0,6700000.0
2004-04-19,3042,3069,2988,3042,7060,76045.0,6700000.0
2004-04-20,2975,3136,2921,2989,86831,74705.0,6700000.0
2004-04-21,2975,3028,2948,3029,37410,75710.0,6700000.0
2004-04-22,3002,3042,2868,2882,97609,72025.0,6700000.0
2004-04-23,2921,2962,2854,2922,53440,73030.0,6700000.0
2004-04-26,2948,3002,2921,2949,54829,73700.0,6700000.0
2004-04-27,2961,3095,2961,3069,53270,76715.0,6700000.0
2004-04-28,3122,3122,2975,3016,24597,75375.0,6700000.0
2004-04-29,2948,3109,2921,3042,42090,76045.0,6700000.0
2004-04-30,3028,3229,3002,3230,122077,80735.0,6700000.0
2004-05-03,3243,3270,3136,3230,65481,80735.0,6700000.0
2004-05-04,3270,3270,3149,3163,57784,79060.0,6700000.0
2004-05-06,3176,3176,2908,2975,111472,74370.0,6700000.0
2004-05-07,2895,3002,2868,2975,34220,74370.0,6700000.0
2004-05-10,2868,2908,2602,2667,68170,66665.0,6700000.0
2004-05-11,2640,2787,2640,2694,46421,67335.0,6700000.0
2004-05-12,2680,2868,2680,2841,43181,71020.0,6700000.0
2004-05-13,2774,2948,2774,2788,22560,69680.0,6700000.0
2004-05-14,2787,2935,2734,2734,38107,68340.0,6700000.0
2004-05-17,2747,2814,2546,2681,48110,67000.0,6700000.0
2004-05-18,2626,2707,2626,2707,32412,67670.0,6700000.0
2004-05-19,2720,2774,2680,2734,28850,68340.0,6700000.0
2004-05-20,2734,2734,2610,2667,25058,66665.0,6700000.0
2004-05-21,2680,2707,2653,2656,10362,66397.0,6700000.0
2004-05-24,2707,2760,2667,2734,32120,68340.0,6700000.0
2004-05-25,2680,2734,2659,2721,18000,68005.0,6700000.0
2004-05-27,2734,2841,2734,2841,15760,71020.0,6700000.0
2004-05-28,2828,2975,2828,2975,22970,74370.0,6700000.0
2004-05-31,2975,2975,2895,2922,11227,73030.0,6700000.0
2004-06-01,2854,2935,2854,2908,9930,72695.0,6700000.0
2004-06-02,2868,2988,2868,2989,12980,74705.0,6700000.0
2004-06-03,2975,3015,2908,2962,25530,74035.0,6700000.0
2004-06-04,2948,3082,2935,3029,63229,75710.0,6700000.0
2004-06-07,3055,3055,3002,3029,5280,75710.0,6700000.0
2004-06-08,2975,3069,2975,3069,10570,76715.0,6700000.0
2004-06-09,3055,3082,3028,3042,3510,76045.0,6700000.0
2004-06-10,3002,3055,3002,3042,8130,76045.0,6700000.0
2004-06-11,3042,3042,2921,2922,17620,73030.0,6700000.0
2004-06-14,2975,2975,2868,2895,42530,72360.0,6700000.0
2004-06-15,2921,2921,2841,2908,3930,72695.0,6700000.0
2004-06-16,2854,2881,2854,2868,1740,71690.0,6700000.0
2004-06-17,2881,2881,2841,2855,4390,71355.0,6700000.0
2004-06-18,2814,2814,2734,2734,5010,68340.0,6700000.0
2004-06-21,2707,2774,2680,2748,3390,68675.0,6700000.0
2004-06-22,2693,2734,2680,2734,31680,68340.0,6700000.0
2004-06-23,2734,2734,2693,2707,5610,67670.0,6700000.0
2004-06-24,2747,2774,2720,2734,5750,68340.0,6700000.0
2004-06-25,2680,2760,2680,2761,12303,69010.0,6700000.0
2004-06-28,2707,2774,2707,2774,5460,69345.0,6700000.0
2004-06-29,2787,2841,2760,2841,4260,71020.0,6700000.0
2004-06-30,2975,2975,2787,2882,13160,72025.0,6700000.0
2004-07-01,2801,2881,2801,2882,1820,72025.0,6700000.0
2004-07-02,2908,3002,2787,2949,12022,73700.0,6700000.0
2004-07-05,2921,3069,2814,3029,12977,75710.0,6700000.0
2004-07-06,3029,3029,2935,2975,2430,74370.0,6700000.0
2004-07-07,2921,2975,2908,2975,5134,74370.0,6700000.0
2004-07-08,2895,2948,2881,2922,3050,73030.0,6700000.0
2004-07-09,2935,2935,2868,2935,2480,73365.0,6700000.0
2004-07-12,2908,2988,2908,2922,4310,73030.0,6700000.0
2004-07-13,2881,3055,2868,2935,9690,73365.0,6700000.0
2004-07-14,2935,2975,2895,2975,2260,74370.0,6700000.0
2004-07-15,2975,2975,2868,2922,7310,73030.0,6700000.0
2004-07-16,2921,3002,2921,2989,10410,74705.0,6700000.0
2004-07-19,2975,3042,2948,3029,9950,75710.0,6700000.0
2004-07-20,3055,3055,2962,2962,3830,74035.0,6700000.0
2004-07-21,2962,3069,2948,3002,15370,75040.0,6700000.0
2004-07-22,2935,2975,2921,2922,4740,73030.0,6700000.0
2004-07-23,3002,3042,2881,2975,6980,74370.0,6700000.0
2004-07-26,2935,2948,2881,2882,25390,72025.0,6700000.0
2004-07-27,2854,2921,2854,2908,1250,72695.0,6700000.0
2004-07-28,2868,2895,2841,2868,7430,71690.0,6700000.0
2004-07-29,2841,2895,2680,2841,3600,71020.0,6700000.0
2004-07-30,2868,2868,2774,2828,1790,70685.0,6700000.0
2004-08-02,2760,2801,2680,2681,3610,67000.0,6700000.0
2004-08-03,2720,2801,2680,2774,8030,69345.0,6700000.0
2004-08-04,2707,2841,2707,2841,8260,71020.0,6700000.0
2004-08-05,2895,2921,2828,2895,5660,72360.0,6700000.0
2004-08-06,2921,2935,2868,2908,16588,72695.0,6700000.0
2004-08-09,2921,2935,2895,2935,5920,73365.0,6700000.0
2004-08-10,2948,2975,2921,2949,29360,73700.0,6700000.0
2004-08-11,2948,2962,2908,2908,10760,72695.0,6700000.0
2004-08-12,2975,2988,2921,2989,8330,74705.0,6700000.0
2004-08-13,3002,3002,2935,2962,5420,74035.0,6700000.0
2004-08-16,3015,3015,2921,2962,12040,74035.0,6700000.0
2004-08-17,3002,3029,2935,2962,17230,74035.0,6700000.0
2004-08-18,3015,3015,2962,2975,8470,74370.0,6700000.0
2004-08-19,3002,3015,2975,3002,4906,75040.0,6700000.0
2004-08-20,3029,3029,2975,3002,4180,75040.0,6700000.0
2004-08-23,3015,3109,2988,3083,11720,77050.0,6700000.0
2004-08-24,3136,3149,3082,3136,8530,78390.0,6700000.0
2004-08-25,3095,3162,3095,3163,14560,79060.0,6700000.0
2004-08-26,3095,3122,3082,3123,6520,78055.0,6700000.0
2004-08-27,3136,3136,3082,3096,9992,77385.0,6700000.0
2004-08-30,3109,3471,3109,3150,95070,78725.0,6700000.0
2004-08-31,3136,3176,3055,3150,33684,78725.0,6700000.0
2004-09-01,3216,3270,3149,3217,16830,80400.0,6700000.0
2004-09-02,3189,3283,3189,3217,43430,80400.0,6700000.0
