SK이노베이션(096770),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-07-25,160000,170000,155000,169500,2853735,15487807.0,91373495.0
2007-07-26,168000,169500,150000,150000,2132041,13706024.0,91373495.0
2007-07-27,147000,159000,139000,148000,1205584,13523277.0,91373495.0
2007-07-30,145000,157500,145000,157500,571034,14391325.0,91373495.0
2007-07-31,155000,159000,152500,157000,368700,14345639.0,91373495.0
2007-08-01,153000,155000,146000,147500,401636,13477591.0,91373495.0
2007-08-02,150000,151000,139000,143000,463777,13066410.0,91373495.0
2007-08-03,146000,146000,137000,137000,684968,12518169.0,91373495.0
2007-08-06,135000,140500,132500,137500,433102,12563856.0,91373495.0
2007-08-07,140500,141500,132500,132500,457116,12106988.0,91373495.0
2007-08-08,134000,138000,133000,136000,459631,12426795.0,91373495.0
2007-08-09,138000,142000,134500,135500,499899,12381109.0,91373495.0
2007-08-10,131000,132000,128000,128500,446585,11741494.0,91373495.0
2007-08-13,130000,133500,127500,132000,537648,12061301.0,91373495.0
2007-08-14,131500,132000,120500,120500,496348,11010506.0,91373495.0
2007-08-16,114000,119000,111500,111500,801013,10188145.0,91373495.0
2007-08-17,113500,118000,110500,112000,408078,10233831.0,91373495.0
2007-08-20,119000,125000,117000,125000,568203,11421687.0,91373495.0
2007-08-21,124000,128000,121000,128000,356646,11695807.0,91373495.0
2007-08-22,127000,128000,122500,124000,608050,11330313.0,91373495.0
2007-08-23,128000,130500,126000,130000,435448,11878554.0,91373495.0
2007-08-24,132500,137000,132000,134000,527467,12244048.0,91373495.0
2007-08-27,142000,144500,135000,136000,519403,12426795.0,91373495.0
2007-08-28,138000,139000,133000,136000,463325,12426795.0,91373495.0
2007-08-29,128500,132000,128500,130000,653450,11878554.0,91373495.0
2007-08-30,132500,133500,128500,131000,557995,11969928.0,91373495.0
2007-08-31,130000,130500,127000,128500,429104,11741494.0,91373495.0
2007-09-03,129500,145000,128500,145000,676331,13249157.0,91373495.0
2007-09-04,142000,147000,140500,141000,451222,12883663.0,91373495.0
2007-09-05,143500,144000,138000,142000,456611,12975036.0,91373495.0
2007-09-06,140000,151000,138500,150500,735704,13751711.0,91373495.0
2007-09-07,155000,159000,152000,158000,1020724,14437012.0,91373495.0
2007-09-10,153500,159500,152000,157000,553323,14345639.0,91373495.0
2007-09-11,157500,160000,155000,156000,477034,14254265.0,91373495.0
2007-09-12,159000,159000,156000,157500,591737,14391325.0,91373495.0
2007-09-13,159500,163500,155000,163500,1087291,14939566.0,91373495.0
2007-09-14,162500,163000,159000,159000,642444,14528386.0,91373495.0
2007-09-17,159000,160500,153000,157000,427193,14345639.0,91373495.0
2007-09-18,160000,160000,148500,148500,278896,13568964.0,91373495.0
2007-09-19,154000,156000,151000,156000,372333,14254265.0,91373495.0
2007-09-20,156000,156000,148500,149000,476325,13614651.0,91373495.0
2007-09-21,149500,153500,148500,151000,365078,13797398.0,91373495.0
2007-09-27,152000,165000,150500,165000,719512,15076627.0,91373495.0
2007-09-28,162000,162500,158500,160000,435425,14619759.0,91373495.0
2007-10-01,160000,161500,154500,156000,466461,14254265.0,91373495.0
2007-10-02,160000,161000,156000,159000,479564,14528386.0,91373495.0
2007-10-04,159000,159500,151500,155500,616437,14208578.0,91373495.0
2007-10-05,154000,155500,147500,147500,751177,13477591.0,91373495.0
2007-10-08,151000,154000,148000,148000,559707,13523277.0,91373495.0
2007-10-09,149000,150000,146500,147500,466101,13477591.0,91373495.0
2007-10-10,151000,156000,150500,156000,660781,14254265.0,91373495.0
2007-10-11,154000,155500,151000,154000,534486,14071518.0,91373495.0
2007-10-12,156000,158500,148000,150500,676043,13751711.0,91373495.0
2007-10-15,152500,153000,148000,149000,541151,13614651.0,91373495.0
2007-10-16,146500,148500,143500,147500,1055224,13477591.0,91373495.0
2007-10-17,150500,156500,147500,156000,980993,14254265.0,91373495.0
2007-10-18,158500,175000,158000,175000,1373694,15990362.0,91373495.0
2007-10-19,175500,177500,168000,168000,548604,15350747.0,91373495.0
2007-10-22,158000,166000,158000,164500,507135,15030940.0,91373495.0
2007-10-23,167000,167000,158000,162500,637828,14848193.0,91373495.0
2007-10-24,162500,168500,151500,155500,858392,14208578.0,91373495.0
2007-10-25,159500,170000,157500,170000,830506,15533494.0,91373495.0
2007-10-26,173500,188000,171000,187500,1276074,17132530.0,91373495.0
2007-10-29,193000,201500,186000,198500,942015,18137639.0,91373495.0
2007-10-30,195500,208500,194000,208500,1049850,19051374.0,91373495.0
2007-10-31,200500,207000,194000,207000,779878,18914313.0,91373495.0
2007-11-01,211000,216000,201000,204000,902245,18640193.0,91373495.0
2007-11-02,198500,209500,197500,200000,459229,18274699.0,91373495.0
2007-11-05,199000,202500,193500,195500,558824,17863518.0,91373495.0
2007-11-06,194500,203500,192500,200000,432128,18274699.0,91373495.0
2007-11-07,205000,215000,199000,210000,873346,19188434.0,91373495.0
2007-11-08,203500,206500,190000,190000,867742,17360964.0,91373495.0
2007-11-09,194000,201000,190000,192500,486072,17589398.0,91373495.0
2007-11-12,190000,201000,180500,180500,548196,16492916.0,91373495.0
2007-11-13,180500,183000,171500,180000,541372,16447229.0,91373495.0
2007-11-14,187000,187000,176000,179000,535049,16355856.0,91373495.0
2007-11-15,181000,182000,165500,165500,495711,15122313.0,91373495.0
2007-11-16,167500,170500,158000,160000,871708,14619759.0,91373495.0
2007-11-19,163500,171500,161000,166500,963865,15213687.0,91373495.0
2007-11-20,167000,178000,164500,173000,689179,15807615.0,91373495.0
2007-11-21,173500,183000,172000,178500,688425,16310169.0,91373495.0
2007-11-22,183000,183000,172000,175000,496350,15990362.0,91373495.0
2007-11-23,175000,180000,165500,175500,604386,16036048.0,91373495.0
2007-11-26,178000,184000,172500,184000,464932,16812723.0,91373495.0
2007-11-27,179000,196000,177500,193000,459250,17635085.0,91373495.0
2007-11-28,193000,194500,179000,179000,576349,16355856.0,91373495.0
2007-11-29,183000,184000,173500,179000,432484,16355856.0,91373495.0
2007-11-30,179000,190500,178000,189500,564409,17315277.0,91373495.0
2007-12-03,185500,187500,182000,184500,299108,16858410.0,91373495.0
2007-12-04,187000,190500,183500,184500,242408,16858410.0,91373495.0
2007-12-05,185000,190000,182000,188500,204062,17223904.0,91373495.0
2007-12-06,190000,191500,182500,184000,283268,16812723.0,91373495.0
2007-12-07,188000,188000,177000,177000,235169,16173109.0,91373495.0
2007-12-10,176500,180500,171500,176500,241720,16127422.0,91373495.0
2007-12-11,177000,187000,174500,184000,303554,16812723.0,91373495.0
2007-12-12,183000,186000,179500,183500,268962,16767036.0,91373495.0
2007-12-13,184000,189000,178500,187000,678055,17086844.0,91373495.0
2007-12-14,187000,188000,179500,182500,362860,16675663.0,91373495.0
2007-12-17,180000,180500,165500,165500,421822,15122313.0,91373495.0
2007-12-18,163000,170000,156000,166000,1046003,15168000.0,91373495.0
2007-12-20,173000,174000,166000,168500,326758,15396434.0,91373495.0
2007-12-21,166500,176000,166500,176000,200184,16081735.0,91373495.0
2007-12-24,178000,184000,177000,184000,290369,16812723.0,91373495.0
2007-12-26,179000,181000,174500,178500,250318,16310169.0,91373495.0
2007-12-27,179000,183500,175500,183000,225214,16721350.0,91373495.0
2007-12-28,181500,185500,180000,181000,194493,16538603.0,91373495.0
2008-01-02,183000,183000,177500,180000,239372,16447229.0,91373495.0
2008-01-03,175000,179000,168000,169500,441523,15487807.0,91373495.0
2008-01-04,170500,172500,161000,163500,613365,14939566.0,91373495.0
2008-01-07,157500,161000,156500,157500,416022,14391325.0,91373495.0
2008-01-08,158000,165000,157500,165000,330238,15076627.0,91373495.0
2008-01-09,162000,170000,161500,170000,275718,15533494.0,91373495.0
2008-01-10,167500,171500,163000,163500,270591,14939566.0,91373495.0
2008-01-11,166000,167000,158000,159500,352694,14574072.0,91373495.0
2008-01-14,157000,163500,156500,159500,285387,14574072.0,91373495.0
2008-01-15,158500,165000,155000,155500,359078,14208578.0,91373495.0
2008-01-16,153500,153500,140000,146500,824136,13386217.0,91373495.0
2008-01-17,150000,150000,137000,144500,654406,13203470.0,91373495.0
2008-01-18,139000,141500,136500,139500,459560,12746603.0,91373495.0
2008-01-21,138000,139500,123000,126000,919337,11513060.0,91373495.0
2008-01-22,120500,123000,111000,119500,1274781,10919133.0,91373495.0
2008-01-23,124500,127500,117500,119000,861242,10873446.0,91373495.0
2008-01-24,123000,126000,121500,124500,538804,11376000.0,91373495.0
2008-01-25,126000,130000,117000,128000,1262946,11695807.0,91373495.0
2008-01-28,124000,126000,114000,114000,872578,10416578.0,91373495.0
2008-01-29,118000,119500,111000,115000,672731,10507952.0,91373495.0
2008-01-30,113000,118500,103500,105500,758802,9639904.0,91373495.0
2008-01-31,103500,114000,101500,113500,744859,10370892.0,91373495.0
2008-02-01,114500,121000,111000,119000,541923,10873446.0,91373495.0
2008-02-04,119000,129500,119000,127000,692836,11604434.0,91373495.0
2008-02-05,126500,128500,121000,123000,422643,11238940.0,91373495.0
2008-02-11,116000,117500,113000,113000,787525,10325205.0,91373495.0
2008-02-12,115000,116500,107000,109000,1047571,9959711.0,91373495.0
2008-02-13,111500,112500,107000,108500,780265,9914024.0,91373495.0
2008-02-14,112500,124500,112500,124500,1434958,11376000.0,91373495.0
2008-02-15,121500,127000,119500,123000,947042,11238940.0,91373495.0
2008-02-18,123000,129500,123000,125500,729095,11467374.0,91373495.0
2008-02-19,129000,130000,123500,127500,752699,11650121.0,91373495.0
2008-02-20,128500,131500,120500,121500,818362,11101880.0,91373495.0
2008-02-21,125000,125500,121000,124500,611299,11376000.0,91373495.0
2008-02-22,122000,123000,119000,119500,505923,11049635.0,92465564.0
2008-02-25,121500,123500,119500,121500,555340,11234566.0,92465564.0
2008-02-26,123500,130500,123000,128500,1069456,11881825.0,92465564.0
2008-02-27,132000,134500,129000,131000,954965,12112989.0,92465564.0
2008-02-28,134000,135000,130500,135000,718328,12482851.0,92465564.0
2008-02-29,132500,133500,129500,130500,559631,12066756.0,92465564.0
2008-03-03,125000,128000,124500,127500,443497,11789359.0,92465564.0
2008-03-04,127500,128000,121000,124000,799714,11465730.0,92465564.0
2008-03-05,123500,124000,118000,120500,948559,11142100.0,92465564.0
2008-03-06,121000,123000,116500,118500,984113,10957169.0,92465564.0
2008-03-07,113500,118000,113000,118000,702260,10910937.0,92465564.0
2008-03-10,114000,115500,109500,110000,810675,10171212.0,92465564.0
2008-03-11,107500,113000,107000,112000,468161,10356143.0,92465564.0
2008-03-12,116000,116500,109500,110000,916401,10171212.0,92465564.0
2008-03-13,108000,110000,102000,104000,1100000,9616419.0,92465564.0
2008-03-14,105500,106500,96600,98600,1331765,9117105.0,92465564.0
2008-03-17,97000,99300,93000,95400,845585,8821215.0,92465564.0
2008-03-18,97100,100000,97000,99600,631405,9209570.0,92465564.0
2008-03-19,102500,106500,101500,105000,811803,9708884.0,92465564.0
2008-03-20,102500,104500,100000,104000,556896,9616419.0,92465564.0
2008-03-21,107000,108000,102000,103500,575041,9570186.0,92465564.0
2008-03-24,105500,106500,104000,105000,390545,9708884.0,92465564.0
2008-03-25,107500,108000,97500,98000,1843333,9061625.0,92465564.0
2008-03-26,98600,100500,96600,98900,1127573,9144844.0,92465564.0
2008-03-27,98900,99700,97100,97400,800434,9006146.0,92465564.0
2008-03-28,97700,99400,96600,99200,1009805,9172584.0,92465564.0
2008-03-31,100500,102500,99500,102000,756753,9431488.0,92465564.0
2008-04-01,102500,102500,98500,100000,742453,9246556.0,92465564.0
2008-04-02,102000,102000,99700,102000,676614,9431488.0,92465564.0
2008-04-03,102500,108500,102000,106000,1094688,9801350.0,92465564.0
2008-04-04,109000,112000,107000,111000,1253444,10263678.0,92465564.0
2008-04-07,112500,115500,109500,112000,1050353,10356143.0,92465564.0
2008-04-08,111500,113500,109500,111500,448709,10309910.0,92465564.0
2008-04-10,110000,110500,106500,109500,714582,10124979.0,92465564.0
