현대건설기계(267270),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-05-10,57899,63666,52477,55362,477084,860171.0,3584046.0
2017-05-11,54438,58244,54092,55477,164695,861963.0,3584046.0
2017-05-12,55592,57668,54208,55823,101028,867339.0,3584046.0
2017-05-15,54669,55246,52593,53055,73184,824331.0,3584046.0
2017-05-16,51555,55015,50632,53055,164490,824331.0,3584046.0
2017-05-17,53746,64127,53516,61359,210669,953356.0,3584046.0
2017-05-18,60436,72200,59628,66434,210288,1032205.0,3584046.0
2017-05-19,65741,68048,64357,65165,97736,1012493.0,3584046.0
2017-05-22,64934,66664,63435,64473,54188,1001741.0,3584046.0
2017-05-23,64357,69317,64357,67011,71875,1041165.0,3584046.0
2017-05-24,68279,74968,66203,73585,54602,1143311.0,3584046.0
2017-05-25,75776,76237,70816,71739,67439,1114638.0,3584046.0
2017-05-26,71162,73469,70585,71739,40807,1114638.0,3584046.0
2017-05-29,72431,75199,71508,73816,42947,1146895.0,3584046.0
2017-05-30,73815,74622,70701,71048,43903,1103886.0,3584046.0
2017-05-31,71508,71854,68163,69664,51224,1082382.0,3584046.0
2017-06-01,70470,72200,69663,70356,29835,1093134.0,3584046.0
2017-06-02,70585,72085,68394,69087,37749,1073422.0,3584046.0
2017-06-05,69432,70470,68510,70010,34132,1087758.0,3584046.0
2017-06-07,69778,70931,68163,69894,25670,1085966.0,3584046.0
2017-06-08,71277,75429,69893,75430,61856,1171983.0,3584046.0
2017-06-09,75199,81427,73815,79583,60820,1236496.0,3584046.0
2017-06-12,78890,82004,76814,81544,71722,1266960.0,3584046.0
2017-06-13,79582,81427,77506,80390,97428,1249040.0,3584046.0
2017-06-14,79697,83964,79236,81658,50097,1268752.0,3584046.0
2017-06-15,81658,82696,79928,80736,23266,1254416.0,3584046.0
2017-06-16,80620,80735,78198,79583,30776,1236496.0,3584046.0
2017-06-19,80504,85810,78659,83850,39639,1302801.0,3584046.0
2017-06-20,83964,84195,80620,82350,27196,1279504.0,3584046.0
2017-06-21,81543,81543,79351,79352,22314,1232912.0,3584046.0
2017-06-22,78774,81658,74046,80274,76660,1247248.0,3584046.0
2017-06-23,80273,81888,78774,79929,21180,1241872.0,3584046.0
2017-06-26,80043,80043,76583,77506,31317,1204239.0,3584046.0
2017-06-27,76698,78774,75776,76469,32549,1188111.0,3584046.0
2017-06-28,75776,78082,74968,76007,19055,1180943.0,3584046.0
2017-06-29,76237,77160,75199,76930,19617,1195279.0,3584046.0
2017-06-30,76352,80273,75429,79352,42685,1232912.0,3584046.0
2017-07-03,79582,80966,78774,79121,21502,1229328.0,3584046.0
2017-07-04,79812,80158,76237,76583,16108,1189903.0,3584046.0
2017-07-05,76583,80504,76122,78429,36401,1218576.0,3584046.0
2017-07-06,78082,84311,77621,82928,41679,1288465.0,3584046.0
2017-07-07,82004,87655,81658,87656,44139,1361937.0,3584046.0
2017-07-10,87771,87771,84080,84427,22828,1311761.0,3584046.0
2017-07-11,84656,88117,84195,87887,28269,1365522.0,3584046.0
2017-07-12,88578,89270,84311,85349,30004,1326097.0,3584046.0
2017-07-13,85464,87771,83388,87541,15159,1360145.0,3584046.0
2017-07-14,86502,87655,85695,86503,9489,1344017.0,3584046.0
2017-07-17,86848,87425,86156,87080,10691,1352977.0,3584046.0
2017-07-18,86502,87079,83503,84081,17852,1306385.0,3584046.0
2017-07-19,83734,84887,81427,83504,28708,1297425.0,3584046.0
2017-07-20,83042,85348,82004,84657,19159,1315345.0,3584046.0
2017-07-21,83964,86502,83503,83504,21356,1297425.0,3584046.0
2017-07-24,83503,84887,80504,82350,28567,1279504.0,3584046.0
2017-07-25,82927,84541,81312,82812,16207,1286673.0,3584046.0
2017-07-26,84426,87655,83734,86157,42013,1338641.0,3584046.0
2017-07-27,86502,87655,84080,84427,24735,1311761.0,3584046.0
2017-07-28,84887,85003,81543,82236,22988,1277712.0,3584046.0
2017-07-31,82350,85579,80504,84542,21999,1313553.0,3584046.0
2017-08-01,85003,97690,77737,95153,125706,1478419.0,3584046.0
2017-08-02,94230,101265,92499,95153,69954,1478419.0,3584046.0
2017-08-03,95153,98497,94345,98152,30338,1525012.0,3584046.0
2017-08-04,97344,99881,96998,99190,16683,1541140.0,3584046.0
2017-08-07,99305,99766,92500,93423,43698,1451539.0,3584046.0
2017-08-08,93422,95614,92038,94230,26459,1464083.0,3584046.0
2017-08-09,92730,94806,92730,93192,12398,1447955.0,3584046.0
2017-08-10,93538,93768,88347,92731,30108,1440786.0,3584046.0
2017-08-11,89962,92846,88232,88810,34458,1379858.0,3584046.0
2017-08-14,89155,92038,88232,89271,35939,1387026.0,3584046.0
2017-08-16,89731,90770,84080,85119,67793,1322513.0,3584046.0
2017-08-17,85810,87309,84887,86041,20323,1336849.0,3584046.0
2017-08-18,86040,86156,82811,83620,312066,1299217.0,3584046.0
2017-08-21,84887,88117,84656,85580,39051,1329681.0,3584046.0
2017-08-22,86502,87425,85810,86733,12756,1347601.0,3584046.0
2017-08-23,88347,88694,83273,83504,23886,1297425.0,3584046.0
2017-08-24,83964,84887,80735,82928,28133,1288465.0,3584046.0
2017-08-25,83849,86040,81427,85234,23766,1324305.0,3584046.0
2017-08-28,84772,85003,82235,82812,21379,1286673.0,3584046.0
2017-08-29,82811,82811,78890,82466,56529,1281296.0,3584046.0
2017-08-30,83157,83157,79120,79813,42084,1240080.0,3584046.0
2017-08-31,79812,80966,76352,77391,48289,1202447.0,3584046.0
2017-09-01,78082,78082,75891,76814,52372,1193487.0,3584046.0
2017-09-04,74046,81543,74046,81313,62839,1263376.0,3584046.0
2017-09-05,83849,83849,76814,82466,105265,1281296.0,3584046.0
2017-09-06,82465,82811,78082,78775,30524,1223952.0,3584046.0
2017-09-07,79697,81543,78313,78660,23707,1222160.0,3584046.0
2017-09-08,77967,80043,77044,78429,18733,1218576.0,3584046.0
2017-09-11,79928,79928,77044,78660,12722,1222160.0,3584046.0
2017-09-12,79582,79928,77275,79121,18337,1229328.0,3584046.0
2017-09-13,79120,83273,78544,82236,99451,1277712.0,3584046.0
2017-09-14,81658,83273,80966,82928,27124,1288465.0,3584046.0
2017-09-15,82004,83042,80851,83043,20837,1290257.0,3584046.0
2017-09-18,82811,83042,80273,80736,21925,1254416.0,3584046.0
2017-09-19,80504,82465,80504,81544,10313,1266960.0,3584046.0
2017-09-20,81312,83964,81196,83735,23121,1301009.0,3584046.0
2017-09-21,84195,91000,84195,90193,47164,1401362.0,3584046.0
2017-09-22,90192,93768,90078,92500,48770,1437202.0,3584046.0
2017-09-25,92626,96670,90225,90479,41284,1283088.0,3584046.0
2017-09-26,90352,92879,90352,92500,24517,1311761.0,3584046.0
2017-09-27,92373,94016,89467,90226,14177,1279504.0,3584046.0
2017-09-28,89087,91488,87950,91489,15027,1297425.0,3584046.0
2017-09-29,91362,96038,90730,94143,24520,1335057.0,3584046.0
2017-10-10,92752,95912,92500,95154,10973,1349393.0,3584046.0
2017-10-11,94774,96291,94522,95912,13686,1360145.0,3584046.0
2017-10-12,95911,96038,93384,95280,14774,1351185.0,3584046.0
2017-10-13,94774,96670,94142,96418,13721,1367314.0,3584046.0
2017-10-16,96544,98944,96544,98061,14123,1390610.0,3584046.0
2017-10-17,97807,99071,97301,97681,12850,1385234.0,3584046.0
2017-10-18,97807,98060,94774,95912,15646,1360145.0,3584046.0
2017-10-19,95912,97049,93889,94396,11423,1338641.0,3584046.0
2017-10-20,93889,93889,91236,91742,21972,1301009.0,3584046.0
2017-10-23,91742,91868,90225,91616,16212,1299217.0,3584046.0
2017-10-24,91742,93637,91615,92753,20655,1315345.0,3584046.0
2017-10-25,93005,96670,93005,96165,51349,1363730.0,3584046.0
2017-10-26,96670,97175,95659,96291,20778,1365522.0,3584046.0
2017-10-27,95532,96922,92247,95280,41184,1351185.0,3584046.0
2017-10-30,95406,98691,94016,97555,31375,1383442.0,3584046.0
2017-10-31,98691,99703,93511,94522,57731,1340433.0,3584046.0
2017-11-01,95785,95785,91742,93764,28572,1329681.0,3584046.0
2017-11-02,94016,94142,91868,93006,25959,1318929.0,3584046.0
2017-11-03,92879,93384,91110,91616,20782,1299217.0,3584046.0
2017-11-06,91615,91615,89720,90857,16229,1288465.0,3584046.0
2017-11-07,90478,92120,89846,89973,14167,1275920.0,3584046.0
2017-11-08,89720,89720,86434,87320,162820,1238288.0,3584046.0
2017-11-09,87698,90730,87192,89088,33907,1263376.0,3584046.0
2017-11-10,88077,89467,85550,86814,62840,1231120.0,3584046.0
2017-11-13,85676,87698,85170,87067,24230,1234704.0,3584046.0
2017-11-14,87568,91583,87066,90830,47722,648712.0,3584046.0
2017-11-15,90579,90579,81797,82299,90137,587784.0,3584046.0
2017-11-16,82299,84055,81546,82801,39453,591368.0,3584046.0
2017-11-17,83302,87819,82801,84307,57301,602120.0,3584046.0
2017-11-20,84306,87066,84306,86565,32724,618248.0,3584046.0
2017-11-21,86313,88070,85310,85812,23287,612872.0,3584046.0
2017-11-22,85812,87066,83302,84808,22259,605704.0,3584046.0
2017-11-23,85310,85310,83302,83554,37648,826514.0,4964046.0
2017-11-24,83804,88070,82299,87568,53634,866226.0,4964046.0
2017-11-27,89826,90077,88321,88572,39040,876154.0,4964046.0
2017-11-28,88572,89575,87066,88572,23837,876154.0,4964046.0
2017-11-29,89575,90830,87066,90328,22073,893528.0,4964046.0
2017-11-30,89073,93339,89073,92838,49687,918349.0,4964046.0
2017-12-01,94844,94844,90077,92085,25845,910902.0,4964046.0
2017-12-04,90077,94092,88572,93841,50866,928277.0,4964046.0
