현대리바트(079430),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-11-22,8164,8572,6939,7016,1065049,121000.0,8800000.0
2005-11-23,6913,7194,6454,6658,366374,114840.0,8800000.0
2005-11-24,6531,6888,6531,6684,341478,115280.0,8800000.0
2005-11-25,6786,7322,6786,7194,606009,124080.0,8800000.0
2005-11-28,7322,7347,6735,6735,237825,116160.0,8800000.0
2005-11-29,6684,6888,6658,6684,130298,115280.0,8800000.0
2005-11-30,6658,6786,6531,6684,158190,115280.0,8800000.0
2005-12-01,6684,6684,6531,6658,148220,114840.0,8800000.0
2005-12-02,6760,7501,6658,6888,627839,118800.0,8800000.0
2005-12-05,7016,7220,6862,7143,213293,123200.0,8800000.0
2005-12-06,7067,7220,6735,7016,168972,121000.0,8800000.0
2005-12-07,6964,7092,6760,6990,124670,120560.0,8800000.0
2005-12-08,6939,7067,6735,6862,108821,118360.0,8800000.0
2005-12-09,6735,6913,6709,6709,64051,115720.0,8800000.0
2005-12-12,6633,6786,6429,6505,167454,112200.0,8800000.0
2005-12-13,6505,6505,6123,6276,239610,108240.0,8800000.0
2005-12-14,6301,6429,6225,6276,189925,108240.0,8800000.0
2005-12-15,6276,6378,5919,5919,181805,102080.0,8800000.0
2005-12-16,5765,5816,5179,5281,253060,91080.0,8800000.0
2005-12-19,5179,5485,5179,5408,153558,93280.0,8800000.0
2005-12-20,5281,5434,5281,5383,140075,92840.0,8800000.0
2005-12-21,5383,5612,5383,5510,127207,95040.0,8800000.0
2005-12-22,5561,5791,5281,5689,649418,98120.0,8800000.0
2005-12-23,5612,5663,5255,5306,143531,91520.0,8800000.0
2005-12-26,5230,5408,5230,5332,111065,91960.0,8800000.0
2005-12-27,5383,5434,5102,5153,164328,88880.0,8800000.0
2005-12-28,4975,5128,4975,5010,108601,86416.0,8800000.0
2005-12-29,5010,5077,4822,4888,145853,84304.0,8800000.0
2006-01-02,4949,5153,4908,5092,75873,87824.0,8800000.0
2006-01-03,5036,5179,4975,5128,115251,88440.0,8800000.0
2006-01-04,5102,5434,5102,5306,168320,91520.0,8800000.0
2006-01-05,5434,6097,5408,6021,569715,103840.0,8800000.0
2006-01-06,5893,6531,5740,6327,440502,109120.0,8800000.0
2006-01-09,6352,6429,6072,6276,130906,108240.0,8800000.0
2006-01-10,6225,6403,5816,5816,114347,100320.0,8800000.0
2006-01-11,5868,6403,5714,6123,189132,105600.0,8800000.0
2006-01-12,6072,6352,6072,6327,148080,109120.0,8800000.0
2006-01-13,6174,6505,6148,6378,160822,110000.0,8800000.0
2006-01-16,6301,6556,6276,6454,123807,111320.0,8800000.0
2006-01-17,6531,6531,6174,6225,100839,107360.0,8800000.0
2006-01-18,6301,6301,5714,5944,123340,102520.0,8800000.0
2006-01-19,5944,6072,5868,5893,35738,101640.0,8800000.0
2006-01-20,5765,6021,5663,5816,68430,100320.0,8800000.0
2006-01-23,5561,5765,5179,5510,123950,95040.0,8800000.0
2006-01-24,5408,5587,5204,5408,66838,93280.0,8800000.0
2006-01-25,5255,5612,5255,5510,63550,95040.0,8800000.0
2006-01-26,5510,5663,5332,5510,44410,95040.0,8800000.0
2006-01-27,5612,5816,5510,5816,65290,100320.0,8800000.0
2006-01-31,5816,5919,5663,5919,66850,102080.0,8800000.0
2006-02-01,5919,5919,5459,5612,49630,96800.0,8800000.0
2006-02-02,5587,5612,5281,5357,62296,92400.0,8800000.0
2006-02-03,5255,5459,5026,5128,77450,88440.0,8800000.0
2006-02-06,5010,5255,5010,5204,33450,89760.0,8800000.0
2006-02-07,5179,5434,5179,5357,39192,92400.0,8800000.0
2006-02-08,5408,5408,5281,5332,14490,91960.0,8800000.0
2006-02-09,5357,5459,5204,5306,15930,91520.0,8800000.0
