고려개발(004200),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,16049,18411,16049,17539,20640,14100.0,2000000.0
1999-01-05,18781,18781,15795,16918,26640,13600.0,2000000.0
1999-01-06,16917,17415,16294,17415,39390,14000.0,2000000.0
1999-01-07,17666,18662,16966,17166,40150,13800.0,2000000.0
1999-01-08,17042,19405,16917,19032,86060,15300.0,2000000.0
1999-01-11,19902,21671,19902,21669,92890,17420.0,2000000.0
1999-01-12,22643,24507,22145,24506,84170,19700.0,2000000.0
1999-01-13,20899,26869,20850,26123,107340,21000.0,2000000.0
1999-01-14,25627,29978,24878,27864,191840,22400.0,2000000.0
1999-01-15,28731,31596,27365,30850,115230,24800.0,2000000.0
1999-01-18,31345,34331,30225,30850,163200,24800.0,2000000.0
1999-01-19,29854,32838,29854,31845,83020,25600.0,2000000.0
1999-01-20,34334,36575,31348,36572,147260,29400.0,2000000.0
1999-01-21,36574,39562,33961,35950,101820,28900.0,2000000.0
1999-01-22,37316,37316,35453,36323,41690,29200.0,2000000.0
1999-01-25,35084,35329,31349,33586,60870,27000.0,2000000.0
1999-01-26,33590,35582,32345,33586,68270,27000.0,2000000.0
1999-01-27,33088,33586,32339,32840,32140,26400.0,2000000.0
1999-01-28,32842,33589,31348,31596,38620,25400.0,2000000.0
1999-01-29,31598,36076,31598,35825,54070,28800.0,2000000.0
1999-02-01,34827,38562,34827,37816,67380,30400.0,2000000.0
1999-02-02,37570,37570,35203,35577,19040,28600.0,2000000.0
1999-02-03,34828,35824,33587,34333,30110,27600.0,2000000.0
1999-02-04,34457,35202,33835,33835,15300,27200.0,2000000.0
1999-02-05,33834,34828,33336,34830,17780,28000.0,2000000.0
1999-02-08,37316,37316,34828,34830,31300,28000.0,2000000.0
1999-02-09,33590,34586,31102,33586,16050,27000.0,2000000.0
1999-02-10,36078,36078,32596,33586,14960,27000.0,2000000.0
1999-02-11,33589,34706,32097,34084,20990,27400.0,2000000.0
1999-02-12,36075,38563,34954,37318,224700,30000.0,2000000.0
1999-02-18,38564,38564,36821,37567,45050,30200.0,2000000.0
1999-02-19,36822,36822,33710,34457,32940,27700.0,2000000.0
1999-02-22,31101,33091,31101,32467,16290,26100.0,2000000.0
1999-02-23,31223,31846,30107,30103,14400,24200.0,2000000.0
1999-02-24,29856,32344,29856,32094,29250,25800.0,2000000.0
1999-02-25,30106,31598,29855,30601,16030,24600.0,2000000.0
1999-02-26,30601,32838,29854,32342,32430,26000.0,2000000.0
1999-03-02,33590,34088,33339,33586,17960,27000.0,2000000.0
1999-03-03,38065,38065,35577,36821,136650,29600.0,2000000.0
1999-03-04,36822,36822,34087,34457,48970,27700.0,2000000.0
1999-03-05,33589,34957,32342,33959,14570,27300.0,2000000.0
1999-03-08,34082,36072,34082,35701,66280,28700.0,2000000.0
1999-03-09,35826,35826,34087,34084,40350,27400.0,2000000.0
1999-03-10,34334,34832,33589,34581,30710,27800.0,2000000.0
1999-03-11,34085,37814,33587,37318,153310,30000.0,2000000.0
1999-03-12,37319,42918,37319,42543,159360,34200.0,2000000.0
1999-03-15,42792,43164,40802,41050,97630,33000.0,2000000.0
1999-03-16,41297,42789,40301,42294,62980,34000.0,2000000.0
1999-03-17,41794,42664,40553,41299,59950,33200.0,2000000.0
1999-03-18,41793,41793,38562,39806,30880,32000.0,2000000.0
1999-03-19,39804,40055,38810,39308,37360,31600.0,2000000.0
1999-03-22,39807,41054,38566,40428,93910,32500.0,2000000.0
1999-03-23,41053,44661,40555,44035,179750,35400.0,2000000.0
1999-03-24,44037,46525,43288,46026,190870,37000.0,2000000.0
1999-03-25,46647,50999,45527,48762,314380,39200.0,2000000.0
1999-03-26,52450,55948,50701,55950,240180,28800.0,2000000.0
1999-03-29,57890,59837,54977,57699,226190,29700.0,2000000.0
1999-03-30,56341,58669,54783,57699,147360,29700.0,2000000.0
1999-03-31,57312,57891,56142,56727,76600,29200.0,2000000.0
1999-04-01,54010,56343,53622,54785,69770,28200.0,2000000.0
1999-04-02,54396,57502,52649,57505,139520,29600.0,2000000.0
1999-04-06,57892,59060,55370,58282,71490,30000.0,2000000.0
1999-04-07,58668,59447,57119,58282,132790,30000.0,2000000.0
1999-04-08,56728,59447,56728,57116,48960,29400.0,2000000.0
1999-04-09,57117,58282,55561,55562,30260,28600.0,2000000.0
1999-04-12,54398,57503,53813,55756,41660,28700.0,2000000.0
1999-04-13,57502,57502,55753,56922,96110,29300.0,2000000.0
1999-04-14,57502,59057,56917,56922,68700,29300.0,2000000.0
1999-04-15,58281,60222,56726,60224,73760,31000.0,2000000.0
1999-04-16,59836,59836,57117,57505,41870,29600.0,2000000.0
1999-04-19,56725,58281,55170,57505,38890,29600.0,2000000.0
1999-04-20,55948,57891,55561,57893,48490,29800.0,2000000.0
1999-04-21,57891,58667,56725,57893,49370,29800.0,2000000.0
1999-04-22,56339,59059,56339,57893,17570,29800.0,2000000.0
1999-04-23,57114,60998,56338,58670,97300,30200.0,2000000.0
1999-04-26,60222,65664,58281,63333,61510,32600.0,2000000.0
1999-04-27,66054,72657,64499,71881,213490,37000.0,2000000.0
1999-04-28,71879,71879,67994,69549,68890,35800.0,2000000.0
1999-04-29,67998,69939,61196,69161,65270,35600.0,2000000.0
1999-04-30,62558,67606,62558,64887,28150,33400.0,2000000.0
1999-05-03,61000,67217,61000,65664,30620,33800.0,2000000.0
1999-05-04,66053,69937,66053,68384,32390,35200.0,2000000.0
1999-05-06,71102,72266,68774,71881,124170,37000.0,2000000.0
1999-05-07,72658,72658,69938,70909,92500,36500.0,2000000.0
1999-05-10,71881,71881,69938,70909,49620,36500.0,2000000.0
1999-05-11,73821,76542,70908,74989,100750,38600.0,2000000.0
1999-05-12,75763,75763,70714,73046,24220,37600.0,2000000.0
1999-05-13,73826,74603,69162,69161,28800,35600.0,2000000.0
1999-05-14,66053,69160,66053,68384,28510,35200.0,2000000.0
1999-05-17,68384,69160,66056,67218,127510,34600.0,2000000.0
1999-05-18,57213,67912,57213,66055,53900,28400.0,2000000.0
1999-05-19,66516,75819,66516,75824,126900,32600.0,2000000.0
1999-05-20,73960,73960,66053,69777,70950,30000.0,2000000.0
1999-05-21,71171,71639,66054,70707,60520,30400.0,2000000.0
1999-05-24,63729,71168,63729,66520,22680,28600.0,2000000.0
1999-05-25,64196,69310,64196,68846,28270,29600.0,2000000.0
1999-05-26,68848,74426,68383,73498,91780,31600.0,2000000.0
1999-05-27,69774,74895,69774,73498,28810,31600.0,2000000.0
1999-05-28,70708,73036,70242,73033,39740,31400.0,2000000.0
1999-05-31,71172,72105,70708,71637,10440,30800.0,2000000.0
1999-06-01,71636,71636,69773,71172,14610,30600.0,2000000.0
1999-06-02,69774,74426,69774,72102,26150,31000.0,2000000.0
1999-06-03,70707,79078,70707,76754,39200,33000.0,2000000.0
1999-06-04,72102,77918,72102,76754,19570,33000.0,2000000.0
1999-06-07,76753,77682,74425,77685,29130,33400.0,2000000.0
1999-06-08,77683,77683,73964,76522,37170,32900.0,2000000.0
1999-06-09,76754,82803,76754,76754,143010,33000.0,2000000.0
1999-06-10,72566,76754,69774,76754,209160,99000.0,6000000.0
1999-06-11,75819,76752,71636,74428,255590,96000.0,6000000.0
1999-06-14,73965,73965,66521,66986,138260,86400.0,6000000.0
1999-06-15,66518,68383,62336,64194,134710,82800.0,6000000.0
1999-06-16,62800,67452,62800,64660,205780,83400.0,6000000.0
1999-06-17,62800,64659,62335,64660,149310,83400.0,6000000.0
1999-06-18,63727,64654,60472,62799,99590,81000.0,6000000.0
1999-06-21,61868,61868,56752,59543,107430,76800.0,6000000.0
1999-06-22,58610,68385,57215,68381,243910,88200.0,6000000.0
1999-06-23,69077,73496,68381,71172,211170,91800.0,6000000.0
1999-06-24,72100,72565,70241,71172,105180,91800.0,6000000.0
1999-06-25,70708,71641,67453,71637,88210,92400.0,6000000.0
1999-06-28,69308,75357,69308,74428,156220,96000.0,6000000.0
1999-06-29,74424,80009,72100,74428,155750,96000.0,6000000.0
1999-06-30,74427,76293,73500,76289,213220,98400.0,6000000.0
1999-07-01,75821,78151,74425,77685,80240,100200.0,6000000.0
1999-07-02,77682,87454,77682,86058,367810,111000.0,6000000.0
1999-07-05,87453,97222,82333,86523,258710,111600.0,6000000.0
1999-07-06,85126,95363,84895,89314,119590,115200.0,6000000.0
1999-07-07,89776,93033,86057,90012,92860,116100.0,6000000.0
1999-07-08,88383,101877,87456,101409,270120,130800.0,6000000.0
1999-07-09,98622,104669,87225,95361,60890,123000.0,6000000.0
1999-07-12,95361,98153,88849,93035,84580,120000.0,6000000.0
1999-07-13,93035,94894,88383,89314,32510,115200.0,6000000.0
1999-07-14,89312,90709,81405,83732,33710,108000.0,6000000.0
1999-07-15,82801,86057,79777,83732,52110,108000.0,6000000.0
1999-07-16,81407,86986,79548,86058,58960,111000.0,6000000.0
1999-07-19,86057,88381,82801,83732,53490,108000.0,6000000.0
1999-07-20,86059,88383,82336,83034,31310,107100.0,6000000.0
1999-07-21,83038,83038,77684,80011,23920,103200.0,6000000.0
1999-07-22,79078,83730,75359,76754,48300,99000.0,6000000.0
1999-07-23,77220,79080,67450,67451,60660,87000.0,6000000.0
1999-07-26,67680,68844,58609,61869,62860,79800.0,6000000.0
1999-07-27,65124,65124,58148,64660,214920,83400.0,6000000.0
1999-07-28,66986,69079,65120,65125,97350,84000.0,6000000.0
1999-07-29,66056,67915,64194,65590,104530,84600.0,6000000.0
1999-07-30,66986,67448,62796,62799,118640,81000.0,6000000.0
1999-08-02,62334,65118,60004,62799,43760,81000.0,6000000.0
1999-08-03,61402,66516,60937,66520,62440,85800.0,6000000.0
1999-08-04,67448,68847,64194,65125,93720,84000.0,6000000.0
1999-08-05,66522,67455,59544,59543,59270,76800.0,6000000.0
1999-08-06,63732,68384,60940,66288,83130,85500.0,6000000.0
1999-08-09,63030,65820,63030,65125,109040,84000.0,6000000.0
1999-08-10,65358,66284,64194,65125,107500,84000.0,6000000.0
1999-08-11,64428,66287,63732,65590,80780,84600.0,6000000.0
1999-08-12,65360,66056,64428,65590,36340,84600.0,6000000.0
1999-08-13,62797,65821,62797,63264,37510,81600.0,6000000.0
1999-08-16,63497,65126,62337,62334,18660,80400.0,6000000.0
1999-08-17,62337,64430,60478,62334,50340,80400.0,6000000.0
1999-08-18,62337,62337,58614,62334,35080,80400.0,6000000.0
1999-08-19,59079,71173,59079,67451,88300,87000.0,6000000.0
1999-08-20,66053,66517,64193,66055,30840,85200.0,6000000.0
1999-08-23,65121,68381,64888,66520,78580,85800.0,6000000.0
1999-08-24,67448,71636,66515,69777,103700,90000.0,6000000.0
1999-08-25,70706,71639,68847,70707,110190,91200.0,6000000.0
1999-08-26,69773,70241,66516,66520,34010,85800.0,6000000.0
1999-08-27,65122,68148,65122,66753,27170,86100.0,6000000.0
1999-08-30,65357,69772,65357,66055,35380,85200.0,6000000.0
1999-08-31,65122,67452,63729,66753,74020,86100.0,6000000.0
1999-09-01,66053,66284,61401,61403,35470,79200.0,6000000.0
1999-09-02,62796,65120,61864,65125,84180,84000.0,6000000.0
1999-09-03,65123,67916,64194,66288,108070,85500.0,6000000.0
1999-09-06,66519,66988,65122,66753,52860,86100.0,6000000.0
1999-09-07,65591,66518,64659,65590,29430,84600.0,6000000.0
1999-09-08,64656,66516,62797,63497,23560,81900.0,6000000.0
1999-09-09,62796,64887,62796,62799,14050,81000.0,6000000.0
1999-09-10,62334,64654,62334,62799,18800,81000.0,6000000.0
