두산(000150),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,15895.0,16732.0,15477.0,16313.0,30680.0,201113.0,10313505.0
1999-01-05,16397.0,18739.0,16397.0,18405.0,144210.0,226897.0,10313505.0
1999-01-06,18656.0,21165.0,18656.0,20914.0,138750.0,257838.0,10313505.0
1999-01-07,20957.0,21500.0,19660.0,20454.0,75200.0,252165.0,10313505.0
1999-01-08,21040.0,22588.0,20622.0,20914.0,67350.0,257838.0,10313505.0
1999-01-11,24052.0,24052.0,22169.0,24052.0,113720.0,296513.0,10313505.0
1999-01-12,25013.0,27649.0,24680.0,27649.0,129760.0,340861.0,10313505.0
1999-01-13,27649.0,30033.0,27440.0,28025.0,81970.0,345502.0,10313505.0
1999-01-14,26771.0,27189.0,25097.0,27189.0,56220.0,335189.0,10313505.0
1999-01-15,25516.0,30535.0,25516.0,27858.0,62390.0,343440.0,10313505.0
1999-01-18,27608.0,27943.0,26771.0,26771.0,42760.0,330032.0,10313505.0
1999-01-19,26603.0,27523.0,25431.0,25850.0,32190.0,318687.0,10313505.0
1999-01-20,25097.0,29281.0,25097.0,26771.0,110550.0,330032.0,10313505.0
1999-01-21,28277.0,28277.0,24929.0,25348.0,26840.0,312499.0,10313505.0
1999-01-22,24512.0,25850.0,23927.0,23926.0,29300.0,294966.0,10313505.0
1999-01-25,23927.0,23927.0,22169.0,23424.0,29020.0,288778.0,10313505.0
1999-01-26,23424.0,24596.0,23424.0,24595.0,34750.0,303217.0,10313505.0
1999-01-27,24512.0,25097.0,23926.0,25014.0,42060.0,308374.0,10313505.0
1999-01-28,25097.0,28361.0,24680.0,27105.0,212740.0,334158.0,10313505.0
1999-01-29,27608.0,30033.0,27189.0,28025.0,72490.0,345502.0,10313505.0
1999-02-01,28110.0,29196.0,27398.0,28025.0,27570.0,345502.0,10313505.0
1999-02-02,28402.0,29196.0,27858.0,28862.0,45530.0,355816.0,10313505.0
1999-02-03,28862.0,28862.0,27440.0,27942.0,22630.0,344471.0,10313505.0
1999-02-04,27608.0,28403.0,25934.0,27984.0,30060.0,344987.0,10313505.0
1999-02-05,27984.0,28110.0,26854.0,27691.0,14850.0,341377.0,10313505.0
1999-02-08,27022.0,27942.0,27022.0,27356.0,9980.0,337252.0,10313505.0
1999-02-09,27189.0,27189.0,25348.0,26771.0,35090.0,330032.0,10313505.0
1999-02-10,26897.0,26897.0,23759.0,26771.0,20610.0,330032.0,10313505.0
1999-02-11,25934.0,26770.0,25766.0,25767.0,6300.0,317656.0,10313505.0
1999-02-12,25766.0,26519.0,25766.0,26520.0,9010.0,326938.0,10313505.0
1999-02-18,27524.0,27524.0,24428.0,25097.0,8220.0,309405.0,10313505.0
1999-02-19,24261.0,25850.0,23508.0,25516.0,15290.0,314562.0,10313505.0
1999-02-22,24261.0,25432.0,24261.0,24679.0,3620.0,304248.0,10313505.0
