한화갤러리아타임월드(027390),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,3895,4300,3895,4200,12570,11424.0,2720000.0
1999-01-05,4000,4240,3850,4100,11550,11152.0,2720000.0
1999-01-06,4200,4300,3910,4000,32030,10880.0,2720000.0
1999-01-07,4100,4500,4100,4350,34970,11832.0,2720000.0
1999-01-08,4500,4500,3700,4200,15180,11424.0,2720000.0
1999-01-11,3800,4800,3800,4650,21420,12648.0,2720000.0
1999-01-12,5000,5340,4800,5340,71840,14525.0,2720000.0
1999-01-13,5500,6100,5340,5830,104200,15858.0,2720000.0
1999-01-14,5020,5990,5020,5210,72890,14171.0,2720000.0
1999-01-15,5210,5500,4900,5360,30260,14579.0,2720000.0
1999-01-18,5700,5900,5500,5800,58320,15776.0,2720000.0
1999-01-19,6010,6010,5560,5600,41510,15232.0,2720000.0
1999-01-20,5800,5900,5350,5600,49380,15232.0,2720000.0
1999-01-21,5200,5300,4760,4850,31160,13192.0,2720000.0
1999-01-22,4500,4800,4300,4450,19580,12104.0,2720000.0
1999-01-25,4690,4690,4195,4195,7100,11410.0,2720000.0
1999-01-26,3750,4690,3715,3715,11510,10105.0,2720000.0
1999-01-27,3755,4000,3720,3995,15770,10866.0,2720000.0
1999-01-28,4100,4400,4100,4300,16920,11696.0,2720000.0
1999-01-29,4300,4400,4150,4200,7200,11424.0,2720000.0
1999-02-01,4310,4700,4300,4590,9820,12485.0,2720000.0
1999-02-02,4215,4595,4215,4500,17570,12240.0,2720000.0
1999-02-03,4050,4300,4000,4250,8420,11560.0,2720000.0
1999-02-04,4130,4210,4000,4050,9910,11016.0,2720000.0
1999-02-05,4150,4350,4110,4150,11470,11288.0,2720000.0
1999-02-08,4400,4400,3700,4150,7980,11288.0,2720000.0
1999-02-09,3860,3950,3860,3950,3470,10744.0,2720000.0
1999-02-10,3720,4000,3500,3810,7350,10363.0,2720000.0
1999-02-11,4090,4190,3870,3985,4120,10839.0,2720000.0
1999-02-12,3860,4100,3850,4050,5040,11016.0,2720000.0
1999-02-18,4200,4200,3900,4140,1740,11261.0,2720000.0
1999-02-19,4140,4140,3900,4070,9190,11070.0,2720000.0
1999-02-22,3750,4100,3750,3820,3450,10390.0,2720000.0
1999-02-23,3900,3970,3700,3800,7460,10336.0,2720000.0
