경동도시가스(267290),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-05-12,34765,44708,27425,29161,506129,137460.0,3145536.0
2017-05-15,29561,35166,29460,32030,608556,150986.0,3145536.0
2017-05-16,33031,37501,31863,36434,258515,171746.0,3145536.0
2017-05-17,35900,38836,34165,36634,286606,172690.0,3145536.0
2017-05-18,35900,37301,34832,35633,120648,167972.0,3145536.0
2017-05-19,35500,36033,33498,33498,95182,157906.0,3145536.0
2017-05-22,33698,33698,32363,33031,50478,155704.0,3145536.0
2017-05-23,32764,35032,32730,34366,54975,161995.0,3145536.0
2017-05-24,34365,34632,32897,32964,45030,155389.0,3145536.0
2017-05-25,32697,32964,32296,32330,24261,152401.0,3145536.0
2017-05-26,32363,33631,31996,32564,39590,153502.0,3145536.0
2017-05-29,32563,33164,32163,33031,28503,155704.0,3145536.0
2017-05-30,33331,33331,32397,32664,13841,153974.0,3145536.0
2017-05-31,32697,32697,31696,31696,26970,149413.0,3145536.0
2017-06-01,31696,31696,30795,30796,27512,145166.0,3145536.0
2017-06-02,30862,31596,30562,31363,10845,147840.0,3145536.0
2017-06-05,31696,33031,31396,32564,38889,153502.0,3145536.0
2017-06-07,32096,34432,32096,33632,45916,158535.0,3145536.0
2017-06-08,34031,34165,33064,34099,23669,160737.0,3145536.0
2017-06-09,34098,34499,33364,34232,15148,161366.0,3145536.0
2017-06-12,34499,34499,33364,33832,14752,159479.0,3145536.0
2017-06-13,34499,34499,33297,34366,24616,161995.0,3145536.0
2017-06-14,34432,34432,33331,34366,15147,161995.0,3145536.0
2017-06-15,34365,34365,33297,33832,21401,159479.0,3145536.0
2017-06-16,33831,33965,33364,33698,9640,158850.0,3145536.0
2017-06-19,33698,34298,33698,34299,14407,161681.0,3145536.0
2017-06-20,34365,34765,33431,33698,27380,158850.0,3145536.0
2017-06-21,33831,34832,33364,34633,29041,163253.0,3145536.0
2017-06-22,34699,35032,33498,33632,21635,158535.0,3145536.0
2017-06-23,33698,34031,33331,33632,22104,158535.0,3145536.0
2017-06-26,33498,33698,33331,33431,27217,157591.0,3145536.0
2017-06-27,33431,33765,31396,33498,15523,157906.0,3145536.0
2017-06-28,33631,33631,33231,33498,6864,157906.0,3145536.0
2017-06-29,33631,33631,33231,33632,14848,158535.0,3145536.0
2017-06-30,33364,33698,33331,33431,13440,157591.0,3145536.0
2017-07-03,33564,34098,33431,33898,10070,159793.0,3145536.0
2017-07-04,34298,34365,33765,34032,9285,160422.0,3145536.0
2017-07-05,34298,34298,33765,33898,3496,159793.0,3145536.0
2017-07-06,34232,34232,33631,33832,14583,159479.0,3145536.0
2017-07-07,33431,33898,33431,33698,6999,158850.0,3145536.0
2017-07-10,33698,33765,33631,33698,6849,158850.0,3145536.0
2017-07-11,33898,33898,33498,33632,12584,158535.0,3145536.0
2017-07-12,33631,33698,33431,33565,7749,158220.0,3145536.0
2017-07-13,34031,34031,33498,33632,6635,158535.0,3145536.0
2017-07-14,33831,34298,33564,34032,5528,160422.0,3145536.0
2017-07-17,34499,34499,33698,33965,2879,160108.0,3145536.0
2017-07-18,34298,34298,33631,33832,6047,159479.0,3145536.0
2017-07-19,33831,34232,33631,33765,4460,159164.0,3145536.0
2017-07-20,34098,34098,33698,33965,7951,160108.0,3145536.0
2017-07-21,33965,34432,33631,33832,10480,159479.0,3145536.0
2017-07-24,33898,34232,33631,33965,9930,160108.0,3145536.0
2017-07-25,33631,33965,33631,33898,3209,159793.0,3145536.0
2017-07-26,33765,33765,33631,33632,5358,158535.0,3145536.0
2017-07-27,33631,33965,33498,33965,3932,160108.0,3145536.0
2017-07-28,33831,34031,33698,33898,3046,159793.0,3145536.0
2017-07-31,33364,33898,33364,33832,1555,159479.0,3145536.0
2017-08-01,33831,33898,33698,33832,4835,159479.0,3145536.0
2017-08-02,33698,33965,33698,33698,3652,158850.0,3145536.0
2017-08-03,33898,33965,33564,33698,4138,158850.0,3145536.0
2017-08-04,33898,35032,33765,35033,11581,165141.0,3145536.0
2017-08-07,34765,35633,34232,34432,5461,162310.0,3145536.0
2017-08-08,34432,35233,34365,34833,4273,164197.0,3145536.0
2017-08-09,34832,34899,34298,34499,1891,162624.0,3145536.0
2017-08-10,33898,34565,33698,33832,4584,159479.0,3145536.0
2017-08-11,33564,34298,33564,33898,2381,159793.0,3145536.0
2017-08-14,33765,34432,33698,33832,1654,159479.0,3145536.0
2017-08-16,34098,34699,34031,34366,5263,161995.0,3145536.0
2017-08-17,34031,34632,34031,34165,1032,161051.0,3145536.0
2017-08-18,34565,34699,33965,34366,4194,161995.0,3145536.0
2017-08-21,34699,34765,34165,34633,2865,163253.0,3145536.0
2017-08-22,35032,35433,34699,35300,4717,166399.0,3145536.0
2017-08-23,35433,35500,34966,35166,3082,165770.0,3145536.0
2017-08-24,35900,35900,34832,35100,1465,165455.0,3145536.0
2017-08-25,35500,35500,35032,35033,2134,165141.0,3145536.0
2017-08-28,35366,35833,35299,35367,2264,166713.0,3145536.0
2017-08-29,35366,35700,35299,35367,2467,166713.0,3145536.0
2017-08-30,35366,35900,35299,35367,955,166713.0,3145536.0
2017-08-31,35366,35700,35299,35367,2245,166713.0,3145536.0
2017-09-01,35366,35700,34966,35367,1487,166713.0,3145536.0
2017-09-04,34365,35433,34365,35367,2685,166713.0,3145536.0
2017-09-05,35366,35700,35299,35367,2708,166713.0,3145536.0
2017-09-06,35700,35967,34899,35033,1920,165141.0,3145536.0
2017-09-07,35299,35299,34832,35233,1741,166084.0,3145536.0
2017-09-08,35233,35233,34832,35033,1804,165141.0,3145536.0
2017-09-11,34899,35700,34899,34899,1740,164512.0,3145536.0
2017-09-12,34899,34899,34031,34833,3560,164197.0,3145536.0
2017-09-13,34899,35032,34832,34966,1588,164826.0,3145536.0
2017-09-14,34499,35032,34499,34899,2937,164512.0,3145536.0
2017-09-15,34899,35900,34832,34833,2001,164197.0,3145536.0
2017-09-18,34832,35166,34232,34833,1491,164197.0,3145536.0
2017-09-19,34832,35566,34832,34833,1039,164197.0,3145536.0
2017-09-20,34899,35433,34832,35300,1560,166399.0,3145536.0
2017-09-21,35633,36100,35299,35700,9702,168286.0,3145536.0
2017-09-22,35700,37101,35700,36367,9478,171432.0,3145536.0
2017-09-25,36367,37568,34765,35767,14505,168601.0,3145536.0
2017-09-26,35700,36701,34699,35367,2655,166713.0,3145536.0
2017-09-27,35366,36100,35299,35834,1894,168915.0,3145536.0
2017-09-28,37568,38035,36167,36167,27596,170488.0,3145536.0
2017-09-29,36167,36500,35500,35567,8559,167657.0,3145536.0
2017-10-10,36033,36634,35233,35500,11560,167343.0,3145536.0
2017-10-11,35000,35700,35000,35500,8898,111667.0,3145536.0
2017-10-12,35500,35650,35000,35500,2699,111667.0,3145536.0
2017-10-13,35150,35450,35050,35100,2090,110408.0,3145536.0
2017-10-16,35150,35350,35100,35150,1518,110566.0,3145536.0
2017-10-17,35050,35650,35000,35550,2007,111824.0,3145536.0
