더존비즈온(012510),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,11629,12030,11629,11951,87100,15958.0,1071000.0
1999-01-05,12030,12191,11268,12031,238100,16065.0,1071000.0
1999-01-06,12030,13234,12030,12913,682800,17243.0,1071000.0
1999-01-07,13073,13073,12592,12673,333900,16922.0,1071000.0
1999-01-08,12672,13033,12191,12512,547600,16708.0,1071000.0
1999-01-11,12672,13795,12672,13635,1029400,18207.0,1071000.0
1999-01-12,14036,14437,13474,14036,1272700,18742.0,1071000.0
1999-01-13,14196,15158,14116,14277,1179400,19064.0,1071000.0
1999-01-14,13554,14036,12672,13074,511200,17457.0,1071000.0
1999-01-15,12832,13474,12832,13074,469400,17457.0,1071000.0
1999-01-18,13234,14437,13234,13635,542900,18207.0,1071000.0
1999-01-19,14036,14036,12832,13234,307200,17672.0,1071000.0
1999-01-20,12913,13073,12431,12432,284300,16600.0,1071000.0
1999-01-21,12030,12311,11349,12031,205800,16065.0,1071000.0
1999-01-22,11990,12030,11309,11710,172800,15637.0,1071000.0
1999-01-25,11710,12030,11469,12031,122600,16065.0,1071000.0
1999-01-26,11629,12351,11268,11269,164700,15048.0,1071000.0
1999-01-27,11469,11469,10827,11189,237700,14940.0,1071000.0
1999-01-28,11349,12030,11349,11710,236700,15637.0,1071000.0
1999-01-29,11750,11950,11228,11389,128900,15208.0,1071000.0
1999-02-01,11309,11950,11309,11710,235700,15637.0,1071000.0
1999-02-02,11950,11950,11309,11309,211900,15101.0,1071000.0
1999-02-03,11629,11629,10908,10908,159200,14566.0,1071000.0
1999-02-04,10988,11068,10587,10828,122700,14458.0,1071000.0
1999-02-05,10827,11389,10426,11309,207400,15101.0,1071000.0
1999-02-08,11790,12431,11629,11871,927000,15851.0,1071000.0
1999-02-09,11549,11950,11108,11149,239300,14887.0,1071000.0
1999-02-10,10827,11629,10827,10988,245200,14673.0,1071000.0
1999-02-11,11068,11629,11068,11630,291500,15530.0,1071000.0
1999-02-12,11710,11950,11309,11630,272600,15530.0,1071000.0
1999-02-18,11910,11910,11148,11389,177700,15208.0,1071000.0
