강원랜드(035250),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-10-25,13700,13700,13700,13700,17120,2740000.0,20000000.0
2001-10-26,15300,15300,15300,15300,81730,3060000.0,20000000.0
2001-10-29,17100,17100,16800,17100,6532070,3420000.0,20000000.0
2001-10-30,17000,17600,16150,17100,21017010,3420000.0,20000000.0
2001-10-31,17350,17450,16600,16650,6846880,3330000.0,20000000.0
2001-11-01,16650,16800,16050,16150,6524050,3230000.0,20000000.0
2001-11-02,16100,16400,14800,15350,9836000,3070000.0,20000000.0
2001-11-05,15450,16100,14900,16100,10834020,3220000.0,20000000.0
2001-11-06,16200,16250,15750,15750,4986610,3150000.0,20000000.0
2001-11-07,15800,16400,15800,16000,5579670,3200000.0,20000000.0
2001-11-08,16000,16250,15800,15850,3046320,3170000.0,20000000.0
2001-11-09,15750,15800,15400,15500,3284020,3100000.0,20000000.0
2001-11-12,15150,15400,14900,15300,3341070,3060000.0,20000000.0
2001-11-13,15100,15500,14950,15000,3265010,3000000.0,20000000.0
2001-11-14,15000,15250,14900,15000,3405150,3000000.0,20000000.0
2001-11-15,15200,15500,15050,15350,3919870,3070000.0,20000000.0
2001-11-16,15400,15400,15100,15200,1961020,3040000.0,20000000.0
2001-11-19,15200,15250,14900,15100,3335700,3020000.0,20000000.0
2001-11-20,15050,15300,14900,15000,2506380,3000000.0,20000000.0
2001-11-21,14950,15050,14200,14350,4673570,2870000.0,20000000.0
2001-11-22,14000,14400,13600,14000,6388040,2800000.0,20000000.0
2001-11-23,14100,14650,13900,14250,4085960,2850000.0,20000000.0
2001-11-26,14300,14600,14100,14100,2901900,2820000.0,20000000.0
2001-11-27,14000,14250,13350,13450,4478470,2690000.0,20000000.0
2001-11-28,13300,13700,12500,12500,5332840,2500000.0,20000000.0
2001-11-29,12250,13550,11650,13200,9915580,2640000.0,20000000.0
2001-11-30,13400,13550,12900,13300,3262040,2660000.0,20000000.0
2001-12-03,13450,14500,13450,14500,6335090,2900000.0,20000000.0
2001-12-04,14700,15400,14500,14600,5954020,2920000.0,20000000.0
2001-12-05,14800,14950,13900,14200,5660110,2840000.0,20000000.0
2001-12-06,14200,14650,13800,14150,5654380,2830000.0,20000000.0
2001-12-07,14000,14350,13950,14000,2728170,2800000.0,20000000.0
2001-12-10,14100,14200,13700,13700,2755780,2740000.0,20000000.0
2001-12-11,13450,13750,13400,13500,1667650,2700000.0,20000000.0
2001-12-12,13200,13900,13150,13700,2707300,2740000.0,20000000.0
2001-12-13,13500,13600,13350,13500,1630380,2700000.0,20000000.0
2001-12-14,13550,13900,13300,13350,2276480,2670000.0,20000000.0
2001-12-17,13400,13600,13000,13050,1717900,2610000.0,20000000.0
2001-12-18,13000,13250,12600,12600,2198620,2520000.0,20000000.0
2001-12-19,12600,12800,12200,12300,2695270,2460000.0,20000000.0
2001-12-20,12300,12500,12100,12400,1831330,2480000.0,20000000.0
2001-12-21,12200,13150,12150,12450,3189460,2490000.0,20000000.0
2001-12-24,12500,13300,12500,13200,3371500,2640000.0,20000000.0
2001-12-26,13500,13700,13200,13300,2264120,2660000.0,20000000.0
2001-12-27,12850,13150,12850,12950,1194570,2590000.0,20000000.0
2001-12-28,13100,13400,12950,13250,1747810,2650000.0,20000000.0
2002-01-02,13400,14100,13350,14000,3365410,2800000.0,20000000.0
2002-01-03,14050,14550,13900,14350,4053540,2870000.0,20000000.0
2002-01-04,14600,14950,14350,14450,3395270,2890000.0,20000000.0
2002-01-07,14500,14650,14150,14550,1985150,2910000.0,20000000.0
2002-01-08,14400,15150,14400,15050,3939830,3010000.0,20000000.0
2002-01-09,15100,15400,14950,15100,1839860,3020000.0,20000000.0
2002-01-10,15300,16200,15150,15850,4877040,3170000.0,20000000.0
2002-01-11,15850,16100,15250,16000,3395760,3200000.0,20000000.0
2002-01-14,16000,16150,15800,16100,1760850,3220000.0,20000000.0
2002-01-15,15950,16150,15300,15350,2076490,3070000.0,20000000.0
2002-01-16,15100,15350,14850,15000,2568020,3000000.0,20000000.0
2002-01-17,14900,15150,14550,15000,1805020,3000000.0,20000000.0
2002-01-18,14900,15000,14600,14600,1043350,2920000.0,20000000.0
2002-01-21,14400,15650,14300,15650,2710030,3130000.0,20000000.0
2002-01-22,15650,16150,15550,15850,2517390,3170000.0,20000000.0
2002-01-23,15750,16400,15700,16400,3336850,3280000.0,20000000.0
2002-01-24,16500,16750,15900,16250,3339790,3250000.0,20000000.0
2002-01-25,16500,18200,16500,18200,9182200,3640000.0,20000000.0
2002-01-28,19000,20200,18450,18600,13144880,3720000.0,20000000.0
2002-01-29,18700,19150,18100,18900,3644170,3780000.0,20000000.0
2002-01-30,18300,18550,17150,17400,4737470,3480000.0,20000000.0
2002-01-31,17700,18050,17300,18000,2742690,3600000.0,20000000.0
2002-02-01,18200,18700,17750,17750,2476840,3550000.0,20000000.0
2002-02-04,17600,18150,16900,17150,2159330,3430000.0,20000000.0
2002-02-05,16800,17250,16600,17250,2224720,3450000.0,20000000.0
2002-02-06,17600,19300,17500,18800,8813810,3760000.0,20000000.0
2002-02-07,18500,18700,17850,18050,2909530,3610000.0,20000000.0
2002-02-08,18400,19100,18250,18450,3373150,3690000.0,20000000.0
2002-02-14,18900,19200,18600,19000,2014560,3800000.0,20000000.0
2002-02-15,18800,19150,18450,18500,2484760,3700000.0,20000000.0
2002-02-18,18200,18500,17850,18000,3072930,3600000.0,20000000.0
2002-02-19,18200,18250,17700,17950,2052460,3590000.0,20000000.0
2002-02-20,17900,18550,17750,18550,2653820,3710000.0,20000000.0
2002-02-21,18500,18800,18200,18400,1573860,3680000.0,20000000.0
2002-02-22,18200,18400,18100,18150,1297570,3630000.0,20000000.0
2002-02-25,18500,18900,18400,18600,2790190,3720000.0,20000000.0
2002-02-26,18900,18900,18100,18150,2537030,3630000.0,20000000.0
2002-02-27,18100,18300,17400,17900,3160420,3580000.0,20000000.0
2002-02-28,18000,18350,18000,18100,1893430,3620000.0,20000000.0
2002-03-04,18400,18950,18300,18850,3617670,3770000.0,20000000.0
2002-03-05,19050,19650,18750,18850,3691630,3770000.0,20000000.0
2002-03-06,19000,19050,18550,18750,1289600,3750000.0,20000000.0
2002-03-07,18900,19300,18600,18800,2622850,3760000.0,20000000.0
2002-03-08,18850,19250,18700,18900,1895480,3780000.0,20000000.0
2002-03-11,19150,20000,18850,19950,6169570,3990000.0,20000000.0
2002-03-12,20100,20750,19700,20100,5016860,4020000.0,20000000.0
2002-03-13,20100,20600,20000,20300,2422960,4060000.0,20000000.0
2002-03-14,20500,21000,19900,20950,3558050,4190000.0,20000000.0
2002-03-15,20950,22000,20750,21600,5116080,4320000.0,20000000.0
2002-03-18,22000,22450,21400,21500,3655480,4300000.0,20000000.0
2002-03-19,21500,21600,20550,21500,4533450,4300000.0,20000000.0
2002-03-20,21300,21650,20650,20650,2703660,4130000.0,20000000.0
2002-03-21,20200,21250,20200,20650,1926340,4130000.0,20000000.0
2002-03-22,20800,21100,20550,20900,1555140,4180000.0,20000000.0
2002-03-25,20950,21500,20700,21200,1717050,4240000.0,20000000.0
2002-03-26,21100,21800,21100,21100,2513500,4220000.0,20000000.0
2002-03-27,20700,20850,19650,20400,6101090,4080000.0,20000000.0
2002-03-28,20500,20750,20250,20350,1825990,4070000.0,20000000.0
2002-03-29,20400,21200,20100,20900,3425540,4180000.0,20000000.0
2002-04-01,19500,19950,18400,18550,5788950,3710000.0,20000000.0
2002-04-02,18750,18950,18150,18700,2772320,3740000.0,20000000.0
2002-04-03,18650,19350,18650,19000,1736660,3800000.0,20000000.0
2002-04-04,19000,19350,18900,19000,1132700,3800000.0,20000000.0
2002-04-08,19100,19400,18700,18700,1519610,3740000.0,20000000.0
2002-04-09,18700,18900,18450,18450,1053800,3690000.0,20000000.0
2002-04-10,18450,18500,17700,17750,2318960,3550000.0,20000000.0
2002-04-11,17700,18050,17350,17800,1337060,3560000.0,20000000.0
2002-04-12,17500,18450,17450,18450,1674780,3690000.0,20000000.0
2002-04-15,18500,19150,18500,19050,1489670,3810000.0,20000000.0
2002-04-16,19050,19400,18850,19000,1073590,3800000.0,20000000.0
2002-04-17,19300,19400,18850,18950,1286120,3790000.0,20000000.0
2002-04-18,19000,19350,18900,19350,1225860,3870000.0,20000000.0
2002-04-19,19300,19400,18850,18900,927720,3780000.0,20000000.0
2002-04-22,18550,18700,17950,18150,1812940,3630000.0,20000000.0
2002-04-23,17750,18000,17600,17700,1401210,3540000.0,20000000.0
2002-04-24,17700,18200,17550,17750,1330820,3550000.0,20000000.0
2002-04-25,17450,17700,16750,16900,1400410,3380000.0,20000000.0
2002-04-26,16900,17200,16750,17050,1236290,3410000.0,20000000.0
2002-04-29,16500,16700,16000,16200,1501810,3240000.0,20000000.0
2002-04-30,16000,16200,15000,15050,3350450,3010000.0,20000000.0
2002-05-02,15300,16300,15050,16100,2658350,3220000.0,20000000.0
2002-05-03,16200,17350,16200,17000,2856730,3400000.0,20000000.0
2002-05-06,17300,17550,16800,17000,1585790,3400000.0,20000000.0
2002-05-07,16600,17750,16550,17200,1571130,3440000.0,20000000.0
2002-05-08,17600,18150,17550,18150,1647310,3630000.0,20000000.0
2002-05-09,18450,19100,18450,18900,2313700,3780000.0,20000000.0
2002-05-10,18800,19150,18450,18600,1888940,3720000.0,20000000.0
2002-05-13,18400,18400,17900,18050,949270,3610000.0,20000000.0
2002-05-14,18150,18500,17500,17600,1675880,3520000.0,20000000.0
2002-05-15,17850,18600,17500,18600,2079500,3720000.0,20000000.0
2002-05-16,18400,19050,18100,19000,1985280,3800000.0,20000000.0
2002-05-17,19000,19200,18800,18950,887200,3790000.0,20000000.0
2002-05-20,19050,19050,18650,18700,503330,3740000.0,20000000.0
2002-05-21,18300,18500,17950,17950,762490,3590000.0,20000000.0
2002-05-22,17700,18200,17700,18200,684930,3640000.0,20000000.0
2002-05-23,18200,18550,18000,18100,828500,3620000.0,20000000.0
2002-05-24,18000,18350,17950,18100,455550,3620000.0,20000000.0
2002-05-27,18050,18250,17850,17950,541520,3590000.0,20000000.0
2002-05-28,17800,18000,17450,17650,847180,3530000.0,20000000.0
2002-05-29,17100,17300,16600,17050,1440980,3410000.0,20000000.0
2002-05-30,16750,16900,16000,16100,1729520,3220000.0,20000000.0
2002-05-31,16100,16700,15950,16050,1419370,3210000.0,20000000.0
2002-06-03,16050,16800,16050,16800,1044520,3360000.0,20000000.0
2002-06-04,16400,16750,16300,16500,1014210,3300000.0,20000000.0
2002-06-05,16700,16950,16450,16500,1074530,3300000.0,20000000.0
2002-06-07,16200,17000,16200,16600,803590,3320000.0,20000000.0
2002-06-10,16850,17000,16700,16900,441960,3380000.0,20000000.0
2002-06-11,16900,17450,16900,17450,886890,3490000.0,20000000.0
2002-06-12,17550,17850,17450,17800,864410,3560000.0,20000000.0
2002-06-14,17600,17700,17400,17550,489420,3510000.0,20000000.0
2002-06-17,17400,17650,16750,16900,825460,3380000.0,20000000.0
2002-06-18,17100,17250,16800,16900,571810,3380000.0,20000000.0
2002-06-19,17000,17000,16150,16200,728240,3240000.0,20000000.0
2002-06-20,15800,16300,15600,16300,622770,3260000.0,20000000.0
2002-06-21,15900,16400,15850,16300,350060,3260000.0,20000000.0
2002-06-24,16100,16300,15900,16250,502700,3250000.0,20000000.0
2002-06-25,16250,16450,16000,16100,388920,3220000.0,20000000.0
2002-06-26,15800,15850,15000,15200,914430,3040000.0,20000000.0
2002-06-27,15500,15700,15300,15450,679560,3090000.0,20000000.0
2002-06-28,15800,16350,15800,16050,779390,3210000.0,20000000.0
2002-07-02,15500,16200,15500,16200,636280,3240000.0,20000000.0
2002-07-03,16200,16350,15750,16150,669060,3230000.0,20000000.0
2002-07-04,16300,16500,16200,16400,434240,3280000.0,20000000.0
2002-07-05,16500,16800,16250,16800,851880,3360000.0,20000000.0
2002-07-08,17000,17250,16700,16800,1024590,3360000.0,20000000.0
2002-07-09,16800,17100,16800,17100,511060,3420000.0,20000000.0
2002-07-10,17000,17300,16900,17100,527120,3420000.0,20000000.0
2002-07-11,16900,17150,16550,16700,582940,3340000.0,20000000.0
2002-07-12,16800,16950,16600,16750,613800,3350000.0,20000000.0
2002-07-15,16550,16750,16400,16400,499090,3280000.0,20000000.0
2002-07-16,16200,16550,16200,16350,430830,3270000.0,20000000.0
2002-07-18,16200,16500,16200,16300,342380,3260000.0,20000000.0
2002-07-19,16200,16200,15850,15950,509420,3190000.0,20000000.0
2002-07-22,15050,15650,15050,15600,668220,3120000.0,20000000.0
2002-07-23,15450,16000,15350,16000,653310,3200000.0,20000000.0
2002-07-24,15850,15850,15300,15500,610880,3100000.0,20000000.0
2002-07-25,16200,16250,15450,15500,459350,3100000.0,20000000.0
2002-07-26,15200,15500,15000,15200,653240,3040000.0,20000000.0
