동아타이어(282690),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-11-29,14500,15900,11650,12500,1774104,171663.0,13733015.0
2017-11-30,12600,13450,12350,12500,657082,171663.0,13733015.0
2017-12-01,12700,13050,12400,12550,290076,172349.0,13733015.0
2017-12-04,12600,12800,12500,12550,126956,172349.0,13733015.0
2017-12-05,12450,12600,12000,12400,160020,170289.0,13733015.0
2017-12-06,12400,12500,11700,11700,187291,160676.0,13733015.0
2017-12-07,11700,11950,11100,11600,126716,159303.0,13733015.0
2017-12-08,11600,11800,11250,11250,77139,154496.0,13733015.0
2017-12-11,11200,11250,10750,11150,99728,153123.0,13733015.0
2017-12-12,11150,11650,10900,10900,89851,149690.0,13733015.0
2017-12-13,10900,11100,10700,10800,90510,148317.0,13733015.0
2017-12-14,10800,10800,10500,10700,117529,146943.0,13733015.0
2017-12-15,10700,11050,10450,10450,221851,143510.0,13733015.0
2017-12-18,10500,10500,10100,10100,154257,138703.0,13733015.0
2017-12-19,10150,10300,9800,9950,99195,136643.0,13733015.0
2017-12-20,9970,10050,9870,9940,22614,136506.0,13733015.0
2017-12-21,10050,10050,9850,9970,17378,136918.0,13733015.0
2017-12-22,9920,9960,9690,9810,60352,134721.0,13733015.0
2017-12-26,9900,10200,9750,9950,45901,136643.0,13733015.0
2017-12-27,9950,10200,9910,10050,18485,138017.0,13733015.0
2017-12-28,10150,10450,10050,10150,31071,139390.0,13733015.0
2018-01-02,10300,10300,10000,10300,21671,141450.0,13733015.0
2018-01-03,10400,11200,10300,11150,58954,153123.0,13733015.0
2018-01-04,11350,11550,10850,11150,42323,153123.0,13733015.0
2018-01-05,11500,11500,11150,11150,21716,153123.0,13733015.0
2018-01-08,11450,11450,10900,10900,43879,149690.0,13733015.0
2018-01-09,10950,11650,10950,11650,94499,159990.0,13733015.0
2018-01-10,11550,12200,11350,12200,52141,167543.0,13733015.0
2018-01-11,12200,12700,11900,12400,81247,170289.0,13733015.0
2018-01-12,12400,12750,12050,12150,44593,166856.0,13733015.0
2018-01-15,12150,12350,12050,12300,21894,168916.0,13733015.0
2018-01-16,12200,12400,12150,12300,12320,168916.0,13733015.0
2018-01-17,12350,12500,12150,12400,22459,170289.0,13733015.0
2018-01-18,12400,12800,12200,12700,25926,174409.0,13733015.0
2018-01-19,12800,12950,12550,12900,23320,177156.0,13733015.0
2018-01-22,13150,13500,12700,13100,56209,179902.0,13733015.0
