AJ렌터카(068400),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-07-27,6460,6470,5700,6160,2601093,136421.0,22146300.0
2012-07-30,6260,6950,6160,6640,1253604,147051.0,22146300.0
2012-07-31,6640,6720,6350,6590,378717,145944.0,22146300.0
2012-08-01,6500,6630,6420,6520,136753,144394.0,22146300.0
2012-08-02,6620,6620,6380,6380,186957,141293.0,22146300.0
2012-08-03,6180,6460,6120,6390,183065,141515.0,22146300.0
2012-08-06,6400,6540,6200,6200,66699,137307.0,22146300.0
2012-08-07,6210,6280,6120,6160,55162,136421.0,22146300.0
2012-08-08,6160,6230,6030,6030,70716,133542.0,22146300.0
2012-08-09,6030,6100,5900,6000,41480,132878.0,22146300.0
2012-08-10,6050,6070,5930,6000,96951,132878.0,22146300.0
2012-08-13,5910,6240,5900,6240,98501,138193.0,22146300.0
2012-08-14,6210,6340,6150,6340,71503,140408.0,22146300.0
2012-08-16,6400,6420,6290,6350,61811,140629.0,22146300.0
2012-08-17,6440,6720,6360,6690,247332,148159.0,22146300.0
2012-08-20,6600,6740,6480,6730,123583,149045.0,22146300.0
2012-08-21,6740,6850,6590,6700,68611,148380.0,22146300.0
2012-08-22,6700,6880,6610,6730,56324,149045.0,22146300.0
2012-08-23,6800,6810,6590,6740,53237,149266.0,22146300.0
2012-08-24,6670,6900,6410,6900,75432,152809.0,22146300.0
2012-08-27,6900,6950,6680,6850,16896,151702.0,22146300.0
2012-08-28,6900,6910,6740,6860,24290,151924.0,22146300.0
2012-08-29,6860,6860,6690,6730,45378,149045.0,22146300.0
2012-08-30,6730,6770,6610,6660,78805,147494.0,22146300.0
2012-08-31,6660,6970,6660,6840,147580,151481.0,22146300.0
2012-09-03,6970,7650,6890,7380,1292513,163440.0,22146300.0
2012-09-04,7520,7800,7310,7400,487466,163883.0,22146300.0
2012-09-05,7580,7580,7310,7470,237945,165433.0,22146300.0
2012-09-06,7540,8000,7420,8000,401029,177170.0,22146300.0
2012-09-07,8180,8180,7800,8050,244624,178278.0,22146300.0
2012-09-10,8000,8090,7830,7900,136570,174956.0,22146300.0
2012-09-11,7900,8030,7600,7770,175862,172077.0,22146300.0
2012-09-12,7720,7720,7450,7600,204768,168312.0,22146300.0
2012-09-13,7570,7730,7350,7600,164912,168312.0,22146300.0
2012-09-14,7750,7760,7520,7550,111242,167205.0,22146300.0
2012-09-17,7590,7840,7310,7800,220062,172741.0,22146300.0
2012-09-18,7800,8000,7640,7810,133579,172963.0,22146300.0
2012-09-19,7890,8340,7780,8330,183058,184479.0,22146300.0
2012-09-20,8500,8830,8220,8550,202886,189351.0,22146300.0
2012-09-21,8600,8770,8300,8720,279678,193116.0,22146300.0
2012-09-24,8650,8800,8420,8620,212697,190901.0,22146300.0
2012-09-25,8640,8640,8210,8390,172805,185807.0,22146300.0
2012-09-26,8390,8590,8170,8420,171534,186472.0,22146300.0
2012-09-27,8400,8500,8150,8400,124357,186029.0,22146300.0
2012-09-28,8410,8660,8150,8200,136505,181600.0,22146300.0
2012-10-02,8300,8850,8070,8180,242390,181157.0,22146300.0
2012-10-04,8180,8270,7970,8150,118321,180492.0,22146300.0
2012-10-05,8060,8340,7970,8340,137453,184700.0,22146300.0
2012-10-08,8230,8400,8220,8300,79397,183814.0,22146300.0
2012-10-09,8250,8630,8250,8540,194190,189129.0,22146300.0
2012-10-10,8450,8520,8130,8150,108952,180492.0,22146300.0
2012-10-11,8070,8070,7620,7740,221941,171412.0,22146300.0
2012-10-12,7760,7970,7420,7550,195113,167205.0,22146300.0
2012-10-15,7690,7690,7260,7450,195400,164990.0,22146300.0
2012-10-16,7500,7590,7050,7300,141625,161668.0,22146300.0
2012-10-17,7440,8090,7350,7600,135994,168312.0,22146300.0
2012-10-18,7600,7900,7320,7420,107709,164326.0,22146300.0
2012-10-19,7420,7750,7320,7700,40335,170527.0,22146300.0
2012-10-22,7600,8190,7590,8130,149890,180049.0,22146300.0
2012-10-23,8020,8520,8010,8260,151367,182928.0,22146300.0
2012-10-24,8400,8400,8100,8130,88761,180049.0,22146300.0
2012-10-25,8180,8270,7650,7700,83983,170527.0,22146300.0
2012-10-26,7650,7800,7350,7540,176371,166983.0,22146300.0
2012-10-29,7770,7770,7460,7550,71878,167205.0,22146300.0
2012-10-30,7830,7900,7540,7900,45207,174956.0,22146300.0
2012-10-31,8040,8040,7840,7990,60050,176949.0,22146300.0
2012-11-01,8130,8130,7800,8000,91016,177170.0,22146300.0
2012-11-02,7900,8300,7820,8200,92500,181600.0,22146300.0
2012-11-05,8200,8530,8070,8150,302611,180492.0,22146300.0
2012-11-06,8060,8170,7650,8070,132510,178721.0,22146300.0
2012-11-07,8150,8360,8050,8220,105370,182043.0,22146300.0
2012-11-08,8200,9350,8110,8900,216920,197102.0,22146300.0
2012-11-09,8860,9700,8860,9390,419812,207954.0,22146300.0
2012-11-12,9390,9500,8930,9160,221293,202860.0,22146300.0
2012-11-13,9200,9340,9050,9090,94656,201310.0,22146300.0
2012-11-14,9260,9260,8920,8930,75600,197766.0,22146300.0
2012-11-15,8890,8890,8350,8410,81950,186250.0,22146300.0
2012-11-16,8560,9030,8420,8630,103150,191123.0,22146300.0
2012-11-19,8650,9230,8650,9010,50324,199538.0,22146300.0
2012-11-20,9030,9190,8910,9090,45771,201310.0,22146300.0
2012-11-21,9000,9260,8950,9020,35595,199760.0,22146300.0
2012-11-22,9280,9300,9020,9240,55884,204632.0,22146300.0
2012-11-23,9240,9240,9080,9200,45250,203746.0,22146300.0
2012-11-26,9200,9630,9150,9300,177450,205961.0,22146300.0
2012-11-27,9200,9300,9040,9150,1500995,202639.0,22146300.0
2012-11-28,9350,9480,9180,9380,84631,207732.0,22146300.0
2012-11-29,9380,9740,9270,9670,111120,214155.0,22146300.0
2012-11-30,9670,10200,9450,9730,576035,215483.0,22146300.0
2012-12-03,9690,9780,9470,9650,86557,213712.0,22146300.0
2012-12-04,9650,9650,9430,9580,34071,212162.0,22146300.0
2012-12-05,9450,9920,9450,9850,85991,218141.0,22146300.0
2012-12-06,9980,10250,9800,10150,112347,224785.0,22146300.0
2012-12-07,10650,10700,9800,10150,151582,224785.0,22146300.0
2012-12-10,10200,10200,8770,10000,382691,221463.0,22146300.0
2012-12-11,9870,9940,9420,9700,123853,214819.0,22146300.0
2012-12-12,9530,10100,9530,9700,87135,214819.0,22146300.0
2012-12-13,9940,9940,9540,9590,82582,212383.0,22146300.0
2012-12-14,9590,9680,9060,9180,171110,203303.0,22146300.0
2012-12-17,9130,9320,8980,9160,94323,202860.0,22146300.0
2012-12-18,9160,9400,9090,9260,42130,205075.0,22146300.0
2012-12-20,9160,9330,8980,9190,67562,203524.0,22146300.0
2012-12-21,9300,9300,8870,8900,67280,197102.0,22146300.0
2012-12-24,8900,9070,8660,8880,107842,196659.0,22146300.0
2012-12-26,8880,9110,8650,9110,57481,201753.0,22146300.0
2012-12-27,9110,9200,8830,9180,18514,203303.0,22146300.0
2012-12-28,9250,9350,9150,9350,33447,207068.0,22146300.0
2013-01-02,9400,9500,9100,9190,55701,203524.0,22146300.0
2013-01-03,9160,9340,9120,9340,38910,206846.0,22146300.0
2013-01-04,9240,9340,9020,9110,82456,201753.0,22146300.0
2013-01-07,9010,9340,8950,9340,59840,206846.0,22146300.0
2013-01-08,9380,9380,9140,9330,44760,206625.0,22146300.0
2013-01-09,9330,9340,9180,9290,38951,205739.0,22146300.0
2013-01-10,9160,9340,9100,9190,38962,203524.0,22146300.0
2013-01-11,9230,9230,9060,9160,21919,202860.0,22146300.0
2013-01-14,9170,9170,8850,8850,70860,195995.0,22146300.0
2013-01-15,8810,8940,8500,8700,84080,192673.0,22146300.0
2013-01-16,8780,8780,8450,8640,61266,191344.0,22146300.0
2013-01-17,8830,9000,8600,8960,63261,198431.0,22146300.0
2013-01-18,8950,9440,8850,9400,118720,208175.0,22146300.0
2013-01-21,9150,9500,9150,9470,109870,209725.0,22146300.0
2013-01-22,9600,9730,9320,9620,94720,213047.0,22146300.0
2013-01-23,9610,9640,9300,9460,81770,209504.0,22146300.0
2013-01-24,9300,9580,9300,9490,69580,210168.0,22146300.0
2013-01-25,9420,9500,9320,9460,32620,209504.0,22146300.0
2013-01-28,9460,9540,9350,9500,53249,210390.0,22146300.0
2013-01-29,9410,9500,9350,9490,61350,210168.0,22146300.0
2013-01-30,9410,9480,9370,9370,181406,207511.0,22146300.0
2013-01-31,9570,9630,9200,9540,1128765,211276.0,22146300.0
2013-02-01,9460,9600,9310,9520,123470,210833.0,22146300.0
2013-02-04,9560,9900,9520,9800,275013,217034.0,22146300.0
2013-02-05,9720,9890,9560,9720,136350,215262.0,22146300.0
2013-02-06,9720,9840,9450,9790,125961,216812.0,22146300.0
2013-02-07,9900,9950,9670,9740,44630,215705.0,22146300.0
2013-02-08,9800,9910,9570,9880,78904,218805.0,22146300.0
2013-02-12,9810,9900,9700,9830,36960,217698.0,22146300.0
2013-02-13,9750,10000,9750,9950,92070,220356.0,22146300.0
2013-02-14,9950,10050,9800,9900,68690,219248.0,22146300.0
2013-02-15,9800,10300,9800,10200,101331,225892.0,22146300.0
2013-02-18,10200,10500,9910,10150,144990,224785.0,22146300.0
2013-02-19,10150,10300,9960,10200,155298,225892.0,22146300.0
2013-02-20,10200,10550,9980,10300,256702,228107.0,22146300.0
2013-02-21,10150,10200,9720,9720,321800,215262.0,22146300.0
2013-02-22,9660,9800,9460,9600,1467880,212604.0,22146300.0
2013-02-25,9780,9790,9600,9710,111824,215041.0,22146300.0
2013-02-26,9630,9930,9590,9740,166768,215705.0,22146300.0
2013-02-27,9740,10600,9700,10100,277229,223678.0,22146300.0
2013-02-28,10150,10400,10100,10300,146006,228107.0,22146300.0
2013-03-04,10150,10300,9980,10050,149361,222570.0,22146300.0
2013-03-05,10100,10800,10050,10650,342950,235858.0,22146300.0
2013-03-06,10650,10700,10300,10550,135430,233643.0,22146300.0
2013-03-07,10550,10550,10250,10300,66560,228107.0,22146300.0
2013-03-08,10300,10450,10150,10350,61401,229214.0,22146300.0
2013-03-11,10350,10400,9960,10150,157002,224785.0,22146300.0
2013-03-12,10150,10300,10100,10150,67240,224785.0,22146300.0
2013-03-13,10150,10300,10050,10150,71539,224785.0,22146300.0
2013-03-14,10150,10300,9920,10300,247799,228107.0,22146300.0
2013-03-15,10300,10800,10000,10800,292910,239180.0,22146300.0
2013-03-18,11200,11400,10850,11000,359235,243609.0,22146300.0
2013-03-19,11000,11250,10800,11150,197100,246931.0,22146300.0
2013-03-20,11050,11200,10750,11000,163424,243609.0,22146300.0
2013-03-21,11000,11050,10400,10800,232414,239180.0,22146300.0
2013-03-22,10800,11000,10600,10950,177170,242502.0,22146300.0
2013-03-25,11000,11100,10750,11000,231868,243609.0,22146300.0
2013-03-26,10900,11100,10750,10850,95779,240287.0,22146300.0
2013-03-27,10850,10850,10650,10800,119410,239180.0,22146300.0
2013-03-28,10950,10950,10650,10650,140176,235858.0,22146300.0
2013-03-29,10750,11050,10700,10800,109720,239180.0,22146300.0
2013-04-01,10950,10950,10700,10800,73970,239180.0,22146300.0
2013-04-02,10700,11100,10600,11000,173919,243609.0,22146300.0
2013-04-03,11050,11200,10850,11050,135570,244717.0,22146300.0
2013-04-04,11050,11550,10400,11500,296147,254682.0,22146300.0
2013-04-05,11500,11850,11200,11600,232799,256897.0,22146300.0
2013-04-08,11700,11950,11450,11600,209525,256897.0,22146300.0
2013-04-09,11450,11800,10850,11750,246288,260219.0,22146300.0
2013-04-10,11750,11850,11550,11650,79888,258004.0,22146300.0
2013-04-11,11650,11700,11300,11550,138117,255790.0,22146300.0
2013-04-12,11650,11700,11350,11350,162520,251361.0,22146300.0
2013-04-15,11450,12100,11050,11350,435487,251361.0,22146300.0
2013-04-16,11100,11350,10750,11350,290390,251361.0,22146300.0
2013-04-17,11400,11550,11200,11350,125292,251361.0,22146300.0
2013-04-18,11350,11600,11100,11150,129071,246931.0,22146300.0
2013-04-19,11150,11300,10950,11050,95708,244717.0,22146300.0
2013-04-22,11050,11300,10950,11300,91108,250253.0,22146300.0
2013-04-23,11400,11500,11100,11100,126841,245824.0,22146300.0
2013-04-24,11200,11450,11100,11250,181283,249146.0,22146300.0
2013-04-25,11350,11600,11350,11350,176679,251361.0,22146300.0
2013-04-26,11500,11650,11200,11350,1746901,251361.0,22146300.0
2013-04-29,11350,12200,11350,12200,687543,270185.0,22146300.0
2013-04-30,12150,12350,11700,11950,369409,264648.0,22146300.0
2013-05-02,11950,12250,11800,11850,268610,262434.0,22146300.0
2013-05-03,11950,12250,11600,12100,293380,267970.0,22146300.0
2013-05-06,12300,13250,12200,13050,750673,289009.0,22146300.0
2013-05-07,13000,13450,12750,13050,582410,289009.0,22146300.0
2013-05-08,13300,14050,13250,13800,682376,305619.0,22146300.0
2013-05-09,13650,14000,13400,13700,350284,303404.0,22146300.0
2013-05-10,13850,13900,13150,13200,179183,292331.0,22146300.0
2013-05-13,13200,13950,13200,13950,276131,308941.0,22146300.0
2013-05-14,14000,14150,12500,13400,491511,296760.0,22146300.0
2013-05-15,13400,13550,12550,12700,395451,281258.0,22146300.0
2013-05-16,12800,13000,12550,12800,250955,283473.0,22146300.0
2013-05-20,13100,13550,12800,12900,454653,285687.0,22146300.0
2013-05-21,13150,13300,12850,13000,126930,287902.0,22146300.0
2013-05-22,12900,13350,12800,12800,203005,283473.0,22146300.0
2013-05-23,12800,13150,12650,12850,196126,284580.0,22146300.0
2013-05-24,12900,13050,12650,12900,118836,285687.0,22146300.0
2013-05-27,13100,13550,12900,13050,280143,289009.0,22146300.0
2013-05-28,13050,13450,12900,13400,222758,296760.0,22146300.0
2013-05-29,13300,13400,13100,13200,172091,292331.0,22146300.0
2013-05-30,13100,13400,12550,12550,237411,277936.0,22146300.0
2013-05-31,12650,12700,12050,12450,407374,275721.0,22146300.0
2013-06-03,12600,12900,12300,12800,281508,283473.0,22146300.0
2013-06-04,12750,12800,12100,12200,288787,270185.0,22146300.0
2013-06-05,12250,12250,11800,11800,231743,261326.0,22146300.0
2013-06-07,11950,12150,11150,11350,191142,251361.0,22146300.0
2013-06-10,11300,11800,11100,11400,144919,252468.0,22146300.0
2013-06-11,11500,11750,11150,11300,230155,250253.0,22146300.0
2013-06-12,11300,11900,11050,11800,138789,261326.0,22146300.0
2013-06-13,11700,11950,11350,11800,135794,261326.0,22146300.0
2013-06-14,11850,11950,11500,11550,97084,255790.0,22146300.0
2013-06-17,11650,11900,11300,11700,87812,259112.0,22146300.0
2013-06-18,11650,12300,11550,12050,186139,266863.0,22146300.0
2013-06-19,12050,12450,11850,12350,192326,273507.0,22146300.0
2013-06-20,12000,12100,11650,11800,2422488,261326.0,22146300.0
2013-06-21,11550,11900,11400,11750,231988,260219.0,22146300.0
2013-06-24,11900,12000,11700,11700,175848,259112.0,22146300.0
2013-06-25,11700,11700,10150,10550,422175,233643.0,22146300.0
2013-06-26,11150,11150,10200,10500,301613,232536.0,22146300.0
2013-06-27,10700,11100,10550,10900,328028,241395.0,22146300.0
2013-06-28,10900,11350,10900,11300,200839,250253.0,22146300.0
2013-07-01,11300,11550,11200,11400,114702,252468.0,22146300.0
2013-07-02,11400,11400,11150,11250,134915,249146.0,22146300.0
2013-07-03,11200,11300,11000,11000,107572,243609.0,22146300.0
2013-07-04,11050,11250,10850,11100,116448,245824.0,22146300.0
2013-07-05,11050,11300,11050,11200,108250,248039.0,22146300.0
2013-07-08,11150,11700,11100,11700,251450,259112.0,22146300.0
2013-07-09,11700,11900,11550,11650,200382,258004.0,22146300.0
2013-07-10,11650,12000,11400,11900,293070,263541.0,22146300.0
2013-07-11,12000,12050,11750,11850,279273,262434.0,22146300.0
2013-07-12,11900,11950,11650,11850,112978,262434.0,22146300.0
2013-07-15,11800,11850,11450,11450,199700,253575.0,22146300.0
2013-07-16,11500,11750,11450,11600,97725,256897.0,22146300.0
2013-07-17,11550,12000,11550,11950,178464,264648.0,22146300.0
2013-07-18,11950,12550,11950,12450,369343,275721.0,22146300.0
2013-07-19,12500,12550,12250,12400,190826,274614.0,22146300.0
2013-07-22,12550,12700,12300,12300,206373,272399.0,22146300.0
2013-07-23,12400,12750,12350,12500,232472,276829.0,22146300.0
2013-07-24,12600,12700,12400,12600,90888,279043.0,22146300.0
2013-07-25,12650,12850,12350,12350,118417,273507.0,22146300.0
2013-07-26,12400,12500,12050,12300,157250,272399.0,22146300.0
2013-07-29,12300,12700,12250,12650,180870,280151.0,22146300.0
2013-07-30,12650,13000,12650,12750,266511,282365.0,22146300.0
2013-07-31,12750,12900,12550,12650,99069,280151.0,22146300.0
2013-08-01,12650,12750,12450,12600,94410,279043.0,22146300.0
2013-08-02,12600,12750,12000,12200,194795,270185.0,22146300.0
2013-08-05,12300,12300,11850,12250,169995,271292.0,22146300.0
2013-08-06,12450,12550,12350,12400,176033,274614.0,22146300.0
2013-08-07,12300,12650,12200,12600,199871,279043.0,22146300.0
2013-08-08,12600,12650,12400,12600,104090,279043.0,22146300.0
2013-08-09,12550,12800,12350,12750,105121,282365.0,22146300.0
2013-08-12,12850,13100,12800,12850,224398,284580.0,22146300.0
2013-08-13,12700,12900,12550,12650,145001,280151.0,22146300.0
2013-08-14,12600,12700,12150,12400,205459,274614.0,22146300.0
