동일산업(004890),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-06-30,36700,37400,31200,31200,153897,75667.0,2425215.0
2005-07-01,29650,32100,28500,31700,35667,76879.0,2425215.0
2005-07-04,31150,31800,30500,30650,26538,74333.0,2425215.0
2005-07-05,29700,32700,29600,32450,43910,78698.0,2425215.0
2005-07-06,31850,32800,31850,31850,25867,77243.0,2425215.0
2005-07-07,32850,32850,31750,31850,21126,77243.0,2425215.0
2005-07-08,32000,32000,31500,31900,11970,77364.0,2425215.0
2005-07-11,32050,32050,30850,31100,15563,75424.0,2425215.0
2005-07-12,31250,31250,30550,30550,12660,74090.0,2425215.0
2005-07-13,30950,35100,30000,34000,43999,82457.0,2425215.0
2005-07-14,33100,39100,33100,36800,82407,89248.0,2425215.0
2005-07-15,36250,37400,35000,35950,21750,87186.0,2425215.0
2005-07-18,35350,39350,35350,37200,58932,90218.0,2425215.0
2005-07-19,37200,37800,36200,37000,14738,89733.0,2425215.0
2005-07-20,36700,39850,36000,38100,41631,92401.0,2425215.0
2005-07-21,37700,38550,37400,38050,14130,92279.0,2425215.0
2005-07-22,37500,37750,35800,36500,12860,88520.0,2425215.0
2005-07-25,36150,37300,36000,36750,6180,89127.0,2425215.0
2005-07-26,36300,37150,35150,36750,12550,89127.0,2425215.0
2005-07-27,36750,36750,36000,36700,4270,89005.0,2425215.0
2005-07-28,36700,37500,35800,35950,11451,87186.0,2425215.0
2005-07-29,35950,36000,34500,35000,11180,84883.0,2425215.0
2005-08-01,35000,35000,33400,35000,14524,84883.0,2425215.0
2005-08-02,34600,35450,34000,34900,13051,84640.0,2425215.0
2005-08-03,34900,36500,34500,34600,14031,83912.0,2425215.0
2005-08-04,34600,34950,33150,34400,31408,83427.0,2425215.0
2005-08-05,34750,34750,33900,34350,7164,83306.0,2425215.0
2005-08-08,34350,34350,33800,34150,4440,82821.0,2425215.0
2005-08-09,34150,34150,33300,33800,18702,81972.0,2425215.0
2005-08-10,34050,34500,32450,32450,35080,78698.0,2425215.0
2005-08-11,32200,32450,30900,31300,26891,75909.0,2425215.0
2005-08-12,31400,32200,31150,31700,13796,76879.0,2425215.0
2005-08-16,31100,32050,29950,30000,35601,72756.0,2425215.0
2005-08-17,29500,30200,29200,29950,16490,72635.0,2425215.0
2005-08-18,30000,30100,28150,29000,16830,70331.0,2425215.0
2005-08-19,29250,29250,28400,28700,11471,69604.0,2425215.0
2005-08-22,28350,29750,28350,29600,9020,71786.0,2425215.0
2005-08-23,29600,29800,29150,29300,5740,71059.0,2425215.0
2005-08-24,29700,29750,28900,29200,8030,70816.0,2425215.0
2005-08-25,28750,29300,28650,28850,7493,69967.0,2425215.0
2005-08-26,29500,29500,28900,28900,7213,70089.0,2425215.0
2005-08-29,28800,28800,27800,28200,26880,68391.0,2425215.0
2005-08-30,27500,27500,25200,26500,99680,64268.0,2425215.0
2005-08-31,26900,27150,26450,27100,25600,65723.0,2425215.0
2005-09-01,27000,28150,26900,28000,48369,67906.0,2425215.0
2005-09-02,28000,28450,27800,28350,18451,68755.0,2425215.0
2005-09-05,28350,29200,28350,29000,14984,70331.0,2425215.0
2005-09-06,29000,29500,29000,29300,8310,71059.0,2425215.0
2005-09-07,29300,29600,28600,29550,29210,71665.0,2425215.0
2005-09-08,29850,29850,28900,28900,6451,70089.0,2425215.0
2005-09-09,28500,29400,28300,29400,16440,71301.0,2425215.0
2005-09-12,29350,29500,28700,29350,23490,71180.0,2425215.0
2005-09-13,29350,29350,28600,28600,6860,69361.0,2425215.0
2005-09-14,28800,28800,27700,28300,27150,68634.0,2425215.0
2005-09-15,28750,29700,27600,28150,68510,68270.0,2425215.0
2005-09-16,28150,28300,26800,26900,40118,65238.0,2425215.0
2005-09-20,27300,29200,26900,29200,111720,70816.0,2425215.0
2005-09-21,29200,31500,29200,31500,168596,76394.0,2425215.0
2005-09-22,31750,34900,31450,34500,197606,83670.0,2425215.0
2005-09-23,34500,34800,32500,34300,50010,83185.0,2425215.0
2005-09-26,34700,36000,34000,34300,87950,83185.0,2425215.0
2005-09-27,34050,36500,33200,36000,76781,87308.0,2425215.0
2005-09-28,35600,36750,35150,35800,34940,86823.0,2425215.0
2005-09-29,35900,36250,34700,35000,31670,84883.0,2425215.0
2005-09-30,34500,37900,34000,36100,99600,87550.0,2425215.0
2005-10-04,36800,36800,35500,36000,50420,87308.0,2425215.0
2005-10-05,35500,36450,35500,35900,33430,87065.0,2425215.0
2005-10-06,35400,35800,34050,34150,20690,82821.0,2425215.0
2005-10-07,33900,34750,33500,34250,36830,83064.0,2425215.0
2005-10-10,34500,34800,34000,34250,30410,83064.0,2425215.0
2005-10-11,33700,34250,33000,33150,19990,80396.0,2425215.0
2005-10-12,33500,34500,32100,32600,35770,79062.0,2425215.0
2005-10-13,32600,32600,30300,32050,25533,77728.0,2425215.0
2005-10-14,32050,32450,31500,32000,20181,77607.0,2425215.0
2005-10-17,31650,32650,31100,32100,15310,77849.0,2425215.0
2005-10-18,31900,32000,31550,31900,7710,77364.0,2425215.0
2005-10-19,31500,31900,29800,30000,11110,72756.0,2425215.0
2005-10-20,29550,30550,29550,30500,8870,73969.0,2425215.0
2005-10-21,29900,31250,29650,30650,13250,74333.0,2425215.0
2005-10-24,30600,31800,30400,30900,9470,74939.0,2425215.0
2005-10-25,31650,32700,30500,32700,13940,79305.0,2425215.0
2005-10-26,32000,34600,31700,34400,20140,83427.0,2425215.0
2005-10-27,34500,34500,33200,33750,17390,81851.0,2425215.0
2005-10-28,33750,33750,32000,32950,14450,79911.0,2425215.0
2005-10-31,32750,33900,32500,33900,7981,82215.0,2425215.0
2005-11-01,33050,33850,33000,33200,6512,80517.0,2425215.0
2005-11-02,33250,34200,33250,33900,10070,82215.0,2425215.0
2005-11-03,34450,34450,33000,33200,4410,80517.0,2425215.0
2005-11-04,33000,33200,32000,32000,18102,77607.0,2425215.0
2005-11-07,32500,32500,30700,30800,34950,74697.0,2425215.0
