부국증권(001270),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,13000,14300,13000,14000,131070,145178.0,10369886.0
1999-01-05,14500,14600,13500,14500,92770,150363.0,10369886.0
1999-01-06,14600,15100,14100,14500,92410,150363.0,10369886.0
1999-01-07,14800,15000,14300,14350,87880,148808.0,10369886.0
1999-01-08,14500,15800,14400,14700,97600,152437.0,10369886.0
1999-01-11,15700,15700,14750,15550,105860,161252.0,10369886.0
1999-01-12,15800,16000,14400,15000,81550,155548.0,10369886.0
1999-01-13,15200,15400,14400,14650,72710,151919.0,10369886.0
1999-01-14,13950,14100,12600,13400,57650,138956.0,10369886.0
1999-01-15,13200,14000,13200,13500,50110,139993.0,10369886.0
1999-01-18,14000,14200,13500,13500,51530,139993.0,10369886.0
1999-01-19,13500,14200,12900,14100,73090,146215.0,10369886.0
1999-01-20,13500,14050,13100,13200,17230,136882.0,10369886.0
1999-01-21,12500,12800,11800,12000,38880,124439.0,10369886.0
1999-01-22,11400,12500,10900,11600,77230,120291.0,10369886.0
1999-01-25,12000,12200,10900,10900,29970,113032.0,10369886.0
1999-01-26,11650,11650,10000,10100,37220,104736.0,10369886.0
1999-01-27,10400,11450,9680,10900,181950,113032.0,10369886.0
1999-01-28,11000,11300,10500,10500,70890,108884.0,10369886.0
1999-01-29,10350,10900,10200,10900,42110,113032.0,10369886.0
1999-02-01,10900,12300,10600,11850,83060,122883.0,10369886.0
1999-02-02,11600,11800,11000,11050,60260,114587.0,10369886.0
1999-02-03,10750,10950,10600,10800,35270,111995.0,10369886.0
1999-02-04,10600,11300,10600,11200,28670,116143.0,10369886.0
1999-02-05,11400,12300,11000,12000,72110,124439.0,10369886.0
1999-02-08,12500,13800,11600,13800,288050,143104.0,10369886.0
1999-02-09,14700,14950,13400,14900,711640,154511.0,10369886.0
1999-02-10,14900,15200,14000,14000,330130,145178.0,10369886.0
1999-02-11,14100,14850,13600,14400,203850,149326.0,10369886.0
1999-02-12,14700,14950,14300,14600,203980,151400.0,10369886.0
1999-02-18,13150,14950,13150,13800,155150,143104.0,10369886.0
1999-02-19,13200,13500,12600,12800,98010,132735.0,10369886.0
1999-02-22,12300,12700,11800,11800,53800,122365.0,10369886.0
1999-02-23,12100,12300,11300,11600,336640,120291.0,10369886.0
1999-02-24,11250,11800,11000,11000,91610,114069.0,10369886.0
1999-02-25,11000,11200,10500,10800,74920,111995.0,10369886.0
1999-02-26,10700,11200,10700,11100,82940,115106.0,10369886.0
1999-03-02,11750,11750,11200,11350,98760,117698.0,10369886.0
1999-03-03,11550,11650,11000,11300,79170,117180.0,10369886.0
1999-03-04,11350,11500,11100,11200,52600,116143.0,10369886.0
1999-03-05,11000,11300,11000,11200,39480,116143.0,10369886.0
1999-03-08,12500,12850,11500,12850,146360,133253.0,10369886.0
1999-03-09,13200,13650,12500,12850,171510,133253.0,10369886.0
1999-03-10,12850,13000,12500,12850,87340,133253.0,10369886.0
1999-03-11,13000,13900,12900,13650,116880,141549.0,10369886.0
1999-03-12,14000,14150,13500,13800,189920,143104.0,10369886.0
1999-03-15,14000,14450,13700,13900,146740,144141.0,10369886.0
1999-03-16,13800,14400,13500,14400,102800,149326.0,10369886.0
1999-03-17,14600,14900,14100,14100,128400,146215.0,10369886.0
1999-03-18,13800,14100,12900,12900,76230,133772.0,10369886.0
1999-03-19,12900,13300,12800,13000,55110,134809.0,10369886.0
1999-03-22,13000,13200,12800,12900,57500,133772.0,10369886.0
1999-03-23,12900,13400,12900,13250,38360,137401.0,10369886.0
1999-03-24,13500,13500,12800,13100,44310,135846.0,10369886.0
1999-03-25,12800,13300,12800,13200,54110,136882.0,10369886.0
1999-03-26,13050,13900,13050,13900,75530,144141.0,10369886.0
1999-03-29,12800,13700,12800,13450,39430,139475.0,10369886.0
1999-03-30,13100,13650,13000,13650,44760,141549.0,10369886.0
1999-03-31,13750,13900,13200,13200,37100,136882.0,10369886.0
1999-04-01,13000,13900,13000,13700,57150,142067.0,10369886.0
1999-04-02,13050,14000,13050,13300,51820,137919.0,10369886.0
1999-04-06,13700,13800,13200,13450,56400,139475.0,10369886.0
1999-04-07,13800,14300,13500,14100,142750,146215.0,10369886.0
1999-04-08,14100,16200,14100,16200,273780,167992.0,10369886.0
1999-04-09,16500,17000,15550,16300,402940,169029.0,10369886.0
1999-04-12,16500,16800,15600,16200,103800,167992.0,10369886.0
1999-04-13,16300,18500,16050,16800,228500,174214.0,10369886.0
1999-04-14,16800,17800,16700,17000,119920,176288.0,10369886.0
1999-04-15,17200,19550,17200,19550,499250,202731.0,10369886.0
1999-04-16,19400,20900,18500,18550,453750,192361.0,10369886.0
1999-04-19,18000,19000,17500,18000,218500,186658.0,10369886.0
1999-04-20,18000,18000,17200,17700,141210,183547.0,10369886.0
1999-04-21,16700,18500,16700,17000,156840,176288.0,10369886.0
1999-04-22,17000,17500,16400,16900,112200,175251.0,10369886.0
1999-04-23,17200,17500,16700,17000,156590,176288.0,10369886.0
1999-04-26,16800,19000,16800,18500,273960,191843.0,10369886.0
1999-04-27,18100,19000,17000,17350,299410,179918.0,10369886.0
1999-04-28,17250,18100,16800,17000,227630,176288.0,10369886.0
1999-04-29,17050,17200,16000,16100,123740,166955.0,10369886.0
1999-04-30,16100,16700,15900,16400,115390,170066.0,10369886.0
1999-05-03,16500,16700,15850,16000,106340,165918.0,10369886.0
1999-05-04,16000,16400,15900,16100,153880,166955.0,10369886.0
1999-05-06,16800,16800,16000,16100,168680,166955.0,10369886.0
1999-05-07,16500,16750,16250,16400,317510,170066.0,10369886.0
1999-05-10,16600,16650,16200,16200,114070,167992.0,10369886.0
1999-05-11,16000,16400,15500,15500,108350,160733.0,10369886.0
1999-05-12,15000,15500,14700,15000,115010,155548.0,10369886.0
1999-05-13,14900,15000,13550,13550,83880,140512.0,10369886.0
1999-05-14,13650,13900,12950,13100,82590,135846.0,10369886.0
