천일고속(000650),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,12998,14332,12330,14015,1290,18763.0,940495.0
1999-01-05,13700,13700,12997,13207,430,17681.0,940495.0
1999-01-06,13910,15174,13488,15173,15770,20315.0,940495.0
1999-01-07,15456,16721,14051,14752,24590,19750.0,940495.0
1999-01-08,14122,15105,13455,13488,2400,18058.0,940495.0
1999-01-11,14683,15456,13700,14752,7160,19750.0,940495.0
1999-01-12,15386,16967,14754,16965,19050,22713.0,940495.0
1999-01-13,17564,18899,16966,17000,20010,22760.0,940495.0
1999-01-14,15597,15808,14472,15069,7630,20174.0,940495.0
1999-01-15,15104,17316,15033,17316,23010,23183.0,940495.0
1999-01-18,18266,18969,16932,17774,25540,23795.0,940495.0
1999-01-19,15807,17564,15807,17106,2550,22901.0,940495.0
1999-01-20,17107,17107,15525,16719,4250,22384.0,940495.0
1999-01-21,15525,16509,15174,15173,2380,20315.0,940495.0
1999-01-22,14472,14753,13839,14682,3750,19656.0,940495.0
1999-01-25,14754,14754,13490,13488,2670,18058.0,940495.0
1999-01-26,13560,14474,13490,13488,2440,18058.0,940495.0
1999-01-27,13279,14051,13279,13980,1810,18716.0,940495.0
1999-01-28,14613,15456,14472,14752,2980,19750.0,940495.0
1999-01-29,14506,15455,14402,15173,410,20315.0,940495.0
1999-02-01,15104,15455,14121,14963,3140,20033.0,940495.0
1999-02-02,14963,15455,14296,14506,2210,19421.0,940495.0
1999-02-03,14543,16651,14121,16649,19940,22290.0,940495.0
1999-02-04,16860,18230,14402,14822,68280,19844.0,940495.0
1999-02-05,15455,16439,14402,14401,16410,19280.0,940495.0
1999-02-08,14894,15175,14402,14542,6580,19468.0,940495.0
1999-02-09,13698,16087,13698,14365,5690,19233.0,940495.0
1999-02-10,13349,14543,13349,13839,3870,18528.0,940495.0
1999-02-11,13875,14612,13769,13909,3300,18622.0,940495.0
1999-02-12,13981,14613,13699,14050,4010,18810.0,940495.0
1999-02-18,14051,14051,13841,13839,1190,18528.0,940495.0
1999-02-19,15455,15455,12821,13734,3130,18387.0,940495.0
1999-02-22,13840,13840,13349,13699,1890,18340.0,940495.0
1999-02-23,13699,14050,13383,13769,2340,18434.0,940495.0
1999-02-24,13841,14333,13841,14331,3560,19186.0,940495.0
1999-02-25,14121,14332,13770,14050,1660,18810.0,940495.0
1999-02-26,13699,14613,13699,14612,650,19562.0,940495.0
1999-03-02,14403,14754,14403,14648,1740,19609.0,940495.0
