삼일제약(000520),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,1785,1869,1785,1819,46350,10218.0,955000.0
1999-01-05,1836,1989,1819,1887,88500,10600.0,955000.0
1999-01-06,1836,2107,1836,2040,173600,11460.0,955000.0
1999-01-07,2040,2074,1989,2040,148950,11460.0,955000.0
1999-01-08,2023,2092,1973,2083,124600,11699.0,955000.0
1999-01-11,2159,2346,2107,2261,262050,12702.0,955000.0
1999-01-12,2329,2329,2126,2245,209700,12606.0,955000.0
1999-01-13,2244,2337,2175,2329,233950,13084.0,955000.0
1999-01-14,2175,2295,2040,2099,111600,11794.0,955000.0
1999-01-15,2040,2329,2040,2245,133550,12606.0,955000.0
1999-01-18,2253,2576,2253,2551,361600,14325.0,955000.0
1999-01-19,2508,2508,2304,2304,163500,12940.0,955000.0
1999-01-20,2305,2432,2211,2219,154700,12463.0,955000.0
1999-01-21,2244,2260,2040,2125,76700,11938.0,955000.0
1999-01-22,2040,2040,1921,1964,36250,11030.0,955000.0
1999-01-25,2015,2015,1836,1878,65350,10553.0,955000.0
1999-01-26,1905,1955,1786,1786,60850,10028.0,955000.0
1999-01-27,1802,1854,1786,1854,43050,10410.0,955000.0
1999-01-28,1869,2125,1869,2125,185350,11938.0,955000.0
1999-01-29,2152,2322,2041,2066,738300,11603.0,955000.0
1999-02-01,2126,2126,2016,2092,99250,11746.0,955000.0
1999-02-02,2091,2151,2015,2040,127750,11460.0,955000.0
1999-02-03,2040,2040,1921,1955,101100,10982.0,955000.0
1999-02-04,1989,2031,1912,1972,57350,11078.0,955000.0
1999-02-05,1922,2016,1922,2015,46600,11317.0,955000.0
1999-02-08,1954,2006,1946,1946,62150,10935.0,955000.0
1999-02-09,1878,1980,1785,1819,51800,10218.0,955000.0
1999-02-10,1863,1863,1743,1786,54450,10028.0,955000.0
1999-02-11,1870,1870,1786,1828,68200,10266.0,955000.0
1999-02-12,1895,1895,1827,1870,50500,10505.0,955000.0
1999-02-18,1837,1863,1734,1786,35800,10028.0,955000.0
1999-02-19,1752,1777,1701,1777,17000,9980.0,955000.0
1999-02-22,1734,1751,1683,1717,22050,9646.0,955000.0
1999-02-23,1701,1717,1687,1701,33850,9550.0,955000.0
1999-02-24,1700,1716,1666,1666,17250,9359.0,955000.0
1999-02-25,1648,1683,1598,1666,25950,9359.0,955000.0
1999-02-26,1684,1717,1684,1701,33050,9550.0,955000.0
1999-03-02,1742,1819,1734,1819,35600,10218.0,955000.0
1999-03-03,1734,1734,1716,1734,16000,9741.0,955000.0
1999-03-04,1769,1786,1726,1768,19600,9932.0,955000.0
1999-03-05,1717,1811,1717,1760,27900,9884.0,955000.0
1999-03-08,1785,1836,1785,1819,28850,10218.0,955000.0
1999-03-09,1853,1887,1819,1870,92200,10505.0,955000.0
1999-03-10,1904,1904,1793,1811,42800,10171.0,955000.0
1999-03-11,1870,1896,1811,1854,30450,10410.0,955000.0
1999-03-12,1887,1938,1869,1887,83350,10600.0,955000.0
1999-03-15,1887,1947,1828,1904,72650,10696.0,955000.0
1999-03-16,1870,2185,1845,1939,144400,10887.0,955000.0
1999-03-17,1938,1938,1869,1870,69650,10505.0,955000.0
1999-03-18,1863,1922,1710,1709,57400,9598.0,955000.0
1999-03-19,1734,1811,1734,1768,27000,9932.0,955000.0
1999-03-22,1752,1820,1752,1786,20600,10028.0,955000.0
1999-03-23,1752,1863,1752,1786,32650,10028.0,955000.0
1999-03-24,1785,1819,1785,1802,16450,10123.0,955000.0
1999-03-25,1810,1853,1785,1802,18050,10123.0,955000.0
1999-03-26,1802,1828,1786,1786,35250,10028.0,955000.0
1999-03-29,1734,1802,1734,1760,23750,9884.0,955000.0
1999-03-30,1769,1837,1769,1786,34300,10028.0,955000.0
1999-03-31,1827,1853,1793,1802,21250,10123.0,955000.0
1999-04-01,1820,1888,1811,1828,42950,10266.0,955000.0
1999-04-02,1862,1862,1785,1811,31850,10171.0,955000.0
1999-04-06,1793,1963,1793,1870,68150,10505.0,955000.0
1999-04-07,1905,1947,1887,1913,56650,10744.0,955000.0
1999-04-08,1921,1954,1853,1896,71850,10648.0,955000.0
1999-04-09,1912,1912,1862,1870,47850,10505.0,955000.0
1999-04-12,1869,1989,1853,1955,155350,11212.0,975000.0
1999-04-13,1954,1954,1904,1955,33400,11212.0,975000.0
1999-04-14,2006,2031,1912,1972,147350,11310.0,975000.0
1999-04-15,1973,2023,1973,2007,73250,11505.0,975000.0
1999-04-16,1955,2058,1939,1939,61800,11115.0,975000.0
1999-04-19,1938,1980,1895,1896,93800,10871.0,975000.0
1999-04-20,1904,2040,1878,1972,80000,11310.0,975000.0
1999-04-21,2040,2125,1963,1964,110700,11261.0,975000.0
1999-04-22,1939,1955,1905,1939,45350,11115.0,975000.0
1999-04-23,1939,2023,1939,1989,96800,11408.0,975000.0
1999-04-26,2023,2023,1930,1989,55200,11408.0,975000.0
1999-04-27,2007,2023,1990,1998,141650,11456.0,975000.0
1999-04-28,1990,2117,1990,2092,184500,11992.0,975000.0
1999-04-29,2125,2210,2099,2108,275700,12090.0,975000.0
1999-04-30,2126,2160,2049,2092,106050,11992.0,975000.0
1999-05-03,2142,2210,2091,2176,190050,12480.0,975000.0
1999-05-04,2260,2295,2193,2193,161950,12578.0,975000.0
1999-05-06,2261,2329,2245,2295,266450,13162.0,975000.0
1999-05-07,2381,2381,2228,2295,195200,13162.0,975000.0
1999-05-10,2296,2414,2253,2363,278300,13552.0,975000.0
1999-05-11,2414,2507,2328,2329,305850,13358.0,975000.0
1999-05-12,2279,2329,2126,2287,206700,13114.0,975000.0
1999-05-13,2193,2312,2175,2176,80400,12480.0,975000.0
1999-05-14,2210,2244,2074,2108,139900,12090.0,975000.0
1999-05-17,2058,2058,1981,2015,76500,11554.0,975000.0
1999-05-18,1972,2040,1972,2023,36550,11602.0,975000.0
1999-05-19,2049,2322,2049,2321,857250,13309.0,975000.0
1999-05-20,2304,2422,2107,2108,1887700,12090.0,975000.0
1999-05-21,2125,2295,2006,2040,582450,11700.0,975000.0
1999-05-24,2075,2126,2007,2015,202100,11554.0,975000.0
1999-05-25,1980,2175,1980,2125,307950,12188.0,975000.0
1999-05-26,2092,2211,2092,2142,153700,12285.0,975000.0
1999-05-27,2142,2159,2048,2049,93100,11749.0,975000.0
1999-05-28,2049,2092,2023,2074,89800,11895.0,975000.0
1999-05-31,2092,2143,2049,2057,37050,11798.0,975000.0
1999-06-01,2041,2075,1990,1989,78050,11408.0,975000.0
1999-06-02,1990,2092,1990,2083,89650,11944.0,975000.0
1999-06-03,2092,2126,1990,2074,107000,11895.0,975000.0
1999-06-04,2107,2107,2031,2031,94650,11651.0,975000.0
1999-06-07,2091,2107,2040,2108,78950,12090.0,975000.0
1999-06-08,2108,2169,2075,2160,152050,12382.0,975000.0
1999-06-09,2176,2194,2040,2074,105050,11895.0,975000.0
1999-06-10,2100,2108,2049,2083,60800,11944.0,975000.0
1999-06-11,2108,2108,2007,2007,68450,11505.0,975000.0
1999-06-14,2016,2126,2016,2083,143550,11944.0,975000.0
1999-06-15,2083,2107,1972,1972,62300,11310.0,975000.0
1999-06-16,1981,2041,1955,1989,58950,11408.0,975000.0
1999-06-17,2007,2041,1955,2007,70600,11505.0,975000.0
1999-06-18,1989,1989,1904,1946,35050,11164.0,975000.0
1999-06-21,1946,1946,1869,1896,70700,10871.0,975000.0
1999-06-22,1820,1905,1820,1904,43750,10920.0,975000.0
1999-06-23,1879,1947,1879,1939,33750,11115.0,975000.0
1999-06-24,1939,1955,1905,1930,25100,11066.0,975000.0
1999-06-25,1955,1955,1905,1939,57500,11115.0,975000.0
1999-06-28,1947,2023,1922,1921,136650,11018.0,975000.0
1999-06-29,1931,1939,1905,1921,48950,11018.0,975000.0
1999-06-30,1939,1973,1905,1939,78650,11115.0,975000.0
1999-07-01,1939,2228,1939,2228,452500,12772.0,975000.0
1999-07-02,2228,2296,2084,2151,651800,12334.0,975000.0
1999-07-05,2175,2260,2125,2176,212000,12480.0,975000.0
1999-07-06,2143,2211,2126,2151,97300,12334.0,975000.0
1999-07-07,2107,2175,2107,2108,95700,12090.0,975000.0
1999-07-08,2108,2176,2108,2160,84750,12382.0,975000.0
1999-07-09,2159,2260,2133,2261,149300,12968.0,975000.0
1999-07-12,2237,2381,2211,2295,177300,13162.0,975000.0
1999-07-13,2260,2397,2227,2346,132650,13455.0,975000.0
1999-07-14,2347,2347,2194,2245,86650,12870.0,975000.0
1999-07-15,2193,2260,2193,2261,40300,12968.0,975000.0
1999-07-16,2279,2347,2228,2313,122200,13260.0,975000.0
1999-07-19,2347,2364,2296,2295,65250,13162.0,975000.0
1999-07-20,2295,2328,2142,2329,107050,13358.0,975000.0
1999-07-21,2296,2322,2176,2210,40500,12675.0,975000.0
1999-07-22,2211,2270,2151,2245,50150,12870.0,975000.0
1999-07-23,2244,2380,2159,2176,128600,12480.0,975000.0
1999-07-26,2125,2125,1954,2099,68900,12041.0,975000.0
1999-07-27,2023,2160,2023,2160,71600,12382.0,975000.0
1999-07-28,2160,2261,2160,2210,50750,12675.0,975000.0
1999-07-29,2143,2261,2143,2245,34100,12870.0,975000.0
1999-07-30,2193,2193,2159,2193,42000,12578.0,975000.0
1999-08-02,2193,2193,2107,2108,122350,12090.0,975000.0
1999-08-03,2058,2160,2058,2142,103950,12285.0,975000.0
1999-08-04,2143,2279,2126,2160,46400,12382.0,975000.0
1999-08-05,2193,2397,2125,2125,198950,12188.0,975000.0
1999-08-06,2125,2210,2099,2193,49150,12578.0,975000.0
1999-08-09,2193,2328,2175,2329,170400,13358.0,975000.0
1999-08-10,2296,2482,2296,2466,263800,14138.0,975000.0
1999-08-11,2499,2499,2328,2414,61450,13845.0,975000.0
1999-08-12,2380,2542,2380,2414,100500,13845.0,975000.0
1999-08-13,2500,2500,2296,2448,69050,14040.0,975000.0
1999-08-16,2465,2771,2465,2635,312900,15112.0,975000.0
1999-08-17,2670,2703,2245,2466,167550,14138.0,975000.0
1999-08-18,2380,2448,2218,2261,130750,12968.0,975000.0
1999-08-19,2279,2381,2194,2287,106400,13114.0,975000.0
1999-08-20,2296,2381,2211,2313,105250,13260.0,975000.0
1999-08-23,2329,2398,2279,2381,85500,13650.0,975000.0
1999-08-24,2414,2448,2363,2405,62900,13796.0,975000.0
1999-08-25,2439,2439,2328,2329,105450,13358.0,975000.0
1999-08-26,2346,2414,2328,2329,40550,13358.0,975000.0
1999-08-27,2338,2364,2245,2287,40600,13114.0,975000.0
1999-08-30,2279,2329,2270,2295,37000,13162.0,975000.0
1999-08-31,2278,2295,2210,2270,38400,13016.0,975000.0
1999-09-01,2295,2295,2193,2193,27800,12578.0,975000.0
1999-09-02,2126,2228,1922,1921,31800,11018.0,975000.0
1999-09-03,1972,2116,1972,2108,85900,12090.0,975000.0
1999-09-06,2143,2329,2126,2210,44350,12675.0,975000.0
1999-09-07,2296,2347,2151,2287,60000,13114.0,975000.0
1999-09-08,2287,2355,2176,2210,46300,12675.0,975000.0
1999-09-09,2295,2295,2175,2261,13350,12968.0,975000.0
1999-09-10,2261,2568,2211,2440,175150,13991.0,975000.0
1999-09-13,2551,2551,2296,2321,34700,13309.0,975000.0
1999-09-14,2380,2465,2321,2329,22850,13358.0,975000.0
1999-09-15,2312,2414,2286,2414,69000,13845.0,975000.0
1999-09-16,2414,2466,2313,2381,47800,13650.0,975000.0
1999-09-17,2347,2372,2211,2295,40750,13162.0,975000.0
1999-09-20,2296,2432,2296,2398,59900,13748.0,975000.0
1999-09-21,2347,2381,2296,2381,45000,13650.0,975000.0
1999-09-22,2405,2405,2260,2329,17400,13358.0,975000.0
1999-09-27,2321,2321,2184,2184,24450,12529.0,975000.0
1999-09-28,2159,2312,2159,2176,33500,12480.0,975000.0
1999-09-29,2169,2211,2134,2210,23750,12675.0,975000.0
1999-09-30,2211,2245,2108,2210,40750,12675.0,975000.0
1999-10-01,2176,2202,2058,2160,29750,12382.0,975000.0
1999-10-04,2143,2211,2058,2210,10150,12675.0,975000.0
1999-10-05,2066,2194,2058,2074,11150,11895.0,975000.0
1999-10-06,1810,2040,1810,2023,35700,11602.0,975000.0
1999-10-07,2007,2126,2007,2092,23800,11992.0,975000.0
1999-10-08,2125,2125,2040,2108,10600,12090.0,975000.0
1999-10-11,2142,2175,2074,2108,42100,12090.0,975000.0
1999-10-12,2108,2108,2040,2092,33550,11992.0,975000.0
1999-10-13,2092,2092,2040,2083,45500,11944.0,975000.0
1999-10-14,2075,2117,2049,2057,35500,11798.0,975000.0
1999-10-15,2091,2210,2057,2125,33400,12188.0,975000.0
1999-10-18,1955,2092,1955,1989,19000,11408.0,975000.0
1999-10-19,1998,2007,1939,1989,9500,11408.0,975000.0
1999-10-20,2040,2126,2007,2092,30900,11992.0,975000.0
1999-10-21,2107,2159,2006,2040,45950,11700.0,975000.0
1999-10-22,2057,2083,1972,2040,25650,11700.0,975000.0
1999-10-25,1990,2023,1905,1921,32750,11018.0,975000.0
1999-10-26,1954,1954,1887,1896,20700,10871.0,975000.0
1999-10-27,1904,1954,1836,1870,30100,10725.0,975000.0
1999-10-28,1870,1939,1845,1939,24250,11115.0,975000.0
1999-10-29,1954,1972,1912,1972,14600,11310.0,975000.0
1999-11-01,1973,2092,1973,2092,46850,11992.0,975000.0
1999-11-02,2126,2126,2040,2074,30950,11895.0,975000.0
1999-11-03,2107,2107,2022,2023,37950,11602.0,975000.0
1999-11-04,1990,2075,1990,2057,39850,11798.0,975000.0
1999-11-05,2074,2074,1989,2040,42450,11700.0,975000.0
1999-11-08,2040,2057,1989,2040,41800,11700.0,975000.0
1999-11-09,2040,2075,1998,2074,47100,11895.0,975000.0
1999-11-10,2099,2175,2057,2176,84450,12480.0,975000.0
1999-11-11,2210,2210,2125,2125,37750,12188.0,975000.0
1999-11-12,2091,2193,2074,2125,48750,12188.0,975000.0
1999-11-15,2126,2126,2007,2074,22400,11895.0,975000.0
1999-11-16,2107,2107,2006,2040,32900,11700.0,975000.0
1999-11-17,2091,2091,1980,2023,24500,11602.0,975000.0
1999-11-18,2031,2159,2031,2125,50450,12188.0,975000.0
1999-11-19,2040,2134,2040,2134,26000,12236.0,975000.0
