현대백화점(069960),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-11-25,29500,29900,27100,28600,4018662,633997.0,22167722.0
2002-11-26,28800,29500,28100,29000,628567,642864.0,22167722.0
2002-11-27,28700,28950,27900,28650,494132,635105.0,22167722.0
2002-11-28,28650,29200,28100,28650,528764,635105.0,22167722.0
2002-11-29,28550,29700,28550,29700,528838,658381.0,22167722.0
2002-12-02,30150,30150,29000,29150,345866,646189.0,22167722.0
2002-12-03,29400,29650,29100,29500,276740,653948.0,22167722.0
2002-12-04,29100,29200,28500,28750,299760,637322.0,22167722.0
2002-12-05,28750,28900,28400,28900,120696,640647.0,22167722.0
2002-12-06,28300,28850,28200,28200,110996,625130.0,22167722.0
2002-12-09,28000,28500,27100,28000,176650,620696.0,22167722.0
2002-12-10,27100,27600,27100,27500,247690,609612.0,22167722.0
2002-12-11,27000,27600,26600,27000,194336,598528.0,22167722.0
2002-12-12,26700,26850,26250,26450,220413,586336.0,22167722.0
2002-12-13,26100,26200,24900,25100,302994,556410.0,22167722.0
2002-12-16,24450,24700,22850,22900,328068,507641.0,22167722.0
2002-12-17,23400,23700,22850,23000,288789,509858.0,22167722.0
2002-12-18,22500,23300,22400,22500,318430,498774.0,22167722.0
2002-12-20,21850,22750,21250,22700,471490,503207.0,22167722.0
2002-12-23,22300,23200,21850,22000,469396,487690.0,22167722.0
2002-12-24,21600,22300,20550,20700,304328,458872.0,22167722.0
2002-12-26,20550,20700,19950,20550,204942,455547.0,22167722.0
2002-12-27,19800,20600,19400,19400,210692,430054.0,22167722.0
2002-12-30,19050,19100,17600,19100,393280,423403.0,22167722.0
2003-01-02,18900,20000,18600,20000,310862,443354.0,22167722.0
2003-01-03,20100,21050,20050,20050,377936,444463.0,22167722.0
2003-01-06,20250,20250,19050,19350,225245,428945.0,22167722.0
2003-01-07,19800,19800,18450,18800,205200,416753.0,22167722.0
2003-01-08,18600,18800,18100,18250,157114,404561.0,22167722.0
2003-01-09,17750,18600,17600,18500,154790,410103.0,22167722.0
2003-01-10,18500,18900,16800,17050,536002,377960.0,22167722.0
2003-01-13,16750,17450,16750,17400,244158,385718.0,22167722.0
2003-01-14,17250,19900,17250,19400,666167,430054.0,22167722.0
2003-01-15,19600,19900,19100,19800,282587,438921.0,22167722.0
2003-01-16,19200,21450,19200,20900,839927,463305.0,22167722.0
2003-01-17,21000,21800,20450,21100,457200,467739.0,22167722.0
2003-01-20,21100,22200,20900,21800,431961,483256.0,22167722.0
2003-01-21,22000,22200,21100,21300,192486,472172.0,22167722.0
2003-01-22,20550,22000,20300,20600,157887,456655.0,22167722.0
2003-01-23,20550,20700,19750,20600,216639,456655.0,22167722.0
2003-01-24,20400,21300,20350,20650,231074,457763.0,22167722.0
2003-01-27,20200,20550,19900,20550,241089,455547.0,22167722.0
2003-01-28,20550,21100,20200,20450,107960,453330.0,22167722.0
2003-01-29,20700,20750,19500,19500,288404,432271.0,22167722.0
2003-01-30,20000,20100,19200,20100,86588,445571.0,22167722.0
2003-02-03,20350,20800,19750,20800,91090,461089.0,22167722.0
2003-02-04,21000,22300,20600,21850,273327,484365.0,22167722.0
2003-02-05,21650,23650,21450,22700,412943,503207.0,22167722.0
2003-02-06,23100,23300,22100,22300,224645,494340.0,22167722.0
2003-02-07,22000,22100,20550,21100,425417,467739.0,22167722.0
2003-02-10,20600,21000,20600,20750,101912,459980.0,22167722.0
2003-02-11,20900,21200,19000,20350,275950,451113.0,22167722.0
2003-02-12,20200,21000,20000,21000,124876,465522.0,22167722.0
2003-02-13,20900,20900,20350,20600,252232,456655.0,22167722.0
2003-02-14,20600,20700,19950,20500,183922,454438.0,22167722.0
2003-02-17,20950,21300,20600,21000,319065,465522.0,22167722.0
2003-02-18,21000,22000,20650,21700,506990,481040.0,22167722.0
2003-02-19,22450,22500,20850,21300,433728,472172.0,22167722.0
2003-02-20,21500,21650,21100,21600,190512,478823.0,22167722.0
2003-02-21,21600,22200,21600,22000,213797,487690.0,22167722.0
2003-02-24,22300,22450,21100,22000,407788,487690.0,22167722.0
2003-02-25,21600,21600,21100,21100,91451,467739.0,22167722.0
2003-02-26,21200,21350,20650,21000,97830,465522.0,22167722.0
2003-02-27,20350,20700,20350,20600,57810,456655.0,22167722.0
2003-02-28,20500,20700,19850,20150,64092,446680.0,22167722.0
2003-03-03,19750,20100,19750,20100,112346,445571.0,22167722.0
2003-03-04,19950,20100,19500,20000,61366,443354.0,22167722.0
2003-03-05,19500,19750,19150,19600,144276,434487.0,22167722.0
2003-03-06,19650,19650,18500,19100,168770,423403.0,22167722.0
2003-03-07,18400,19000,18100,18500,118003,410103.0,22167722.0
2003-03-10,18150,18500,16650,17500,307690,387935.0,22167722.0
2003-03-11,16600,17300,16600,17000,223476,376851.0,22167722.0
2003-03-12,17000,17000,15900,16100,311212,356900.0,22167722.0
2003-03-13,16300,16650,15500,15800,301852,350250.0,22167722.0
2003-03-14,16850,17300,16300,16450,233254,364659.0,22167722.0
2003-03-17,16350,16350,15300,15300,138932,339166.0,22167722.0
2003-03-18,16350,17550,16200,17500,391335,387935.0,22167722.0
2003-03-19,17500,18150,17400,17500,251846,387935.0,22167722.0
2003-03-20,17800,19000,17400,18900,195636,418970.0,22167722.0
2003-03-21,19000,19800,18400,19000,139320,421187.0,22167722.0
2003-03-24,19350,19350,18300,18500,147941,410103.0,22167722.0
2003-03-25,17300,18000,17150,17600,138216,390152.0,22167722.0
2003-03-26,17950,18400,17600,17800,217376,394585.0,22167722.0
2003-03-27,17500,17800,17200,17200,86472,381285.0,22167722.0
2003-03-28,17200,18100,17200,17900,72778,396802.0,22167722.0
2003-03-31,17500,17800,17200,17800,55680,394585.0,22167722.0
2003-04-01,17300,17700,17200,17700,32510,392369.0,22167722.0
2003-04-02,17650,17900,17000,17250,120292,382393.0,22167722.0
2003-04-03,17600,17800,17200,17200,81540,381285.0,22167722.0
2003-04-04,16900,17500,16500,17350,248240,384610.0,22167722.0
2003-04-07,17500,18600,17350,18350,383353,406778.0,22167722.0
2003-04-08,18100,18900,17800,18200,383001,403453.0,22167722.0
2003-04-09,18200,18600,17800,17850,233672,395694.0,22167722.0
2003-04-10,18200,18750,17900,18550,338255,411211.0,22167722.0
2003-04-11,18750,19350,18000,18550,512176,411211.0,22167722.0
