하나제약(293480),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-10-02,30100,38450,30050,33150,19162459,537030.0,16200000.0
2018-10-04,32450,34900,30300,30700,4121197,497340.0,16200000.0
2018-10-05,31100,33900,30400,31650,4636814,512730.0,16200000.0
2018-10-08,31250,32350,29700,29700,1321816,481140.0,16200000.0
2018-10-10,29800,30850,27900,28200,1259752,456840.0,16200000.0
2018-10-11,26950,27200,25100,25400,1062452,411480.0,16200000.0
2018-10-12,25300,26650,24800,26050,864750,422010.0,16200000.0
2018-10-15,26600,26650,25000,25100,553680,406620.0,16200000.0
2018-10-16,25750,29950,25750,28500,3528864,461700.0,16200000.0
2018-10-17,29050,29200,26950,27800,906137,450360.0,16200000.0
2018-10-18,27900,28600,27100,27300,565881,442260.0,16200000.0
2018-10-19,27950,29200,27250,28200,1698497,456840.0,16200000.0
2018-10-22,28650,28700,28000,28450,579583,460890.0,16200000.0
2018-10-23,27800,27900,26000,26200,623578,424440.0,16200000.0
2018-10-24,26650,26850,24400,24800,482222,401760.0,16200000.0
2018-10-25,23150,24400,23100,24000,419281,388800.0,16200000.0
2018-10-26,24400,24500,22200,22550,350630,365310.0,16200000.0
2018-10-29,22450,22900,20350,20350,447427,329670.0,16200000.0
2018-10-30,20000,21250,19150,20800,463683,336960.0,16200000.0
2018-10-31,21350,23900,20300,22000,1019938,356400.0,16200000.0
2018-11-01,22350,23450,22100,22400,462349,362880.0,16200000.0
2018-11-02,22650,23850,22500,23600,452132,382320.0,16200000.0
2018-11-05,23400,23700,23050,23200,182693,375840.0,16200000.0
2018-11-06,23650,24650,23000,23700,411437,383940.0,16200000.0
2018-11-07,24400,24500,23300,23400,290114,379080.0,16200000.0
2018-11-08,24050,25000,24050,24850,476041,402570.0,16200000.0
2018-11-09,25450,26300,24200,24200,536776,392040.0,16200000.0
2018-11-12,23800,24150,22650,22900,210955,370980.0,16200000.0
2018-11-13,22300,23050,21750,22950,158762,371790.0,16200000.0
2018-11-14,23400,23600,22550,22800,222665,369360.0,16200000.0
2018-11-15,22950,23400,22100,22800,153539,369360.0,16200000.0
2018-11-16,23150,23800,23050,23250,271974,376650.0,16200000.0
2018-11-19,23400,23800,23300,23750,202864,384750.0,16200000.0
2018-11-20,23100,23650,23000,23150,183222,375030.0,16200000.0
2018-11-21,23000,23000,22000,22700,183146,367740.0,16200000.0
2018-11-22,22800,23000,22100,22100,155727,358020.0,16200000.0
2018-11-23,22300,22350,21700,21900,124509,354780.0,16200000.0
2018-11-26,21550,22250,21550,22000,108909,356400.0,16200000.0
2018-11-27,22200,22950,21950,22250,204750,360450.0,16200000.0
2018-11-28,22350,22950,22200,22500,144945,364500.0,16200000.0
