한진(002320),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,6526,7009,6292,6847,35250,53663.0,6313333.0
1999-01-05,6767,7871,6614,7734,76860,60608.0,6313333.0
1999-01-06,8137,8862,7734,8861,124350,69447.0,6313333.0
1999-01-07,9587,10070,8862,9264,105190,72603.0,6313333.0
1999-01-08,8942,10070,8942,9788,88450,76707.0,6313333.0
1999-01-11,10151,11238,9668,11238,158900,88071.0,6313333.0
1999-01-12,10634,11923,10634,10956,109250,85861.0,6313333.0
1999-01-13,10876,12568,10876,11520,108840,90281.0,6313333.0
1999-01-14,11037,11279,10473,10473,83020,82073.0,6313333.0
1999-01-15,10473,11883,10473,11601,116470,90912.0,6313333.0
1999-01-18,11762,12890,11440,11439,135300,89649.0,6313333.0
1999-01-19,11198,11682,11037,11037,78910,86493.0,6313333.0
1999-01-20,10876,11118,10513,10875,50880,85230.0,6313333.0
1999-01-21,10634,10634,9708,10231,87580,80179.0,6313333.0
1999-01-22,10554,11359,10231,10996,81680,86177.0,6313333.0
1999-01-25,10957,11158,9748,10231,45620,80179.0,6313333.0
1999-01-26,10231,10836,9506,9748,30500,76391.0,6313333.0
1999-01-27,9748,10231,9748,10070,45060,78917.0,6313333.0
1999-01-28,10715,11037,10393,10473,133520,82073.0,6313333.0
1999-01-29,10554,11198,10473,10875,111280,85230.0,6313333.0
1999-02-01,11279,11923,10916,11681,196200,91543.0,6313333.0
1999-02-02,11601,13414,11359,13413,303850,105117.0,6313333.0
1999-02-03,13937,14904,11762,12728,394300,99751.0,6313333.0
1999-02-04,12407,13051,12165,13051,112780,102276.0,6313333.0
1999-02-05,12890,14340,12769,12769,220110,100066.0,6313333.0
1999-02-08,12447,12769,11762,11762,101320,92175.0,6313333.0
1999-02-09,11561,11762,10795,10956,72380,85861.0,6313333.0
1999-02-10,10957,11279,10473,10996,94830,86177.0,6313333.0
1999-02-11,10876,11198,10795,11037,42900,86493.0,6313333.0
1999-02-12,11118,11520,11118,11520,50940,90281.0,6313333.0
1999-02-18,11601,11843,11077,11198,27070,87755.0,6313333.0
1999-02-19,11037,11037,10473,10634,30540,83336.0,6313333.0
1999-02-22,10634,10634,10070,10110,33740,79232.0,6313333.0
1999-02-23,10111,10312,9829,10070,29590,78917.0,6313333.0
1999-02-24,10312,10312,9668,9667,35120,75760.0,6313333.0
1999-02-25,9506,9909,9265,9506,38250,74497.0,6313333.0
1999-02-26,9104,10393,9104,10312,42360,80811.0,6313333.0
1999-03-02,10473,10876,10312,10714,48940,83967.0,6313333.0
1999-03-03,10473,10957,10473,10714,24740,83967.0,6313333.0
1999-03-04,10513,10715,10312,10473,29260,82073.0,6313333.0
1999-03-05,9708,10634,9708,10593,34490,83020.0,6313333.0
1999-03-08,10634,11440,10634,11439,51350,89649.0,6313333.0
1999-03-09,11440,12084,11037,11842,64780,92806.0,6313333.0
1999-03-10,11883,12487,11722,11882,38440,93122.0,6313333.0
1999-03-11,11843,12084,11561,11923,45270,93437.0,6313333.0
1999-03-12,11923,12366,11520,11923,84940,93437.0,6313333.0
1999-03-15,12084,12326,11601,11681,40520,91543.0,6313333.0
1999-03-16,11682,11682,11198,11278,55710,88387.0,6313333.0
1999-03-17,11440,11601,11158,11278,65100,88387.0,6313333.0
1999-03-18,11118,11279,10755,10795,44630,84599.0,6313333.0
1999-03-19,10634,11198,10634,10795,57440,84599.0,6313333.0
1999-03-22,10876,11682,10876,11198,83800,87755.0,6313333.0
1999-03-23,11279,12366,11279,12084,129090,94700.0,6313333.0
1999-03-24,11762,13132,11762,12890,220360,101013.0,6313333.0
1999-03-25,12729,13857,12729,12970,126360,101645.0,6313333.0
1999-03-26,12971,13373,12608,12890,239920,101013.0,6313333.0
1999-03-29,12648,12890,12407,12446,51070,97541.0,6313333.0
1999-03-30,12447,14018,12447,13695,152840,107327.0,6313333.0
1999-03-31,14260,14904,13816,14259,122840,111746.0,6313333.0
1999-04-01,14662,15307,14098,15226,127170,119322.0,6313333.0
1999-04-02,15226,16032,14944,16031,141360,125635.0,6313333.0
1999-04-06,16113,16676,15589,15709,100290,123110.0,6313333.0
1999-04-07,15871,16072,15508,15548,94120,121847.0,6313333.0
1999-04-08,15549,15871,14985,15508,65600,121532.0,6313333.0
1999-04-09,15307,16193,15307,16112,125200,126267.0,6313333.0
1999-04-12,16314,16676,15589,16434,108390,135232.0,6629000.0
1999-04-13,16354,16354,15790,16112,62620,132580.0,6629000.0
1999-04-14,15387,16113,15387,15790,114900,129928.0,6629000.0
1999-04-15,15790,16757,15790,16676,99470,137220.0,6629000.0
1999-04-16,16596,17039,16113,16676,111400,137220.0,6629000.0
1999-04-19,16515,18207,16274,17320,117890,142524.0,6629000.0
1999-04-20,16918,18127,16918,18126,87150,149152.0,6629000.0
1999-04-21,17724,18529,17402,17562,44090,144512.0,6629000.0
1999-04-22,17361,17684,16958,17401,42080,143186.0,6629000.0
1999-04-23,17120,17965,17120,17401,36120,143186.0,6629000.0
1999-04-26,17522,19254,17321,19093,66440,157107.0,6629000.0
1999-04-27,19335,21953,18610,21913,105660,180309.0,6629000.0
1999-04-28,21712,22155,21027,21187,43590,174343.0,6629000.0
1999-04-29,20946,21551,20141,20140,29010,165725.0,6629000.0
1999-04-30,18973,20141,18973,19375,50500,159427.0,6629000.0
1999-05-03,19496,19657,18449,18851,80610,155119.0,6629000.0
1999-05-04,19174,19174,18570,18851,46470,155119.0,6629000.0
1999-05-06,18852,20382,18852,20221,83080,166388.0,6629000.0
1999-05-07,20382,21349,19899,20221,170210,166388.0,6629000.0
1999-05-10,20141,21269,19980,20946,146750,172354.0,6629000.0
1999-05-11,21027,22155,20543,21349,164710,175668.0,6629000.0
1999-05-12,21510,21752,20221,20946,68260,172354.0,6629000.0
1999-05-13,21107,21107,20141,20140,96140,165725.0,6629000.0
1999-05-14,19456,20141,17885,18609,48660,153130.0,6629000.0
1999-05-17,18529,18529,16999,17079,21690,140535.0,6629000.0
1999-05-18,17079,17684,16233,17159,27590,141198.0,6629000.0
1999-05-19,17482,18449,17200,17562,37750,144512.0,6629000.0
1999-05-20,17724,17724,15428,16475,31250,135563.0,6629000.0
1999-05-21,16757,17563,16113,17280,20120,152531.0,7110993.0
1999-05-24,17684,17684,16596,16595,20630,146486.0,7110993.0
1999-05-25,17079,18852,16838,18368,55260,162131.0,7110993.0
1999-05-26,18288,19375,17845,19375,94630,171019.0,7110993.0
1999-05-27,20141,20141,18932,18932,141250,167108.0,7110993.0
1999-05-28,18350,19648,18171,18708,39210,148620.0,7110993.0
1999-05-31,18708,18798,17903,18618,88300,147909.0,7110993.0
1999-06-01,18574,18708,17903,18350,40530,145775.0,7110993.0
1999-06-02,18350,19425,18350,19066,48840,151464.0,7110993.0
1999-06-03,19604,21304,18977,20991,122460,166753.0,7110993.0
1999-06-04,21349,21662,20320,20588,53180,163553.0,7110993.0
1999-06-07,20767,22647,20767,22199,145070,176353.0,7110993.0
1999-06-08,22737,22737,21260,21707,86490,172442.0,7110993.0
1999-06-09,22020,23542,21841,22826,230690,181330.0,7110993.0
1999-06-10,22826,26228,22244,25511,250020,202663.0,7110993.0
1999-06-11,26407,28555,25512,27212,225280,216174.0,7110993.0
1999-06-14,26407,28063,26138,27212,65000,216174.0,7110993.0
1999-06-15,27033,27660,24169,25959,72610,206219.0,7110993.0
1999-06-16,25153,26496,25153,25959,475770,206219.0,7110993.0
1999-06-17,26407,29808,26049,28644,135480,227552.0,7110993.0
1999-06-18,29182,31151,27973,28554,220630,226841.0,7110993.0
