영원무역(111770),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-07-30,9800,9800,8330,8330,2022740,339960.0,40811468.0
2009-07-31,8600,8660,8030,8350,932115,340776.0,40811468.0
2009-08-03,8450,8790,8290,8410,988780,343224.0,40811468.0
2009-08-04,8420,8520,8100,8270,1779674,337511.0,40811468.0
2009-08-05,8300,8400,7990,7990,687364,326084.0,40811468.0
2009-08-06,7840,8130,7700,7750,748416,316289.0,40811468.0
2009-08-07,7840,8010,7750,7950,468962,324451.0,40811468.0
2009-08-10,8070,8110,7940,8060,466993,328940.0,40811468.0
2009-08-11,8080,8090,7860,7920,258892,323227.0,40811468.0
2009-08-12,7860,7860,7600,7800,643721,318329.0,40811468.0
2009-08-13,7820,7830,7640,7800,602275,318329.0,40811468.0
2009-08-14,7850,8010,7810,7890,552306,322002.0,40811468.0
2009-08-17,7890,7890,7610,7610,284553,310575.0,40811468.0
2009-08-18,7590,7700,7450,7470,368342,304862.0,40811468.0
2009-08-19,7590,7880,7200,7250,1720120,295883.0,40811468.0
2009-08-20,7270,7330,6940,7050,781695,287721.0,40811468.0
2009-08-21,7150,7300,7010,7180,771645,293026.0,40811468.0
2009-08-24,7280,7980,7280,7900,1548471,322411.0,40811468.0
2009-08-25,7940,8000,7600,7800,534614,318329.0,40811468.0
2009-08-26,8050,8460,7960,8300,1594356,338735.0,40811468.0
2009-08-27,8200,8350,8050,8150,797534,332613.0,40811468.0
2009-08-28,8310,8330,7930,8100,586849,330573.0,40811468.0
2009-08-31,8180,8180,7650,7780,412045,317513.0,40811468.0
2009-09-01,7850,8450,7800,8290,939225,338327.0,40811468.0
2009-09-02,8110,8400,8080,8400,379132,342816.0,40811468.0
2009-09-03,8400,8820,8310,8620,820471,351795.0,40811468.0
2009-09-04,8660,8660,8260,8350,402334,340776.0,40811468.0
2009-09-07,8270,8460,8170,8250,319924,336695.0,40811468.0
2009-09-08,8200,8340,8050,8080,410122,329757.0,40811468.0
2009-09-09,8170,8200,7950,8030,252335,327716.0,40811468.0
2009-09-10,7950,8100,7930,8090,357045,330165.0,40811468.0
2009-09-11,8200,8260,7940,8000,488524,326492.0,40811468.0
2009-09-14,8030,8030,7500,7500,818528,306086.0,40811468.0
2009-09-15,7610,7610,7370,7380,470467,301189.0,40811468.0
2009-09-16,7460,7690,7350,7350,637213,299964.0,40811468.0
2009-09-17,7420,7440,7210,7340,488133,299556.0,40811468.0
2009-09-18,7420,7600,7300,7600,402377,310167.0,40811468.0
2009-09-21,7710,7710,7520,7630,248284,311392.0,40811468.0
2009-09-22,7630,8060,7560,7920,1463768,323227.0,40811468.0
2009-09-23,7920,7970,7550,7550,593288,308127.0,40811468.0
2009-09-24,7400,7690,7310,7460,374372,304454.0,40811468.0
2009-09-25,7350,7450,7320,7350,201852,299964.0,40811468.0
2009-09-28,7320,7500,7300,7410,146431,302413.0,40811468.0
2009-09-29,7400,7500,7260,7300,297121,297924.0,40811468.0
2009-09-30,7350,7440,7240,7410,464417,302413.0,40811468.0
2009-10-01,7460,7460,7260,7380,169467,301189.0,40811468.0
2009-10-05,7290,7480,7220,7450,161745,304045.0,40811468.0
2009-10-06,7460,7500,7350,7400,189653,302005.0,40811468.0
2009-10-07,7430,7670,7430,7650,393120,312208.0,40811468.0
2009-10-08,7680,7810,7590,7760,378004,316697.0,40811468.0
2009-10-09,7830,7890,7660,7720,375289,315065.0,40811468.0
2009-10-12,7760,7760,7630,7630,185963,311392.0,40811468.0
2009-10-13,7640,7860,7640,7670,296572,313024.0,40811468.0
2009-10-14,7720,7910,7700,7910,421167,322819.0,40811468.0
2009-10-15,7950,8010,7800,7810,499560,318738.0,40811468.0
2009-10-16,7810,7910,7740,7740,271628,315881.0,40811468.0
2009-10-19,7770,7840,7650,7670,244331,313024.0,40811468.0
2009-10-20,7790,8390,7730,8240,1403329,336286.0,40811468.0
2009-10-21,8240,8830,8240,8360,2348398,341184.0,40811468.0
2009-10-22,8450,8530,8240,8460,784518,345265.0,40811468.0
2009-10-23,8470,8590,8200,8200,586235,334654.0,40811468.0
2009-10-26,8200,8270,8090,8210,409969,335062.0,40811468.0
2009-10-27,8170,8350,8130,8300,371792,338735.0,40811468.0
2009-10-28,8300,8360,8050,8300,559538,338735.0,40811468.0
2009-10-29,8300,8410,7750,7900,790667,322411.0,40811468.0
2009-10-30,8000,8030,7540,7770,505387,317105.0,40811468.0
2009-11-02,7560,8010,7560,7900,313644,322411.0,40811468.0
2009-11-03,7980,8060,7870,7900,233611,322411.0,40811468.0
2009-11-04,7900,8130,7890,8100,260662,330573.0,40811468.0
2009-11-05,8100,8160,8020,8160,200812,333022.0,40811468.0
2009-11-06,8300,8310,8160,8200,333696,334654.0,40811468.0
2009-11-09,8200,8340,8170,8310,458290,339143.0,40811468.0
2009-11-10,8310,8360,8120,8200,286528,334654.0,40811468.0
2009-11-11,8200,8220,8120,8180,162357,333838.0,40811468.0
2009-11-12,8220,8580,8220,8500,611365,346897.0,40811468.0
2009-11-13,8480,8550,8390,8480,269834,346081.0,40811468.0
