CS홀딩스(000590),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,5047,5047,4670,5018,580,5190.0,600000.0
1999-01-05,4409,5221,4409,5163,1920,5340.0,600000.0
1999-01-06,4768,5389,4768,5337,2800,5520.0,600000.0
1999-01-07,5105,5279,5105,5279,2330,5460.0,600000.0
1999-01-08,5221,5279,5047,5279,1360,5460.0,600000.0
1999-01-11,5569,5668,5337,5668,6390,5862.0,600000.0
1999-01-12,5668,5668,5337,5627,4440,5820.0,600000.0
1999-01-13,6380,6380,5684,6092,6080,6300.0,600000.0
1999-01-14,6090,6090,5568,5918,12170,6120.0,600000.0
1999-01-15,5916,6786,5510,6614,30660,6840.0,600000.0
1999-01-18,6670,7366,6380,7020,7720,7260.0,600000.0
1999-01-19,7076,7076,6206,6266,6680,6480.0,600000.0
1999-01-20,5974,7192,5974,7194,55110,7440.0,600000.0
1999-01-21,7308,7656,6148,6266,53440,6480.0,600000.0
1999-01-22,6264,6264,5597,6034,5460,6240.0,600000.0
1999-01-25,6497,6497,5511,5511,3690,5700.0,600000.0
1999-01-26,4947,5974,4947,5436,17110,5622.0,600000.0
1999-01-27,5523,5627,5366,5511,4740,5700.0,600000.0
1999-01-28,6090,6322,6090,6324,3890,6540.0,600000.0
1999-01-29,6265,6671,5395,5859,7330,6060.0,600000.0
1999-02-01,5800,6728,5684,6730,28480,6960.0,600000.0
1999-02-02,7221,7714,7221,7716,14170,7980.0,600000.0
1999-02-03,8034,8121,6960,7136,68960,7380.0,600000.0
1999-02-04,6670,7250,6554,6556,11420,6780.0,600000.0
1999-02-05,6931,7511,6902,7513,31590,7770.0,600000.0
1999-02-08,7685,8353,7192,7716,89650,7980.0,600000.0
1999-02-09,7830,7830,6583,6585,6410,6810.0,600000.0
1999-02-10,6467,6844,6090,6324,9610,6540.0,600000.0
1999-02-11,6090,6931,6090,6527,6750,6750.0,600000.0
1999-02-12,6380,6902,6380,6440,4610,6660.0,600000.0
1999-02-18,6496,6612,6264,6382,960,6600.0,600000.0
1999-02-19,6032,6380,5916,6382,5460,6600.0,600000.0
1999-02-22,6728,7192,6177,6324,3470,6540.0,600000.0
1999-02-23,6148,6902,6148,6208,2910,6420.0,600000.0
1999-02-24,6264,6612,6206,6440,2940,6660.0,600000.0
1999-02-25,6119,6148,5974,5976,3670,6180.0,600000.0
1999-02-26,6032,6380,6032,6092,1910,6300.0,600000.0
1999-03-02,6728,6728,6264,6266,2150,6480.0,600000.0
1999-03-03,6322,6322,6090,6092,3210,6300.0,600000.0
1999-03-04,6148,6496,6090,6266,4300,6480.0,600000.0
1999-03-05,6380,7192,6322,7194,40660,7440.0,600000.0
1999-03-08,7192,7540,6844,7078,52890,7320.0,600000.0
1999-03-09,6960,6960,6728,6904,10170,7140.0,600000.0
1999-03-10,6729,7919,6729,7919,61210,8190.0,600000.0
1999-03-11,7860,8238,7512,7890,102340,8160.0,600000.0
1999-03-12,7889,8063,7598,7716,11480,7980.0,600000.0
1999-03-15,7714,7947,7482,7658,13090,7920.0,600000.0
1999-03-16,7947,8121,7540,7542,16830,7800.0,600000.0
1999-03-17,7714,7830,7337,7600,7950,7860.0,600000.0
1999-03-18,7540,7801,7134,7136,5460,7380.0,600000.0
1999-03-19,7308,7395,7076,7194,4560,7440.0,600000.0
1999-03-22,7076,7250,7018,7165,3370,7410.0,600000.0
1999-03-23,7366,7424,7192,7194,5130,7440.0,600000.0
