CJ헬로(037560),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-11-09,18563,19915,18378,19055,3254210,1073575.0,69262895.0
2012-11-12,19300,19300,17825,17949,971401,1011238.0,69262895.0
2012-11-13,18194,18993,17948,18625,811923,1049333.0,69262895.0
2012-11-14,18440,19300,18194,18440,532081,1038943.0,69262895.0
2012-11-15,18194,18624,17825,18563,319433,1045870.0,69262895.0
2012-11-16,18624,18932,17518,17641,494207,993923.0,69262895.0
2012-11-19,17702,18010,17149,17395,415833,980070.0,69262895.0
2012-11-20,17641,17641,16166,16350,770607,921197.0,69262895.0
2012-11-21,16350,17088,16288,16412,1630915,924660.0,69262895.0
2012-11-22,16719,17333,16719,16904,432616,952365.0,69262895.0
2012-11-23,16965,16965,16411,16535,279140,931586.0,69262895.0
2012-11-26,16596,17333,16596,17334,318605,976607.0,69262895.0
2012-11-27,17456,17456,16780,17088,222276,962754.0,69262895.0
2012-11-28,16965,17088,16534,17027,141337,959291.0,69262895.0
2012-11-29,17211,17395,16780,17395,686096,980070.0,69262895.0
2012-11-30,17395,17456,17088,17150,157162,966217.0,69262895.0
2012-12-03,17149,17272,16719,16719,188410,941975.0,69262895.0
2012-12-04,16657,17088,16657,16965,118573,955828.0,69262895.0
2012-12-05,17088,18071,17026,17272,575178,973144.0,69262895.0
2012-12-06,17211,17333,16719,17027,292521,959291.0,69262895.0
2012-12-07,17026,17026,16288,16965,454939,955828.0,69262895.0
2012-12-10,16780,17149,16657,17150,102725,966217.0,69262895.0
2012-12-11,17211,17456,16780,16842,224074,948902.0,69262895.0
2012-12-12,16965,17026,16534,16596,231922,935049.0,69262895.0
2012-12-13,16596,16780,16534,16596,118705,935049.0,69262895.0
2012-12-14,16719,16780,16534,16596,231755,935049.0,69262895.0
2012-12-17,16719,16719,15305,15306,1389488,862323.0,69262895.0
2012-12-18,15182,15674,15059,15613,541420,879639.0,69262895.0
2012-12-20,15735,16043,15489,15859,364872,893491.0,69262895.0
2012-12-21,15981,15981,15366,15613,288627,879639.0,69262895.0
2012-12-24,15797,15981,15551,15736,268014,886565.0,69262895.0
2012-12-26,15797,16043,15674,15982,180149,900418.0,69262895.0
2012-12-27,15981,16166,15735,16166,135117,910807.0,69262895.0
2012-12-28,16227,17149,16104,17150,386503,966217.0,69262895.0
2013-01-02,17149,17149,16596,16842,334962,948902.0,69262895.0
2013-01-03,16842,16842,16166,16228,363636,914270.0,69262895.0
2013-01-04,16227,16596,16166,16535,241301,931586.0,69262895.0
2013-01-07,16780,17026,16596,16904,372698,952365.0,69262895.0
2013-01-08,16842,16903,16657,16719,199808,941975.0,69262895.0
2013-01-09,16780,17026,16596,16781,229919,945439.0,69262895.0
2013-01-10,16842,17764,16719,17703,789225,997386.0,69262895.0
2013-01-11,17702,17948,17518,17826,381517,1004312.0,69262895.0
2013-01-14,18133,18194,17702,17887,395292,1007775.0,69262895.0
2013-01-15,17825,17825,17026,17334,740725,976607.0,69262895.0
2013-01-16,17333,17456,17026,17457,294713,983533.0,69262895.0
2013-01-17,17456,17456,17026,17211,286552,969681.0,69262895.0
2013-01-18,17333,17395,17026,17211,267576,969681.0,69262895.0
2013-01-21,17395,18071,17333,18072,573090,1018165.0,69262895.0
2013-01-22,18071,18317,17764,18194,493228,1025091.0,69262895.0
2013-01-23,18194,18932,18071,18379,735706,1035480.0,69262895.0
2013-01-24,18563,18747,18255,18317,491781,1032017.0,69262895.0
2013-01-25,18440,18870,18071,18748,452430,1056259.0,69262895.0
2013-01-28,18686,18809,18378,18809,274217,1059722.0,69262895.0
2013-01-29,18809,18809,18194,18194,206735,1025091.0,69262895.0
2013-01-30,18255,18378,17948,18194,181727,1025091.0,69262895.0
2013-01-31,18194,18870,18133,18809,260080,1059722.0,69262895.0
2013-02-01,18809,18870,18378,18440,209931,1038943.0,69262895.0
2013-02-04,18133,18317,17825,18133,511182,1021628.0,69262895.0
2013-02-05,17825,17948,17579,17887,405557,1007775.0,69262895.0
2013-02-06,17948,18440,17702,18379,232097,1035480.0,69262895.0
2013-02-07,18440,18440,18133,18317,136537,1032017.0,69262895.0
2013-02-08,18194,18255,17641,17764,271148,1000849.0,69262895.0
2013-02-12,17764,18071,17333,17949,121601,1011238.0,69262895.0
2013-02-13,17825,18440,17825,18440,141632,1038943.0,69262895.0
2013-02-14,18440,18440,18194,18194,189334,1025091.0,69262895.0
2013-02-15,18194,18194,17579,17826,338777,1004312.0,69262895.0
2013-02-18,17948,18010,17764,18010,53838,1014701.0,69262895.0
2013-02-19,18133,18133,17702,17764,233994,1000849.0,69262895.0
2013-02-20,17702,17764,17272,17580,388096,990459.0,69262895.0
2013-02-21,17579,17702,17211,17211,220720,969681.0,69262895.0
2013-02-22,17211,17518,17211,17334,226071,976607.0,69262895.0
2013-02-25,17333,17579,17088,17150,139750,966217.0,69262895.0
2013-02-26,16965,17518,16965,17457,148914,983533.0,69262895.0
2013-02-27,17518,17887,17395,17703,165838,997386.0,69262895.0
2013-02-28,17887,18133,17641,18072,198963,1018165.0,69262895.0
2013-03-04,17948,18133,17764,17887,114593,1007775.0,69262895.0
2013-03-05,18071,18378,17948,18194,164952,1025091.0,69262895.0
2013-03-06,18501,18501,18071,18133,195758,1021628.0,69262895.0
2013-03-07,18071,18194,18010,18072,84659,1018165.0,69262895.0
2013-03-08,18194,18255,18071,18133,74051,1021628.0,69262895.0
2013-03-11,18194,18255,17702,17887,237280,1007775.0,69262895.0
2013-03-12,17948,18010,17702,17764,321029,1000849.0,69262895.0
2013-03-13,17887,18071,17702,18072,180384,1018165.0,69262895.0
2013-03-14,17518,18255,17395,18194,5807692,1025091.0,69262895.0
2013-03-15,18194,19116,18010,18502,1189842,1042407.0,69262895.0
2013-03-18,18747,19177,18501,18686,883102,1052796.0,69262895.0
2013-03-19,18932,19731,18870,19362,1211229,1090891.0,69262895.0
2013-03-20,19423,19731,19055,19301,605998,1087427.0,69262895.0
2013-03-21,19362,19608,18809,19178,607109,1080501.0,69262895.0
2013-03-22,19055,19792,19055,19731,434425,1111669.0,69262895.0
2013-03-25,20161,20161,19546,19793,592597,1115133.0,69262895.0
2013-03-26,19915,19915,19055,19178,429035,1080501.0,69262895.0
2013-03-27,19177,19423,18870,19239,514631,1083964.0,69262895.0
2013-03-28,19239,19300,18747,18748,556151,1056259.0,69262895.0
2013-03-29,18870,19485,18809,19055,571016,1073575.0,69262895.0
2013-04-01,19055,19608,18993,19547,375746,1101280.0,69262895.0
2013-04-02,19546,19792,19239,19547,430379,1101280.0,69262895.0
2013-04-03,19792,20161,19485,20039,634603,1128985.0,69262895.0
2013-04-04,19854,21022,19854,20592,1230703,1160153.0,69262895.0
2013-04-05,20837,21267,20591,21268,1108313,1198248.0,69262895.0
2013-04-08,21144,21329,20653,20961,538778,1180932.0,69262895.0
2013-04-09,20960,20960,19854,20469,796400,1153227.0,69262895.0
2013-04-10,20407,20960,19915,20838,519020,1174006.0,69262895.0
2013-04-11,21144,21267,20345,20407,298481,1149764.0,69262895.0
2013-04-12,20591,21267,20407,21145,681423,1191322.0,69262895.0
2013-04-15,21267,21575,20960,21268,689395,1198248.0,69262895.0
2013-04-16,20899,22066,20899,22006,747510,1239806.0,69262895.0
2013-04-17,22005,22189,21636,22067,731069,1243269.0,69262895.0
2013-04-18,22128,22128,21513,21883,352837,1232880.0,69262895.0
2013-04-19,21636,21944,21144,21944,672900,1236343.0,69262895.0
2013-04-22,21882,21944,21329,21514,410874,1212101.0,69262895.0
2013-04-23,21452,21636,21206,21514,479949,1212101.0,69262895.0
2013-04-24,21698,21759,21329,21637,384769,1219027.0,69262895.0
2013-04-25,21575,21575,19915,20776,1466204,1170543.0,69262895.0
2013-04-26,20653,21022,19915,20961,891373,1180932.0,69262895.0
2013-04-29,20960,21452,20407,21391,459762,1205174.0,69262895.0
2013-04-30,21575,21636,21022,21083,532875,1187859.0,69262895.0
2013-05-02,21022,21022,20407,20899,498458,1177469.0,69262895.0
2013-05-03,20899,21636,20591,21637,442239,1219027.0,69262895.0
2013-05-06,21698,21759,21144,21452,347275,1208638.0,69262895.0
2013-05-07,21390,21759,21083,21698,424774,1222490.0,69262895.0
2013-05-08,21698,21821,21083,21268,269938,1198248.0,69262895.0
2013-05-09,21144,21144,20530,20530,494648,1156690.0,69262895.0
2013-05-10,20653,21144,20591,20899,308071,1177469.0,69262895.0
2013-05-13,20837,21083,20468,20653,200959,1163617.0,69262895.0
2013-05-14,20591,21022,20407,20899,199132,1316597.0,77446865.0
2013-05-15,20899,21636,20837,21637,448902,1363065.0,77446865.0
2013-05-16,21636,22005,21452,22006,341256,1386299.0,77446865.0
2013-05-20,22251,22312,21698,21944,276425,1382427.0,77446865.0
2013-05-21,21575,22005,21329,22006,349937,1386299.0,77446865.0
2013-05-22,21821,22005,20899,21944,488433,1382427.0,77446865.0
2013-05-23,21882,22005,21390,21821,232358,1374682.0,77446865.0
2013-05-24,21821,22066,21390,22006,203756,1386299.0,77446865.0
2013-05-27,21698,21821,21083,21083,544590,1328214.0,77446865.0
2013-05-28,20960,21452,20899,21329,275715,1343703.0,77446865.0
2013-05-29,21267,21390,20653,20838,629951,1312724.0,77446865.0
2013-05-30,20837,21329,20653,21206,202990,1335958.0,77446865.0
2013-05-31,21329,21452,20714,20776,202101,1308852.0,77446865.0
2013-06-03,21022,21390,20714,20899,414831,1316597.0,77446865.0
2013-06-04,20776,20899,19731,20592,457860,1297235.0,77446865.0
2013-06-05,20284,20899,20161,20715,198050,1304980.0,77446865.0
2013-06-07,20530,20899,20284,20776,128670,1308852.0,77446865.0
2013-06-10,20530,21083,20468,21022,256867,1324341.0,77446865.0
2013-06-11,21022,21390,20960,21391,226815,1347575.0,77446865.0
2013-06-12,21390,22374,21267,22313,687073,1405661.0,77446865.0
2013-06-13,22435,22497,21882,22006,359076,1386299.0,77446865.0
2013-06-14,22005,22128,21698,22006,212424,1386299.0,77446865.0
2013-06-17,21698,22251,21452,22251,211773,1401788.0,77446865.0
2013-06-18,22251,22497,21882,22436,222499,1413405.0,77446865.0
2013-06-19,22558,22681,21759,22436,337872,1413405.0,77446865.0
2013-06-20,22066,22497,21698,22006,275500,1386299.0,77446865.0
2013-06-21,21575,22497,21390,22497,433794,1417278.0,77446865.0
2013-06-24,22312,23173,22251,22866,491926,1440512.0,77446865.0
2013-06-25,22743,22927,21821,22436,363474,1413405.0,77446865.0
2013-06-26,22804,23419,22558,23112,571010,1456001.0,77446865.0
2013-06-27,23419,23419,22804,22805,430811,1436639.0,77446865.0
2013-06-28,23111,23357,22497,22682,411935,1428895.0,77446865.0
2013-07-01,22681,23234,22312,22682,342155,1428895.0,77446865.0
2013-07-02,22681,22927,22374,22682,207917,1428895.0,77446865.0
2013-07-03,22743,22866,22189,22190,237477,1397916.0,77446865.0
2013-07-04,22251,22374,21698,22251,290484,1401788.0,77446865.0
2013-07-05,22251,22497,21882,22251,215624,1401788.0,77446865.0
2013-07-08,22435,23111,22312,23112,421498,1456001.0,77446865.0
2013-07-09,23234,23480,22743,23358,337942,1471490.0,77446865.0
2013-07-10,23480,23480,22620,22620,245463,1425022.0,77446865.0
2013-07-11,22681,22988,22312,22866,417328,1440512.0,77446865.0
2013-07-12,22804,22988,22497,22743,147239,1432767.0,77446865.0
2013-07-15,22866,23173,22312,22743,308890,1432767.0,77446865.0
2013-07-16,22681,23050,22620,22866,189301,1440512.0,77446865.0
2013-07-17,23050,23234,22681,22928,307321,1444384.0,77446865.0
2013-07-18,23234,23788,22988,23727,508228,1494724.0,77446865.0
2013-07-19,23665,23788,23357,23481,283267,1479235.0,77446865.0
2013-07-22,23357,23419,22743,22989,292072,1448256.0,77446865.0
2013-07-23,23173,23173,22558,22928,275998,1444384.0,77446865.0
2013-07-24,22927,23050,22435,22436,224218,1413405.0,77446865.0
2013-07-25,22435,22866,22374,22805,232192,1436639.0,77446865.0
2013-07-26,22866,22866,22374,22436,201202,1413405.0,77446865.0
2013-07-29,22435,22620,21698,21760,281645,1370810.0,77446865.0
2013-07-30,21759,22189,21452,21821,337915,1374682.0,77446865.0
2013-07-31,21944,22251,21452,22190,314256,1397916.0,77446865.0
2013-08-01,22435,22497,21575,21698,418208,1366937.0,77446865.0
2013-08-02,21636,21944,20960,21268,412313,1339831.0,77446865.0
2013-08-05,21329,21882,21206,21760,304758,1370810.0,77446865.0
2013-08-06,21821,22066,21390,22006,248452,1386299.0,77446865.0
2013-08-07,21944,22251,21882,22067,203287,1390171.0,77446865.0
2013-08-08,22189,22251,21821,22067,130683,1390171.0,77446865.0
2013-08-09,22128,22189,21513,21760,202098,1370810.0,77446865.0
2013-08-12,21698,21944,21575,21760,104073,1370810.0,77446865.0
2013-08-13,21759,21882,21390,21452,157071,1351448.0,77446865.0
2013-08-14,21452,21513,20591,21145,430505,1332086.0,77446865.0
2013-08-16,20899,21022,20591,20776,258656,1308852.0,77446865.0
2013-08-19,20653,21022,20407,20899,143885,1316597.0,77446865.0
2013-08-20,20776,20899,20407,20469,265333,1289490.0,77446865.0
2013-08-21,20407,20960,20345,20530,147512,1293363.0,77446865.0
2013-08-22,20345,21022,20222,20223,229464,1274001.0,77446865.0
2013-08-23,20530,20591,19731,19793,241076,1246895.0,77446865.0
2013-08-26,19792,19977,19485,19916,274091,1254639.0,77446865.0
2013-08-27,19608,20038,19546,19916,333764,1254639.0,77446865.0
2013-08-28,19362,19792,19362,19547,229575,1231405.0,77446865.0
2013-08-29,19731,20407,19485,20407,336625,1285618.0,77446865.0
2013-08-30,20591,20591,19792,20100,293180,1266256.0,77446865.0
2013-09-02,20100,20714,19915,20530,193148,1293363.0,77446865.0
2013-09-03,20714,20960,19731,19854,488015,1250767.0,77446865.0
2013-09-04,19792,19854,18993,19485,626960,1227533.0,77446865.0
2013-09-05,19485,20591,19239,20530,550019,1293363.0,77446865.0
2013-09-06,20776,21636,20653,21268,765083,1339831.0,77446865.0
2013-09-09,21452,21452,19792,19977,547690,1258512.0,77446865.0
2013-09-10,20222,20222,19546,19977,351245,1258512.0,77446865.0
2013-09-11,20100,20161,19669,20161,339264,1270129.0,77446865.0
2013-09-12,20161,20284,19608,19793,340463,1246895.0,77446865.0
2013-09-13,19854,20407,19792,20407,274685,1285618.0,77446865.0
2013-09-16,20407,20776,20222,20653,342485,1301107.0,77446865.0
2013-09-17,20714,20960,20407,20530,208755,1293363.0,77446865.0
2013-09-23,20530,20776,20038,20346,277146,1281746.0,77446865.0
2013-09-24,20284,20345,19854,20100,315226,1266256.0,77446865.0
2013-09-25,20100,20100,19731,19977,254816,1258512.0,77446865.0
2013-09-26,19792,20530,19792,20346,229395,1281746.0,77446865.0
2013-09-27,20407,20714,20222,20715,218768,1304980.0,77446865.0
2013-09-30,20653,20960,20345,20715,204771,1304980.0,77446865.0
2013-10-01,20530,21083,20530,20715,211188,1304980.0,77446865.0
2013-10-02,20899,20899,19977,19977,354214,1258512.0,77446865.0
2013-10-04,19915,20284,19915,20223,169864,1274001.0,77446865.0
2013-10-07,20222,20345,19977,20039,107111,1262384.0,77446865.0
2013-10-08,20038,20099,19731,19793,178422,1246895.0,77446865.0
2013-10-10,19792,19915,19669,19793,251343,1246895.0,77446865.0
2013-10-11,19854,20284,19854,19916,279287,1254639.0,77446865.0
2013-10-14,19915,20161,19792,20039,100433,1262384.0,77446865.0
2013-10-15,20222,20345,19977,20284,165999,1277873.0,77446865.0
2013-10-16,20284,20407,19608,20161,343494,1270129.0,77446865.0
2013-10-17,20222,20222,18624,19239,443797,1212043.0,77446865.0
2013-10-18,19423,19608,18809,19485,234295,1227533.0,77446865.0
2013-10-21,19546,19669,19485,19547,71490,1231405.0,77446865.0
2013-10-22,19423,20161,19423,19977,177330,1258512.0,77446865.0
2013-10-23,19977,20161,19731,20100,256431,1266256.0,77446865.0
2013-10-24,20100,20100,19731,19916,157859,1254639.0,77446865.0
2013-10-25,20038,20899,19915,20653,448588,1301107.0,77446865.0
2013-10-28,20899,21329,20530,21022,385779,1324341.0,77446865.0
2013-10-29,21022,21083,20591,20776,128862,1308852.0,77446865.0
2013-10-30,20653,21329,20591,21329,252273,1343703.0,77446865.0
2013-10-31,21329,21636,21144,21268,304471,1339831.0,77446865.0
2013-11-01,21267,21390,21022,21268,144231,1339831.0,77446865.0
2013-11-04,21206,21636,21144,21391,172892,1347575.0,77446865.0
2013-11-05,21329,21698,20714,21452,249067,1351448.0,77446865.0
2013-11-06,21636,21944,21083,21391,159667,1347575.0,77446865.0
2013-11-07,21821,21882,21513,21637,326735,1363065.0,77446865.0
2013-11-08,21267,21882,21267,21698,180482,1366937.0,77446865.0
2013-11-11,21882,22005,20899,21145,179716,1332086.0,77446865.0
2013-11-12,21267,21575,21083,21514,286650,1355320.0,77446865.0
2013-11-13,21206,21636,21022,21145,157869,1332086.0,77446865.0
2013-11-14,21390,21452,21083,21329,134801,1343703.0,77446865.0
2013-11-15,21206,21452,20960,20961,195100,1320469.0,77446865.0
2013-11-18,21206,21206,20837,21083,201262,1328214.0,77446865.0
2013-11-19,21022,21206,20776,20899,285099,1316597.0,77446865.0
2013-11-20,20899,21390,20899,21145,180286,1332086.0,77446865.0
2013-11-21,21267,21882,21144,21637,442519,1363065.0,77446865.0
2013-11-22,21821,22066,21575,22006,349509,1386299.0,77446865.0
2013-11-25,22189,22620,21944,22497,425901,1417278.0,77446865.0
2013-11-26,22620,22743,22005,22067,274144,1390171.0,77446865.0
2013-11-27,22189,22620,22189,22313,200317,1405661.0,77446865.0
2013-11-28,22497,23296,22189,23050,416685,1452129.0,77446865.0
2013-11-29,23173,23173,22497,22682,325658,1428895.0,77446865.0
2013-12-02,22927,23480,22681,23173,210611,1459873.0,77446865.0
2013-12-03,23173,23234,22804,23235,148051,1463746.0,77446865.0
2013-12-04,23173,23296,22497,22989,146900,1448256.0,77446865.0
2013-12-05,22927,23480,22497,23296,253678,1467618.0,77446865.0
2013-12-06,23111,23296,22804,22866,156836,1440512.0,77446865.0
2013-12-09,22866,22988,22620,22743,99313,1432767.0,77446865.0
2013-12-10,22620,22988,22312,22989,159969,1448256.0,77446865.0
2013-12-11,23111,23603,22988,23358,264035,1471490.0,77446865.0
2013-12-12,23234,23296,22681,23112,175369,1456001.0,77446865.0
2013-12-13,22804,23480,22804,22866,117899,1440512.0,77446865.0
2013-12-16,22988,23665,22927,23112,236565,1456001.0,77446865.0
2013-12-17,23419,23911,23234,23481,252611,1479235.0,77446865.0
2013-12-18,23480,23726,23111,23481,128621,1479235.0,77446865.0
2013-12-19,23357,23419,22681,22743,190135,1432767.0,77446865.0
2013-12-20,22681,23234,22558,23235,135890,1463746.0,77446865.0
2013-12-23,23296,23357,22866,23050,109668,1452129.0,77446865.0
2013-12-24,23111,23357,22743,22989,106766,1448256.0,77446865.0
