LG이노텍(011070),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-07-24,41655,43592,39330,42819,719778,531319.0,12020800.0
2008-07-25,43011,43011,39572,41172,277533,510884.0,12020800.0
2008-07-28,41171,41462,39960,40978,75113,508480.0,12020800.0
2008-07-29,39814,41606,38991,40494,96144,502469.0,12020800.0
2008-07-30,40639,41075,39767,40542,55115,503070.0,12020800.0
2008-07-31,40978,41026,39428,40009,107832,496459.0,12020800.0
2008-08-01,40056,42624,39911,42238,253849,524107.0,12020800.0
2008-08-04,42042,43059,41558,42916,103430,532521.0,12020800.0
2008-08-05,42140,43206,41704,43206,55979,536128.0,12020800.0
2008-08-06,43495,45336,43253,44805,205922,555962.0,12020800.0
2008-08-07,44465,45337,44223,45289,157508,561972.0,12020800.0
2008-08-08,44755,46886,44755,46791,182115,580605.0,12020800.0
2008-08-11,47323,47323,45821,47081,126468,584211.0,12020800.0
2008-08-12,47081,47178,46500,46984,51041,583009.0,12020800.0
2008-08-13,47177,47758,46353,47663,142522,591423.0,12020800.0
2008-08-14,47662,48921,47614,48534,116770,602242.0,12020800.0
2008-08-18,48534,52990,48437,49309,145278,611859.0,12020800.0
2008-08-19,49211,49986,47419,49213,68393,610657.0,12020800.0
2008-08-20,48727,50858,48388,49697,88923,616667.0,12020800.0
2008-08-21,50277,50277,47419,48438,107910,601040.0,12020800.0
2008-08-22,47953,48146,45434,46984,67808,583009.0,12020800.0
2008-08-25,47370,47758,45869,46113,47032,572190.0,12020800.0
2008-08-26,45337,46596,45337,46209,80013,573392.0,12020800.0
2008-08-27,45725,46887,45143,46306,49872,574594.0,12020800.0
2008-08-28,46403,48921,45918,46500,69952,576998.0,12020800.0
2008-08-29,47370,50277,47080,48922,84648,607050.0,12020800.0
2008-09-01,48921,48921,43448,43448,104104,539133.0,12020800.0
2008-09-02,43109,44950,41850,43206,53976,536128.0,12020800.0
2008-09-03,42720,46111,42720,46113,49218,572190.0,12020800.0
2008-09-04,45142,46789,45142,46694,45081,579403.0,12020800.0
2008-09-05,45773,47759,45433,47275,53749,586615.0,12020800.0
2008-09-08,47855,48145,46499,47663,66191,591423.0,12020800.0
2008-09-09,47806,48194,46111,47033,32780,583610.0,12020800.0
2008-09-10,46499,47662,45676,47275,26213,586615.0,12020800.0
2008-09-11,47565,48292,46596,48050,58802,596232.0,12020800.0
2008-09-12,48339,48631,47468,48050,43720,596232.0,12020800.0
2008-09-16,42720,46014,42720,45483,23571,564377.0,12020800.0
2008-09-17,46451,46451,45434,45434,31400,563776.0,12020800.0
2008-09-18,43883,44803,42914,44563,42140,552957.0,12020800.0
2008-09-19,45385,46500,45385,46500,41834,576998.0,12020800.0
2008-09-22,46984,47371,45482,46403,21790,575796.0,12020800.0
2008-09-23,45675,47758,45675,47469,33586,589019.0,12020800.0
2008-09-24,47953,49890,46839,49406,59833,613061.0,12020800.0
2008-09-25,49696,51343,48825,50375,62780,625082.0,12020800.0
2008-09-26,50278,50278,49018,50278,39605,623880.0,12020800.0
2008-09-29,50278,51150,49212,50181,25748,622677.0,12020800.0
2008-09-30,46596,52796,46596,52603,74329,652729.0,12020800.0
2008-10-01,52020,53958,50858,51247,40499,635900.0,12020800.0
2008-10-02,51634,51828,50375,51828,38466,643113.0,12020800.0
2008-10-06,51537,51537,49115,49503,47115,614263.0,12020800.0
2008-10-07,49212,50374,48534,50181,56175,622677.0,12020800.0
2008-10-08,48727,51633,48242,49891,77430,619071.0,12020800.0
2008-10-09,49017,50761,48727,50569,29330,627486.0,12020800.0
2008-10-10,50083,54249,47467,52797,45159,655134.0,12020800.0
2008-10-13,52699,55120,49599,51538,51856,639507.0,12020800.0
2008-10-14,52796,52796,49600,50278,117438,623880.0,12020800.0
2008-10-15,49405,51246,49212,50375,29261,625082.0,12020800.0
2008-10-16,47468,48534,43593,44853,39740,556563.0,12020800.0
2008-10-17,46935,47178,43593,44853,40796,556563.0,12020800.0
2008-10-20,46403,46500,42721,46500,38885,576998.0,12020800.0
2008-10-21,46983,47903,46159,46936,40502,582408.0,12020800.0
2008-10-22,46887,46887,41850,43739,15676,542739.0,12020800.0
