케이티(030200),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,43700,43700,42000,43700,15661950,12581993.0,287917464.0
1999-01-05,43500,44450,42500,43600,3637630,12553201.0,287917464.0
1999-01-06,43600,44100,42500,42500,2022400,12236492.0,287917464.0
1999-01-07,41600,45000,41600,45000,3067480,12956286.0,287917464.0
1999-01-08,44000,44500,43400,43900,1679230,12639577.0,287917464.0
1999-01-11,43700,43700,42650,42700,756770,12294076.0,287917464.0
1999-01-12,42900,43000,40800,42500,742810,12236492.0,287917464.0
1999-01-13,41500,41600,40600,40600,385980,11689449.0,287917464.0
1999-01-14,40000,40200,39500,39800,585070,11459115.0,287917464.0
1999-01-15,39600,41450,38900,40300,540690,11603074.0,287917464.0
1999-01-18,40300,41000,39600,39600,382130,11401532.0,287917464.0
1999-01-19,39000,39800,38350,38700,380360,11142406.0,287917464.0
1999-01-20,39000,39650,38600,38700,473100,11142406.0,287917464.0
1999-01-21,39100,40700,38900,39400,787970,11343948.0,287917464.0
1999-01-22,39000,39400,38100,38200,387920,10998447.0,287917464.0
1999-01-25,38100,38200,36900,37000,396310,10652946.0,287917464.0
1999-01-26,37300,38200,36000,36000,331550,10365029.0,287917464.0
1999-01-27,36200,37700,36000,37700,337720,10854488.0,287917464.0
1999-01-28,37700,39400,37700,38900,403900,11199989.0,287917464.0
1999-01-29,38800,39200,38300,38850,284270,11185593.0,287917464.0
1999-02-01,39000,41500,39000,40000,534900,11516699.0,287917464.0
1999-02-02,40000,40000,39000,39450,244160,11358344.0,287917464.0
1999-02-03,39200,39200,38500,38900,219700,11199989.0,287917464.0
1999-02-04,37950,38750,37950,38700,132180,11142406.0,287917464.0
1999-02-05,38700,39400,38200,38750,128550,11156802.0,287917464.0
1999-02-08,39400,39500,38800,38950,208020,11214385.0,287917464.0
1999-02-09,38750,38750,37900,38700,246540,11142406.0,287917464.0
1999-02-10,38300,38500,37300,38100,230030,10969655.0,287917464.0
1999-02-11,38450,38600,37700,38100,188360,10969655.0,287917464.0
1999-02-12,38100,38600,38100,38550,188530,11099218.0,287917464.0
1999-02-18,38650,38650,37600,37600,93850,10825697.0,287917464.0
1999-02-19,37100,37100,36300,36700,289070,10566571.0,287917464.0
1999-02-22,36000,36050,31200,35100,324480,10105903.0,287917464.0
1999-02-23,35200,35500,33300,34200,313920,9846777.0,287917464.0
1999-02-24,34050,34600,33550,33550,184910,9659631.0,287917464.0
1999-02-25,33700,34450,33050,34000,208620,9789194.0,287917464.0
1999-02-26,34000,36000,34000,36000,295650,10365029.0,287917464.0
1999-03-02,36800,37450,35600,36800,320790,10595363.0,287917464.0
1999-03-03,36800,37300,36100,36600,177330,10537779.0,287917464.0
1999-03-04,36800,38500,36300,37700,218200,10854488.0,287917464.0
1999-03-05,37500,38700,37100,38700,392880,11142406.0,287917464.0
1999-03-08,39500,40500,39200,40500,771980,11660657.0,287917464.0
1999-03-09,40500,40700,39400,40000,426390,11516699.0,287917464.0
1999-03-10,39800,40000,38900,39900,279320,11487907.0,287917464.0
1999-03-11,41000,42000,40000,42000,1286250,12092533.0,287917464.0
1999-03-12,41100,41900,40500,41000,544820,11804616.0,287917464.0
1999-03-15,41000,41500,39500,39600,404450,11401532.0,287917464.0
1999-03-16,39600,40000,39250,40000,348530,11516699.0,287917464.0
1999-03-17,40000,40800,39150,39200,269500,11286365.0,287917464.0
1999-03-18,38900,40200,38900,39000,357280,11228781.0,287917464.0
1999-03-19,38700,40500,38700,40400,395080,11631866.0,287917464.0
1999-03-22,39600,41200,39300,40500,486770,11660657.0,287917464.0
1999-03-23,40000,40500,39500,40500,215760,11660657.0,287917464.0
1999-03-24,39100,40150,39100,40100,174090,11545490.0,287917464.0
1999-03-25,39600,40900,39600,40500,344820,11660657.0,287917464.0
1999-03-26,39900,40900,39900,40200,311170,11574282.0,287917464.0
1999-03-29,39600,40150,39200,40000,272960,11516699.0,287917464.0
1999-03-30,40200,40900,40050,40500,320570,11660657.0,287917464.0
1999-03-31,40550,42550,40150,41600,975620,11977367.0,287917464.0
1999-04-01,41500,44500,41100,44000,1302570,12668368.0,287917464.0
1999-04-02,44400,45300,43700,44000,1165700,12668368.0,287917464.0
1999-04-06,44100,44700,43500,44000,543540,12668368.0,287917464.0
1999-04-07,43900,45300,43400,44000,1046170,12668368.0,287917464.0
