하나금융지주(086790),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-12-12,46583,49556,45691,49556,2636258,10212812.0,204256243.0
2005-12-13,48763,49655,48416,49506,1415219,10202599.0,204256243.0
2005-12-14,49209,49209,47177,47326,1173305,9753236.0,204256243.0
2005-12-15,47574,47673,46384,46582,1235462,9600043.0,204256243.0
2005-12-16,45492,46830,45146,45145,1066468,9303872.0,204256243.0
2005-12-19,44799,46731,44799,46334,1178906,9548979.0,204256243.0
2005-12-20,46087,46583,45046,46582,916667,9600043.0,204256243.0
2005-12-21,46087,46583,45790,46087,948075,9497915.0,204256243.0
2005-12-22,46731,46731,44501,45195,820422,9314085.0,204256243.0
2005-12-23,44700,45492,44105,45492,728028,9375362.0,204256243.0
2005-12-26,45294,45542,44452,44600,486131,9191531.0,204256243.0
2005-12-27,44154,45245,44154,44650,397699,9201744.0,204256243.0
2005-12-28,45000,47200,44700,46450,793029,9487702.0,204256243.0
2005-12-29,47000,47000,46000,46200,709545,9436638.0,204256243.0
2006-01-02,46500,46750,45700,46550,512667,9508128.0,204256243.0
2006-01-03,46550,46700,45450,45600,665943,9314085.0,204256243.0
2006-01-04,46250,46300,45600,46000,799674,9395787.0,204256243.0
2006-01-05,45900,46000,45250,46000,601543,9395787.0,204256243.0
2006-01-06,45550,47400,45550,47400,740635,9681746.0,204256243.0
2006-01-09,46600,47600,46200,46900,837304,9579618.0,204256243.0
2006-01-10,46900,48000,46900,48000,1412594,9804300.0,204256243.0
2006-01-11,47400,48400,46800,47400,657645,9681746.0,204256243.0
2006-01-12,48300,48950,47800,48500,1065272,9906428.0,204256243.0
2006-01-13,48650,48650,47500,48350,480993,9875789.0,204256243.0
2006-01-16,48000,48200,47050,47500,432990,9702172.0,204256243.0
2006-01-17,47850,47850,46050,46400,636271,9477490.0,204256243.0
2006-01-18,46500,46900,45000,46400,939894,9477490.0,204256243.0
2006-01-19,46300,47450,45850,46700,705183,9538767.0,204256243.0
2006-01-20,47500,47550,45650,47000,892912,9600043.0,204256243.0
2006-01-23,46000,47000,44500,44950,784920,9181318.0,204256243.0
2006-01-24,45500,46650,45400,46000,732137,9395787.0,204256243.0
2006-01-25,45000,47350,45000,47250,1005937,9651107.0,204256243.0
2006-01-26,46600,47000,45500,46000,788568,9395787.0,204256243.0
2006-01-27,46900,47850,46900,47750,698887,9753236.0,204256243.0
2006-01-31,47900,47900,46850,47300,352592,9661320.0,204256243.0
2006-02-01,47000,47200,45700,45750,771811,9344723.0,204256243.0
2006-02-02,46000,46050,44900,45650,513806,9324297.0,204256243.0
2006-02-03,45400,45450,44950,45000,1027885,9191531.0,204256243.0
2006-02-06,44300,45500,44200,45050,1564789,9201744.0,204256243.0
2006-02-07,45050,46150,44250,45150,572906,9222169.0,204256243.0
2006-02-08,44800,45250,44100,44250,716946,9038339.0,204256243.0
2006-02-09,44400,46250,44100,45350,1128182,9263021.0,204256243.0
2006-02-10,45600,46150,44450,45050,1502303,9201744.0,204256243.0
2006-02-13,45100,45300,43650,43650,660610,8915785.0,204256243.0
2006-02-14,43050,43350,41550,43000,1258304,8783018.0,204256243.0
2006-02-15,43000,43500,40050,41100,2573355,8394932.0,204256243.0
2006-02-16,41500,42500,41400,41800,2432598,8537911.0,204256243.0
2006-02-17,42450,43750,42150,43650,1205921,8915785.0,204256243.0
2006-02-20,43650,43900,42550,42950,538475,8772806.0,204256243.0
