세원정공(021820),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,1070,1090,1060,1060,7160,10600.0,1000000.0
1999-01-05,1070,1120,1070,1120,15150,11200.0,1000000.0
1999-01-06,1150,1260,1120,1250,43290,12500.0,1000000.0
1999-01-07,1280,1310,1210,1270,53530,12700.0,1000000.0
1999-01-08,1260,1260,1200,1260,22780,12600.0,1000000.0
1999-01-11,1280,1365,1280,1350,27720,13500.0,1000000.0
1999-01-12,1370,1390,1280,1350,32160,13500.0,1000000.0
1999-01-13,1350,1450,1310,1410,43580,14100.0,1000000.0
1999-01-14,1330,1400,1200,1200,20990,12000.0,1000000.0
1999-01-15,1245,1320,1210,1300,24940,13000.0,1000000.0
1999-01-18,1300,1470,1300,1450,54670,14500.0,1000000.0
1999-01-19,1450,1450,1360,1360,24040,13600.0,1000000.0
1999-01-20,1380,1400,1275,1290,14160,12900.0,1000000.0
1999-01-21,1270,1270,1200,1200,14790,12000.0,1000000.0
1999-01-22,1200,1200,1130,1170,10580,11700.0,1000000.0
1999-01-25,1100,1160,1100,1140,7290,11400.0,1000000.0
1999-01-26,1130,1310,1130,1310,80810,13100.0,1000000.0
1999-01-27,1310,1350,1185,1185,104520,11850.0,1000000.0
1999-01-28,1230,1295,1230,1240,20480,12400.0,1000000.0
1999-01-29,1270,1280,1210,1230,6810,12300.0,1000000.0
1999-02-01,1190,1260,1190,1260,13040,12600.0,1000000.0
1999-02-02,1260,1280,1210,1250,11720,12500.0,1000000.0
1999-02-03,1200,1200,1180,1200,8730,12000.0,1000000.0
1999-02-04,1160,1225,1150,1180,8000,11800.0,1000000.0
1999-02-05,1160,1355,1150,1355,95360,13550.0,1000000.0
1999-02-08,1355,1555,1310,1400,248860,14000.0,1000000.0
1999-02-09,1450,1450,1230,1230,22480,12300.0,1000000.0
1999-02-10,1260,1260,1180,1240,25020,12400.0,1000000.0
1999-02-11,1180,1290,1180,1260,19460,12600.0,1000000.0
1999-02-12,1300,1300,1230,1260,12260,12600.0,1000000.0
1999-02-18,1260,1280,1170,1170,12470,11700.0,1000000.0
1999-02-19,1180,1220,1130,1180,12390,11800.0,1000000.0
1999-02-22,1145,1150,1060,1060,7200,10600.0,1000000.0
1999-02-23,1065,1080,1000,1030,11710,10300.0,1000000.0
1999-02-24,1040,1050,1000,1030,15340,10300.0,1000000.0
1999-02-25,1010,1020,970,1000,7030,10000.0,1000000.0
1999-02-26,1020,1070,1020,1050,12870,10500.0,1000000.0
1999-03-02,1070,1125,1070,1090,6840,10900.0,1000000.0
1999-03-03,1110,1110,1000,1070,12660,10700.0,1000000.0
1999-03-04,1070,1070,1030,1070,6120,10700.0,1000000.0
1999-03-05,1020,1095,1020,1095,15220,10950.0,1000000.0
1999-03-08,1115,1155,1050,1140,18220,11400.0,1000000.0
1999-03-09,1120,1135,1070,1095,18710,10950.0,1000000.0
1999-03-10,1110,1110,1060,1080,6360,10800.0,1000000.0
1999-03-11,1070,1110,1060,1080,14720,10800.0,1000000.0
1999-03-12,1100,1150,1100,1120,28360,11200.0,1000000.0
1999-03-15,1150,1170,1140,1150,26200,11500.0,1000000.0
1999-03-16,1150,1160,1120,1120,6640,11200.0,1000000.0
1999-03-17,1140,1140,1105,1105,8650,11050.0,1000000.0
1999-03-18,1080,1115,1080,1095,11620,10950.0,1000000.0
1999-03-19,1080,1110,1080,1100,8260,11000.0,1000000.0
1999-03-22,1100,1100,1080,1100,7650,11000.0,1000000.0
1999-03-23,1100,1150,1080,1110,16320,11100.0,1000000.0
1999-03-24,1110,1170,1100,1110,21250,11100.0,1000000.0
1999-03-25,1100,1150,1100,1125,11690,11250.0,1000000.0
1999-03-26,1130,1185,1120,1120,39660,11200.0,1000000.0
1999-03-29,1130,1160,1120,1130,9240,11300.0,1000000.0
1999-03-30,1150,1170,1125,1125,8580,11250.0,1000000.0
