고려제강(002240),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,6193,6193,6193,6195,50,100800.0,900000.0
1999-01-05,5777,6193,5479,6195,9800,100800.0,900000.0
1999-01-06,5529,5529,5529,5530,750,90000.0,900000.0
1999-01-07,5528,5528,5473,5476,1150,89100.0,900000.0
1999-01-08,5473,5473,5252,5476,700,89100.0,900000.0
1999-01-11,5473,5473,5473,5476,2050,89100.0,900000.0
1999-01-12,5529,5529,5529,5530,0,90000.0,900000.0
1999-01-13,5528,5528,5473,5476,400,89100.0,900000.0
1999-01-14,5363,5363,5252,5255,250,85500.0,900000.0
1999-01-15,5197,5197,5197,5199,800,84600.0,900000.0
1999-01-18,5364,5364,5364,5365,50,87300.0,900000.0
1999-01-19,5307,5307,5252,5255,150,85500.0,900000.0
1999-01-20,5252,5252,5252,5255,0,85500.0,900000.0
1999-01-21,5252,5252,5252,5255,0,,
1999-01-22,5252,5252,5252,5255,0,,
1999-01-25,5143,5143,5143,5143,0,83700.0,900000.0
1999-01-26,4977,5613,4977,5614,150,91350.0,900000.0
1999-01-27,5364,5364,5364,5365,50,87300.0,900000.0
1999-01-28,4992,5307,4605,5172,3000,103084.0,1102500.0
1999-01-29,5060,5060,4977,4994,4400,99556.0,1102500.0
1999-02-01,4346,4993,4346,4994,4750,99556.0,1102500.0
1999-02-02,4816,5005,4816,4983,19800,99335.0,1102500.0
1999-02-03,4877,4982,4877,4983,100,99335.0,1102500.0
1999-02-04,5252,5252,4717,4717,300,94043.0,1102500.0
1999-02-05,4533,5142,4533,4978,800,99225.0,1102500.0
1999-02-08,5032,5032,5016,5033,5040,100328.0,1102500.0
1999-02-09,5032,5032,5032,5033,0,100328.0,1102500.0
1999-02-10,4551,4821,4551,4596,350,91618.0,1102500.0
1999-02-11,4949,4949,4949,4950,100,98674.0,1102500.0
1999-02-12,5059,5059,5059,5060,50,100879.0,1102500.0
1999-02-18,5060,5060,4600,5056,350,100768.0,1102500.0
1999-02-19,5032,5032,5032,5033,0,100328.0,1102500.0
1999-02-22,4699,4699,4699,4702,5200,93712.0,1102500.0
1999-02-23,4976,5031,4589,4702,5750,93712.0,1102500.0
1999-02-24,4550,4965,4550,4967,100,99004.0,1102500.0
1999-02-25,4755,4971,4755,4922,2400,98122.0,1102500.0
1999-02-26,4921,4921,4921,4922,0,98122.0,1102500.0
1999-03-02,5032,5193,4977,5143,57300,102532.0,1102500.0
1999-03-03,5143,5723,5143,5725,89050,114109.0,1102500.0
1999-03-04,5252,5419,5252,5310,1700,105840.0,1102500.0
1999-03-05,5307,5473,5147,5476,650,109148.0,1102500.0
1999-03-08,5364,5806,5364,5530,1550,110250.0,1102500.0
1999-03-09,5419,5529,5419,5530,2400,110250.0,1102500.0
1999-03-10,5530,5862,4993,5863,3750,116865.0,1102500.0
1999-03-11,5861,5861,5806,5807,600,115762.0,1102500.0
1999-03-12,5806,5806,5806,5807,100,115762.0,1102500.0
1999-03-15,5529,5529,5529,5530,400,110250.0,1102500.0
1999-03-16,5529,5529,5419,5530,5600,110250.0,1102500.0
1999-03-17,5529,5529,5529,5530,500,110250.0,1102500.0
1999-03-18,5531,5531,5364,5365,1450,106942.0,1102500.0
1999-03-19,5364,5364,5253,5365,800,106942.0,1102500.0
1999-03-22,5363,5528,5252,5255,4200,104738.0,1102500.0
1999-03-23,5252,5806,5252,5807,2450,115762.0,1102500.0
1999-03-24,5419,5556,5369,5476,10950,109148.0,1102500.0
