전방(000950),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,18100.0,18600.0,17800.0,18400.0,10370.0,30912.0,1680000.0
1999-01-05,18400.0,20700.0,18200.0,19500.0,24120.0,32760.0,1680000.0
1999-01-06,19700.0,21500.0,19700.0,21400.0,40920.0,35952.0,1680000.0
1999-01-07,22900.0,22900.0,21000.0,21300.0,45480.0,35784.0,1680000.0
1999-01-08,21300.0,21300.0,20400.0,20400.0,19770.0,34272.0,1680000.0
1999-01-11,22800.0,23450.0,21600.0,23450.0,54330.0,39396.0,1680000.0
1999-01-12,25000.0,26950.0,24200.0,26950.0,150900.0,45276.0,1680000.0
1999-01-13,27000.0,29500.0,26000.0,26000.0,91570.0,43680.0,1680000.0
1999-01-14,25100.0,25500.0,22200.0,23000.0,50310.0,38640.0,1680000.0
1999-01-15,23100.0,25900.0,22600.0,25000.0,47410.0,42000.0,1680000.0
1999-01-18,25300.0,28200.0,25300.0,27100.0,74220.0,45528.0,1680000.0
1999-01-19,27300.0,27300.0,24800.0,24800.0,31640.0,41664.0,1680000.0
1999-01-20,25000.0,25000.0,23600.0,24000.0,21970.0,40320.0,1680000.0
1999-01-21,23000.0,24000.0,22300.0,22800.0,13130.0,38304.0,1680000.0
1999-01-22,21500.0,23500.0,21300.0,22500.0,27100.0,37800.0,1680000.0
1999-01-25,22500.0,23400.0,21200.0,21200.0,10140.0,35616.0,1680000.0
1999-01-26,21300.0,21800.0,19500.0,19500.0,20120.0,32760.0,1680000.0
1999-01-27,20000.0,20400.0,19000.0,20000.0,13710.0,33600.0,1680000.0
1999-01-28,20000.0,22400.0,20000.0,21500.0,27280.0,36120.0,1680000.0
1999-01-29,22000.0,22400.0,20600.0,21100.0,19520.0,35448.0,1680000.0
1999-02-01,21700.0,22300.0,21300.0,21400.0,12280.0,35952.0,1680000.0
1999-02-02,21500.0,24000.0,21400.0,22300.0,31940.0,37464.0,1680000.0
