삼성바이오로직스(207940),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-11-10,135000,148000,125500,144000,7179018,9527760.0,66165000.0
2016-11-11,149500,186500,142000,161500,8140539,10685648.0,66165000.0
2016-11-14,165000,177500,165000,175500,2977177,11611958.0,66165000.0
2016-11-15,179000,181500,162500,166000,2592949,10983390.0,66165000.0
2016-11-16,168500,173000,163500,170000,1660976,11248050.0,66165000.0
2016-11-17,176500,177500,167500,167500,912260,11082638.0,66165000.0
2016-11-18,167000,168000,157500,168000,1312450,11115720.0,66165000.0
2016-11-21,167500,172000,164000,169000,642124,11181885.0,66165000.0
2016-11-22,170000,174000,169000,171000,568241,11314215.0,66165000.0
2016-11-23,172500,172500,165000,166000,459085,10983390.0,66165000.0
2016-11-24,165000,165500,155500,155500,837894,10288658.0,66165000.0
2016-11-25,154000,163500,153000,162000,702370,10718730.0,66165000.0
2016-11-28,161000,165500,159000,161500,411331,10685648.0,66165000.0
2016-11-29,157500,159000,151000,157000,893920,10387905.0,66165000.0
2016-11-30,156000,158500,150500,154000,2444923,10189410.0,66165000.0
2016-12-01,153500,154000,144000,144500,852285,9560842.0,66165000.0
2016-12-02,144500,146000,139000,142000,702548,9395430.0,66165000.0
2016-12-05,143500,146500,142000,142000,406959,9395430.0,66165000.0
2016-12-06,142500,148000,142500,146000,409654,9660090.0,66165000.0
2016-12-07,146500,152000,146500,150500,345673,9957832.0,66165000.0
2016-12-08,152500,154500,147000,150500,359764,9957832.0,66165000.0
2016-12-09,150500,150500,144500,145000,288245,9593925.0,66165000.0
2016-12-12,145000,148000,142500,143000,314792,9461595.0,66165000.0
2016-12-13,143500,145500,141000,145500,240688,9627008.0,66165000.0
2016-12-14,147000,147000,142500,143500,185937,9494678.0,66165000.0
2016-12-15,142500,144000,141000,142500,202359,9428512.0,66165000.0
2016-12-16,143000,144500,141500,144500,232511,9560842.0,66165000.0
2016-12-19,144000,151000,143000,150000,354223,9924750.0,66165000.0
2016-12-20,151500,153500,150000,151500,266217,10023998.0,66165000.0
2016-12-21,152500,153000,148000,148000,147143,9792420.0,66165000.0
2016-12-22,148000,149000,144000,144000,155240,9527760.0,66165000.0
2016-12-23,144000,146500,144000,144000,86513,9527760.0,66165000.0
2016-12-26,145000,145500,144000,144000,62989,9527760.0,66165000.0
2016-12-27,144000,147000,144000,145500,107780,9627008.0,66165000.0
2016-12-28,147500,155000,147000,152000,316778,10057080.0,66165000.0
2016-12-29,151000,152500,149500,151000,125878,9990915.0,66165000.0
2017-01-02,151500,158000,151000,156500,242245,10354822.0,66165000.0
2017-01-03,156500,158000,154500,158000,163655,10454070.0,66165000.0
2017-01-04,159500,161000,154500,154500,180143,10222492.0,66165000.0
2017-01-05,156000,158000,156000,157500,96008,10420988.0,66165000.0
2017-01-06,158000,158500,155500,157500,88105,10420988.0,66165000.0
2017-01-09,157500,158000,153000,154500,124880,10222492.0,66165000.0
2017-01-10,154000,154000,150500,151000,156701,9990915.0,66165000.0
2017-01-11,151500,161000,151500,159000,353023,10520235.0,66165000.0
2017-01-12,157500,158500,154500,157000,151742,10387905.0,66165000.0
2017-01-13,155000,158000,152500,153000,185131,10123245.0,66165000.0
2017-01-16,154000,154500,151000,151500,125534,10023998.0,66165000.0
2017-01-17,151000,154000,150000,152000,110949,10057080.0,66165000.0
2017-01-18,153000,153500,152000,153000,73671,10123245.0,66165000.0
2017-01-19,155500,156500,152000,152500,96398,10090162.0,66165000.0
2017-01-20,152500,155500,152000,155000,79754,10255575.0,66165000.0
2017-01-23,156000,156500,154000,155500,89506,10288658.0,66165000.0
2017-01-24,155500,156000,152500,155000,112281,10255575.0,66165000.0
2017-01-25,156000,156500,152500,155000,140686,10255575.0,66165000.0
