자화전자(033240),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-06,3668,3668,3668,3668,0,65205.0,1620000.0
1999-01-07,4215,4215,4215,4215,600,74925.0,1620000.0
1999-01-08,4839,4839,4839,4839,231800,86022.0,1620000.0
1999-01-11,5550,5559,5377,5559,1552600,98820.0,1620000.0
1999-01-12,5833,5878,5195,5568,915900,98982.0,1620000.0
1999-01-13,5550,5714,5468,5468,303300,97200.0,1620000.0
1999-01-14,5241,5559,5241,5468,288400,97200.0,1620000.0
1999-01-15,5468,5605,5468,5550,131000,98658.0,1620000.0
1999-01-18,5605,6371,5605,6060,589700,107730.0,1620000.0
1999-01-19,5933,6088,5842,6033,226200,107244.0,1620000.0
1999-01-20,5915,6106,5888,5905,215200,104976.0,1620000.0
1999-01-21,6015,6015,5477,5559,272500,98820.0,1620000.0
1999-01-22,5468,5559,5359,5422,136900,96390.0,1620000.0
1999-01-25,5468,5468,5122,5185,59900,92178.0,1620000.0
1999-01-26,5241,5468,5204,5240,91900,93150.0,1620000.0
1999-01-27,5241,5651,5241,5650,99300,100440.0,1620000.0
1999-01-28,5696,5696,5559,5650,83800,100440.0,1620000.0
1999-01-29,5696,5696,5523,5650,90700,100440.0,1620000.0
1999-02-01,5651,5696,5468,5650,85000,100440.0,1620000.0
1999-02-02,5532,5651,5532,5559,64400,98820.0,1620000.0
1999-02-03,5605,5632,5487,5513,75000,98010.0,1620000.0
1999-02-04,5468,5532,5414,5468,72600,97200.0,1620000.0
1999-02-05,5477,5514,5405,5468,23400,97200.0,1620000.0
1999-02-08,5559,5605,5423,5441,61600,96714.0,1620000.0
1999-02-09,5377,5468,5286,5459,38900,97038.0,1620000.0
1999-02-10,5487,5487,5295,5395,95100,95904.0,1620000.0
1999-02-11,5541,5541,5386,5422,18800,96390.0,1620000.0
1999-02-12,5423,5541,5423,5468,46100,97200.0,1620000.0
1999-02-18,5386,5459,5377,5459,17800,97038.0,1620000.0
1999-02-19,5195,5377,5195,5358,12000,95256.0,1620000.0
1999-02-22,5286,5423,5286,5331,22900,94770.0,1620000.0
1999-02-23,5332,5450,5332,5368,136100,95418.0,1620000.0
1999-02-24,5304,5368,5286,5286,20700,93960.0,1620000.0
1999-02-25,5149,5204,5104,5194,25400,92340.0,1620000.0
1999-02-26,5195,5459,5195,5459,37800,97038.0,1620000.0
1999-03-02,5468,5550,5386,5386,68800,95742.0,1620000.0
1999-03-03,5377,5423,5377,5386,36900,95742.0,1620000.0
1999-03-04,5432,5514,5395,5513,33200,98010.0,1620000.0
1999-03-05,5423,5514,5423,5468,18600,97200.0,1620000.0
1999-03-08,5395,5532,5395,5532,33400,98334.0,1620000.0
1999-03-09,5432,5432,5395,5395,10900,95904.0,1620000.0
1999-03-10,5377,5441,5332,5377,38400,95580.0,1620000.0
1999-03-11,5377,5559,5377,5468,77000,97200.0,1620000.0
1999-03-12,5468,5468,5332,5331,52100,94770.0,1620000.0
1999-03-15,5332,5514,5332,5377,40600,95580.0,1620000.0
1999-03-16,5377,5468,5350,5377,37000,95580.0,1620000.0
1999-03-17,5386,5405,5295,5377,56800,95580.0,1620000.0
1999-03-18,5423,5468,5377,5422,64900,96390.0,1620000.0
1999-03-19,5423,5432,5386,5422,50000,96390.0,1620000.0
1999-03-22,5286,5514,5286,5422,12000,96390.0,1620000.0
1999-03-23,5468,5468,5423,5422,29300,96390.0,1620000.0
1999-03-24,5468,5888,5377,5750,106500,102222.0,1620000.0
1999-03-25,5733,5979,5614,5832,95200,103680.0,1620000.0
1999-03-26,5842,5842,5651,5650,27300,100440.0,1620000.0
1999-03-29,5651,5651,5468,5468,42200,97200.0,1620000.0
1999-03-30,5559,5651,5468,5605,110300,99630.0,1620000.0
1999-03-31,5605,5696,5559,5605,25600,99630.0,1620000.0
1999-04-01,5687,6106,5669,5741,153300,102060.0,1620000.0
1999-04-02,5833,5915,5760,5878,94500,104490.0,1620000.0
1999-04-06,5924,6653,5924,6644,220800,118098.0,1620000.0
1999-04-07,6526,6562,6380,6470,73100,115020.0,1620000.0
1999-04-08,6562,6562,6380,6552,182000,116478.0,1620000.0
1999-04-09,6444,6562,6380,6470,133500,115020.0,1620000.0
1999-04-12,6480,6480,6115,6197,42000,110160.0,1620000.0
1999-04-13,6024,6170,6015,6060,212300,107730.0,1620000.0
1999-04-14,6061,6516,6061,6334,197500,112590.0,1620000.0
1999-04-15,6270,6380,6243,6334,80100,112590.0,1620000.0
1999-04-16,6334,6334,6106,6288,89300,111780.0,1620000.0
1999-04-19,6197,6380,6197,6279,132000,111618.0,1620000.0
1999-04-20,6380,6516,6334,6379,48000,113400.0,1620000.0
1999-04-21,6380,6380,6106,6288,55100,111780.0,1620000.0
1999-04-22,6197,6289,6033,6078,12100,108054.0,1620000.0
1999-04-23,6079,6279,6079,6243,80200,110970.0,1620000.0
1999-04-26,6188,6380,6170,6379,52900,113400.0,1620000.0
1999-04-27,6471,6471,6243,6243,46000,110970.0,1620000.0
1999-04-28,6243,6462,6115,6288,105100,111780.0,1620000.0
1999-04-29,6334,6835,6252,6470,303600,115020.0,1620000.0
1999-04-30,6653,6972,6580,6653,250300,118260.0,1620000.0
1999-05-03,6653,6835,6608,6653,256100,118260.0,1620000.0
1999-05-04,6753,7546,6653,7382,356600,131220.0,1620000.0
1999-05-06,7701,8385,7574,8020,558100,142560.0,1620000.0
1999-05-07,9114,9205,8385,9205,1692300,163620.0,1620000.0
1999-05-10,8111,8932,8111,8749,526100,155520.0,1620000.0
1999-05-11,8841,9023,8294,8384,359100,149040.0,1620000.0
1999-05-12,8066,8294,7565,7564,194700,134460.0,1620000.0
1999-05-13,7710,8002,7601,7792,243700,138510.0,1620000.0
1999-05-14,7565,7747,7018,7473,120900,132840.0,1620000.0
1999-05-17,7018,7273,6608,6653,115900,118260.0,1620000.0
1999-05-18,6653,6945,6653,6835,129500,121500.0,1620000.0
1999-05-19,6972,7291,6972,7017,103500,124740.0,1620000.0
1999-05-20,7109,7109,6753,6953,165500,123606.0,1620000.0
1999-05-21,6954,7246,6763,7008,51100,124578.0,1620000.0
1999-05-24,7018,7054,6881,7017,69000,124740.0,1620000.0
1999-05-25,7018,7127,7009,7108,45700,126360.0,1620000.0
1999-05-26,7200,7701,7200,7628,70400,135594.0,1620000.0
1999-05-27,7610,8066,7565,7610,83000,135270.0,1620000.0
1999-05-28,7747,7929,7683,7746,51100,137700.0,1620000.0
1999-05-31,7747,7929,7483,7655,75700,136080.0,1620000.0
1999-06-01,7492,7738,7492,7737,224600,137538.0,1620000.0
1999-06-02,7747,8093,7747,7828,66300,139158.0,1620000.0
1999-06-03,7656,7792,7492,7610,67700,135270.0,1620000.0
1999-06-04,7565,7738,7428,7637,79700,135756.0,1620000.0
1999-06-07,7729,7729,7337,7391,116800,131382.0,1620000.0
1999-06-08,7473,7738,7382,7382,112500,131220.0,1620000.0
1999-06-09,7656,7656,7337,7382,56000,131220.0,1620000.0
1999-06-10,7200,7565,7200,7555,52800,134298.0,1620000.0
1999-06-11,7528,7929,7382,7929,122900,140940.0,1620000.0
1999-06-14,7847,7929,7765,7883,106100,140130.0,1620000.0
1999-06-15,7838,7929,7437,7655,136600,136080.0,1620000.0
1999-06-16,7656,8203,7565,7883,211900,140130.0,1620000.0
1999-06-17,8203,9059,8203,9059,467060,161028.0,1620000.0
1999-06-18,8841,9570,8777,9113,193800,162000.0,1620000.0
1999-06-21,9205,9205,8749,9022,100200,160380.0,1620000.0
1999-06-22,8850,9843,8850,9205,161800,163620.0,1620000.0
1999-06-23,9296,9980,9114,9706,209300,172530.0,1620000.0
