F&F(007700),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,489,501,488,500,68800,11813.0,1534146.0
1999-01-05,494,520,494,520,93400,12273.0,1534146.0
1999-01-06,540,598,488,598,388200,14114.0,1534146.0
1999-01-07,637,686,605,676,1361200,15955.0,1534146.0
1999-01-08,663,676,638,656,390500,15495.0,1534146.0
1999-01-11,728,728,657,695,500800,16415.0,1534146.0
1999-01-12,702,800,689,799,1396000,18870.0,1534146.0
1999-01-13,910,917,907,916,675400,21631.0,1534146.0
1999-01-14,1008,1014,832,910,1586000,21478.0,1534146.0
1999-01-15,910,1014,858,962,882000,22705.0,1534146.0
1999-01-18,975,1099,975,1033,792300,24393.0,1534146.0
1999-01-19,982,1047,975,994,648200,23472.0,1534146.0
1999-01-20,1008,1021,943,975,471300,23012.0,1534146.0
1999-01-21,975,975,858,936,347600,22092.0,1534146.0
1999-01-22,910,910,826,871,380400,20558.0,1534146.0
1999-01-25,871,891,741,741,331100,17489.0,1534146.0
1999-01-26,780,852,780,851,410000,20097.0,1534146.0
1999-01-27,852,962,852,890,599200,21018.0,1534146.0
1999-01-28,910,943,904,929,214400,21938.0,1534146.0
1999-01-29,943,1008,910,994,294900,23472.0,1534146.0
1999-02-01,1021,1105,1021,1105,684900,26080.0,1534146.0
1999-02-02,1138,1271,1105,1270,1510200,29993.0,1534146.0
1999-02-03,1219,1261,1183,1222,555100,28842.0,1534146.0
1999-02-04,1190,1404,1190,1404,807200,33138.0,1534146.0
1999-02-05,1440,1495,1268,1313,1170200,30990.0,1534146.0
1999-02-08,1287,1320,1203,1202,676700,28382.0,1534146.0
1999-02-09,1170,1170,1079,1144,706200,27001.0,1534146.0
1999-02-10,1157,1229,1144,1170,520300,27615.0,1534146.0
1999-02-11,1170,1216,1170,1202,315600,28382.0,1534146.0
1999-02-12,1209,1261,1196,1235,493600,29149.0,1534146.0
1999-02-18,1261,1268,1177,1183,281300,27921.0,1534146.0
1999-02-19,1164,1164,1047,1124,382600,26541.0,1534146.0
1999-02-22,1073,1125,1053,1124,244000,26541.0,1534146.0
1999-02-23,1125,1125,1037,1036,405400,24470.0,1534146.0
1999-02-24,1030,1040,884,890,765400,21018.0,1534146.0
1999-02-25,897,897,800,822,798000,19407.0,1534146.0
1999-02-26,842,939,842,939,436100,22168.0,1534146.0
1999-03-02,943,1027,930,929,958500,21938.0,1534146.0
1999-03-03,949,956,891,910,506400,21478.0,1534146.0
1999-03-04,910,962,904,903,290700,21325.0,1534146.0
