아이마켓코리아(122900),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-07-30,22100,25400,21000,25400,8848440,912961.0,35943340.0
2010-08-02,27000,28200,25050,25600,4763078,920150.0,35943340.0
2010-08-03,25800,27450,24450,25900,2949405,930933.0,35943340.0
2010-08-04,25800,25900,23800,25400,1923165,912961.0,35943340.0
2010-08-05,25300,25850,24000,24500,1155566,880612.0,35943340.0
2010-08-06,24800,25600,24150,25350,1130282,911164.0,35943340.0
2010-08-09,26300,27050,25900,26250,1632957,943513.0,35943340.0
2010-08-10,26050,26250,25550,25700,630693,923744.0,35943340.0
2010-08-11,25800,26100,25250,25300,509785,909367.0,35943340.0
2010-08-12,24800,25550,24550,25000,355346,898584.0,35943340.0
2010-08-13,25300,28750,25250,28750,2298191,1033371.0,35943340.0
2010-08-16,29500,29750,28550,29300,2506693,1053140.0,35943340.0
2010-08-17,28750,29200,27800,28650,1460923,1029777.0,35943340.0
2010-08-18,28900,31000,28400,28800,2589948,1035168.0,35943340.0
2010-08-19,29050,29550,27800,28350,910095,1018994.0,35943340.0
2010-08-20,28250,28850,27600,27850,805091,1001022.0,35943340.0
2010-08-23,27900,28450,26900,26900,979058,966876.0,35943340.0
2010-08-24,27300,28800,26350,28400,1260851,1020791.0,35943340.0
2010-08-25,28100,29200,27800,28650,704203,1029777.0,35943340.0
2010-08-26,28850,29500,28250,29000,848347,1042357.0,35943340.0
2010-08-27,29100,29750,28500,29150,544766,1047748.0,35943340.0
2010-08-30,28900,29000,27900,28500,1202812,1024385.0,35943340.0
2010-08-31,28250,28300,27400,28000,617471,1006414.0,35943340.0
2010-09-01,28400,31200,28200,30150,2010760,1083692.0,35943340.0
2010-09-02,30500,31650,30300,30450,895883,1094475.0,35943340.0
2010-09-03,30400,31400,29750,30750,1000772,1105258.0,35943340.0
2010-09-06,31100,31450,30600,31100,469301,1117838.0,35943340.0
2010-09-07,31700,32250,31050,31350,799713,1126824.0,35943340.0
2010-09-08,31100,31350,30700,31050,429027,1116041.0,35943340.0
2010-09-09,31150,32600,31050,32600,663994,1171753.0,35943340.0
2010-09-10,32650,34400,32400,33650,761307,1209493.0,35943340.0
2010-09-13,34050,34200,33400,33600,497141,1207696.0,35943340.0
2010-09-14,33500,33600,31350,32000,875076,1150187.0,35943340.0
2010-09-15,31500,32200,30200,30350,1240865,1090880.0,35943340.0
2010-09-16,30700,31850,30200,31100,776026,1117838.0,35943340.0
2010-09-17,30800,31300,30400,30950,553943,1112446.0,35943340.0
2010-09-20,31000,32150,30800,32000,397581,1150187.0,35943340.0
2010-09-24,32400,32400,31300,31400,252445,1128621.0,35943340.0
2010-09-27,31650,31950,29650,30000,820934,1078300.0,35943340.0
2010-09-28,29800,30700,29100,30700,546848,1103461.0,35943340.0
2010-09-29,30750,31000,29850,30400,490635,1092678.0,35943340.0
