한미약품(128940),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-07-30,61270,70459,61270,68013,246830,714739.0,7154540.0
2010-08-02,67056,67327,61610,61954,102545,651063.0,7154540.0
2010-08-03,62086,63312,61951,62090,36735,652494.0,7154540.0
2010-08-04,62086,63447,58544,62090,64204,652494.0,7154540.0
2010-08-05,62972,62972,59500,59911,73739,629600.0,7154540.0
2010-08-06,60043,66034,59975,65426,88664,687551.0,7154540.0
2010-08-09,64877,69441,64470,66040,79812,693990.0,7154540.0
2010-08-10,66171,66714,64810,65631,29384,689698.0,7154540.0
2010-08-11,65286,66512,64605,65631,32387,689698.0,7154540.0
2010-08-12,64743,65899,63992,63997,32046,672527.0,7154540.0
2010-08-13,64333,64673,62834,62840,39445,660364.0,7154540.0
2010-08-16,62427,66034,62357,66040,25679,693990.0,7154540.0
2010-08-17,65831,67125,64877,66720,29303,701145.0,7154540.0
2010-08-18,67396,69779,66714,69443,60137,729763.0,7154540.0
2010-08-19,69099,70121,66580,68082,37725,715454.0,7154540.0
2010-08-20,68418,68418,66105,66177,43401,695421.0,7154540.0
2010-08-23,66647,69099,66307,68082,31039,715454.0,7154540.0
2010-08-24,68760,74205,68077,73527,90898,772690.0,7154540.0
2010-08-25,73184,74885,70801,72847,59793,765536.0,7154540.0
2010-08-26,74205,74205,70460,72507,46749,761959.0,7154540.0
2010-08-27,71482,74205,70801,72507,30375,761959.0,7154540.0
2010-08-30,73865,73865,70801,73186,16907,769113.0,7154540.0
2010-08-31,72844,75565,71823,74890,38483,786999.0,7154540.0
2010-09-01,74546,78970,74205,78634,51724,826349.0,7154540.0
2010-09-02,78289,79310,76927,78634,32996,826349.0,7154540.0
2010-09-03,78289,79650,77949,78634,37609,826349.0,7154540.0
2010-09-06,78969,79990,75908,75911,39120,797731.0,7154540.0
2010-09-07,75908,76927,75227,75911,26000,797731.0,7154540.0
2010-09-08,75565,77608,74885,75911,32166,797731.0,7154540.0
2010-09-09,75908,77608,74205,76933,41666,808463.0,7154540.0
2010-09-10,76247,77269,74546,75911,43108,797731.0,7154540.0
2010-09-13,76927,76927,73184,74209,39477,779845.0,7154540.0
2010-09-14,73525,74205,72502,72847,37660,765536.0,7154540.0
2010-09-15,72844,73525,68418,70805,53250,744072.0,7154540.0
2010-09-16,71482,77949,71482,76593,88553,804886.0,7154540.0
2010-09-17,76927,81352,75565,80677,99919,847813.0,7154540.0
2010-09-20,81352,81694,77608,78974,59149,829927.0,7154540.0
2010-09-24,77949,79990,76927,77954,36381,819195.0,7154540.0
2010-09-27,78630,82714,76927,81017,71412,851390.0,7154540.0
2010-09-28,80332,81352,75908,79656,178467,837081.0,7154540.0
2010-09-29,80332,80332,77608,77613,253568,815618.0,7154540.0
2010-09-30,78289,79650,76927,78293,76061,822772.0,7154540.0
2010-10-01,78969,78969,76247,77613,62846,815618.0,7154540.0
2010-10-04,77269,78630,74885,75230,50801,790577.0,7154540.0
2010-10-05,75565,76247,72502,74209,80985,779845.0,7154540.0
2010-10-06,74205,76927,74205,75911,65880,797731.0,7154540.0
2010-10-07,75908,78969,72844,74890,87084,786999.0,7154540.0
2010-10-08,74205,75227,73184,74209,36640,779845.0,7154540.0
2010-10-11,73865,74546,71822,71826,45717,754804.0,7154540.0
2010-10-12,72502,74885,70459,74890,70903,786999.0,7154540.0
2010-10-13,75227,75908,72502,75911,47156,797731.0,7154540.0
2010-10-14,74885,75565,73184,74209,39257,779845.0,7154540.0
2010-10-15,73525,75227,72502,73868,49747,776268.0,7154540.0
2010-10-18,73184,75227,72844,75230,31114,790577.0,7154540.0
2010-10-19,75227,78969,74546,78974,88232,829927.0,7154540.0
2010-10-20,77949,79990,76927,77613,60296,815618.0,7154540.0
2010-10-21,77949,78630,71482,74890,83115,786999.0,7154540.0
2010-10-22,74885,75227,72162,72847,103021,765536.0,7154540.0
2010-10-25,71140,71482,69099,70805,157701,744072.0,7154540.0
2010-10-26,70459,71822,70121,70465,87602,740495.0,7154540.0
2010-10-27,71482,71482,69779,70805,49210,744072.0,7154540.0
2010-10-28,68418,68418,64810,67470,202750,709015.0,7154540.0
2010-10-29,67464,67737,66105,67401,36829,708299.0,7154540.0
2010-11-01,67396,67533,66239,67060,21575,704722.0,7154540.0
2010-11-02,66785,67737,66034,67060,24511,704722.0,7154540.0
2010-11-03,67056,67873,65150,67333,64036,707584.0,7154540.0
2010-11-04,67327,67669,66034,66923,37189,703291.0,7154540.0
2010-11-05,66853,66920,65899,66313,34266,696852.0,7154540.0
2010-11-08,66105,66105,64810,65359,45832,686836.0,7154540.0
2010-11-09,64877,65899,64877,65901,39937,692559.0,7154540.0
2010-11-10,65899,67602,65557,67401,58418,708299.0,7154540.0
2010-11-11,67464,67464,65286,65562,59584,688982.0,7154540.0
2010-11-12,66034,66105,63515,65359,77994,686836.0,7154540.0
2010-11-15,64743,65353,63924,64337,29726,676104.0,7154540.0
2010-11-16,64605,64605,62834,63316,28328,665372.0,7154540.0
2010-11-17,62632,62972,59091,61887,129473,650348.0,7154540.0
2010-11-18,61064,61203,59907,60321,61674,633892.0,7154540.0
2010-11-19,60453,61404,59771,61205,74326,643193.0,7154540.0
2010-11-22,60724,61270,59363,61136,35763,642478.0,7154540.0
2010-11-23,61203,61816,59841,60659,47208,637470.0,7154540.0
2010-11-24,58887,61745,58544,61613,104504,647486.0,7154540.0
2010-11-25,62222,63720,61404,63316,52371,665372.0,7154540.0
2010-11-26,63312,63312,60929,61682,28441,648201.0,7154540.0
2010-11-29,61745,62768,60929,62567,19123,657502.0,7154540.0
2010-11-30,62154,65150,62154,65154,49854,684689.0,7154540.0
2010-12-01,64265,65424,63653,65359,26471,686836.0,7154540.0
2010-12-02,64877,65763,63992,65562,40455,688982.0,7154540.0
2010-12-03,65082,65082,62427,63997,81549,672527.0,7154540.0
2010-12-06,64810,65627,62768,63316,50872,665372.0,7154540.0
2010-12-07,63447,63653,61541,61817,54860,649632.0,7154540.0
2010-12-08,61745,62017,59771,60048,116927,631030.0,7154540.0
2010-12-09,60043,63312,59160,59570,198108,626022.0,7154540.0
2010-12-10,59907,60249,58544,58958,138155,619583.0,7154540.0
2010-12-13,58750,59500,58750,59368,52466,623876.0,7154540.0
2010-12-14,59363,60724,59363,60729,82103,638185.0,7154540.0
2010-12-15,60657,60724,59363,60185,82658,632461.0,7154540.0
2010-12-16,60111,60111,59430,59911,24261,629600.0,7154540.0
2010-12-17,59907,60180,58887,59368,33641,623876.0,7154540.0
2010-12-20,58613,58956,57798,58075,59727,610282.0,7154540.0
2010-12-21,58206,59160,58138,58889,65479,618868.0,7154540.0
2010-12-22,58819,60180,58478,59775,78662,628169.0,7154540.0
2010-12-23,60316,60452,59294,59639,47720,626738.0,7154540.0
2010-12-24,59636,60043,59225,59299,34788,623160.0,7154540.0
2010-12-27,59430,60453,59363,60185,54945,632461.0,7154540.0
2010-12-28,59907,60861,59771,60865,48516,639616.0,7154540.0
2010-12-29,61933,62788,60861,62794,32026,628884.0,7154540.0
2010-12-30,63290,63432,62147,63437,44609,635323.0,7154540.0
2011-01-03,63432,63647,62433,63437,43731,635323.0,7154540.0
2011-01-04,63218,63504,62218,62580,51076,626738.0,7154540.0
2011-01-05,62576,62576,60575,60721,102432,608136.0,7154540.0
2011-01-06,60720,60720,59218,59365,126438,594542.0,7154540.0
2011-01-07,59289,59289,58432,58722,89709,588103.0,7154540.0
2011-01-10,58789,59646,58503,59150,77509,592396.0,7154540.0
