한세엠케이(069640),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-06-21,10333,10866,8800,8800,2016213,105600.0,8000000.0
2011-06-22,8033,9033,7833,8400,3609177,100800.0,8000000.0
2011-06-23,8600,9466,8366,8467,2591010,101600.0,8000000.0
2011-06-24,8433,8566,7800,7867,880296,94400.0,8000000.0
2011-06-27,7933,8200,7466,7667,687055,92000.0,8000000.0
2011-06-28,7733,7900,7000,7000,669937,84000.0,8000000.0
2011-06-29,7133,7166,6666,6833,492888,82000.0,8000000.0
2011-06-30,6933,7800,6866,7400,592221,88800.0,8000000.0
2011-07-01,7433,7866,7300,7367,428206,88400.0,8000000.0
2011-07-04,7433,7466,7000,7167,222359,86000.0,8000000.0
2011-07-05,7200,7733,7166,7667,425220,92000.0,8000000.0
2011-07-06,7666,7900,7500,7533,329346,90400.0,8000000.0
2011-07-07,7533,7933,7500,7733,222648,92800.0,8000000.0
2011-07-08,7900,8233,7733,7800,390380,93600.0,8000000.0
2011-07-11,7733,7900,7633,7700,211968,92400.0,8000000.0
2011-07-12,7566,7700,7300,7333,207008,88000.0,8000000.0
2011-07-13,7333,7700,7333,7367,123966,88400.0,8000000.0
2011-07-14,7466,7733,7366,7600,86599,91200.0,8000000.0
2011-07-15,7666,7866,7633,7733,109047,92800.0,8000000.0
2011-07-18,7866,8066,7700,8000,173397,96000.0,8000000.0
2011-07-19,8033,8400,7933,8267,242710,99200.0,8000000.0
2011-07-20,8366,8833,8266,8600,280237,103200.0,8000000.0
2011-07-21,8633,8966,8633,8733,137552,104800.0,8000000.0
2011-07-22,8733,9066,8566,8900,137605,106800.0,8000000.0
2011-07-25,9066,9466,8966,8967,189044,107600.0,8000000.0
2011-07-26,9166,9166,8766,9067,95825,108800.0,8000000.0
2011-07-27,9133,9400,8766,9267,115415,111200.0,8000000.0
2011-07-28,9166,9933,9000,9800,175351,117600.0,8000000.0
2011-07-29,9900,10100,9566,9733,137718,116800.0,8000000.0
2011-08-01,9700,9900,9500,9600,100968,115200.0,8000000.0
2011-08-02,9500,10000,9500,9867,169490,118400.0,8000000.0
2011-08-03,9666,9866,9200,9867,145341,118400.0,8000000.0
2011-08-04,10000,10000,9000,9000,163759,108000.0,8000000.0
2011-08-05,8233,8666,7833,8500,272300,102000.0,8000000.0
2011-08-08,8266,8766,7233,7967,298471,95600.0,8000000.0
2011-08-09,7266,7633,6800,7433,263601,89200.0,8000000.0
2011-08-10,7800,8533,7700,8533,435099,102400.0,8000000.0
2011-08-11,8066,9633,8000,9167,474384,110000.0,8000000.0
2011-08-12,9500,10533,9233,9500,875213,114000.0,8000000.0
2011-08-16,9933,10833,9833,10633,528151,127600.0,8000000.0
2011-08-17,10700,11600,10533,11233,464927,134800.0,8000000.0
2011-08-18,11433,11533,10766,11033,253848,132400.0,8000000.0
2011-08-19,10533,12400,10200,11033,513242,132400.0,8000000.0
2011-08-22,11400,11533,10266,10267,252809,123200.0,8000000.0
2011-08-23,10566,11100,10266,10533,349360,126400.0,8000000.0
2011-08-24,10833,11400,10566,11167,260678,134000.0,8000000.0
2011-08-25,11466,11733,10833,10833,267974,130000.0,8000000.0
2011-08-26,10966,11633,10800,11567,347717,138800.0,8000000.0
2011-08-29,11733,12500,11566,12133,324686,145600.0,8000000.0
2011-08-30,12000,12100,11466,11500,197721,138000.0,8000000.0
2011-08-31,11566,11800,11000,11267,215864,135200.0,8000000.0
2011-09-01,11500,11633,10733,11100,369588,133200.0,8000000.0
2011-09-02,11300,11600,11133,11600,197875,139200.0,8000000.0
2011-09-05,11566,12000,11400,11800,265678,141600.0,8000000.0
2011-09-06,11833,11966,11000,11467,146329,137600.0,8000000.0
2011-09-07,11733,11766,11333,11667,143386,140000.0,8000000.0
2011-09-08,11800,12500,11666,12300,385401,147600.0,8000000.0
2011-09-09,12266,12700,12033,12667,235370,152000.0,8000000.0
2011-09-14,12800,13266,12200,12667,300947,152000.0,8000000.0
2011-09-15,12933,13200,11600,12367,307355,148400.0,8000000.0
2011-09-16,12633,12633,12066,12567,116228,150800.0,8000000.0
2011-09-19,12266,12666,11733,11733,153590,140800.0,8000000.0
2011-09-20,11666,11733,11100,11533,196974,138400.0,8000000.0
2011-09-21,11666,11666,11166,11267,188254,135200.0,8000000.0
2011-09-22,11100,11500,11033,11167,90282,134000.0,8000000.0
2011-09-23,10766,11133,9933,10200,238323,122400.0,8000000.0
2011-09-26,10266,10666,9133,9667,280060,116000.0,8000000.0
2011-09-27,10133,11100,10100,11100,172026,133200.0,8000000.0
2011-09-28,11300,11600,10966,11167,168292,134000.0,8000000.0
2011-09-29,11166,11366,10733,11367,70700,136400.0,8000000.0
2011-09-30,11433,11466,11033,11167,75201,134000.0,8000000.0
2011-10-04,10533,10933,10333,10667,47455,128000.0,8000000.0
2011-10-05,10866,11066,10433,10500,70050,126000.0,8000000.0
2011-10-06,10800,11300,10466,10500,48745,126000.0,8000000.0
2011-10-07,10666,10866,10500,10867,51154,130400.0,8000000.0
2011-10-10,10766,11166,10766,11167,41379,134000.0,8000000.0
2011-10-11,11300,11833,11000,11800,130682,141600.0,8000000.0
2011-10-12,11966,11966,11466,11767,65166,141200.0,8000000.0
2011-10-13,11866,11966,11733,11900,65281,142800.0,8000000.0
2011-10-14,11866,11933,11433,11933,61273,143200.0,8000000.0
2011-10-17,12000,12100,11766,12067,104614,144800.0,8000000.0
2011-10-18,11800,12566,11733,12433,98444,149200.0,8000000.0
2011-10-19,12300,13000,12300,13000,129024,156000.0,8000000.0
2011-10-20,12966,13133,12633,12867,108920,154400.0,8000000.0
2011-10-21,12933,13000,12700,12900,80740,154800.0,8000000.0
2011-10-24,13000,13066,12800,12867,47499,154400.0,8000000.0
2011-10-25,12800,12800,12366,12600,95810,151200.0,8000000.0
2011-10-26,12333,12666,12200,12533,59980,150400.0,8000000.0
2011-10-27,12766,12766,12100,12367,60854,148400.0,8000000.0
2011-10-28,12500,12500,11300,12000,149774,144000.0,8000000.0
2011-10-31,11600,11833,11466,11767,29931,141200.0,8000000.0
2011-11-01,11533,11866,11500,11833,25478,142000.0,8000000.0
2011-11-02,11466,11800,11333,11800,16530,141600.0,8000000.0
2011-11-03,11866,11933,11433,11567,45094,138800.0,8000000.0
2011-11-04,11866,12100,11633,11867,81742,142400.0,8000000.0
2011-11-07,11866,11866,11200,11200,76436,134400.0,8000000.0
2011-11-08,11233,11533,11100,11133,60462,133600.0,8000000.0
2011-11-09,11500,12033,11233,11533,103466,138400.0,8000000.0
2011-11-10,11400,11433,11100,11100,45147,133200.0,8000000.0
2011-11-11,11400,11800,11066,11333,80490,136000.0,8000000.0
2011-11-14,11633,11633,11333,11333,41968,136000.0,8000000.0
2011-11-15,11233,11466,11100,11133,39920,133600.0,8000000.0
2011-11-16,11266,11266,10700,10767,57264,129200.0,8000000.0
2011-11-17,10733,10966,10566,10900,14670,130800.0,8000000.0
2011-11-18,10733,10866,10566,10833,27711,130000.0,8000000.0
2011-11-21,10866,11200,10666,10733,16785,128800.0,8000000.0
2011-11-22,10400,10866,10400,10767,15361,129200.0,8000000.0
2011-11-23,10766,10900,10333,10333,41380,124000.0,8000000.0
2011-11-24,10333,10466,10000,10067,22138,120800.0,8000000.0
2011-11-25,10000,10033,8666,8967,173010,107600.0,8000000.0
2011-11-28,9033,9433,8800,9300,71942,111600.0,8000000.0
2011-11-29,9533,9733,9266,9367,51869,112400.0,8000000.0
2011-11-30,9000,9866,9000,9767,44040,117200.0,8000000.0
2011-12-01,10000,10366,9899,10033,60593,120400.0,8000000.0
2011-12-02,9900,10366,9800,10133,20920,121600.0,8000000.0
2011-12-05,10100,10200,9766,9933,26752,119200.0,8000000.0
2011-12-06,9833,9900,9533,9600,21223,115200.0,8000000.0
2011-12-07,9766,9766,9066,9400,30174,112800.0,8000000.0
2011-12-08,9266,9766,9266,9667,15243,116000.0,8000000.0
2011-12-09,9366,9600,9266,9333,15225,112000.0,8000000.0
2011-12-12,9400,9400,9133,9167,27306,110000.0,8000000.0
2011-12-13,9066,9666,9066,9667,31262,116000.0,8000000.0
2011-12-14,9600,9600,9300,9300,17893,111600.0,8000000.0
2011-12-15,9300,9333,9133,9200,8811,110400.0,8000000.0
2011-12-16,9133,9266,8966,9000,20101,108000.0,8000000.0
2011-12-19,8833,8966,8000,8333,35101,100000.0,8000000.0
