한성기업(003680),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,4100,4190,4020,4190,35900,12465.0,2974988.0
1999-01-05,4290,4500,4200,4400,62580,13090.0,2974988.0
1999-01-06,4510,4800,4400,4700,142170,13982.0,2974988.0
1999-01-07,4750,4750,4050,4590,104730,13655.0,2974988.0
1999-01-08,4510,4800,4400,4750,113660,14131.0,2974988.0
1999-01-11,4800,5460,4800,5460,170830,16243.0,2974988.0
1999-01-12,5860,6130,5600,6100,324790,18147.0,2974988.0
1999-01-13,6300,7010,6200,7010,397400,20855.0,2974988.0
1999-01-14,6050,6800,5960,5960,249720,17731.0,2974988.0
1999-01-15,6000,6800,5600,6600,272830,19635.0,2974988.0
1999-01-18,6900,7590,6800,7450,288330,22164.0,2974988.0
1999-01-19,7400,7400,6500,6500,197250,19337.0,2974988.0
1999-01-20,6210,6700,5600,5600,116530,16660.0,2974988.0
1999-01-21,5900,6000,5500,5610,181680,16690.0,2974988.0
1999-01-22,5700,5980,5300,5300,137260,15767.0,2974988.0
1999-01-25,5400,5500,5000,5000,113650,14875.0,2974988.0
1999-01-26,5200,5300,4800,4800,97180,14280.0,2974988.0
1999-01-27,4660,5000,4510,5000,93560,14875.0,2974988.0
1999-01-28,5000,5600,5000,5320,112690,15827.0,2974988.0
1999-01-29,5370,5500,4950,5200,119170,15470.0,2974988.0
1999-02-01,5490,5980,5300,5980,194230,17790.0,2974988.0
1999-02-02,6350,6700,5800,6190,398920,18415.0,2974988.0
1999-02-03,6050,6280,5500,5730,204590,17047.0,2974988.0
1999-02-04,5810,5950,5300,5500,63690,16362.0,2974988.0
1999-02-05,5230,5880,5230,5600,132860,16660.0,2974988.0
1999-02-08,5300,5700,5300,5310,80320,15797.0,2974988.0
1999-02-09,5310,5310,4800,4890,66370,14548.0,2974988.0
1999-02-10,4890,5280,4600,5100,91470,15172.0,2974988.0
1999-02-11,5010,5300,5010,5100,40920,15172.0,2974988.0
1999-02-12,5300,5300,5110,5160,55080,15351.0,2974988.0
1999-02-18,5300,5300,5000,5000,36960,14875.0,2974988.0
1999-02-19,4850,4900,4650,4900,57220,14577.0,2974988.0
1999-02-22,4750,5400,4700,4900,73270,14577.0,2974988.0
1999-02-23,5000,5200,4700,4700,26280,13982.0,2974988.0
