종근당바이오(063160),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-12-11,6860,7880,6860,7880,17600,26128.0,3315753.0
2001-12-12,9060,9060,9060,9060,30980,30041.0,3315753.0
2001-12-13,10400,10400,10400,10400,589520,34484.0,3315753.0
2001-12-14,10800,11950,10700,11600,1635310,38463.0,3315753.0
2001-12-17,11000,11350,9900,9900,705500,32826.0,3315753.0
2001-12-18,9500,10450,8510,8700,744600,28847.0,3315753.0
2001-12-19,8710,9570,8690,8800,484680,29179.0,3315753.0
2001-12-20,8800,9100,8240,8320,349990,27587.0,3315753.0
2001-12-21,8420,8480,7760,7950,260860,26360.0,3315753.0
2001-12-24,7800,8080,7750,7870,138150,26095.0,3315753.0
2001-12-26,7900,8650,7890,8200,220450,27189.0,3315753.0
2001-12-27,8320,8320,7900,8000,108110,26526.0,3315753.0
2001-12-28,8100,8500,7930,8330,146720,27620.0,3315753.0
2002-01-02,8300,8600,8210,8540,123679,28317.0,3315753.0
2002-01-03,8410,8570,8300,8380,106561,27786.0,3315753.0
2002-01-04,8450,8600,8350,8520,77505,28250.0,3315753.0
2002-01-07,8550,9090,8550,8620,166733,28582.0,3315753.0
2002-01-08,8720,8800,8330,8380,99576,27786.0,3315753.0
2002-01-09,8400,8400,8130,8200,123323,27189.0,3315753.0
2002-01-10,8210,8300,8030,8100,83889,26858.0,3315753.0
2002-01-11,8110,8480,8050,8170,110927,27090.0,3315753.0
2002-01-14,8110,8480,8070,8120,94820,26924.0,3315753.0
2002-01-15,8090,8150,7900,7920,59663,26261.0,3315753.0
2002-01-16,7900,8000,7820,7830,27454,25962.0,3315753.0
2002-01-17,7830,7830,7500,7620,41925,25266.0,3315753.0
2002-01-18,7620,7840,7510,7650,48230,25366.0,3315753.0
2002-01-21,7670,7670,7500,7660,42610,25399.0,3315753.0
2002-01-22,7660,7780,7560,7660,69031,25399.0,3315753.0
2002-01-23,7840,7920,7660,7920,71740,26261.0,3315753.0
