성신양회(004980),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-03-04,4728,4918,4598,4742,37110,32657.0,5250305.0
1999-03-05,4651,4766,4636,4727,47250,32552.0,5250305.0
1999-03-08,4994,5284,4804,5185,151540,35702.0,5250305.0
1999-03-09,5299,5338,4956,4994,106350,34389.0,5250305.0
1999-03-10,5040,5338,4994,5146,93020,35440.0,5250305.0
1999-03-11,5147,5338,5109,5284,220390,36385.0,5250305.0
1999-03-12,5414,5528,5292,5307,186990,36542.0,5250305.0
1999-03-15,5254,5528,5109,5307,835660,96584.0,13876962.0
1999-03-16,5307,5414,5185,5223,264680,95057.0,13876962.0
1999-03-17,5223,5322,4888,4918,319060,89506.0,13876962.0
1999-03-18,4811,4911,4651,4674,225090,85066.0,13876962.0
1999-03-19,4674,4773,4651,4735,173580,86176.0,13876962.0
1999-03-22,4689,4781,4651,4658,187680,84788.0,13876962.0
1999-03-23,4613,4773,4598,4658,209540,84788.0,13876962.0
1999-03-24,4651,4728,4613,4651,204400,84649.0,13876962.0
1999-03-25,4842,5246,4766,5032,555950,91588.0,13876962.0
1999-03-26,5033,5185,4842,4941,201950,89923.0,13876962.0
1999-03-29,4880,4918,4766,4765,196610,86731.0,13876962.0
1999-03-30,4811,4941,4804,4803,129760,87425.0,13876962.0
1999-03-31,4819,4956,4819,4872,141530,88674.0,13876962.0
1999-04-01,4956,5017,4888,4925,199910,89645.0,13876962.0
1999-04-02,4941,4994,4811,4841,190030,88119.0,13876962.0
1999-04-06,4880,4956,4735,4956,326920,90200.0,13876962.0
1999-04-07,5177,5261,5048,5047,389320,91865.0,13876962.0
1999-04-08,5048,5185,4964,5024,244370,91449.0,13876962.0
1999-04-09,5071,5559,5071,5413,799980,98526.0,13876962.0
1999-04-12,5559,5566,5269,5421,384090,98665.0,13876962.0
1999-04-13,5421,5490,5269,5284,355020,96167.0,13876962.0
1999-04-14,5338,5643,5284,5421,633500,98665.0,13876962.0
1999-04-15,5414,5833,5414,5795,713200,105465.0,13876962.0
1999-04-16,5757,5757,5360,5413,356280,98526.0,13876962.0
1999-04-19,5376,5490,5223,5246,288240,95473.0,13876962.0
1999-04-20,5223,5437,5223,5284,283570,96167.0,13876962.0
1999-04-21,5299,5490,5033,5040,268190,91727.0,13876962.0
1999-04-22,5261,5406,5116,5223,251460,95057.0,13876962.0
1999-04-23,5261,5429,5223,5337,426900,97139.0,13876962.0
1999-04-26,5338,5414,5147,5261,329250,95751.0,13876962.0
1999-04-27,5338,5406,5147,5169,291270,94086.0,13876962.0
1999-04-28,5094,5719,5086,5497,795110,100053.0,13876962.0
1999-04-29,5604,6024,5604,5642,858040,102690.0,13876962.0
1999-04-30,5871,5978,5414,5490,475070,99914.0,13876962.0
1999-05-03,5681,6314,5574,6313,1628260,114901.0,13876962.0
1999-05-04,6466,6466,6024,6328,1045600,115179.0,13876962.0
1999-05-06,6558,6771,6344,6595,1255320,120036.0,13876962.0
1999-05-07,6855,7236,6641,6854,1504780,124754.0,13876962.0
1999-05-10,6863,6863,6596,6862,704090,124893.0,13876962.0
1999-05-11,6977,7396,6504,6504,725410,118370.0,13876962.0
1999-05-12,6329,6657,5932,6023,566810,109628.0,13876962.0
1999-05-13,6100,6207,5742,5741,511890,104494.0,13876962.0
1999-05-14,5871,5948,5338,5421,448360,98665.0,13876962.0
1999-05-17,5940,5948,5498,5497,552280,100053.0,13876962.0
1999-05-18,5574,5757,5360,5528,398420,100608.0,13876962.0
1999-05-19,5566,5643,5414,5558,302670,101163.0,13876962.0
1999-05-20,5559,5559,4880,4956,383390,90200.0,13876962.0
1999-05-21,4956,5109,4735,4971,244130,90478.0,13876962.0
1999-05-24,4956,4956,4689,4689,174870,85343.0,13876962.0
1999-05-25,4651,4842,4651,4727,149550,86037.0,13876962.0
1999-05-26,4735,5025,4735,5024,233940,91449.0,13876962.0
1999-05-27,4956,5185,4956,5024,237920,91449.0,13876962.0
1999-05-28,5017,5147,4880,4986,182140,90755.0,13876962.0
1999-05-31,5025,5109,4918,5002,170840,91033.0,13876962.0
1999-06-01,5063,5063,4842,4880,108800,88813.0,13876962.0
1999-06-02,4956,4994,4880,4956,158400,90200.0,13876962.0
1999-06-03,4918,5025,4804,4849,159730,88257.0,13876962.0
1999-06-04,4880,4956,4819,4918,161220,89506.0,13876962.0
1999-06-07,4956,5071,4918,4956,212050,90200.0,13876962.0
1999-06-08,4972,5696,4895,5695,360850,103661.0,13876962.0
1999-06-09,5490,5543,5185,5185,333190,94363.0,13876962.0
1999-06-10,5345,5414,5185,5337,206830,97139.0,13876962.0
1999-06-11,5414,5490,5223,5299,173160,96445.0,13876962.0
1999-06-14,5261,5414,5109,5268,130180,95890.0,13876962.0
1999-06-15,5109,5193,4804,4887,178770,88951.0,13876962.0
1999-06-16,4964,5086,4918,4971,113760,90478.0,13876962.0
1999-06-17,4972,5086,4895,4895,148780,89090.0,13876962.0
1999-06-18,4880,5071,4842,4841,112840,88119.0,13876962.0
1999-06-21,4842,4949,4613,4697,185950,85482.0,13876962.0
1999-06-22,4697,4911,4575,4841,221730,88119.0,13876962.0
1999-06-23,4888,4941,4766,4803,178620,87425.0,13876962.0
1999-06-24,4880,4987,4819,4826,208750,87841.0,13876962.0
1999-06-25,4956,4994,4804,4910,177320,89368.0,13876962.0
1999-06-28,4972,5330,4972,5032,297690,91588.0,13876962.0
1999-06-29,5071,5299,4956,5185,349900,94363.0,13876962.0
1999-06-30,5040,5094,4766,4803,333340,87425.0,13876962.0
1999-07-01,4804,4911,4720,4765,252170,86731.0,13876962.0
1999-07-02,4781,4895,4728,4788,247340,87147.0,13876962.0
1999-07-05,4850,5223,4850,5139,460370,93531.0,13876962.0
1999-07-06,5277,5330,5033,5177,412410,94225.0,13876962.0
