베트남개발1(096300),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-06-13,847,847,847,848,0,138573.0,120497892.0
2007-06-14,847,847,847,848,0,138573.0,120497892.0
2007-06-15,847,847,847,848,0,,
2007-06-18,847,847,847,848,0,,
2007-06-19,847,847,847,848,0,,
2007-06-20,847,847,847,848,0,,
2007-06-21,847,847,847,848,0,,
2007-06-22,847,847,847,848,0,,
2007-06-25,847,847,847,848,0,,
2007-06-26,972,972,751,751,7545304,122908.0,120497892.0
2007-06-27,780,857,751,789,3968885,128933.0,120497892.0
2007-06-28,809,817,751,755,1561315,123510.0,120497892.0
2007-06-29,750,765,731,737,1050422,120498.0,120497892.0
2007-07-02,736,736,693,699,1278891,114473.0,120497892.0
2007-07-03,698,706,668,678,913661,110858.0,120497892.0
2007-07-04,676,700,676,689,637611,112666.0,120497892.0
2007-07-05,686,686,668,674,535526,110256.0,120497892.0
2007-07-06,682,682,661,674,862910,110256.0,120497892.0
2007-07-09,675,682,664,678,324090,110858.0,120497892.0
2007-07-10,675,682,671,678,294138,110858.0,120497892.0
2007-07-11,675,678,671,682,170202,111461.0,120497892.0
2007-07-12,682,682,671,678,253460,110858.0,120497892.0
2007-07-13,675,682,668,678,277351,110858.0,120497892.0
2007-07-16,664,675,664,674,239170,110256.0,120497892.0
2007-07-18,671,671,664,674,177510,110256.0,120497892.0
2007-07-19,668,675,661,670,160540,109653.0,120497892.0
2007-07-20,664,671,661,666,146280,109051.0,120497892.0
2007-07-23,662,669,662,663,173730,108448.0,120497892.0
2007-07-24,661,668,661,666,151460,109051.0,120497892.0
2007-07-25,664,678,664,674,121595,110256.0,120497892.0
2007-07-26,675,675,668,670,120860,109653.0,120497892.0
2007-07-27,668,675,661,670,119990,109653.0,120497892.0
2007-07-30,682,682,664,670,70500,109653.0,120497892.0
2007-07-31,668,671,664,670,49540,109653.0,120497892.0
2007-08-01,668,675,664,666,57760,109051.0,120497892.0
2007-08-02,665,671,662,663,63310,108448.0,120497892.0
2007-08-03,661,668,661,666,40240,109051.0,120497892.0
2007-08-06,671,698,654,678,245280,110858.0,120497892.0
2007-08-07,678,682,668,678,75500,110858.0,120497892.0
2007-08-08,675,678,671,682,46109,111461.0,120497892.0
2007-08-09,678,678,668,678,52818,110858.0,120497892.0
2007-08-10,675,675,664,674,95040,110256.0,120497892.0
2007-08-13,671,671,664,674,60140,110256.0,120497892.0
2007-08-14,668,671,661,670,56770,109653.0,120497892.0
2007-08-16,659,670,633,648,220410,106038.0,120497892.0
2007-08-17,645,657,637,641,78180,104833.0,120497892.0
2007-08-20,653,663,641,648,40670,106038.0,120497892.0
2007-08-21,653,657,645,648,25460,106038.0,120497892.0
2007-08-22,653,673,645,656,46750,107243.0,120497892.0
2007-08-23,659,659,657,656,36740,107243.0,120497892.0
2007-08-24,655,662,651,659,13310,107846.0,120497892.0
2007-08-27,658,662,651,659,10760,107846.0,120497892.0
2007-08-28,655,658,647,659,46740,107846.0,120497892.0
2007-08-29,651,662,636,663,87820,108448.0,120497892.0
2007-08-30,662,665,658,663,25190,108448.0,120497892.0
2007-08-31,657,663,653,652,6050,106641.0,120497892.0
2007-09-03,647,662,647,659,50847,107846.0,120497892.0
2007-09-04,669,669,655,663,14230,108448.0,120497892.0
2007-09-05,655,665,655,663,31640,108448.0,120497892.0
2007-09-06,662,699,658,659,115670,107846.0,120497892.0
2007-09-07,655,662,651,663,49580,108448.0,120497892.0
2007-09-10,662,662,651,659,29880,107846.0,120497892.0
2007-09-11,655,658,640,659,66220,107846.0,120497892.0
2007-09-12,658,665,655,663,39770,108448.0,120497892.0
