기업은행(024110),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,4600.0,4600.0,4100.0,4550.0,5400.0,1660463.0,364936900.0
1999-01-05,4550.0,4550.0,4110.0,4180.0,5661.0,1525436.0,364936900.0
1999-01-06,4140.0,4300.0,4100.0,4300.0,5297.0,1569229.0,364936900.0
1999-01-07,4200.0,4300.0,4110.0,4140.0,6779.0,1510839.0,364936900.0
1999-01-08,4140.0,4200.0,4050.0,4200.0,6703.0,1532735.0,364936900.0
1999-01-11,4300.0,4300.0,4100.0,4150.0,9654.0,1514488.0,364936900.0
1999-01-12,4200.0,4200.0,4000.0,4000.0,10191.0,1459748.0,364936900.0
1999-01-13,4000.0,4190.0,4000.0,4100.0,7999.0,1496241.0,364936900.0
1999-01-14,4000.0,4100.0,3710.0,3940.0,7547.0,1437851.0,364936900.0
1999-01-15,3900.0,3940.0,3760.0,3900.0,7930.0,1423254.0,364936900.0
1999-01-18,3900.0,4090.0,3900.0,4090.0,7012.0,1492592.0,364936900.0
1999-01-19,4050.0,4050.0,3810.0,3990.0,5320.0,1456098.0,364936900.0
1999-01-20,3990.0,3990.0,3810.0,3850.0,4765.0,1405007.0,364936900.0
1999-01-21,3710.0,3850.0,3700.0,3730.0,8181.0,1361215.0,364936900.0
1999-01-22,3700.0,3780.0,3550.0,3780.0,3705.0,1379461.0,364936900.0
1999-01-25,3700.0,3700.0,3510.0,3700.0,2368.0,1350267.0,364936900.0
1999-01-26,3600.0,3750.0,3600.0,3750.0,3931.0,1368513.0,364936900.0
1999-01-27,3700.0,3740.0,3500.0,3730.0,4745.0,1361215.0,364936900.0
1999-01-28,3750.0,3750.0,3600.0,3660.0,3715.0,1335669.0,364936900.0
1999-01-29,3610.0,3750.0,3600.0,3700.0,5186.0,1350267.0,364936900.0
1999-02-01,3720.0,3800.0,3610.0,3650.0,7504.0,1332020.0,364936900.0
1999-02-02,3620.0,3730.0,3610.0,3730.0,6416.0,1361215.0,364936900.0
1999-02-03,3730.0,3730.0,3610.0,3690.0,3108.0,1346617.0,364936900.0
1999-02-04,3510.0,3590.0,3500.0,3570.0,1859.0,1302825.0,364936900.0
1999-02-05,3570.0,3570.0,3500.0,3570.0,4135.0,1302825.0,364936900.0
1999-02-08,3570.0,3700.0,3550.0,3570.0,1848.0,1302825.0,364936900.0
1999-02-09,3500.0,3500.0,3170.0,3470.0,3517.0,1266331.0,364936900.0
1999-02-10,3300.0,3880.0,3110.0,3600.0,3391.0,1313773.0,364936900.0
1999-02-11,3700.0,3700.0,3410.0,3650.0,2351.0,1332020.0,364936900.0
1999-02-12,3410.0,3590.0,3410.0,3570.0,1266.0,1302825.0,364936900.0
1999-02-18,3550.0,3550.0,3420.0,3420.0,2448.0,1248084.0,364936900.0
1999-02-19,3270.0,3290.0,3130.0,3250.0,2514.0,1186045.0,364936900.0
1999-02-22,3110.0,3250.0,3030.0,3090.0,2545.0,1127655.0,364936900.0
1999-02-23,3070.0,3070.0,2850.0,2880.0,3860.0,1051018.0,364936900.0
1999-02-24,2900.0,3000.0,2900.0,2970.0,4207.0,1083863.0,364936900.0
1999-02-25,3000.0,3020.0,2970.0,2970.0,2871.0,1083863.0,364936900.0
1999-02-26,2970.0,3320.0,2930.0,3000.0,5271.0,1094811.0,364936900.0
1999-03-02,3100.0,3280.0,3010.0,3280.0,3580.0,1196993.0,364936900.0
1999-03-03,3190.0,3260.0,2970.0,3260.0,2725.0,1189694.0,364936900.0
1999-03-04,3300.0,3300.0,3020.0,3200.0,3557.0,1167798.0,364936900.0
