에이블씨엔씨(078520),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-02-04,21916,24533,21916,23195,536530,146304.0,3840000.0
2005-02-07,23742,24593,22219,23742,227199,149760.0,3840000.0
2005-02-11,23680,24016,23194,23742,99117,149760.0,3840000.0
2005-02-14,23493,23827,23250,23316,82856,147072.0,3840000.0
2005-02-15,23741,24471,23558,24412,124791,153984.0,3840000.0
2005-02-16,25135,27328,24831,26543,176896,167424.0,3840000.0
2005-02-17,26901,28910,26231,27396,117725,172800.0,3840000.0
2005-02-18,28117,30674,27814,30439,318015,192000.0,3840000.0
2005-02-21,30127,32439,28604,30439,142053,192000.0,3840000.0
2005-02-22,30439,31900,29830,29982,74535,189120.0,3840000.0
2005-02-23,28759,33537,28119,33544,249445,211584.0,3840000.0
2005-02-24,33055,36405,33055,34092,94865,215040.0,3840000.0
2005-02-25,34206,35606,30736,33849,66360,213504.0,3840000.0
2005-02-28,33840,34084,31040,31596,52965,199296.0,3840000.0
2005-03-02,30804,31961,29220,30865,59103,194688.0,3840000.0
2005-03-03,29829,30621,29312,29647,30159,187008.0,3840000.0
2005-03-04,30127,31649,29853,30439,580342,192000.0,3840000.0
2005-03-07,32387,32387,31110,31352,77882,216300.0,4200000.0
2005-03-08,31163,31651,29823,29831,59945,205800.0,4200000.0
2005-03-09,28696,30217,27692,28978,49689,199920.0,4200000.0
2005-03-10,28970,29761,28117,28978,66501,199920.0,4200000.0
2005-03-11,28461,32205,28187,31108,93769,214620.0,4200000.0
2005-03-14,31351,31595,30195,31048,40126,214200.0,4200000.0
2005-03-15,31041,31528,29702,30348,47449,209370.0,4200000.0
2005-03-16,30500,31961,30378,31656,112280,218400.0,4200000.0
2005-03-17,31595,33117,31048,31656,82229,218400.0,4200000.0
2005-03-18,32142,33726,31960,32873,140073,226800.0,4200000.0
2005-03-21,32873,33482,31778,31961,51807,220500.0,4200000.0
2005-03-22,31466,32014,30005,30439,120292,210000.0,4200000.0
2005-03-23,29885,30311,29549,29831,70247,205800.0,4200000.0
2005-03-24,29853,30371,28971,29831,51810,205800.0,4200000.0
2005-03-25,29343,30256,29343,30195,23568,208320.0,4200000.0
2005-03-28,29647,30986,29647,30804,36106,212520.0,4200000.0
2005-03-29,30926,30926,30134,30560,27221,210840.0,4200000.0
2005-03-30,30196,30561,30013,30013,26662,207060.0,4200000.0
2005-03-31,29701,30006,26171,28278,79894,195090.0,4200000.0
2005-04-01,27517,28704,27396,27639,39935,190680.0,4200000.0
2005-04-04,26726,27640,26179,26969,215590,186060.0,4200000.0
2005-04-06,27022,28270,26961,27426,169569,189210.0,4200000.0
2005-04-07,27692,28361,27022,28308,117543,195300.0,4200000.0
2005-04-08,28613,28613,27579,27578,49438,190260.0,4200000.0
2005-04-11,27389,27754,27267,27761,38197,191520.0,4200000.0
2005-04-12,27511,28424,27451,27517,47271,189840.0,4200000.0
2005-04-13,27390,27967,27390,27517,96239,189840.0,4200000.0
2005-04-14,27394,28611,27394,28125,80952,194040.0,4200000.0
2005-04-15,28025,28482,27447,28369,53550,195720.0,4200000.0
2005-04-18,27639,28826,27639,28673,75350,197820.0,4200000.0
2005-04-19,28970,30127,28605,30105,94281,207690.0,4200000.0
2005-04-20,30134,32386,30134,31656,294493,218400.0,4200000.0
2005-04-21,31657,32022,31595,31656,72819,218400.0,4200000.0
2005-04-22,32143,32326,31534,31656,99137,218400.0,4200000.0
2005-04-25,32083,33239,31474,31656,93020,218400.0,4200000.0
2005-04-26,31657,31900,29343,29708,51021,204960.0,4200000.0
2005-04-27,29700,31222,29426,30439,43266,210000.0,4200000.0
2005-04-28,30439,32267,30439,32265,49988,222600.0,4200000.0
2005-04-29,31961,33178,31352,33177,61614,228900.0,4200000.0
2005-05-02,33849,34397,32874,33787,60636,233100.0,4200000.0
2005-05-03,33360,34275,32995,33177,28235,228900.0,4200000.0
