롯데칠성음료(005300),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,5490,5640,5360,5420,4890,67056.0,1237203.0
1999-01-05,5500,6000,5500,5751,13390,71139.0,1237203.0
1999-01-06,5700,5950,5700,5861,5450,72500.0,1237203.0
1999-01-07,5850,5900,5700,5751,4580,71139.0,1237203.0
1999-01-08,5800,5900,5650,5670,3530,70149.0,1237203.0
1999-01-11,5800,5800,5650,5731,3680,70892.0,1237203.0
1999-01-12,5830,5890,5730,5800,7230,71758.0,1237203.0
1999-01-13,5810,6000,5700,5841,5950,72253.0,1237203.0
1999-01-14,5700,5700,5600,5601,4950,69283.0,1237203.0
1999-01-15,5600,5670,5500,5601,2640,69283.0,1237203.0
1999-01-18,5660,5850,5660,5800,3460,71758.0,1237203.0
1999-01-19,5880,5890,5710,5710,3950,70644.0,1237203.0
1999-01-20,5800,5830,5610,5611,5420,69407.0,1237203.0
1999-01-21,5500,5600,5450,5450,5000,67428.0,1237203.0
1999-01-22,5350,5350,5100,5100,3390,63097.0,1237203.0
1999-01-25,5100,5100,4900,5000,3170,61860.0,1237203.0
1999-01-26,5000,5300,5000,5050,800,62479.0,1237203.0
1999-01-27,5050,5100,5050,5100,310,63097.0,1237203.0
1999-01-28,5000,5200,5000,5050,50,62479.0,1237203.0
1999-01-29,5000,5090,5000,5090,280,62974.0,1237203.0
1999-02-01,5050,5090,4950,5090,1670,62974.0,1237203.0
1999-02-02,5090,5100,5000,5090,810,62974.0,1237203.0
1999-02-03,5120,5120,5000,5000,600,61860.0,1237203.0
1999-02-04,5090,5090,4900,5000,540,61860.0,1237203.0
1999-02-05,5000,5100,4990,5000,610,61860.0,1237203.0
1999-02-08,5050,5050,4900,5000,300,61860.0,1237203.0
1999-02-09,4900,5000,4800,4800,3060,59386.0,1237203.0
1999-02-10,4800,4900,4700,4900,1020,60623.0,1237203.0
1999-02-11,4650,5000,4650,5000,1960,61860.0,1237203.0
1999-02-12,5100,5100,5000,5000,460,61860.0,1237203.0
1999-02-18,4430,4840,4250,4800,1420,59386.0,1237203.0
1999-02-19,4510,4730,4410,4730,360,58520.0,1237203.0
1999-02-22,4450,5000,4450,4500,820,55674.0,1237203.0
1999-02-23,4500,4770,4500,4500,370,55674.0,1237203.0
1999-02-24,4500,4500,4450,4500,230,55674.0,1237203.0
1999-02-25,4500,4750,4400,4600,190,56911.0,1237203.0
1999-02-26,5000,5000,4230,4500,250,55674.0,1237203.0
1999-03-02,4700,4850,4700,4790,1080,59262.0,1237203.0
1999-03-03,4350,4800,4350,4750,450,58767.0,1237203.0
1999-03-04,4520,4700,4500,4700,820,58149.0,1237203.0
1999-03-05,4535,4740,4535,4600,5220,56911.0,1237203.0
1999-03-08,4700,4800,4600,4750,1950,58767.0,1237203.0
1999-03-09,4750,4800,4700,4700,2330,58149.0,1237203.0
1999-03-10,4700,4700,4580,4700,4180,58149.0,1237203.0
1999-03-11,4830,4830,4700,4820,780,59633.0,1237203.0
1999-03-12,4800,4800,4680,4700,9070,58149.0,1237203.0
1999-03-15,4860,4900,4800,4850,4500,60004.0,1237203.0
1999-03-16,4850,4860,4850,4850,900,60004.0,1237203.0
1999-03-17,4850,4860,4850,4860,400,60128.0,1237203.0
1999-03-18,4860,4900,4850,4850,1590,60004.0,1237203.0
1999-03-19,4760,4840,4760,4840,940,59881.0,1237203.0
1999-03-22,4840,4950,4840,4900,2020,60623.0,1237203.0
1999-03-23,4895,5020,4850,5020,1200,62108.0,1237203.0
1999-03-24,5000,5020,5000,5000,2510,61860.0,1237203.0
1999-03-25,5300,5300,5010,5010,2240,61984.0,1237203.0
1999-03-26,5050,5150,5050,5100,940,63097.0,1237203.0
1999-03-29,5100,5170,5000,5170,3080,63963.0,1237203.0
1999-03-30,5030,5350,5030,5350,13670,66190.0,1237203.0
1999-03-31,5480,5480,5200,5200,2660,64335.0,1237203.0
1999-04-01,5150,5320,5150,5211,2880,64458.0,1237203.0
1999-04-02,5300,5900,5300,5500,10940,68046.0,1237203.0
1999-04-06,5850,5850,5620,5751,2270,71139.0,1237203.0
1999-04-07,5750,5900,5750,5751,3520,71139.0,1237203.0
1999-04-08,5800,5800,5660,5751,2350,71139.0,1237203.0
1999-04-09,5700,5800,5700,5701,2600,70521.0,1237203.0
1999-04-12,5600,5800,5600,5661,1290,70026.0,1237203.0
1999-04-13,5700,5950,5700,5901,7040,72995.0,1237203.0
1999-04-14,6000,6000,5750,5850,2180,72376.0,1237203.0
1999-04-15,5900,6000,5850,6001,5380,74232.0,1237203.0
