동아쏘시오홀딩스(000640),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,6505,6564,6296,6445,184650,90669.0,8395309.0
1999-01-05,6565,7162,6386,6863,442580,96546.0,8395309.0
1999-01-06,7041,7339,6921,7281,417660,102423.0,8395309.0
1999-01-07,7819,8117,7579,7640,676340,107460.0,8395309.0
1999-01-08,7756,7756,7340,7758,304060,109139.0,8395309.0
1999-01-11,8117,8743,7937,8654,661940,121732.0,8395309.0
1999-01-12,8653,8742,7906,8356,390560,117534.0,8395309.0
1999-01-13,8295,8533,7938,7997,400390,112497.0,8395309.0
1999-01-14,7521,7699,6803,6982,311420,98225.0,8395309.0
1999-01-15,7162,7758,6983,7640,286380,107460.0,8395309.0
1999-01-18,7818,8117,7699,7878,373180,110818.0,8395309.0
1999-01-19,7579,7699,7341,7400,201420,104102.0,8395309.0
1999-01-20,7580,7940,7163,7341,427350,103262.0,8395309.0
1999-01-21,7342,7461,6744,6863,231740,96546.0,8395309.0
1999-01-22,6686,6744,6387,6387,257920,89830.0,8395309.0
1999-01-25,6385,6564,6146,6147,228860,86472.0,8395309.0
1999-01-26,6326,6564,5968,5998,181090,84373.0,8395309.0
1999-01-27,5998,6445,5968,6445,189600,90669.0,8395309.0
1999-01-28,6445,6804,6266,6445,258250,90669.0,8395309.0
1999-01-29,6506,6565,6267,6476,150480,91089.0,8395309.0
1999-02-01,6623,6623,6355,6565,152890,92348.0,8395309.0
1999-02-02,6625,6804,6506,6595,244820,92768.0,8395309.0
1999-02-03,6565,6803,6296,6326,146620,88990.0,8395309.0
1999-02-04,6238,6446,5998,6177,118130,86891.0,8395309.0
1999-02-05,6087,6326,6026,6147,185710,86472.0,8395309.0
1999-02-08,6149,6269,6090,6089,76720,85632.0,8395309.0
1999-02-09,6090,6090,5492,5611,103470,78916.0,8395309.0
1999-02-10,5610,5778,5365,5718,166710,80427.0,8395309.0
1999-02-11,5788,5877,5668,5699,91960,80175.0,8395309.0
1999-02-12,5729,5969,5729,5933,91030,83449.0,8395309.0
1999-02-18,5967,5967,5669,5670,75660,79755.0,8395309.0
1999-02-19,5658,5658,5401,5491,115820,77237.0,8395309.0
1999-02-22,5400,5431,5257,5372,67900,75558.0,8395309.0
1999-02-23,5263,5484,5191,5372,86980,75558.0,8395309.0
1999-02-24,5310,5424,5191,5193,44460,73039.0,8395309.0
1999-02-25,5133,5240,5019,5019,77770,70605.0,8395309.0
1999-02-26,5063,5284,5063,5247,53850,73795.0,8395309.0
1999-03-02,5311,5658,5311,5432,92420,76397.0,8395309.0
1999-03-03,5490,5549,5251,5282,185560,74298.0,8395309.0
1999-03-04,5454,5472,5311,5341,137430,75138.0,8395309.0
1999-03-05,5485,5522,5342,5491,152560,77237.0,8395309.0
1999-03-08,5611,5909,5581,5837,202890,82106.0,8395309.0
1999-03-09,5879,6028,5730,5730,235120,80595.0,8395309.0
1999-03-10,5818,5847,5615,5699,112140,80175.0,8395309.0
1999-03-11,6535,6535,5967,6147,360620,86472.0,8395309.0
1999-03-12,6326,6386,6118,6208,242970,87311.0,8395309.0
1999-03-15,6266,6444,6087,6147,216840,86472.0,8395309.0
1999-03-16,6148,6296,6088,6208,133460,87311.0,8395309.0
1999-03-17,6386,6685,6326,6326,250320,88990.0,8395309.0
1999-03-18,6239,6447,5970,5969,141130,83953.0,8395309.0
1999-03-19,5997,6176,5967,6147,111970,86472.0,8395309.0
1999-03-22,6146,6266,6087,6147,117540,86472.0,8395309.0
1999-03-23,6148,6387,6148,6267,121950,88151.0,8395309.0
1999-03-24,6267,6685,6176,6476,275470,91089.0,8395309.0
1999-03-25,6387,6566,6267,6387,144390,89830.0,8395309.0
1999-03-26,6416,6416,6267,6326,90040,88990.0,8395309.0
1999-03-29,6267,6296,6088,6117,113090,86052.0,8395309.0
1999-03-30,6148,6387,6148,6267,169770,88151.0,8395309.0
1999-03-31,6386,6416,6267,6326,100140,88990.0,8395309.0
1999-04-01,6445,6684,6416,6565,386730,92348.0,8395309.0
1999-04-02,6684,7011,6445,6923,490820,97386.0,8395309.0
1999-04-06,6924,7222,6864,7042,353020,99065.0,8395309.0
1999-04-07,7132,7281,6983,7042,429560,99065.0,8395309.0
1999-04-08,6983,7043,6774,6982,155410,98225.0,8395309.0
1999-04-09,7101,7221,6863,6923,246590,97386.0,8395309.0
1999-04-12,7043,7401,6954,7312,413830,102843.0,8395309.0
1999-04-13,7162,7340,7162,7192,235250,103148.0,8560000.0
1999-04-14,7341,7341,7043,7161,204800,102720.0,8560000.0
1999-04-15,7162,7758,7162,7519,417520,107856.0,8560000.0
1999-04-16,7758,8117,7579,7818,663760,112136.0,8560000.0
1999-04-19,8058,8058,7729,7878,292500,112992.0,8560000.0
1999-04-20,7997,8415,7877,8177,605200,117272.0,8560000.0
1999-04-21,9400,9400,9041,9191,1015580,131824.0,8560000.0
1999-04-22,9193,9312,8447,8774,470560,125832.0,8560000.0
1999-04-23,8774,9132,8655,8924,414470,127972.0,8560000.0
1999-04-26,8833,9670,8804,9609,392730,137816.0,8560000.0
1999-04-27,9670,9848,9191,9609,380650,137816.0,8560000.0
1999-04-28,9606,10084,9249,9429,484840,135248.0,8560000.0
1999-04-29,9459,9848,9072,9072,338450,130112.0,8560000.0
