DGB금융지주(139130),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-06-07,15233,16390,15040,16294,2100255,2265498.0,134053154.0
2011-06-08,16294,16583,15233,15523,1399354,2158256.0,134053154.0
2011-06-09,15570,15956,14172,14751,3374344,2051013.0,134053154.0
2011-06-10,14654,15908,14606,15523,2061255,2158256.0,134053154.0
2011-06-13,15185,15570,14896,15185,711045,2111337.0,134053154.0
2011-06-14,15281,15619,15185,15330,585748,2131445.0,134053154.0
2011-06-15,15522,15570,15233,15282,243504,2124742.0,134053154.0
2011-06-16,15378,15570,15088,15571,205971,2164958.0,134053154.0
2011-06-17,15522,15860,15088,15089,566826,2097932.0,134053154.0
2011-06-20,15185,15329,15088,15185,274161,2111337.0,134053154.0
2011-06-21,15281,15426,15185,15378,311891,2138148.0,134053154.0
2011-06-22,15522,15570,14847,14848,543058,2064419.0,134053154.0
2011-06-23,14847,15233,14847,15137,438896,2104635.0,134053154.0
2011-06-24,15040,15378,14944,15378,326255,2138148.0,134053154.0
2011-06-27,15185,15281,15088,15233,206201,2118040.0,134053154.0
2011-06-28,15378,15378,15137,15137,401107,2104635.0,134053154.0
2011-06-29,15329,15619,15233,15523,366817,2158256.0,134053154.0
2011-06-30,15667,15667,15378,15619,385159,2171661.0,134053154.0
2011-07-01,15715,15715,15329,15571,350708,2164958.0,134053154.0
2011-07-04,15715,15908,15619,15860,376428,2205174.0,134053154.0
2011-07-05,15908,16052,15860,15860,197520,2205174.0,134053154.0
2011-07-06,15860,15956,15763,15908,155801,2211877.0,134053154.0
2011-07-07,15811,16101,15763,16101,288842,2238688.0,134053154.0
2011-07-08,16149,16149,15908,16101,164868,2238688.0,134053154.0
2011-07-11,16101,16101,15570,16101,185972,2238688.0,134053154.0
2011-07-12,15715,16101,15619,15716,102980,2185066.0,134053154.0
2011-07-13,15667,15811,15474,15571,259282,2164958.0,134053154.0
2011-07-14,15522,15570,15233,15330,271148,2131445.0,134053154.0
2011-07-15,15329,15426,15233,15426,316890,2144850.0,134053154.0
2011-07-18,15426,15474,15378,15475,219983,2151553.0,134053154.0
2011-07-19,15281,15570,15281,15475,705994,2151553.0,134053154.0
2011-07-20,15667,15763,15426,15764,783478,2191769.0,134053154.0
2011-07-21,15763,16004,15715,15957,403942,2218580.0,134053154.0
