해성디에스(195870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-06-24,16700,19150,13800,14600,7602009,248200.0,17000000.0
2016-06-27,15050,16750,14050,15350,2675136,260950.0,17000000.0
2016-06-28,15150,15650,14800,15000,662129,255000.0,17000000.0
2016-06-29,15500,15750,14800,14800,583610,251600.0,17000000.0
2016-06-30,14900,15150,14050,14250,507869,242250.0,17000000.0
2016-07-01,14350,14600,14200,14250,412458,242250.0,17000000.0
2016-07-04,14450,14600,14200,14200,318599,241400.0,17000000.0
2016-07-05,14300,14600,14050,14200,251936,241400.0,17000000.0
2016-07-06,14250,14450,13950,14000,208087,238000.0,17000000.0
2016-07-07,14100,14200,14000,14100,124169,239700.0,17000000.0
2016-07-08,14150,14250,13600,13750,229843,233750.0,17000000.0
2016-07-11,13650,13750,13150,13250,295488,225250.0,17000000.0
2016-07-12,13350,14250,12900,14250,680550,242250.0,17000000.0
2016-07-13,14850,15050,13950,14000,551209,238000.0,17000000.0
2016-07-14,14000,14000,13350,13550,250127,230350.0,17000000.0
2016-07-15,13650,14200,13650,13900,223867,236300.0,17000000.0
2016-07-18,13900,14200,13800,14050,97454,238850.0,17000000.0
2016-07-19,14050,14650,14050,14300,235154,243100.0,17000000.0
2016-07-20,14400,14750,14350,14650,230851,249050.0,17000000.0
2016-07-21,14800,15850,14700,15200,545782,258400.0,17000000.0
2016-07-22,15200,15400,14750,15400,135970,261800.0,17000000.0
2016-07-25,15400,15400,14800,14800,202482,251600.0,17000000.0
2016-07-26,14750,14800,14150,14500,143308,246500.0,17000000.0
2016-07-27,14500,15000,14350,14750,143587,250750.0,17000000.0
2016-07-28,14750,14850,14550,14750,77981,250750.0,17000000.0
2016-07-29,14800,15400,14500,15350,210991,260950.0,17000000.0
2016-08-01,15550,16300,15350,16150,367533,274550.0,17000000.0
2016-08-02,16000,16500,15850,16450,263720,279650.0,17000000.0
2016-08-03,16300,16500,15850,15850,152739,269450.0,17000000.0
2016-08-04,16100,16350,15700,16350,159429,277950.0,17000000.0
2016-08-05,16500,16500,16100,16250,146141,276250.0,17000000.0
2016-08-08,16300,16300,15350,15700,182945,266900.0,17000000.0
2016-08-09,15700,15950,15450,15700,84449,266900.0,17000000.0
2016-08-10,15700,16000,15550,15750,89600,267750.0,17000000.0
2016-08-11,15750,16100,15400,16100,127320,273700.0,17000000.0
2016-08-12,16100,16300,15950,16000,81255,272000.0,17000000.0
2016-08-16,15850,16000,15000,15000,219360,255000.0,17000000.0
2016-08-17,15050,15250,14600,15000,108325,255000.0,17000000.0
2016-08-18,15350,15450,15000,15050,80783,255850.0,17000000.0
2016-08-19,14850,15000,14500,14500,134502,246500.0,17000000.0
2016-08-22,14500,14500,14200,14400,49078,244800.0,17000000.0
2016-08-23,14400,14650,14050,14050,79585,238850.0,17000000.0
2016-08-24,14050,14600,14050,14350,63670,243950.0,17000000.0
2016-08-25,14350,14400,14100,14300,35056,243100.0,17000000.0
2016-08-26,14300,14300,14000,14300,47221,243100.0,17000000.0
2016-08-29,14250,14300,13600,13750,74949,233750.0,17000000.0
2016-08-30,13800,14100,13700,13750,60022,233750.0,17000000.0
2016-08-31,13850,13950,13500,13900,79423,236300.0,17000000.0
2016-09-01,13800,14200,13700,14150,43076,240550.0,17000000.0
2016-09-02,14150,14200,13950,14100,27289,239700.0,17000000.0
2016-09-05,14100,14100,13850,13900,54754,236300.0,17000000.0
2016-09-06,13950,14050,13750,14050,62970,238850.0,17000000.0
2016-09-07,14150,14500,14050,14350,84856,243950.0,17000000.0
2016-09-08,14400,14400,13800,13850,155407,235450.0,17000000.0
2016-09-09,13800,14000,13550,13650,79653,232050.0,17000000.0
2016-09-12,13300,13450,13200,13250,52496,225250.0,17000000.0
2016-09-13,13450,13450,13150,13250,42015,225250.0,17000000.0
2016-09-19,13100,13750,13100,13400,67957,227800.0,17000000.0
2016-09-20,13300,13550,13300,13450,27400,228650.0,17000000.0
2016-09-21,13500,14050,13450,13950,95219,237150.0,17000000.0
2016-09-22,14050,14150,13800,13850,74322,235450.0,17000000.0
2016-09-23,13800,14150,13650,13700,60571,232900.0,17000000.0
2016-09-26,13700,13750,13300,13450,48890,228650.0,17000000.0
2016-09-27,13450,13600,13250,13500,92716,229500.0,17000000.0
2016-09-28,13500,13600,13200,13200,69041,224400.0,17000000.0
2016-09-29,13300,13500,13200,13300,65610,226100.0,17000000.0
2016-09-30,13300,13350,13100,13150,51639,223550.0,17000000.0
2016-10-04,13200,13400,13150,13250,72126,225250.0,17000000.0
2016-10-05,13250,13400,13200,13250,51815,225250.0,17000000.0
2016-10-06,13300,13400,13200,13250,62719,225250.0,17000000.0
2016-10-07,13250,13750,13200,13400,66706,227800.0,17000000.0
2016-10-10,13550,13850,13450,13550,64634,230350.0,17000000.0
2016-10-11,13550,13800,13450,13600,61992,231200.0,17000000.0
2016-10-12,13400,13550,13250,13300,68755,226100.0,17000000.0
2016-10-13,13350,13400,13150,13150,48487,223550.0,17000000.0
2016-10-14,13200,13200,12950,12950,62177,220150.0,17000000.0
2016-10-17,13000,13050,12550,12550,83884,213350.0,17000000.0
2016-10-18,12550,12650,12200,12350,88231,209950.0,17000000.0
2016-10-19,12350,12600,12000,12100,169658,205700.0,17000000.0
2016-10-20,12200,12350,11600,11850,109742,201450.0,17000000.0
2016-10-21,11900,12150,11850,11950,67950,203150.0,17000000.0
2016-10-24,11850,12150,11850,11950,56052,203150.0,17000000.0
2016-10-25,11850,11950,11350,11550,91549,196350.0,17000000.0
2016-10-26,11500,11650,11350,11400,53001,193800.0,17000000.0
2016-10-27,11500,11850,11400,11700,51679,198900.0,17000000.0
2016-10-28,11650,11850,11600,11600,39603,197200.0,17000000.0
2016-10-31,11300,11300,10250,10350,222535,175950.0,17000000.0
2016-11-01,10250,10550,10100,10200,105384,173400.0,17000000.0
2016-11-02,10000,10100,9620,9630,175010,163710.0,17000000.0
2016-11-03,9530,9930,9530,9850,60298,167450.0,17000000.0
2016-11-04,9860,9920,9690,9780,31225,166260.0,17000000.0
2016-11-07,9780,10150,9780,10150,54464,172550.0,17000000.0
2016-11-08,10200,10250,9990,10100,38369,171700.0,17000000.0
2016-11-09,10000,10150,9430,9790,118312,166430.0,17000000.0
2016-11-10,9850,10100,9850,10000,93273,170000.0,17000000.0
2016-11-11,9920,10250,9920,10150,49870,172550.0,17000000.0
2016-11-14,10150,10550,10150,10400,31019,176800.0,17000000.0
2016-11-15,10300,10450,10200,10350,44412,175950.0,17000000.0
2016-11-16,10300,10900,10300,10850,77082,184450.0,17000000.0
2016-11-17,10700,10950,10650,10900,19554,185300.0,17000000.0
2016-11-18,10900,10900,10500,10500,42471,178500.0,17000000.0
2016-11-21,10450,10500,10200,10250,21154,174250.0,17000000.0
2016-11-22,10300,10650,10300,10500,22666,178500.0,17000000.0
2016-11-23,10450,10500,10100,10100,22194,171700.0,17000000.0
2016-11-24,10100,10350,10000,10150,51698,172550.0,17000000.0
2016-11-25,10200,10900,10200,10400,28173,176800.0,17000000.0
2016-11-28,10300,10350,10100,10100,27164,171700.0,17000000.0
2016-11-29,10100,10700,10100,10450,39933,177650.0,17000000.0
2016-11-30,10350,11000,10350,10900,43047,185300.0,17000000.0
2016-12-01,11000,11100,10700,10700,64213,181900.0,17000000.0
2016-12-02,10700,10900,10650,10700,17591,181900.0,17000000.0
2016-12-05,10700,10800,10350,10350,25784,175950.0,17000000.0
